Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-08-30,13101.29,13101.37,12978.91,393534600.0,13000.71,0.0,,,-253422656.8348906,-253422656.8348906,13026.996666666666,,,393534600.0,393534600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-08-29,13103.46,13144.81,13081.27,446252369.0,13107.48,446252369.0,,,-78097676.1611651,-331520332.9960557,13071.734187410584,,,403119648.9090909,398555339.9047619,,,,,,8.51726495726507,1.703452991453014,6.8138119658120555,False,False,,,,,
2012-08-28,13122.74,13147.32,13081.12,420077407.0,13102.99,26174962.0,,,-142521730.53203252,-474042063.5280882,13084.652117734418,,,406202877.65289253,400605060.5804989,,,,,,14.735096306036212,4.309781654369654,10.425314651666557,False,False,,,,,
2012-08-27,13157.74,13176.17,13115.46,435778752.0,13124.67,461953714.0,,,-303559272.3122929,-777601335.8403811,13098.559507921262,,,411580309.3523666,403954935.9537847,,,,,,21.168153957569302,7.681456115009583,13.48669784255972,False,False,,,,,
2012-08-24,13052.82,13175.51,13027.2,442092731.0,13157.97,904046445.0,,,337523834.7456623,-440077501.0947189,13103.040367117426,,,417128022.37920904,407587106.91056716,,,,,,28.623476573926382,11.869860206792943,16.75361636713344,False,False,,,,,
2012-08-23,13171.37,13171.37,13046.46,535218126.0,13057.46,368828319.0,,,-440951864.11544436,-881029365.2101632,13100.782313696891,,,438598950.3102619,419742442.06194174,,,,,,26.120456098718932,14.719979385178142,11.40047671354079,False,False,,,,,
2012-08-22,13198.31,13205.06,13120.34,525739932.0,13172.76,894568251.0,,,124857028.23230055,-756172336.9778627,13111.510311534652,,,454442765.1629416,429837441.1036616,,,,,,33.05945195320055,18.387873898782626,14.671578054417925,False,False,,,,,
2012-08-21,13272.1,13330.76,13186.6,588732851.0,13203.58,1483301102.0,,,-450044118.89706224,-1206216455.874925,13131.531971327957,,,478859144.4060431,444970337.2842652,,,,,,40.577816774197345,22.82586247386557,17.751954300331775,False,False,,,,,
2012-08-20,13274.58,13276.15,13230.06,432541316.0,13271.64,1915842418.0,,,347891225.51789594,-858325230.357029,13144.626322077222,,,470437721.0594898,443786620.97147804,,,,,,51.43513602968778,28.547717185030017,22.887418844657766,False,False,,,,,
2012-08-17,13251.2,13281.32,13244.85,525636900.0,13275.2,2441479318.0,,,349223528.57145476,-509101701.7855742,13158.194444471103,474560498.4,,480473935.41230977,451581885.6408611,63771773.81690829,,,51076401.600000024,1.1076288519002448,59.63941594746939,34.766056937517895,24.873359009951493,False,False,,,,,
2012-08-16,13163.24,13269.35,13145.85,557396997.0,13250.11,1884082321.0,0.4163862516790138,,383723827.408423,-125377874.37715119,13164.876852635645,490946738.1,,494459946.6100716,461659515.2941124,61655992.76588006,,,66450258.899999976,1.135351258584928,63.38613763863759,40.49007307774183,22.89606456089576,False,False,,,,,
