Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,0.02,0.03,0.02,584000,0.02,0.0,,,-584000.0,-584000.0,0.023333333333333338,,,584000.0,584000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,0.03,0.03,0.02,822200,0.02,0.0,,,-822200.0,-1406200.0,0.023333333333333334,,,627309.0909090908,606685.7142857143,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,0.03,0.03,0.03,767200,0.03,767200.0,,,,,0.025686635379282844,,,652743.8016528925,621972.7891156463,,,,,,0.0007977207977207974,0.0001595441595441595,0.0006381766381766379,False,False,,,,,
2012-09-07,0.02,0.03,0.02,651000,0.03,767200.0,,,651000.0,-755200.0,0.025912524193929098,,,652426.746806912,624737.2853903467,,,,,,0.0014136248894083651,0.0004103603055170006,0.0010032645838913645,False,False,,,,,
2012-09-06,0.02,0.02,0.02,469400,0.02,297800.0,,,,,0.025069929362236124,,,619149.1564783825,609943.2582103136,,,,,,0.001082340347119043,0.0005447563138374092,0.0005375840332816338,False,False,,,,,
2012-09-05,0.02,0.02,0.02,472500,0.02,297800.0,,,,,0.02443388294435742,,,592485.6734823129,596853.4240950457,,,,,,0.000810452567865369,0.0005978955646430012,0.00021255700322236784,False,False,,,,,
2012-09-04,0.02,0.02,0.02,451000,0.02,297800.0,,,,,0.023959721464760237,,,566761.0055764378,582962.6218002794,,,,,,0.0005881991502977822,0.0005959562817739574,-7.757131476175162e-06,False,True,,,,,
2012-08-31,0.02,0.02,0.02,813400,0.02,297800.0,,,,,0.02331948502859112,,,611604.4591079946,604909.0387716813,,,,,,0.0004073658556189297,0.0005582381965429519,-0.00015087234092402222,False,False,,,,,
2012-08-30,0.02,0.02,0.02,154600,0.02,297800.0,,,,,0.023220514402895368,,,528512.7392701773,562022.4636505687,,,,,,0.00026104500245892684,0.0004987995577261469,-0.00023775455526722008,False,False,,,,,
2012-08-29,0.02,0.02,0.02,173700,0.02,297800.0,,,,,0.02311612863096349,535900.0,,464001.33213014505,525039.371874324,240431.00188342325,,,-362200.0,0.32412763575293896,0.00014343128556765575,0.0004277259032944487,-0.00028429461772679293,False,False,,,,,
