Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,40.42,40.47,40.03,1513200,40.26,0.0,,,68781.81818180485,68781.81818180485,40.25333333333333,,,1513200.0,1513200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,40.25,40.5,40.0,1991400,40.23,-1991400.0,,,-159312.0000000249,-90530.18181822007,40.247651087142614,,,1600145.4545454546,1558742.8571428573,,,,,,-0.002393162393161674,-0.0004786324786323348,-0.0019145299145293393,False,False,,,,,
2012-09-10,40.29,40.5,40.05,2388800,40.07,-4380200.0,,,-2176462.2222221904,-2266992.40404041,40.23103867603307,,,1743537.1900826446,1637795.918367347,,,,,,-0.017004407431755908,-0.0037837874692570497,-0.013220619962498858,False,False,,,,,
2012-09-07,40.2,40.48,40.05,1741300,40.45,-2638900.0,,,1498327.9069767923,-768664.4970636179,40.2528492278675,,,1743130.4282494364,1647653.4499514091,,,,,,0.0020552086483434095,-0.002615988245736958,0.004671196894080368,True,False,,,,,
2012-09-06,39.56,40.54,39.0,1918600,40.34,-4557500.0,,,1420262.3376623478,651597.8405987299,40.194035987564504,,,1775033.9867495387,1673457.8832893702,,,,,,0.008189606333331767,-0.000454869329923213,0.008644475663254981,False,False,,,,,
2012-09-05,39.34,39.48,39.01,1697800,39.3,-6255300.0,,,397357.4468085096,1048955.2874072394,40.05359221172448,,,1760991.443704168,1675776.180118954,,,,,,-0.07006053344432672,-0.014376002152803916,-0.05568453129152281,False,True,,,,,
2012-09-04,39.6,39.91,39.07,1618400,39.36,-4636900.0,,,-500933.33333333174,548021.9540739077,39.97726847714881,,,1735065.7266670465,1670311.782012387,,,,,,-0.12578288758985678,-0.03665737924021449,-0.0891255083496423,False,False,,,,,
2012-08-31,39.5,39.78,39.17,1693300,39.74,-2943600.0,,,1471227.8688524636,2019249.8229263714,39.92913787183783,,,1727471.9581821288,1672501.1361064455,,,,,,-0.1376931891273543,-0.05686454121764245,-0.08082864790971184,False,False,,,,,
2012-08-30,39.46,39.69,39.14,1557600,39.39,-4501200.0,,,-141599.99999999267,1877649.8229263788,39.87865518225354,,,1696586.1476035598,1661558.1707629743,,,,,,-0.17337569672365305,-0.08016677231884457,-0.09320892440480848,False,False,,,,,
2012-08-29,39.01,39.6,39.01,1357800,39.52,-3143400.0,,,989583.0508474676,2867232.8737738463,39.83965803114737,1747820.0,,1634988.6662210943,1632628.8211665004,291540.85972447996,,,-390020.0,0.7768534517284389,-0.18898591553302424,-0.10193060096168051,-0.08705531457134373,False,False,,,,,
2012-08-28,39.54,39.76,39.42,1384900,39.25,-4528300.0,-0.08478720592122657,,-2769800.000000029,97432.87377381744,39.81300775941742,1734990.0,,1589517.9996354408,1609035.6001030242,305501.94562028203,,,-350090.0,0.7982178571634418,-0.22060091983627927,-0.12566466473660026,-0.09493625509967901,False,False,,,,,
