Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,58.02,58.12,57.34,2933300,57.39,0.0,,,-2557235.897435916,-2557235.897435916,57.61666666666667,,,2933300.0,2933300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,58.89,59.15,58.74,1856100,58.84,1856100.0,,,-950685.3658536382,-3507921.263289554,58.11788936679613,,,2737445.454545454,2830709.523809524,,,,,,0.11566951566951644,0.02313390313390329,0.09253561253561315,False,False,,,,,
2012-09-10,59.12,59.48,58.99,1139900,59.04,2996000.0,,,-907267.3469387862,-4415188.61022834,58.320156229796666,,,2446982.6446280987,2669680.045351474,,,,,,0.2209300249186228,0.0626931274908472,0.15823689742777558,False,False,,,,,
2012-09-07,59.43,59.5,59.02,2002700,59.25,4998700.0,,,-83445.83333334692,-4498634.443561687,58.556609766347286,,,2366203.9819684443,2606158.1362703815,,,,,,0.3176335005420867,0.11368120210109511,0.2039522984409916,False,False,,,,,
2012-09-06,58.55,59.4,58.55,1880700,59.36,6879400.0,,,1703692.9411764746,-2794941.5023852126,58.661394689195305,,,2277930.5307014543,2537066.885197012,,,,,,0.39855350565399306,0.1706556628116747,0.22789784284231834,False,False,,,,,
2012-09-05,58.12,58.34,57.89,1167200,58.19,5712200.0,,,389066.66666664206,-2405874.8357185703,58.60596869431113,,,2075979.5251193715,2406603.3723211065,,,,,,0.3640771164322274,0.20933995353578527,0.15473716289644213,False,False,,,,,
2012-09-04,57.86,58.23,57.43,1778300,58.1,3933900.0,,,1200352.5000000182,-1205522.335718552,58.510355039634646,,,2021855.9750976674,2346764.9559095725,,,,,,0.3257371862279044,0.23261940007420912,0.09311778615369526,False,False,,,,,
2012-08-31,58.38,58.45,57.84,1997300,58.08,1936600.0,,,-425654.0983606877,-1631176.4340792398,58.457967898975525,,,2017391.252352637,2313482.57915628,,,,,,0.29039123309087245,0.2441737666775418,0.04621746641333066,False,False,,,,,
2012-08-30,58.15,58.28,57.88,1383900,57.93,552700.0,,,-1037925.0000000184,-2669101.4340792582,58.42127107162183,,,1902211.0246521574,2224950.90495092,,,,,,0.24742342099671077,0.2448236975413756,0.0025997234553351845,False,False,,,,,
2012-08-29,58.32,58.5,58.05,843300,58.38,1396000.0,,,393540.0000000124,-2275561.4340792457,58.41574574910546,1698270.0,,1709681.7474426741,2093365.1044794037,595875.2741416054,,,-854970.0,0.4965641505767634,0.24683697652412206,0.24522635333792492,0.0016106231861971465,False,False,,,,,
2012-08-28,58.28,58.59,58.12,1341800,58.39,2737800.0,-0.542562983670269,,199842.55319148765,-2075718.880887758,58.41215196412818,1539120.0,,1642794.1569985515,2021787.4754813653,414204.8092429638,,,-197320.0,0.871796870939238,0.24436227528178733,0.2450535377266974,-0.000691262444910079,False,True,,,,,
2012-08-27,58.5,58.79,58.37,1055600,58.51,3793400.0,-0.43128064220677764,,-351866.6666666666,-2427585.5475544245,58.42002342609171,1459070.0,,1536031.5829988148,1929769.6206736162,423389.2169151217,,,-403470.0,0.7234745420027826,0.24921130108586453,0.24588509039853085,0.003326210687333686,True,False,,,,,
2012-08-24,57.95,58.49,57.8,1739700,58.42,2053700.0,0.5261865075883849,,1386717.3913043488,-1040868.1562500757,58.40491979090711,1519050.0,,1573062.2042717575,1911667.7520380337,415563.0136734179,,,220650.0,1.1452552582205984,0.24299089337013413,0.24530625099285153,-0.0023153576227173955,False,True,,,,,
2012-08-23,57.91,58.12,57.6,1074600,57.97,979100.0,-0.4634243770909272,,454638.46153846267,-586229.694711613,58.38031138485384,1426240.0,,1482432.7125859833,1831947.013748697,398847.6573552586,,,-351640.0,0.7534496297958267,0.19945079167410285,0.2361351591291018,-0.03668436745499895,False,False,,,,,56.415929186065846
2012-08-22,58.01,58.39,57.76,1400300,58.08,2379400.0,-0.2554368054447812,,22226.984126979612,-564002.7105846334,58.362290655669845,1378200.0,,1467499.4921158045,1790837.7743440594,365570.43097055866,,,22100.0,1.0160354085038457,0.1718401616652585,0.22327615963633313,-0.05143599797107462,False,False,,,,,57.45140387031705
2012-08-21,58.28,58.56,58.01,1442500,58.17,3821900.0,0.23586360520904726,,-603227.2727272599,-1167229.9833118934,58.35562906395284,1405730.0,,1462954.1299129308,1757662.7482160537,358206.97632638155,,,36770.0,1.0261572279171676,0.15542909642567793,0.2097067469942021,-0.05427765056852418,False,False,,,,,39.755351664936505
