Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,11.48,11.54,11.23,9175300,11.26,0.0,,,-7399435.483870998,-7399435.483870998,11.343333333333332,,,9175300.0,9175300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,11.45,11.53,11.41,4635300,11.5,4635300.0,,,2317650.0000000345,-5081785.483870964,11.389203244850572,,,8349845.454545454,8742919.047619049,,,,,,0.0191452991453005,0.0038290598290600998,0.015316239316240399,False,False,,,,,
2012-09-10,11.41,11.51,11.36,7676800,11.46,-3041500.0,,,2558933.3333334546,-2522852.150537509,11.40854229300272,,,8227473.553719007,8641383.900226759,,,,,,0.03073611415491939,0.009210470694231958,0.021525643460687433,False,False,,,,,
2012-09-07,11.39,11.46,11.29,6796400,11.39,-9837900.0,,,1199364.7058823863,-1323487.4446551227,11.40168377893588,,,7967278.362133733,8465671.147824211,,,,,,0.033882922334479204,0.014144961022281407,0.019737961312197797,False,False,,,,,
2012-09-06,11.36,11.43,11.17,8654500,11.37,-18492400.0,,,4660115.384615348,3336627.939960225,11.383326574314463,,,8092227.750836691,8483654.848031428,,,,,,0.03436679857391134,0.018189328532607393,0.016177470041303946,False,False,,,,,
2012-09-05,11.29,11.35,11.11,6631200,11.29,-25123600.0,,,3315599.9999999753,6652227.9399602,11.363034508084782,,,7826586.341593656,8307230.576790339,,,,,,0.02797249307974603,0.02014596144203512,0.00782653163771091,False,False,,,,,
2012-09-04,11.36,11.43,11.25,5721100,11.29,-25123600.0,,,-3178388.8888889393,3473839.051071261,11.358426441011739,,,7443770.643122082,8060932.4266198315,,,,,,0.022643934723010517,0.0206455560982302,0.0019983786247803163,False,False,,,,,
2012-08-31,11.44,11.49,11.32,3819300,11.39,-21304300.0,,,-673994.1176470448,2799844.933424216,11.361416126434682,,,6784775.980736248,7656967.433608419,,,,,,0.026188295728724498,0.021754104024329063,0.004434191704395435,False,False,,,,,
2012-08-30,11.48,11.5,11.37,2436200,11.39,-21304300.0,,,-1686599.999999954,1113244.9334242623,11.36398556034237,,,5994125.802420566,7159751.487550475,,,,,,0.028666774628032243,0.0231366381450697,0.005530136482962543,False,False,,,,,
2012-08-29,11.45,11.57,11.44,4616300,11.52,-16688000.0,,,1065299.999999971,2178544.9334242335,11.375189343066987,6016240.0,,5743612.020162281,6917518.012545668,2167474.9139647884,,,-1399940.0,0.7673064904325625,0.04065228630551587,0.026639767777158936,0.014012518528356936,False,False,,,,,
