Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,72.03,72.07,71.44,1358700,71.95,0.0,,,841100.0000000378,841100.0000000378,71.82,,,1358700.0,1358700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,71.36,71.89,71.32,1282900,71.74,-1282900.0,,,607689.4736841937,1448789.4736842315,71.73743905208964,,,1344918.1818181816,1351480.9523809524,,,,,,-0.01675213675213172,-0.0033504273504263438,-0.013401709401705375,False,False,,,,,
2012-09-10,71.91,72.11,71.29,1832500,71.4,-3115400.0,,,-1340853.658536584,107935.81514764763,71.6811468228247,,,1433569.421487603,1397292.2902494331,,,,,,-0.05680862980008783,-0.014042067840358642,-0.04276656195972919,False,False,,,,,
2012-09-07,71.9,72.32,71.59,2022100,71.92,-1093300.0,,,-193899.99999998382,-85964.18485233618,71.76275874100756,,,1540574.9812171296,1456797.786416154,,,,,,-0.04606304880005041,-0.020446264032296997,-0.025616784767753413,False,False,,,,,
2012-09-06,71.17,71.78,71.06,2100600,71.64,-3193900.0,,,1283699.9999999953,1197735.8151476593,71.6969255226751,,,1642397.7119049241,1518112.2829479487,,,,,,-0.05945539361427166,-0.02824808994869193,-0.031207303665579725,False,False,,,,,
2012-09-05,70.91,71.02,70.3,1717700,70.94,-4911600.0,,,1335988.8888888964,2533724.7040365557,71.53978670803238,,,1656089.0370131196,1537120.636952906,,,,,,-0.1251108729574213,-0.04762064655043781,-0.07749022640698348,False,False,,,,,
2012-09-04,70.48,70.92,69.84,1517200,70.78,-6428800.0,,,1123851.8518518496,3657576.555888405,71.40816276049371,,,1630836.484828916,1535223.4334335816,,,,,,-0.18788811890483714,-0.07567414102131768,-0.11221397788351946,False,False,,,,,
2012-08-31,70.27,70.52,69.52,1956800,70.4,-8385600.0,,,1487168.0000000377,5144744.555888442,71.22913708283474,,,1690102.5784963856,1575373.5826303835,,,,,,-0.265244786027111,-0.11358827002247635,-0.15165651600463464,False,False,,,,,
2012-08-30,69.37,70.2,69.32,1386400,70.12,-9772000.0,,,1134327.2727272809,6279071.828615723,71.10587803983333,,,1634883.927860679,1557376.0985703468,,,,,,-0.34516531113969506,-0.1599036782459201,-0.18526163289377495,False,False,,,,,
2012-08-29,69.33,70.02,69.31,1222200,69.75,-10994200.0,,,292639.4366197238,6571711.265235447,71.0005903889509,1639710.0,,1559850.4864314648,1525454.565373171,326973.91146355664,,,-417510.0,0.7453757066798398,-0.4333632688644826,-0.2145955963696326,-0.21876767249485002,False,False,,,,,
2012-08-28,69.24,69.96,69.1,1881100,69.49,-12875300.0,0.38448516964745716,,-174986.0465116243,6396725.218723823,70.84787245644175,1691950.0,,1618259.4888984712,1559325.5591471544,318716.13719909306,,,189150.0,1.1117940837495197,-0.5182663608840272,-0.2753297492725115,-0.2429366116115157,False,False,,,,,
2012-08-27,69.5,69.66,69.04,2470500,69.5,-10404800.0,0.9257151765531217,,1195403.2258064589,7592128.444530282,70.67547761225202,1810710.0,,1773212.309098749,1646104.077323616,366969.3612702716,,,659790.0,1.3643819275311895,-0.5780819872710339,-0.335880196872216,-0.2422017903988179,False,False,,,,,
2012-08-24,69.0,69.72,68.87,3588500,69.44,-13993300.0,0.9582537517053207,,1224311.7647058568,8816440.20923614,70.47905404072779,1986310.0,,2103264.61653534,1831094.1651975573,671954.6519917347,,,1602190.0,1.8066162884947465,-0.6231445778902582,-0.3933330730758245,-0.22981150481443374,False,False,,,,,
2012-08-23,69.76,69.78,69.19,2048400,69.21,-16041700.0,0.013006280599376918,,-1909525.4237288418,6906914.785507297,70.39476600873205,1988940.0,,2093289.2317107324,1851789.958988266,672161.7335135941,,,59460.0,1.0298953211258257,-0.6696962420176789,-0.4486057068641954,-0.22109053515348348,False,False,,,,,13.947368415914113
2012-08-22,70.04,70.44,69.78,1976800,69.87,-14064900.0,-0.0589355422260307,,-1437672.727272704,5469242.058234593,70.3693425803176,1976560.0,,2072109.3713996902,1863695.67717986,671015.759377776,,,240.0,1.0001214230784798,-0.6458869048865381,-0.48806194646866397,-0.15782495841787414,False,False,,,,,26.68161434140052
2012-08-21,71.44,71.72,70.03,2397400,70.17,-11667500.0,0.3957035570821448,,-2000197.6331360927,3469044.4250985,70.39043745407969,2044530.0,,2131253.122054292,1914524.6603055876,676285.4378473962,,,352870.0,1.1725922339119503,-0.5959407073634253,-0.5096376986476162,-0.08630300871580909,False,False,,,,,32.747252737176794
2012-08-20,71.21,71.31,70.39,1499900,71.31,-10167600.0,-0.01140258370682834,,1499900.0,4968944.4250985,70.41893376772465,2042800.0,,2016461.645317148,1875036.597419341,677804.7014688916,,,-542900.0,0.7342373213236734,-0.45907755309472975,-0.4995256695370389,0.04044811644230917,True,False,,,,,49.15887849180886
2012-08-17,71.36,71.36,70.79,1883500,71.22,-12051100.0,-0.037459116925592784,,958271.9298245466,5927216.354923047,70.45779177112867,2035470.0,,1992286.80071403,1875842.6357603562,679232.9105526158,,,-151970.0,0.9253391108687429,-0.35379642022786584,-0.47037981967520437,0.11658339944733853,False,False,,,,,42.88617884958524
2012-08-16,71.09,71.19,70.47,1827900,71.05,-13879000.0,0.31845066358915175,,1117049.999999996,7044266.354923043,70.48043231927855,2079620.0,,1962398.291493297,1871276.6704498462,645885.8977318587,,,-251720.0,0.8789586559082909,-0.280840587694243,-0.4324719732790121,0.15163138558476907,False,False,,,,,43.86694385417594
2012-08-15,71.4,71.95,71.12,1353500,71.2,-12525500.0,0.10742922598592708,,-1092584.3373494027,5951682.017573641,70.51462468898976,2092750.0,1866230.0,1851689.5112217886,1821964.60659748,627594.5758741599,539654.2861187297,-0.950108269662096,-739250.0,0.6467566598972644,-0.208515185137216,-0.3876806156506529,0.17916543051343692,False,False,70.655,72.46462921471135,68.84537078528865,0.6505833337485474,53.051643175053485
2012-08-14,71.26,71.56,71.03,1503400,71.38,-11022100.0,-0.20078677369624154,0.10649885920365065,482222.6415093975,6433904.659083039,70.54593746780675,2054980.0,1873465.0,1788364.1455450996,1791625.1202548628,652614.1054763271,533425.8802899967,-0.6937514913952325,-551580.0,0.7315886285997917,-0.13511476791859423,-0.3371674461042412,0.20205267818564698,False,False,70.6265,72.36688441004762,68.88611558995237,0.7164751636620852,57.009345775744485
2012-08-13,70.45,71.55,70.41,2304500,71.21,-13326600.0,-0.06719287593604528,0.7963208356068283,929885.9649122676,7363790.623995306,70.57455171296016,2038380.0,1924545.0,1882207.0281732632,1840470.3468972568,642909.5578349691,522703.55136086774,0.7269034216637338,266120.0,1.13055465614851,-0.0896288026570744,-0.28765971741480784,0.19803091475773343,False,False,70.6,72.28423026304223,68.91576973695776,0.6810916278449218,59.950859930237804
2012-08-10,70.3,70.64,69.91,1589600,70.51,-14916200.0,-0.5570293994705309,-0.13255115961800823,1023441.0958904339,8387231.7198857395,70.56632063966894,1838490.0,1912400.0,1829005.750323579,1816577.9329070419,352603.908877306,527752.2794086755,-0.6116506031232759,-248890.0,0.864622597892836,-0.1088106953706216,-0.2518899130059706,0.14307921763534898,False,False,70.55550000000001,72.19722534403996,68.91377465596005,0.4861426272777035,54.34298439285517
2012-08-09,70.07,70.44,69.84,2312500,70.28,-17228700.0,0.12892989650458886,0.14361307551555313,1079166.6666666814,9466398.386552421,70.54682563332786,1864900.0,1926920.0,1916913.7957192918,1863808.605963514,378977.28457286477,534876.0905205302,0.7208772402310255,447600.0,1.240012869322752,-0.1409468142160364,-0.22970129324798375,0.08875447903194736,False,False,70.4735,71.98709140700797,68.95990859299204,0.43607918256403594,56.09195400493591
2012-08-08,70.62,70.79,69.96,2784200,70.04,-20012900.0,0.40843787940105214,0.3254308292868704,-2247486.746987876,7218911.639564546,70.53031958839063,1945640.0,1961100.0,2074602.1964976024,1951464.9292050842,478425.12986766157,567411.2506537223,1.4506233336961423,838560.0,1.4309944285684917,-0.18366375275057578,-0.22049378514850215,0.03683003239792637,False,False,70.39349999999999,71.81374868096731,68.97325131903267,0.3755499636305887,56.35103924275035
2012-08-07,71.64,71.99,70.25,4340600,70.52,-15672300.0,0.8105447568198882,1.5269837573499445,-2993517.2413793267,4225394.39818522,70.5627480057925,2139960.0,2092245.0,2486601.7971344017,2179001.602614124,895306.2247075019,773779.2249221047,2.905680234858126,2200640.0,2.028355670199443,-0.17674780712664528,-0.21174458954413078,0.034996782417485495,False,False,70.3725,71.77097849653225,68.97402150346775,0.5527358841647346,60.62499998231767
2012-08-06,73.36,73.36,72.46,1568500,72.5,-14103800.0,0.04573638242549505,0.03381228578961237,-1429077.7777777568,2796316.620407463,70.62728250437235,2146820.0,2094810.0,2319674.1976554194,2120858.59284135,890104.7538851193,771855.3170258355,-0.681876497305237,-578320.0,0.7306155150408511,-0.011366393237494776,-0.1716689502828036,0.16030255704530882,False,False,70.4585,72.1444827682206,68.7725172317794,1.105433234099604,72.7678571276972
2012-08-03,72.76,73.41,72.66,2613000,73.07,-11490800.0,0.3873108574462436,0.33534341782502053,243879.99999997622,3040196.6204074393,70.73948963659912,2219770.0,2127620.0,2373006.16171807,2167729.2030469356,896000.2232762618,779588.1561845065,0.6226107928262629,393230.0,1.1771489839037377,0.16380555659858942,-0.10457404890652501,0.2683796055051144,False,False,70.592,72.64201258019246,68.54198741980754,1.1043865349761308,77.33711046625048
2012-08-02,71.44,72.21,71.05,2667200,72.19,-14158000.0,0.45916078560096296,0.9238315060588576,2575227.586206915,5615424.206614355,70.78817865682848,2303700.0,2191660.0,2426495.950496603,2215297.850375799,894522.6324694082,768015.6669180515,0.6191800772870703,363500.0,1.1577896427486218,0.2289823770502437,-0.03786276371517126,0.266845140765415,False,False,70.6955,72.85145600970647,68.53954399029352,0.8465979809586827,65.93406592138632
2012-08-01,70.86,75.62,70.0,9242300,71.56,-23400300.0,5.82844477281123,6.56201930944199,-4111343.416370103,1504080.7902442515,71.00554472452421,3092580.0,2592665.0,3665733.0504063116,2884536.1503400085,2314675.6440878133,1728441.4145256325,3.8471856460492067,6149720.0,2.988540312619237,0.22718094148331147,0.015145977324525283,0.2120349641587862,False,False,70.78599999999999,72.9267465495648,68.64525345043518,0.6807780561779629,59.13272009424631
2012-07-31,72.1,72.81,71.88,3952900,72.31,-19447400.0,1.6293069043501398,1.1013768539684228,-297530.1075268506,1206550.6827174008,71.07823690883934,3337530.0,2696255.0,3717945.223059709,2986285.0884028645,2256697.745748568,1745550.4559262134,0.7199133062774783,615370.0,1.1843788670064388,0.2830096635720736,0.06871871457403494,0.21429094899803863,False,False,70.92699999999999,73.07977642029762,68.77422357970237,0.8212131057736145,56.92520774519459
2012-07-30,72.37,72.93,72.0,1914900,72.11,-21362300.0,-0.16906053373833807,-0.22489374620522162,-1461912.9032258121,-255362.2205084113,71.11100775518024,3298570.0,2668475.0,3390118.8188670343,2884248.4133168776,2279758.9726645323,1753734.3199959279,-0.4296973557555456,-1383670.0,0.5805242877974395,0.3075705180453525,0.11648907526829846,0.19108144277705405,False,False,71.05749999999999,73.1619401680857,68.95305983191427,0.7500665060383744,56.07094132626206
2012-07-27,71.36,72.55,71.36,2620400,72.33,-18741900.0,0.6484650226472068,-0.26977845896614183,1651512.6050420199,1396150.3845336086,71.14409602208015,3401650.0,2620070.0,3250169.9427093915,2859119.9930009847,2216323.030632293,1740313.0626110744,0.00018962105559610368,-781250.0,0.7703320447429923,0.3408581331677709,0.16136288684819294,0.17949524631957797,False,False,71.202,73.23444835501164,69.16955164498836,0.7774978260132817,58.672086709737044
2012-07-26,70.15,71.48,70.15,3141800,71.03,-21883700.0,0.3586162162162163,0.5337824643624292,1015769.924812014,2411920.3093456225,71.1339709907979,3484580.0,2674740.0,3230466.3167622294,2886041.898429462,2186353.901310988,1738582.6197463875,0.26864412119116404,-342780.0,0.9016294646700607,0.2593500466321501,0.18096031880498437,0.07838972782716574,False,False,71.293,73.10043610209544,69.48556389790457,0.4272450075288697,49.00351699078487
2012-07-25,69.48,69.76,68.81,2504400,69.26,-24388100.0,-0.10049565404784144,0.2668959935248887,-131810.5263157816,2280109.783029841,71.07751114687822,3456600.0,2701120.0,3098454.2591690966,2849695.05095999,2198071.9409923274,1731423.1805382716,-0.11361751547004409,-952200.0,0.7245269918416941,0.051338297390472576,0.155035914522082,-0.10369761713160944,False,True,71.2625,73.18778740164876,69.33721259835124,-0.02005222656241234,39.52569169413677
2012-07-24,69.44,69.56,68.65,2849400,69.14,-27237500.0,-0.3435469750725706,0.18853758238091256,219184.61538459483,2499294.398414436,71.01195963983159,3307480.0,2723720.0,3053171.666592897,2849666.9508685623,2181960.1385502494,1730199.6278494939,0.07263901689553051,-458080.0,0.8615018080230266,-0.12179157221356718,0.09967041717495218,-0.22146198938851935,False,False,71.211,73.30687966709624,69.11512033290376,0.005935375844051498,39.72194636984998
2012-07-23,70.34,70.53,69.71,2189000,69.94,-25048500.0,0.3956008925725216,0.45943062870858054,-961024.3902438922,1538270.0081705437,70.9881234081266,3369530.0,2758175.0,2896049.5453941883,2786746.28888108,2135337.456052842,1711304.080111207,-0.33259723190925417,-1180530.0,0.6496454995207047,-0.19222903048211037,0.04129052764353967,-0.23351955812565006,False,False,71.1425,73.31298017971287,68.97201982028713,0.22298756486247232,47.19764011149684
2012-07-20,70.3,71.1,70.2,2668900,70.92,-22379600.0,0.021393034825870627,0.4169896469338996,1601340.0000000338,3139610.0081705777,70.98077296825508,3375120.0,2797445.0,2854749.6280497904,2775522.832797168,2133209.0259616952,1699144.4046544195,-0.07565278127502302,-706220.0,0.790757069378274,-0.16704779088644273,-0.00037713606245680376,-0.1666706548239859,False,False,71.12750000000001,73.29987076412895,68.95512923587107,0.45224111753243657,52.930402923616995
2012-07-19,70.01,70.75,69.68,2912200,70.52,-25291800.0,0.09185662867426525,0.5931943760599596,1660226.1682242695,4799836.176394847,70.95997811929126,3399620.0,2851660.0,2865195.1502225557,2788539.7058641044,2125568.3798300475,1683810.0331656996,0.03595417464414313,-487420.0,0.8566251522228955,-0.17732405284554886,-0.035766519419075216,-0.14155753342647365,False,False,71.101,73.29021663470847,68.91178336529153,0.3673041327229427,52.166064975358026
2012-07-18,72.3,72.36,69.46,6416800,70.1,-31708600.0,-0.30571394566287613,3.740893978574067,-3584557.241379313,1215278.935015534,70.93932620942637,3117070.0,3104825.0,3510941.486545727,3134088.305305618,1283679.1300788526,1821696.6905882002,1.8180715906831943,3299730.0,2.0585999031141426,-0.21685874181243037,-0.07198496389774625,-0.14487377791468412,False,False,71.046,73.2795659475613,68.81243405243872,0.2882310121550476,48.094373859588735
2012-07-17,72.65,73.04,72.19,2019600,73.03,-29689000.0,-0.4890839636722406,0.3433550618597845,1972079.9999999763,3187358.9350155103,70.9754415831121,2923740.0,3130635.0,3239788.4889919586,3027946.561943178,1289381.9666801612,1801356.5935515321,-0.6167768247426776,-904140.0,0.6907590962260666,-0.011629694800006973,-0.0599139100781984,0.04828421527819143,True,False,71.1285,73.5296161878111,68.7273838121889,0.8959616801662232,52.21386799723481
