Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-08-22,61.63,62.04,61.47,219700,61.85,0.0,,,73233.33333333516,73233.33333333516,61.78666666666666,,,219700.0,219700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-08-21,62.02,62.27,61.31,168700,61.68,-168700.0,,,-38660.41666666768,34572.91666666748,61.77218846549948,,,210427.2727272727,214842.85714285713,,,,,,-0.013561253561263698,-0.0027122507122527397,-0.010849002849010959,False,False,,,,,
2012-08-20,62.08,62.27,61.07,183800,62.0,15100.0,,,101089.99999999923,135662.91666666672,61.77469765816148,,,205585.95041322312,211886.3945578231,,,,,,0.0014954424071120798,-0.001870712088379776,0.0033661544954918556,True,False,,,,,
2012-08-17,62.6,62.61,61.4,306200,62.17,321300.0,,,83509.0909090922,219172.0075757589,61.87415072859745,,,223879.41397445527,220868.6426951733,,,,,,0.0268362105600346,0.0038706724413030994,0.0229655381187315,False,False,,,,,
2012-08-16,61.89,62.35,61.56,332400,62.0,-11100.0,,,37868.35443037823,257040.36200613715,61.90046415592997,,,243610.4296154634,231490.6767242044,,,,,,0.03282300941990002,0.009661139837022483,0.023161869582877533,False,False,,,,,
2012-08-15,61.92,62.11,61.48,167800,61.98,-178900.0,,,98549.20634920527,355589.56835534243,61.89513322694521,,,229826.71513992458,225424.89798856585,,,,,,0.03554402836230253,0.014837717542078493,0.020706310820224033,False,False,,,,,
2012-08-14,61.7,61.82,61.0,220600,61.71,-399500.0,,,161414.6341463418,517004.2025016842,61.84200641987661,,,228149.1305690292,224965.38389441674,,,,,,0.015732359119326134,0.015016645857528023,0.0007157132617981107,False,False,,,,,
2012-08-13,61.83,62.28,60.88,105400,61.48,-504900.0,,,-15057.142857143623,501947.0596445406,61.82374476905628,,,205831.10682920567,213578.20447590086,,,,,,-0.018316468454173673,0.008350022995187684,-0.026666491449361358,False,True,,,,,
2012-08-10,91.0,92.26,90.66,135900,92.17,-369000.0,,,120611.24999999949,622558.3096445401,64.02952042017569,,,193116.36013298645,206180.28024010075,,,,,,2.4034209625746144,0.487364210911073,1.9160567516635414,True,False,,,,,
2012-08-09,92.0,92.23,91.21,225200,91.56,-594200.0,,,-70650.98039215466,551907.3292523854,67.04248713107745,206570.0,,198949.7491997162,207991.68212199592,70837.04382438454,,,18630.0,1.0901873456939537,4.2247432123826485,1.2348400112053883,2.98990320117726,False,False,,,,,
2012-08-08,93.4,93.4,91.79,138500,92.21,-455700.0,-0.3695949021392808,,-66239.13043478473,485668.19881760067,68.64000499047275,198450.0,,187958.8857088587,201373.42668180584,73758.43831198043,,,-59950.0,0.6979087931468884,5.655411719071182,2.1189543527785473,3.536457366292635,False,False,,,,,
2012-08-07,93.51,93.74,92.91,140300,93.19,-315400.0,-0.1683461766449318,,-45639.759036144,440028.43978145666,70.1145161015142,195610.0,,179293.63376179346,195556.90985496718,75556.06380548008,,,-55310.0,0.7172434947088595,6.790033350020067,3.0531701522268513,3.736863197793216,False,False,,,,,
2012-08-06,95.17,95.37,92.86,150400,93.07,-465800.0,-0.18171926006528838,,-125233.46613545898,314794.9736459977,71.54033815650595,192270.0,,174040.24580510374,191256.25177354174,76863.06799902162,,,-41870.0,0.7822333177302752,7.592029974267561,3.9609421166349934,3.6310878576325676,False,False,,,,,
