Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,24.44,24.66,23.42,7810500,24.05,0.0,,,125975.80645161038,125975.80645161038,24.043333333333333,,,7810500.0,7810500.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,23.95,24.7,23.85,7374500,24.34,7374500.0,,,1127864.7058823472,1253840.5123339575,24.16636307759851,,,7731227.2727272725,7768976.19047619,,,,,,0.02313390313390684,0.004626780626781369,0.018507122507125474,False,False,,,,,
2012-09-10,23.74,24.8,23.57,9954000,23.7,-2579500.0,,,-7849902.439024407,-6596061.92669045,24.109729238765798,,,8135367.768595041,7977073.696145125,,,,,,-0.010059009261286889,0.0016896226491677174,-0.011748631910454607,False,True,,,,,
2012-09-07,21.82,23.84,21.82,13394000,23.71,10814500.0,,,11670019.80198021,5073957.8752897605,23.766859834427635,,,9091482.71975958,8492971.4393694,,,,,,-0.03515249892405592,-0.00567880166547701,-0.02947369725857891,False,False,,,,,
2012-09-06,21.35,21.79,20.93,7358400,21.4,3456100.0,,,684502.3255813812,5758460.200871142,23.383072776162855,,,8776376.770712383,8384917.016572313,,,,,,-0.2386855463929045,-0.052280150610962514,-0.18640539578194198,False,False,,,,,
2012-09-05,20.35,21.31,20.16,8793800,21.2,-5337700.0,,,7111507.8260869635,12869968.026958104,22.982167533445978,,,8779544.630582858,8423858.253089236,,,,,,-0.4113831129694354,-0.1241007430826571,-0.2872823698867783,False,False,,,,,
2012-09-04,21.3,21.32,20.46,9467300,20.9,-14805000.0,,,220169.7674418168,13090137.79439992,22.673907995271684,,,8904591.061385974,8523233.657556929,,,,,,-0.5659309715354404,-0.2124667887732138,-0.3534641827622266,False,False,,,,,
2012-08-31,22.08,22.27,21.44,12601000,21.63,-2204000.0,,,-6831867.469879575,6258270.324520346,22.527150718425435,,,9576665.413861252,8911592.356837222,,,,,,-0.6223325020753521,-0.29443993143364144,-0.3278925706417106,False,False,,,,,
2012-08-30,22.03,22.03,21.6,5969900,21.8,3765900.0,,,-416504.6511628068,5841765.673357539,22.475396099128744,,,8920889.884068297,8631431.179995582,,,,,,-0.645868373557331,-0.36472561985837937,-0.2811427536989516,False,False,,,,,
2012-08-29,22.21,22.34,21.51,6616600,22.26,10382500.0,,,5341110.843373518,11182876.516731057,22.442903406462207,8934000.0,,8501928.08696497,8439542.496186478,2472425.560277015,,,-2317400.0,0.740608909782852,-0.6202526788659206,-0.41583103165988766,-0.20442164720603295,False,False,,,,,
2012-08-28,22.68,22.87,22.18,6463800,22.36,16846300.0,-0.1724217399654312,,-3091382.608695664,8091493.908035394,22.444731590326622,8799330.0,,8131359.34388043,8251376.544168718,2574970.745486463,,,-2335530.0,0.7345786554203558,-0.5851377878243191,-0.44969238289277397,-0.13544540493154517,False,False,,,,,
2012-08-27,23.4,23.49,22.68,4797700,22.8,21644000.0,-0.34942029968133437,,-3376159.2592592454,4715334.648776148,22.470735519185435,8541650.0,,7525239.463174896,7922454.968533603,2847868.235189262,,,-3743950.0,0.5616830471864336,-0.5158581690558357,-0.46292554012538634,-0.052932628930449366,False,False,,,,,
2012-08-24,22.88,23.5,22.52,6313500,23.37,27957500.0,-0.36573236889692584,,4638489.795918381,9353824.44469453,22.50966613041513,8177600.0,,7304923.1971430965,7769221.162006593,2879771.928469336,,,-1864100.0,0.7720480336529055,-0.4102304544189259,-0.45238652298409426,0.04215606856516835,True,False,,,,,
2012-08-23,23.79,23.96,22.86,5646600,22.93,22310900.0,-0.5784231745557713,,-4927941.8181818165,4425882.626512714,22.546804632604132,7402860.0,,7003409.888571625,7567066.765625013,2305324.4795472934,,,-1756260.0,0.76275925790843,-0.35789842210317957,-0.4334889028079113,0.07559048070473173,False,False,,,,,41.591591582848615
2012-08-22,23.71,24.17,23.4,6328500,23.88,28639400.0,-0.13996249184605347,,1561577.9220778972,5987460.548590611,22.614399174812146,7299870.0,,6880698.99974042,7449108.026041678,2330400.345219679,,,-971370.0,0.8669332467564491,-0.23703545180334373,-0.39419821260699783,0.1571627608036541,False,False,,,,,48.88304861124358
2012-08-21,23.42,24.55,23.21,11327200,23.79,17312200.0,0.28808933566831185,,-1521564.1791045053,4465896.369486106,22.72188026731727,7553210.0,,7689153.727060343,7818450.118799614,2629377.6291273865,,,3773990.0,1.4996537895808537,-0.14682046992394504,-0.3447226640703873,0.19790219414644228,False,False,,,,,46.28879891163235
2012-08-20,22.28,22.99,22.21,4933100,22.94,12379100.0,-0.4789327474570363,,4300651.282051316,8766547.651537422,22.721568297245142,7099790.0,,7188053.049413008,7543654.869390126,2653466.9013491683,,,-2166690.0,0.6948233680151104,-0.14227231637257987,-0.3042325945308258,0.16196027815824593,False,False,,,,,45.013123351309936
2012-08-17,22.5,22.63,22.21,4620500,22.3,7758600.0,-0.6333227521625268,,-2640285.7142857085,6126261.937251713,22.710276845895677,6301740.0,,6721225.222247006,7265259.167543448,1911448.223032299,,,-1681240.0,0.7332101927404178,-0.18814174232096192,-0.281014424088853,0.0928726817678911,False,False,,,,,41.454545447510746
2012-08-16,21.83,22.55,21.62,6926200,22.37,14684800.0,0.16018693780465343,,4245090.322580649,10371352.259832362,22.68524019902234,6397370.0,,6758493.363656641,7232967.818253595,1916915.6453068617,,,528830.0,1.0826636570965882,-0.21635121572985838,-0.2680817824170541,0.05173056668719572,False,False,,,,,58.06988351392717
