Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,56.0,57.73,55.95,3508500,57.2,0.0,,,1419168.5393258592,1419168.5393258592,56.96,,,3508500.0,3508500.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,55.76,56.28,55.66,2020300,55.91,-2020300.0,,,-391025.80645162484,1028142.7328742343,56.59093202864998,,,3237918.1818181816,3366766.6666666665,,,,,,-0.10290598290599462,-0.020581196581198925,-0.0823247863247957,False,False,,,,,
2012-09-07,54.87,56.1,54.87,2507400,56.02,487100.0,,,2181234.1463414715,3209376.8792157057,56.3015090465643,,,3105096.694214876,3284922.222222222,,,,,,-0.17358268195876292,-0.05118149365671173,-0.12240118830205118,False,False,,,,,
2012-09-06,55.0,55.83,54.48,3243300,54.78,-2756200.0,,,-1801833.3333333144,1407543.5458823913,55.935900172880004,,,3130224.567993989,3280958.2010582006,,,,,,-0.3258953928182464,-0.10612427348901866,-0.21977111932922777,False,False,,,,,
2012-09-05,54.85,55.34,54.07,2044800,54.28,-4801000.0,,,-1368566.9291338571,38976.61674853414,55.72526061406603,,,2932874.6465405365,3163228.8485764675,,,,,,-0.4814008455677694,-0.18117958790476882,-0.30022125766300056,False,False,,,,,
2012-09-04,54.76,55.0,53.67,2528800,54.82,-2272200.0,,,1844312.7819548876,1883289.3987034217,55.529282012140634,,,2859406.5289877118,3102807.0534739466,,,,,,-0.5546726293963928,-0.2558781962030936,-0.29879443319329924,False,False,,,,,
2012-08-31,53.87,54.91,53.44,3437700,54.71,-5709900.0,,,2502271.4285714477,4385560.827274869,55.31972311499091,,,2964550.7964444915,3134701.619809761,,,,,,-0.6145331708074693,-0.32760919112396875,-0.28692397968350053,False,False,,,,,
2012-08-30,53.88,53.94,52.9,3348700,53.23,-9058600.0,,,-1223563.4615384708,3161997.3657363984,55.02935949704425,,,3034396.1061818562,3155082.4179231175,,,,,,-0.7724919064337215,-0.4165857341859193,-0.35590617224780213,False,False,,,,,
2012-08-29,54.54,55.0,54.13,1877300,54.2,-7181300.0,,,-1575205.7471264347,1586791.6186099637,54.98448631142727,,,2824014.9959669732,3033388.854311392,,,,,,-0.8100665066373836,-0.4952818886762122,-0.31478461796117135,False,False,,,,,
2012-08-28,54.32,54.84,53.91,2583500,54.62,-4597800.0,,,1361198.9247311587,2947990.5433411226,54.93416871153948,2710030.0,,2780284.996700251,2990542.2967579262,629015.5430865318,,,-126530.0,0.9533104799577864,-0.7967694953252931,-0.5555794100060284,-0.24119008531926467,False,False,,,,,
2012-08-27,53.84,54.78,53.53,1888200,54.27,-6486000.0,-0.4618212911500641,,347428.80000000604,3295419.3433411284,54.885913528928135,2548000.0,,2618087.7245729323,2885557.3161143144,608847.5434056633,,,-659800.0,0.7410518053375196,-0.8051918426411717,-0.6055018965330571,-0.19968994610811464,False,False,,,,,
2012-08-24,53.68,53.9,53.01,1604400,53.71,-8090400.0,-0.20586051576498543,,919375.2808988851,4214794.624240014,54.8153290578315,2506410.0,,2433780.8655596715,2763542.333627237,660881.092767661,,,-902010.0,0.640118735562019,-0.8472869370608436,-0.6538589046386144,-0.19342803242222917,False,False,,,,,
2012-08-23,54.34,54.68,53.65,1839800,53.96,-6250600.0,-0.2662518943925979,,-732347.5728155271,3482447.0514244866,54.77456171292142,2439650.0,,2325784.344548822,2675566.8732817858,693675.6610821644,,,-599850.0,0.754124567048552,-0.8506687126083179,-0.6932208662325551,-0.1574478463757628,False,False,,,,,
2012-08-22,53.97,54.5,53.66,1982000,54.32,-4268600.0,-0.38889402768784875,,1132571.4285714333,4615018.479995919,54.73916807836961,2313520.0,,2263278.1000853996,2609512.8853501873,644220.091445635,,,-331520.0,0.8567032055050313,-0.8149060727938533,-0.7175579075448147,-0.09734816524903855,False,False,,,,,32.39608801401536
2012-08-21,54.0,55.43,53.75,2940700,54.25,-7209300.0,0.43813575899843515,,-1190283.333333333,3424735.1466625864,54.7185033846066,2403110.0,,2386445.7182516903,2641054.515316836,664668.3691887256,,,537590.0,1.2237059477094265,-0.783184277237865,-0.7306831814834248,-0.052501095754440175,False,False,,,,,32.12121211576127
2012-08-20,53.79,54.12,53.29,2712500,53.65,-9921800.0,0.07264315090161344,,-359487.9518072278,3065247.1948553585,54.64865053238793,2421480.0,,2445728.314933201,2647858.847191423,671036.1801804065,,,291020.0,1.1201826981845813,-0.797269089526047,-0.7440003630919493,-0.053268726434097746,False,False,,,,,35.052910046418816
2012-08-17,53.28,54.01,52.82,2435700,53.92,-7486100.0,-0.29147395060651016,,2067274.7899159808,5132521.984771339,54.58760174824407,2321280.0,,2443904.984945346,2627653.242697002,569571.4486446026,,,114420.0,1.0492917700578992,-0.7776800497002512,-0.7507363004136097,-0.02694374928664145,False,False,,,,,36.398963723969096
2012-08-16,51.88,53.28,51.75,2157200,53.17,-9643300.0,-0.35580971720369103,,1847014.3790849692,6979536.363856308,54.49803712278627,2202130.0,,2391776.8058643737,2582848.171963954,440841.10024663835,,,-44930.0,0.9795970265152375,-0.8132991204954223,-0.7632488644299722,-0.050050256065450105,False,False,,,,,38.865836783622115
2012-08-15,51.62,52.02,51.17,1929200,51.87,-11572500.0,0.02764608746604158,,1248305.8823529165,8227842.246209225,54.38162381770051,2207320.0,,2307671.932070851,2520595.965110244,436879.6905327598,,,-278120.0,0.8740010510483301,-0.9356411375515066,-0.7977273190542792,-0.1379138184972274,False,False,,,,,34.99377334383669
2012-08-14,52.12,52.36,51.43,1019900,51.61,-12592400.0,-0.6052254693245598,,-625100.0000000005,7602742.246209225,54.32632023311678,2050960.0,2380495.0,2073531.5807852414,2377672.5398616497,551940.5306129758,667854.2406961188,-2.0372633983454573,-1031060.0,0.49727932285368803,-1.0415713088911644,-0.8464961170216563,-0.19507519186950817,False,False,54.225,56.788997700959634,51.66100229904037,-0.009945855064784393,29.290322575354026
2012-08-13,52.04,52.28,51.53,972000,51.87,-11620400.0,-0.4852240228789323,-0.7229585292860197,-90720.00000000958,7512022.246209215,54.27764236612126,1959340.0,2253670.0,1873253.111551561,2243798.964636731,649398.5904922594,683039.9434262898,-1.8764202772254288,-987340.0,0.496085416517807,-1.0919545336286092,-0.8955878003430469,-0.1963667332855623,False,False,53.9585,56.32056221229178,51.59643778770822,0.05790749516846048,32.025316450020824
2012-08-10,51.54,52.31,51.49,1157100,52.29,-10463300.0,-0.27879581151832455,-0.42726327773103,1100656.0975609669,8612678.343770182,54.22535448373844,1914610.0,2210510.0,1743043.4549058224,2140303.8251475184,690657.1467329742,724571.6054840157,-1.4538383674258384,-757510.0,0.6043528447046657,-1.0854803702903837,-0.9335663143325142,-0.15191405595786944,False,False,53.777499999999996,56.063483607253445,51.49151639274655,0.17464771066595916,43.128654961932746
2012-08-09,52.01,52.41,51.81,1223200,51.95,-11686500.0,-0.33514512447005107,-0.5121639945760549,-652373.3333333256,7960305.010436856,54.173301414250815,1852950.0,2146300.0,1648526.4631047638,2052960.6037048977,724760.2933230943,753212.5966747194,-1.2255504011421199,-629750.0,0.6601365390323538,-1.0951603805491459,-0.9658851275758407,-0.12927525297330522,False,False,53.574,55.740971206667545,51.40702879333245,0.1252834382378699,31.884057963826436
2012-08-08,51.71,52.07,51.52,2182300,51.89,-13868800.0,0.10105953582240157,-0.32713594178768535,753885.4545454495,8714190.464982305,54.07694034189802,1872980.0,2093250.0,1745576.1970857156,2065278.6414472882,731459.9446768541,707882.537460916,0.12579770694642498,309320.0,1.165148586744119,-1.0950502987798103,-0.9917181618166346,-0.10333213696317567,False,False,53.429500000000004,55.64279451984566,51.21620548015435,0.15221528671490087,26.666666660284932
2012-08-07,52.4,53.0,52.03,2860600,52.09,-11008200.0,-0.027238412622844876,0.3989632237871674,-2506711.340206172,6207479.124776132,53.989924369982965,1864970.0,2134040.0,1948307.7976155854,2141023.5327380225,718797.4928077215,728157.6675707707,0.9978058768836415,995630.0,1.5338584534871875,-1.0665304307408192,-1.0066806156014716,-0.05984981513934762,False,False,53.31999999999999,55.57247466251299,51.067525337487,0.22696696205502964,30.8771929748723
2012-08-06,52.35,52.49,51.9,2108900,51.94,-13117100.0,-0.22252534562211979,-0.1660471369819677,-1822947.4576271265,4384531.667149005,53.921703760424904,1804610.0,2113045.0,1977506.3798672971,2137964.1486677346,662888.4579374319,722205.6475423777,-0.005739362485055586,304290.0,1.1686181501820339,-1.043997423807241,-1.0141439772426255,-0.029853446564615416,False,False,53.176,55.392658461929116,50.95934153807089,0.2212019755798695,33.2703213522536
2012-08-03,51.01,52.41,50.79,3369600,52.09,-9747500.0,0.38342160364576916,-0.019809756523256783,2038400.0000000263,6422931.667149032,53.80341457450984,1898000.0,2109640.0,2230614.3108005156,2255262.801175569,810931.7110583355,715763.3638659018,1.7603024457620233,1471600.0,1.7753424657534247,-1.0024801400409586,-1.0118112098022922,0.009331069761333577,True,False,53.045,55.18841095600345,50.90158904399655,0.2772242422002295,31.984585733183437
2012-08-02,49.92,50.48,48.45,3549900,49.67,-13297400.0,0.6456054144261079,0.06008301729029175,716974.8768472993,7139906.54399633,53.57032914318518,2037270.0,2119700.0,2470484.4361095126,2378561.582015991,965293.2658006062,735243.6681665115,1.9452054630630304,1512630.0,1.7424789055942511,-1.151576511562645,-1.0397642701543628,-0.11181224140828228,False,True,52.867,55.48456093781171,50.24943906218829,-0.11068301291825865,17.931034479296187
2012-08-01,50.65,50.81,49.67,3011900,50.2,-10285500.0,0.5612170848019904,0.6043786288819049,-211361.4035087673,6928545.140487563,53.42232829356087,2145540.0,2176430.0,2568923.6295441464,2438879.5265858965,1011441.2370474124,758945.9103533697,1.1008294380438788,866360.0,1.403795781015502,-1.2129873267256315,-1.0744088814686166,-0.1385784452570149,False,False,52.66700000000001,55.46102445078399,49.87297554921603,0.05852211685051883,23.735408556001445
2012-07-31,50.59,51.32,50.23,3484000,50.27,-6801500.0,2.4160211785469166,0.3485581575382233,-3228293.577981612,3700251.5625059507,53.28518517327606,2391950.0,2221455.0,2735301.1514452104,2538414.809768192,1006884.7040362775,809400.9256201383,1.5598511936870798,1092050.0,1.4565521854553816,-1.241693950266722,-1.1078658952282376,-0.13382805503848427,False,False,52.4495,55.28040073075129,49.61859926924871,0.11505184969492324,26.462395538015784
2012-07-30,51.61,52.19,51.1,3494000,51.58,-3307500.0,2.594650205761317,0.8504395720792288,-416715.59633028484,3283535.966175666,53.2077891831082,2644150.0,2301745.0,2873246.39663699,2629422.9231236023,924154.8129687652,853070.2910971823,1.3976046434187421,849850.0,1.3214076357241458,-1.1455331117275023,-1.1153993385280907,-0.030133773199411573,False,False,52.315,55.03515866410297,49.59484133589702,0.3648975867291219,35.76642335157263
2012-07-27,50.34,52.24,49.65,7309300,51.82,4001800.0,5.316912972085386,3.5557840937422087,4938716.216216209,8222252.182391875,53.03279764500212,3259370.0,2586990.0,3679801.597248446,3075125.5018737353,1614307.8806239052,1391494.3186524713,3.3936969319235915,4049930.0,2.2425499406326987,-1.0379936158722387,-1.0999181939969205,0.06192457812468177,True,False,52.2205,54.8669234056751,49.5740765943249,0.42433183610355923,41.24513617928104
2012-07-26,46.61,49.95,45.89,7445600,49.91,-3443800.0,5.086984957488554,3.046961626263724,7298888.669950716,15521140.85234259,52.66378941607641,3881610.0,2867280.0,4364492.215930547,3491361.1683619507,1913711.2451696803,1751171.350718983,2.6144329040788996,3563990.0,1.9181731291912376,-1.0942747103916446,-1.0987894972758654,0.0045147868842208005,False,False,52.017999999999994,54.723134299613804,49.31286570038618,0.11037054605737344,38.22115383972241
2012-07-25,44.79,45.52,44.56,2965200,44.84,-6409000.0,0.3587499427209824,0.49606458123107977,-1235499.9999999944,14285640.852342596,52.417909754681816,3959900.0,2916440.0,4110075.4493977195,3441250.580898908,1851470.1707922095,1738767.7794769974,0.028042847685311078,-994700.0,0.7488067880502033,-1.5303436623895763,-1.1851003302986076,-0.3452433320909687,False,True,51.544000000000004,55.55688136407058,47.53111863592943,-0.33531001689016043,24.21934500884184
2012-07-24,45.46,45.57,43.91,3175600,44.35,-9584600.0,0.11011675872194648,0.07987894038834287,-1492149.3975903466,12793491.45475225,52.15941276902445,3991400.0,2928185.0,3940170.822234498,3415950.5255752024,1833279.38223647,1739733.3565430138,0.1422143221370618,-815800.0,0.7956105627098261,-1.8936416314775215,-1.3268085905343905,-0.566833040943131,False,False,51.049,55.99121301379087,46.10678698620913,-0.17773282751137476,21.85628742285941
2012-07-23,44.33,45.5,44.02,3047100,45.41,-6537500.0,0.4448764758879036,0.12335483870967745,2676506.756756742,15469998.211508991,51.93826104602716,4085220.0,2944915.0,3777794.309100953,3380821.90409185,1748271.9708329136,1739158.8073351954,0.058755416451342767,-1038120.0,0.7458839426028464,-2.0721384262731846,-1.4758745576821493,-0.5962638685910353,False,False,50.637,56.020390049128174,45.25360995087183,0.014525238530087279,25.42857142602857
2012-07-20,45.02,45.79,44.76,2578200,45.66,-3959300.0,-0.23486467236467234,0.058504741963296025,1927392.2330096967,17397390.44451869,51.77234002400263,4006080.0,2952040.0,3559686.2529007792,3304381.722749769,1801371.6951256895,1737253.7076177387,-0.21519021566092342,-1427880.0,0.6435717709082195,-2.1684292093606885,-1.6143854880178572,-0.5540437213428313,False,False,50.224000000000004,55.8104550477024,44.63754495229761,0.09151197306446632,27.390366639946322
2012-07-19,45.05,45.85,44.98,2680800,45.27,-6640100.0,-0.24482379785346065,0.2427220470980902,-893599.9999999708,16503790.444518719,51.60757824723131,3919170.0,2978220.0,3399888.7523733643,3244992.9872497916,1846233.200058974,1728568.7890640385,-0.17206141976047298,-1238370.0,0.6840223822901278,-2.250270373211464,-1.7415624650565786,-0.5087079081548853,False,False,49.829,55.65061091831205,44.007389081687954,0.10844171278610099,26.755617974897632
2012-07-18,44.22,45.4,44.16,2904400,45.04,-9544500.0,-0.03569175603439689,0.5054945054945055,1217974.1935483925,17721764.63806711,51.42482480098871,3908420.0,3026980.0,3309799.8883054797,3212555.5598926684,1852405.551228516,1711086.2476647308,-0.07163870328996896,-1004020.0,0.7431135855409603,-2.3070944147103702,-1.854668854987337,-0.45242555972303333,False,False,49.4875,55.59908304929422,43.37591695070577,0.13614173577223973,25.297827607889488
