Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2011-11-23,25.04,25.05,25.03,10300.0,25.03,0.0,,,-10300.0,-10300.0,25.036666666666665,,,10300.0,10300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2011-11-22,25.05,25.05,25.03,8900.0,25.05,8900.0,,,8900.0,-1400.0,25.039756944444445,,,10045.454545454544,10166.666666666666,,,,,,0.0015954415954446688,0.0003190883190889338,0.001276353276355735,False,False,,,,,
2011-11-21,25.03,25.03,25.03,17500.0,25.03,-8600.0,,,,,25.035104450499542,,,11400.82644628099,10865.079365079364,,,,,,0.0012318081833768701,0.0005016322919465211,0.000730175891430349,False,False,,,,,
2011-11-18,25.03,25.04,25.03,24100.0,25.03,-8600.0,,,-24100.0,-25500.0,25.0344024122807,,,13709.767092411717,12125.547996976567,,,,,,0.0009328725108659341,0.0005878803357304038,0.00034499217513553034,False,False,,,,,
2011-11-17,25.03,25.04,25.02,27200.0,25.03,-8600.0,,,4.831690603168785e-09,-25499.99999999517,25.033041666666666,,,16162.536711973224,13561.21009250261,,,,,,0.0006880326248683843,0.0006079107935579999,8.012183131038441e-05,False,False,,,,,
2011-11-16,25.03,25.05,25.02,23300.0,25.03,-8600.0,,,-7766.666666664827,-33266.66666665999,25.033102725366874,,,17460.257309796274,14488.713893216647,,,,,,0.0004883656757286303,0.0005840017699921261,-9.563609426349574e-05,False,True,,,,,
2011-11-15,25.03,25.05,25.02,26900.0,25.02,-35500.0,,,-26900.0,-60166.66666665999,25.032498794018327,,,19176.574162560588,15670.741141481729,,,,,,-0.00047135476220816486,0.0003729304635520679,-0.0008442852257602327,False,False,,,,,
2011-11-14,25.02,25.05,25.02,12400.0,25.03,-23100.0,,,-4133.333333332354,-64299.999999992346,25.03256750774679,,,17944.46976936775,15359.241985150136,,,,,,-0.0004201801222762924,0.00021430834638639585,-0.0006344884686626883,False,False,,,,,
2011-11-11,25.02,25.05,25.02,15300.0,25.02,-38400.0,,,-15300.0,-79599.99999999235,25.03233072131806,,,17463.65708402816,15353.599891326314,,,,,,-0.0011730184514213704,-6.315701317515738e-05,-0.001109861438246213,False,False,,,,,
2011-11-10,25.03,25.04,25.02,15000.0,25.02,-38400.0,,,-15000.0,-94599.99999999235,25.031861065045142,18090.0,,17015.719432386675,15319.923711199997,6823.72495212272,,,-3090.0,0.8291873963515755,-0.0017494813195391146,-0.0004004218744479488,-0.0013490594450911659,False,False,,,,,
2011-11-09,25.02,25.04,25.02,19200.0,25.04,-19200.0,0.8640776699029127,,19200.0,-75399.99999999235,25.032002332167245,18980.0,,17412.861353770913,15689.454786323808,6251.1865540338285,,,220.0,1.01159114857745,-0.0005857473122858892,-0.0004374869620155369,-0.00014826035027035227,False,False,,,,,
2011-11-08,25.03,25.1,25.02,13100.0,25.02,-32300.0,0.4719101123595506,,-13100.0,-88499.99999999235,25.03290337711069,19400.0,,16628.704743994385,15442.84004476916,5606.543795720616,,,-6300.0,0.6752577319587629,-0.0012627563115934493,-0.0006025408319311194,-0.0006602154796623298,False,False,,,,,
2011-11-07,25.05,25.06,25.03,24100.0,25.06,-8200.0,0.3771428571428572,,24100.0,-64399.999999992346,25.034639696586595,20060.0,,17987.122063268132,16267.33146907686,5744.794745390532,,,4040.0,1.201395812562313,0.001412097108456578,-0.00019961324385357992,0.001611710352310158,True,False,,,,,
2011-11-04,25.02,25.05,25.02,11100.0,25.03,-19300.0,-0.5394190871369295,,-3699.9999999991237,-68099.99999999147,25.034581320450883,18760.0,,16734.918051764835,15775.204662498112,6183.167113668816,,,-7660.0,0.591684434968017,0.0010985253195094913,6.001446881903432e-05,0.001038510850690457,False,False,,,,,49.999999611111114
2011-11-03,25.02,25.05,25.01,27200.0,25.05,7900.0,0.0,,27200.0,-40899.99999999147,25.03478713110788,18760.0,,18637.660224171228,16863.28040892686,6183.167113668816,,,8440.0,1.4498933901918976,0.002435772204872677,0.0005351660160297629,0.0019006061888429142,False,False,,,,,54.999999614999915
2011-11-02,25.07,25.07,25.01,36100.0,25.02,-28200.0,0.5493562231759657,,-24066.666666668807,-64966.66666666028,25.03461875735215,20040.0,,21812.631092503732,18695.34894141002,8217.6233384923,,,16060.0,1.8013972055888223,0.0010625522751119831,0.000640643267846207,0.00042190900726577613,False,False,,,,,42.85714257142833
2011-11-01,25.01,25.03,25.01,39700.0,25.01,-67900.0,0.4758364312267658,,-39700.0,-104666.66666666028,25.032590590020867,21320.0,,25064.879984775776,20695.79189937097,10169.868348323012,,,18380.0,1.8621013133208255,-0.0008231619407972346,0.0003478822261175187,-0.0011710441669147533,False,True,,,,,44.9999996850001
2011-10-31,25.01,25.03,25.0,66400.0,25.01,-67900.0,4.354838709677419,,-22133.33333332809,-126799.99999998837,25.029530078187328,26720.0,,32580.356351180177,25048.5736232404,16970.15681195145,,,39680.0,2.4850299401197606,-0.002291192600658576,-0.00017993273923770024,-0.0021112598614208755,False,False,,,,,44.9999996850001
2011-10-28,25.0,25.09,25.0,74800.0,25.01,-67900.0,3.8888888888888893,,-58177.777777775154,-184977.77777776352,25.03010759236703,32670.0,,40256.65519642014,29786.804706741314,22158.82317372573,,,42130.0,2.2895622895622894,-0.003415248615073807,-0.0008269959144049216,-0.0025882527006688854,False,False,,,,,44.9999996850001
2011-10-27,25.44,25.5,25.44,125500.0,25.5,57600.0,7.366666666666667,,125500.0,-59477.77777776352,25.121454457207573,43720.0,30905.0,55755.445160707386,38902.347115623095,35751.108762915,28290.624725665228,3.34368720794573,81780.0,2.870539798719122,0.03483132001881728,0.006304667272239519,0.02852665274657776,True,False,25.052,25.264612818349026,24.839387181650974,1.5535583025491957,84.05797084394038
2011-10-26,25.44,25.5,25.44,154500.0,25.45,-96900.0,7.046875,14.0,-103000.00000000915,-162477.7777777727,25.18982138234533,57250.0,38115.0,73709.00058603332,49911.647390325656,48698.21466040733,39080.42012110547,2.9780897861214655,97250.0,2.6986899563318776,0.060411038236040326,0.017125941464999683,0.04328509677104064,False,False,25.073,25.34975563988928,24.79624436011072,1.1811062642676804,79.45205464214685
2011-10-25,25.62,25.62,25.43,268700.0,25.44,-365600.0,19.51145038167939,29.191011235955056,-240415.78947367996,-402893.56725145265,25.26900060821409,82810.0,51105.0,109161.9095703909,70748.63335315179,79980.82339605608,64055.662266665015,3.396967454557688,185890.0,3.244777200821157,0.07896596232946607,0.02949394563789296,0.049472016691573105,False,False,25.0925,25.413804905199505,24.771195094800497,1.0407636086106915,78.08219163107552
2011-10-24,25.88,25.88,25.68,34000.0,25.82,-331600.0,0.4107883817427387,0.9428571428571428,13600.000000000364,-389293.5672514523,25.28557952819368,83800.0,51930.0,95496.10783031982,67248.76350999447,79231.12463616247,63705.36703821494,-0.281451953478964,-49800.0,0.40572792362768495,0.1229167893276859,0.04817851437585155,0.07473827495183435,False,False,25.131999999999998,25.587266261017717,24.67673373898228,1.2556017861525925,86.36363625371935
