Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-03-12,36.28,37.23,36.11,15313700,37.23,0.0,,,15313700.0,15313700.0,36.85666666666667,,,15313700.0,15313700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-03-09,35.71,36.15,35.57,1265500,36.15,-1265500.0,,,1265500.0,16579200.0,36.78796914205752,,,12759481.818181816,13975776.19047619,,,,,,-0.08615384615384869,-0.01723076923076974,-0.06892307692307895,False,False,,,,,
2012-03-08,35.76,35.87,35.66,1437600,35.66,-2703100.0,,,-1437600.0,15141600.0,36.7035514630789,,,10700957.851239668,12781664.1723356,,,,,,-0.19175980714442886,-0.05213657681350157,-0.1396232303309273,False,False,,,,,
2012-03-07,35.96,35.98,35.67,2210000,35.5,-4913100.0,,,-4633870.967741997,10507729.032258004,36.59572346260077,,,9157147.332832456,11774839.013065543,,,,,,-0.2850777559872455,-0.09872481264825037,-0.18635294333899513,False,False,,,,,
2012-03-06,36.04,36.18,35.83,1679700,35.71,-3233400.0,,,-2831494.2857142566,7676234.746543747,36.54288943159945,,,7797611.454135645,10813397.202297397,,,,,,-0.33818922296111253,-0.1466176947108228,-0.19157152825028972,False,False,,,,,
2012-03-05,36.02,36.23,35.84,1901400,35.95,-1332000.0,,,-828815.3846153722,6847419.361928375,36.50006440439238,,,6725573.007929164,9964635.56398336,,,,,,-0.3568014637758381,-0.1886544485238259,-0.1681470152520122,False,False,,,,,
2012-03-02,36.1,36.23,36.02,1764800,35.82,-3096800.0,,,-5126323.809523958,1721095.5524044177,36.46716467170068,,,5823614.2792147705,9183698.843603993,,,,,,-0.3776879605534589,-0.2264611509297525,-0.15122680962370638,False,False,,,,,
2012-03-01,36.2,36.35,36.01,1668900,35.91,-1427900.0,,,-2650605.882352945,-929510.3299485273,36.44405846205803,,,5068211.682993903,8468003.715641707,,,,,,-0.38256840149828264,-0.2576826010434585,-0.12488580045482411,False,False,,,,,
2012-02-29,36.26,36.47,36.17,1466200,36.02,38300.0,,,-2932400.0,-3861910.3299485273,36.432615073255356,,,4413300.467904102,7801165.266532973,,,,,,-0.37325742615307433,-0.2807975660653817,-0.09245986008769264,False,False,,,,,
2012-02-28,36.33,36.48,36.09,915100,35.96,-876800.0,,,-1525166.6666666889,-5387076.996615216,36.42470840689692,2962290.0,,3777264.0191942654,7145349.526863166,4354227.600964379,,,-2047190.0,0.3089164126402209,-0.3664951813538053,-0.29793708912306643,-0.06855809223073889,False,False,,,,,
2012-02-27,36.27,36.47,36.23,792100,36.12,-84700.0,-0.9482750739533882,,-1518191.666666657,-6905268.663281873,36.42076613513069,1510130.0,,3234506.9247953077,6540278.143352388,434407.7706743143,,,-718030.0,0.5245243786958739,-0.3442570102848208,-0.30720107335541735,-0.037055936929403455,False,False,,,,,
2012-02-24,36.32,36.62,36.25,571700,36.24,487000.0,-0.5482418016594232,,-602602.7027026968,-7507871.365984569,36.41982950749838,1440750.0,,2750360.211196161,5971842.129699781,523987.0847645058,,,-869050.0,0.3968072184626063,-0.31333813539846744,-0.30842848576402737,-0.004909649634440072,False,False,,,,,
2012-02-23,36.35,36.37,36.11,706500,35.99,-219500.0,-0.5085559265442404,,-1358653.8461538372,-8866525.212138407,36.413963121426676,1367640.0,,2378749.2637059498,5470380.974490278,573170.9657685091,,,-661140.0,0.5165833113977363,-0.3054861606539063,-0.3078400207420032,0.0023538600880968485,True,False,,,,,
2012-02-22,36.14,36.49,36.05,1389800,36.17,1170300.0,-0.371131221719457,,-631727.2727272523,-9498252.48486566,36.40651498755655,1285620.0,,2198940.306668504,5081754.215015014,492202.8145659795,,,104180.0,1.0810348314431948,-0.2814940304619711,-0.3025708226859968,0.021076792224025698,False,False,,,,,33.84146340018974
2012-02-21,36.52,36.59,36.1,1014700,35.87,155600.0,-0.3959040304816336,,-1967275.5102040942,-11465527.995069753,36.39997260812313,1219120.0,,1983623.8872742306,4694415.718346917,477755.0041600877,,,-204420.0,0.8323216746505676,-0.2834204922151571,-0.29874075659182886,0.015320264376671777,False,False,,,,,31.00558658005376
2012-02-17,36.83,36.91,36.4,2960900,36.16,3116500.0,0.5572209950562743,,-5747629.41176474,-17213157.406834494,36.40716559718932,1325070.0,,2161310.4532243703,4529318.983266258,707914.4754527633,,,1635830.0,2.234523459138008,-0.25856606205351795,-0.2907058176841667,0.03213975563064875,False,False,,,,,50.17921144435448
2012-02-16,36.23,36.81,36.23,1603100,36.42,4719600.0,-0.09162511332728918,,-552793.103448259,-17765950.510282755,36.410462093837914,1308900.0,,2059817.643547212,4250631.461050424,698538.9243906843,,,294200.0,1.224768889907556,-0.2154058553792666,-0.2756458252231867,0.060239969843920105,False,False,,,,,64.84374996453857
2012-02-15,36.26,36.39,36.16,1630800,36.0,3088800.0,-0.022829408592486056,,-3899739.1304346947,-21665689.64071745,36.401269276747115,1305090.0,,1981814.4356295369,4001123.7028551456,696458.031678072,,,325710.0,1.2495689952417075,-0.21264038456178014,-0.2630447370909054,0.050404352529125285,False,False,,,,,58.8652481977264
2012-02-14,36.2,36.33,35.99,1114700,35.94,1974100.0,-0.23973537034510983,,-1442552.941176502,-23108242.58189395,36.39280003638658,1269940.0,,1824157.2655150755,3726226.207345132,696293.4250571257,,,-155240.0,0.8777580043151645,-0.21283677768697373,-0.25300314521011913,0.040166367523145396,False,False,,,,,54.30711607639318
2012-02-13,36.66,36.71,36.28,1267100,36.1,3241200.0,0.38465741449021973,,-2327927.906976743,-25436170.488870695,36.39192510089992,1305140.0,2133715.0,1722874.126330516,3492023.7114075,685170.4608668195,3150518.2503125784,-0.2750706173227274,-38040.0,0.9708537015186111,-0.19780162383706568,-0.24196284093550846,0.044161217098442784,False,False,36.046,36.745064035919306,35.34693596408069,0.5386230711532665,52.89575286716054
