Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,73.98,74.43,73.6,1409400,73.99,0.0,,,-84903.61445784935,-84903.61445784935,74.00666666666666,,,1409400.0,1409400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,73.38,73.92,73.25,1554300,73.62,-1554300.0,,,162389.5522388227,77485.93778097336,73.79164389108209,,,1435745.4545454544,1423200.0,,,,,,-0.029515669515660647,-0.0059031339031321295,-0.023612535612528518,False,False,,,,,
2012-09-10,74.93,74.99,73.23,2531000,73.58,-4085300.0,,,-1524352.2727272836,-1446866.3349463104,73.85690968873034,,,1634882.644628099,1528704.761904762,,,,,,-0.055495004098972345,-0.015821507942300174,-0.03967349615667217,False,False,,,,,
2012-09-07,75.0,75.73,73.96,2860500,75.44,-1224800.0,,,1923161.0169491377,476294.6820028273,74.26309563704838,,,1857722.1637866264,1655542.4036281179,,,,,,0.07315930645937385,0.00197465493803463,0.07118465152133922,True,False,,,,,
2012-09-06,72.03,74.6,72.03,4607200,74.49,-5832000.0,,,4212809.338521401,4689104.020524229,74.06532519697998,,,2357627.2249163305,1936652.6509016305,,,,,,0.09733964314800403,0.02104765258002851,0.07629199056797552,False,False,,,,,
2012-09-05,71.85,72.0,70.66,2340900,70.96,-8172900.0,,,-1292735.820895535,3396368.199628694,73.62804475723101,,,2354585.9112951793,1975152.3984348085,,,,,,-0.1664203738982053,-0.016445952715618255,-0.14997442118258705,False,True,,,,,
2012-09-04,71.39,72.4,70.8,1962500,72.07,-6210400.0,,,1152968.7499999737,4549336.949628668,73.41533642615265,,,2283297.563786965,1973947.4081076838,,,,,,-0.28262642287857886,-0.06968204674821038,-0.21294437613036848,False,False,,,,,
2012-08-31,71.56,72.32,71.0,1517900,72.04,-7728300.0,,,873942.424242451,5423279.373871119,73.28372455905917,,,2144134.370371153,1930514.3216212378,,,,,,-0.37284339660533306,-0.13031431671963492,-0.24252907988569813,False,False,,,,,
2012-08-30,71.17,71.58,70.42,1163400,70.83,-8891700.0,,,-340996.55172414234,5082282.822146976,73.1472229547152,,,1965819.0303036706,1857455.8148001675,,,,,,-0.5358014997062952,-0.211411753316967,-0.3243897463893282,False,False,,,,,
2012-08-29,72.08,72.34,71.38,1106900,71.63,-7784800.0,,,-530389.583333338,4551893.238813639,73.07551736803774,2105400.0,,1809651.9338848211,1785974.3086287228,1059551.5288187838,,,-998500.0,0.5257433266837656,-0.5935515633927224,-0.28783971533211805,-0.30571184806060436,False,False,,,,,
2012-08-28,71.69,72.15,71.18,2199800,72.02,-5585000.0,0.560806016744714,,1610162.8865978937,6162056.125411533,72.95327728514623,2184440.0,,1880587.9459057627,1825386.279235511,1030957.8676594349,,,15360.0,1.007031550420245,-0.6009221082935738,-0.35045619392440924,-0.2504659143691646,False,False,,,,,
2012-08-27,71.9,72.31,71.02,1997800,71.69,-7582800.0,0.2853374509425466,,77434.108527127,6239490.23393866,72.85201352257546,2228790.0,,1901899.228468351,1841806.633594034,1010168.0811187369,,,-230990.0,0.8963608056389342,-0.6261734228649658,-0.40559963971252055,-0.22057378315244525,False,False,,,,,
2012-08-24,71.35,72.53,71.35,2085800,72.04,-5497000.0,-0.17589885420782303,,353525.4237288417,6593015.657667501,72.78497162617269,2184270.0,,1935335.7323831962,1865044.0970612688,1005167.2564525987,,,-98470.0,0.9549185769158575,-0.6109011089495056,-0.44665993355991757,-0.164241175389588,False,False,,,,,
2012-08-23,71.33,71.6,70.66,1921500,71.47,-7418500.0,-0.3282642894598846,,1390021.276595762,7983036.934263263,72.68372865464298,2090370.0,,1932820.1446771603,1870420.8497221004,978481.8104821594,,,-168870.0,0.919215258542746,-0.6374438703097667,-0.48481672090988737,-0.1526271493998793,False,False,,,,,39.08145580115132
2012-08-22,71.31,71.85,71.02,1981100,71.6,-5437400.0,-0.5699991317937142,,787666.2650602385,8770703.199323501,72.608027763551,1827760.0,,1941598.3001904038,1880961.7211771386,422256.6944407159,,,153340.0,1.0838950409244101,-0.6406047930813799,-0.5159743353441859,-0.12463045773719394,False,False,,,,,39.760068547072486
2012-08-21,71.0,71.57,70.36,2736000,71.33,-8173400.0,0.16878123798539013,,1650644.6280991912,10421347.827422693,72.48551646260104,1867270.0,,2086034.9728830575,1962393.9382078873,488840.2694132308,,,868730.0,1.4652406989883626,-0.6573194215425247,-0.5442433525838537,-0.11307606895867095,False,False,,,,,40.10371650335822
2012-08-20,69.22,70.9,69.06,2773900,70.81,-10947300.0,0.413452229299363,,2502540.2173912944,12923888.044813987,72.31728181573281,1948410.0,,2211101.3414497743,2039680.229807136,567426.4993028711,,,825490.0,1.4236736621142367,-0.7044055900343835,-0.5762758000739597,-0.1281297899604238,False,False,,,,,38.5062240619163
2012-08-17,70.56,70.56,69.0,4419800,69.11,-15367100.0,1.9117860201594308,,-3796494.871794876,9127393.173019111,72.02091417555467,2238600.0,,2612682.915731633,2266358.3031588374,941516.6724197953,,,2181200.0,1.9743589743589745,-0.8688815842655231,-0.6347969569122724,-0.23408462735325064,False,False,,,,,23.380992427860946
2012-08-16,70.78,71.01,69.99,4831100,70.24,-10536000.0,3.1525700532920746,,-2462913.72549022,6664479.447528891,71.85208268117076,2605370.0,,3016031.4765076996,2510619.41714371,1164182.1965559246,,,2225730.0,1.8542855717230182,-0.8977003081301973,-0.6873776271558574,-0.21032268097433993,False,False,,,,,32.39436619342567
2012-08-15,71.12,71.85,70.87,3714800,70.91,-6821200.0,2.3560393892853915,,-3411551.02040822,3252928.427120671,71.80410561272517,2866160.0,2485780.0,3143080.298960845,2625303.2821776425,1080287.51440428,1112153.2905513567,1.1050814761252075,848640.0,1.2960895414073186,-0.8566015839998897,-0.7212224185246638,-0.13537916547522588,False,False,71.9935,75.06285463815065,68.92414536184934,0.32349709829346573,49.728555909921845
2012-08-14,71.97,71.97,70.92,3508000,71.12,-3313200.0,0.5946904264024002,1.48900241237406,-2171619.047619025,1081309.379501646,71.77329642614679,2996980.0,2590710.0,3209429.3355134185,2709369.636255962,1069785.7644303264,1104225.0823660528,0.8307092590529623,511020.0,1.1705116483927154,-0.7978877507468098,-0.7365554849690932,-0.061332265777716666,False,False,71.85,74.7920579979256,68.90794200207439,0.37593718401970644,44.283995179061726
2012-08-13,71.87,71.94,70.75,1515700,71.85,-1797500.0,-0.24131544699169083,-0.02483433056681461,1286434.4537815035,2367743.8332831496,71.76609819635983,2948770.0,2588780.0,2901478.5472382517,2595686.813755394,1129039.0191564583,1106163.9245609127,-0.9700913003702908,-1433070.0,0.5140109265897307,-0.6845605281041145,-0.7261564935960975,0.04159596549198297,True,False,71.7615,74.58340883511221,68.93959116488779,0.5156808751046128,48.94561597463658
2012-08-10,71.2,72.0,70.98,1653500,71.94,-144000.0,-0.2072586058107201,-0.34670090873172654,1458970.588235286,3826714.4215184357,71.76240085613766,2905540.0,2544905.0,2674573.356831297,2505954.73625488,1173166.6919543492,1125804.5957751377,-0.7917937121106269,-1252040.0,0.5690852647012259,-0.5807906467959612,-0.6970833242360702,0.11629267744010907,False,False,71.67949999999999,74.37122200801292,68.98777799198706,0.5483890979871864,57.03422052219925
2012-08-09,71.5,71.95,70.85,1941300,71.25,-2085300.0,0.01030444964871191,-0.3213424226533823,-529445.4545454455,3297268.96697299,71.74867657167934,2907520.0,2498945.0,2541250.9283165154,2452178.094706796,1171336.6361175214,1130993.4182297206,-0.49305768805697375,-966220.0,0.6676824235086947,-0.5479134959500271,-0.6672493585788616,0.11933586262883444,False,False,71.47,73.50033831767286,69.43966168232714,0.4458218371576222,47.55784060840864
2012-08-08,71.35,71.95,70.8,2907300,71.77,822000.0,0.467518045530261,-0.3689659663135961,1997188.695652144,5294457.662625134,71.73718768676092,3000140.0,2413950.0,2607805.3049862394,2495523.0380680533,1125671.5044807699,1022929.4308633007,0.48229133419657066,-92840.0,0.9690547774437193,-0.4744295345072089,-0.6286853937645311,0.15425585925732221,False,False,71.334,72.79798734535807,69.87001265464194,0.6489083909715612,48.41972186247944
