Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,149.08,151.22,148.19,1691900,150.79,0.0,,,1211690.7590759,1211690.7590759,150.06666666666663,,,1691900.0,1691900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,149.85,150.78,148.51,1178300,149.34,-1178300.0,,,-316635.68281937414,895055.0762565259,149.8518232178942,,,1598518.1818181816,1642985.7142857143,,,,,,-0.11566951566950934,-0.02313390313390187,-0.09253561253560746,False,False,,,,,
2012-09-07,148.79,150.57,148.06,1547600,149.57,369300.0,,,314452.5896414298,1209507.6658979557,149.69354497713795,,,1589260.330578512,1633901.3605442178,,,,,,-0.18662803061661748,-0.055832728630444986,-0.1307953019861725,False,False,,,,,
2012-09-06,145.5,149.89,144.91,2298500,148.89,-1929200.0,,,1375407.6305220865,2584915.2964200424,149.0786044895751,,,1718212.997746055,1697196.4690638161,,,,,,-0.29434050779039467,-0.10353428446243493,-0.19080622332795974,False,False,,,,,
2012-09-05,144.63,145.58,143.01,1558400,144.73,-3487600.0,,,527551.7509727437,3112467.047392786,148.20500167176252,,,1689156.089064954,1683977.757724405,,,,,,-0.7072281693050115,-0.22427306143095027,-0.48295510787406126,False,False,,,,,
2012-09-04,144.72,145.73,142.91,1828200,144.84,-1659400.0,,,674229.7872340574,3786696.834626843,147.53334580499987,,,1714436.8001440533,1697713.2093696997,,,,,,-1.0138811443457314,-0.3821946780139065,-0.6316864663318249,False,False,,,,,
2012-08-31,144.27,146.48,142.8,2036100,145.18,376700.0,,,597551.0869565322,4384247.921583375,147.07823060658484,,,1772921.01829968,1729940.5227630616,,,,,,-1.2154596160232813,-0.5488476656157815,-0.6666119504074999,False,False,,,,,
2012-08-30,144.35,144.82,142.13,1889000,142.69,-1512300.0,,,-1102501.8587360557,3281746.062847319,146.55778642714571,,,1794026.287699738,1745089.0444046748,,,,,,-1.5581725540495484,-0.7507126433025348,-0.8074599107470135,False,False,,,,,
2012-08-29,144.95,146.26,144.05,2161500,145.6,649200.0,,,870468.32579185,4152214.388639169,146.3903013064023,,,1860839.6899361492,1784747.2306518485,,,,,,-1.5767861373573453,-0.915927342113497,-0.6608587952438483,False,False,,,,,
2012-08-28,146.93,147.74,143.66,3695800,145.12,-3046600.0,,,-1050766.6666666602,3101447.7219725084,146.22607260975025,1988530.0,,2194468.837220486,1966752.2563040534,683336.4878788976,,,1707270.0,1.8585588349182562,-1.611690954622901,-1.055080064615378,-0.5566108900075231,False,False,,,,,
2012-08-27,147.19,151.97,147.01,3219100,149.06,172500.0,0.9026538211478219,,-558150.403225796,2543297.3187467125,146.6608601103397,2141250.0,,2380765.4122713064,2086023.4699893817,774282.3189537809,,,1077850.0,1.5033741973146526,-1.3063691908893702,-1.1053378898701764,-0.20103130101919375,False,False,,,,,
2012-08-24,141.08,149.49,140.77,7015600,148.54,-6843100.0,4.954001527624544,,5486971.559633,8030268.878379712,146.56904392430278,2724980.0,,3223462.61004016,2555506.949038012,1660663.3907367664,,,4290620.0,2.5745510058789423,-1.09375106613075,-1.1030205251222913,0.009269458991541413,True,False,,,,,
2012-08-23,148.62,149.27,145.57,4074000,146.77,-10917100.0,1.6324631687774618,,-1431405.4054053798,6598863.472974332,146.64461551734223,2977620.0,,3378105.7718510395,2700125.3348439154,1653803.2825379607,,,1096380.0,1.3682068228988253,-1.055902095836899,-1.093596839265213,0.037694743428313915,False,False,,,,,
