Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,67.44,68.67,67.11,2996400,68.2,0.0,,,1190876.9230769302,1190876.9230769302,67.99333333333334,,,2996400.0,2996400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,66.72,67.36,66.7,1596200,67.26,-1596200.0,,,1112503.0303030554,2303379.953379986,67.68516424973508,,,2741818.1818181816,2863047.619047619,,,,,,-0.07498575498574667,-0.014997150997149334,-0.05998860398859733,False,False,,,,,
2012-09-10,67.82,67.82,66.5,2571600,66.82,-4167800.0,,,-1324763.6363636565,978616.3170163294,67.45597461451847,,,2710869.421487603,2835290.702947846,,,,,,-0.16798045470409306,-0.04559381173853808,-0.12238664296555499,False,False,,,,,
2012-09-07,65.94,67.42,65.64,3521800,67.2,-646000.0,,,2651242.6966292183,3629859.0136455474,67.22440414249174,,,2858311.3448534934,2900672.540762337,,,,,,-0.20861185243551006,-0.07819741987793248,-0.13041443255757756,False,False,,,,,
2012-09-06,64.43,65.98,64.33,2946700,65.94,-3592700.0,,,2803829.696969675,6433688.710615222,66.83366276183979,,,2874382.009425585,2905056.108308781,,,,,,-0.3385810460719654,-0.13027414511673907,-0.2083069009552263,False,False,,,,,
2012-09-05,64.26,64.38,63.37,1955800,63.87,-5548500.0,,,-19364.35643563975,6414324.354179583,66.46224714800441,,,2707367.098620933,2814650.7646603254,,,,,,-0.6016784935527113,-0.22455501480393353,-0.3771234787487778,False,False,,,,,
2012-09-04,64.31,64.87,63.67,2084000,64.22,-3464500.0,,,-173666.66666668106,6240657.687512902,66.2017646814731,,,2594027.6261443994,2745064.977549818,,,,,,-0.7730320094586745,-0.33425041373488174,-0.4387815957237927,False,False,,,,,
2012-08-31,64.57,65.0,63.79,1641700,64.28,-1822800.0,,,-312058.67768594594,5928599.009826955,66.04493201892907,,,2420877.1486635995,2639982.5987355495,,,,,,-0.8936875332088334,-0.4461378376296721,-0.44754969557916136,False,False,,,,,
2012-08-30,64.5,64.65,63.76,1338900,63.83,-3161700.0,,,-1128286.5168539335,4800312.492973022,65.91754932673545,,,2224154.030724763,2516069.970284545,,,,,,-1.0139311767941876,-0.5596965054625752,-0.45423467133161244,False,False,,,,,
2012-08-29,64.48,64.9,64.26,1220500,64.73,-1941200.0,,,572109.3749999941,5372421.867973017,65.84570683380879,2187360.0,,2041671.4796838968,2392682.354066969,783562.6886925584,,,-966860.0,0.5579785677711945,-1.0247895166198049,-0.6527151076940212,-0.3720744089257837,False,False,,,,,
