Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,27.1,27.17,27.03,34200,27.11,0.0,,,4885.714285713293,4885.714285713293,27.10333333333333,,,34200.0,34200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,27.02,27.08,26.96,25200,27.08,-25200.0,,,25200.0,30085.714285713293,27.076464646464647,,,32563.63636363636,33342.857142857145,,,,,,-0.002393162393161674,-0.0004786324786323348,-0.0019145299145293393,False,False,,,,,
2012-09-07,27.0,27.03,26.94,33900,27.02,-59100.0,,,26366.66666666548,56452.38095237877,27.047470525187567,,,32806.61157024793,33395.918367346945,,,,,,-0.009027199454550328,-0.0021883458738159336,-0.0068388535807343935,False,False,,,,,
2012-09-06,26.97,27.1,26.85,52700,26.92,-111800.0,,,-23187.99999999988,33264.380952378895,27.01469406392694,,,36423.591284748305,35234.402332361526,,,,,,-0.02209914074817476,-0.006170504848687699,-0.01592863589948706,False,False,,,,,
2012-09-05,26.9,27.0,26.86,60900,26.9,-172700.0,,,-26100.000000000884,7164.380952378011,26.986821330755596,,,40873.847414794065,37678.74496737472,,,,,,-0.03368428973038462,-0.011673261825027084,-0.022011027905357534,False,False,,,,,
2012-09-04,26.84,26.89,26.76,24100,26.85,-196800.0,,,9269.230769230971,16433.611721608984,26.970808080808077,,,37824.0569757406,36385.531160958075,,,,,,-0.046365710844874286,-0.018611751628996524,-0.027753959215877762,False,False,,,,,
2012-08-31,26.78,26.89,26.68,56100,26.68,-252900.0,,,-56100.0,-39666.388278391016,26.927661674213397,,,41146.955707424124,38263.099621819216,,,,,,-0.06933416658021585,-0.028756234619240394,-0.04057793196097546,False,False,,,,,
2012-08-30,26.75,26.76,26.63,57300,26.76,-195600.0,,,57300.0,17633.611721608984,26.89255710414247,,,44083.872851528824,40076.13775307453,,,,,,-0.08015749609844747,-0.03903648691508181,-0.041121009183365656,False,False,,,,,
2012-08-29,26.89,26.9,26.38,83500,26.71,-279100.0,,,22480.76923076991,40114.380952378895,26.847826594998832,,,51250.441423978125,44211.743681353146,,,,,,-0.09171244092214792,-0.04957167771649504,-0.04214076320565288,False,False,,,,,
2012-08-28,26.75,26.86,26.65,57300,26.75,-221800.0,,,-2728.5714285708746,37385.80952380802,26.83666735366859,48520.0,,52350.36116507301,45458.24428312903,18752.587969545846,,,8780.0,1.1809563066776587,-0.09652942115812735,-0.0589632264048215,-0.037566194753305845,False,False,,,,,
