Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,41.37,41.42,41.06,2012600,41.1,0.0,,,-1565355.5555555644,-1565355.5555555644,41.193333333333335,,,2012600.0,2012600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,41.38,41.53,41.22,4317400,41.23,4317400.0,,,-4038858.0645161862,-5604213.62007175,41.2842738283307,,,2431654.5454545454,2232104.7619047617,,,,,,0.010370370370367255,0.002074074074073451,0.008296296296293804,False,False,,,,,
2012-09-10,41.61,41.76,41.38,3978600,41.41,8296000.0,,,-3350400.0000001173,-8954613.620071867,41.3739657502797,,,2712917.355371901,2398437.6417233557,,,,,,0.032736097921286955,0.008206478843516152,0.024529619077770803,False,False,,,,,
2012-09-07,41.52,41.78,41.45,2240300,41.68,10536300.0,,,882542.424242398,-8072071.19582947,41.42086459105313,,,2626986.9271224644,2383376.913940179,,,,,,0.07142450443073756,0.020850083960960435,0.05057442046977712,False,False,,,,,
2012-09-06,41.42,41.61,41.36,3548300,41.42,6988000.0,,,-1845115.9999999355,-9917187.195829405,41.43022596062254,,,2794498.39491838,2494321.9697554004,,,,,,0.08018123882496297,0.03271631493376095,0.04746492389120203,False,False,,,,,
2012-09-05,41.53,41.56,41.34,3667700,41.34,3320300.0,,,-3667700.0,-13584887.195829405,41.42709125773467,,,2953262.3231150378,2606072.2583501246,,,,,,0.07974641547200179,0.042122335041409116,0.03762408043059267,False,False,,,,,
2012-09-04,41.58,41.69,41.38,4097600,41.43,7417900.0,,,-2775793.548387151,-16360680.744216556,41.4396109376637,,,3161323.7189123034,2748122.5194596364,,,,,,0.08567643802485492,0.050833155638098274,0.034843282386756644,False,False,,,,,
2012-08-31,41.83,41.93,41.58,1369700,41.63,8787600.0,,,-978357.1428571111,-17339037.887073666,41.45446963271798,,,2835573.951837339,2616844.184273004,,,,,,0.10530051338079005,0.06172662718663663,0.04357388619415342,False,False,,,,,
2012-08-30,41.73,41.91,41.68,1865200,41.68,10652800.0,,,-1865200.0,-19204237.887073666,41.475270813189944,,,2659142.3242305503,2545259.0238660513,,,,,,0.12346409933338975,0.07407412161598725,0.0493899777174025,False,False,,,,,
2012-08-29,41.66,42.0,41.66,1714000,41.95,12366800.0,,,1209882.3529412101,-17994355.534132455,41.498753386969504,2881140.0,,2487298.2652795413,2466091.49778357,1137963.7586496328,,,-1167140.0,0.5949034062905656,0.15782629232379008,0.09082455575754783,0.06700173656624225,False,False,,,,,
2012-08-28,41.8,41.9,41.65,2007000,41.66,10359800.0,-0.0027824704362515718,,-1846440.000000032,-19840795.534132488,41.514247116441254,2880580.0,,2399971.307955988,2422368.497994659,1138439.9421040083,,,-873580.0,0.6967346853758618,0.1598157450390687,0.10462279361385202,0.055192951425216685,False,False,,,,,
2012-08-27,41.87,41.97,41.73,2012400,41.92,12372200.0,-0.5338861351739472,,1173900.0000000545,-18666895.534132432,41.53625770110181,2650080.0,,2329503.7974185357,2383323.8791380245,1044689.8431804744,,,-637680.0,0.7593733019380547,0.18029391175287657,0.11975701724165694,0.06053689451121963,False,False,,,,,
2012-08-24,41.84,41.9,41.63,2712700,41.74,9659500.0,-0.31817724827828886,,-502351.85185183067,-19169247.385984264,41.5530794378719,2523490.0,,2399175.834251529,2414693.033505832,936963.026010691,,,189210.0,1.0749794926867156,0.17992445363118037,0.13179050451956165,0.048133949111618723,False,False,,,,,
2012-08-23,41.86,42.0,41.81,3550000,41.87,13209500.0,0.5846092041244477,,-1307894.7368422588,-20477142.122826524,41.58397719143421,2654460.0,,2608416.5916603417,2522817.506505276,983366.7906172593,,,895540.0,1.3373718195037785,0.18795494138620228,0.14302339189288976,0.04493154949331252,False,False,,,,,66.10878657215376
2012-08-22,41.86,42.02,41.76,6445900,41.89,19655400.0,0.8166164078572837,,0.0,-20477142.122826524,41.62729336208499,2944220.0,,3306140.8477220973,2896444.4106476307,1543428.7571651775,,,3501680.0,2.189340470481146,0.1937001390132167,0.15315874131695517,0.04054139769626153,False,False,,,,,66.39004145520906
2012-08-21,41.93,42.07,41.73,9039000,41.97,28694400.0,1.4644872808572131,,3721941.176470566,-16755200.946355958,41.676322012615486,3481350.0,,4348478.875408988,3481449.7048716657,2476049.374058962,,,5557650.0,2.5964065664182,0.202375719615425,0.16300213697664914,0.039373582638775856,False,False,,,,,65.67796606273342
2012-08-20,41.39,42.29,41.18,32035600,42.04,60730000.0,6.818137446310035,,17605149.54954954,849948.6031935811,41.73562809707437,6275150.0,,9382500.8980619,6200892.590121983,9381362.310009494,,,25760450.0,5.105152864871756,0.21245059650188836,0.17289182888169702,0.03955876762019134,False,False,,,,,63.99999996017779
2012-08-17,34.81,34.98,34.49,1681400,34.94,59048600.0,0.22756808060159162,,1406885.7142857173,2256834.3174792985,41.603617138227655,6306320.0,,7982300.734777917,5770464.724396079,9363754.07145375,,,-4624920.0,0.2666214210506286,-0.34845883723665594,0.06862169565802642,-0.4170805328946824,False,True,,,,,12.885462553079336
2012-08-16,32.72,34.75,32.63,2398000,34.71,56650600.0,0.285653013081707,,2307509.433962266,4564343.751441564,41.40336514748224,6359600.0,,6966973.328454659,5449277.607786928,9337154.239203006,,,-3961600.0,0.37706774010944083,-0.8022943327613135,-0.10556151002584158,-0.6967328227354719,False,False,,,,,12.928176793580192
2012-08-15,32.3,32.72,32.19,2566000,32.72,54084600.0,0.4970828471411901,,2566000.0,7130343.751441564,41.15958444939598,6444800.0,4662970.0,6166796.35964472,5174679.74037865,9293840.581446044,6698516.219841055,-0.313049924965287,-3878800.0,0.3981504468718967,-1.3074669365739453,-0.34594259533546234,-0.961524341238483,False,False,40.5165,46.10791927185613,34.92508072814387,-0.1971843480995004,10.675182480388216
2012-08-14,32.35,32.45,32.2,685000,32.32,53399600.0,-0.6586945690084703,-0.6596442412799364,-27400.000000014017,7102943.75144155,41.095154509830635,6312600.0,4596590.0,5170106.112436589,4747091.193675921,9373044.76547272,6732653.850326466,-0.5809878373310885,-5627600.0,0.10851313246522827,-1.7202663619362752,-0.6208073486556249,-1.0994590132806503,False,False,40.0775,46.750171287068106,33.404828712931895,-0.08128893708838428,9.5829636190403
2012-08-13,32.36,32.47,32.18,543700,32.3,52855900.0,-0.7298250844762473,-0.8740677259461713,-93741.3793103531,7009202.372131198,41.04464165328755,6165730.0,4407905.0,4328941.364720846,4346768.222849643,9459025.629765233,6793494.795563039,-0.568809591570422,-5622030.0,0.08818096154064482,-2.0256759816710286,-0.9017810752587057,-1.123894906412323,False,False,39.631,47.12367122628927,32.13832877371073,0.010788624070546078,7.935076644624985
2012-08-10,32.23,32.46,32.22,553100,32.45,53409000.0,-0.7961071994691635,-0.8609812496858191,507008.3333333429,7516210.705464541,40.99419766725728,5949770.0,4236630.0,3642424.7529534185,3985466.4873401527,9570616.518519357,6847851.662736431,-0.537910308432126,-5396670.0,0.09296157666598877,-2.22990658423619,-1.1674061770542026,-1.0625004071819872,False,False,39.183,47.27527597937168,31.090724020628322,0.08398601226877717,8.757819480584445
2012-08-09,32.48,32.7,32.25,624200,32.52,54033200.0,-0.824169014084507,-0.7213766013480337,124840.00000000394,7641050.705464545,40.93870926514009,5657190.0,4155825.0,3093656.616052797,3665345.8694982333,9696030.540088728,6882097.689610494,-0.5131611260519435,-5032990.0,0.11033746435951418,-2.358920229160624,-1.405708987475487,-0.9532112416851373,False,False,38.725,47.247647228970216,30.202352771029787,0.13596991443527434,7.097361236584575
2012-08-08,32.3,32.63,32.19,1155300,32.48,52877900.0,-0.8207697916505066,-0.6744074627286306,367595.4545454334,8008646.160009978,40.837220009082074,5128130.0,4036175.0,2741228.140406834,3426293.881926973,9792077.179371994,6913944.128306368,-0.41667606022522136,-3972830.0,0.2252868004516266,-2.436307897073945,-1.6118287693951785,-0.8244791276787666,False,False,38.278,47.13665048531957,29.419349514680427,0.17274925172810668,7.262569831455593
