Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,77.59,78.75,77.42,499700,78.21,0.0,,,93928.57142856621,93928.57142856621,78.12666666666667,,,499700.0,499700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,77.66,78.1,77.38,497200,77.46,-497200.0,,,-386711.1111111133,-292782.5396825471,77.88726853245059,,,499245.45454545453,499461.90476190473,,,,,,-0.059829059829070275,-0.011965811965814055,-0.04786324786325622,False,False,,,,,
2012-09-10,77.48,78.39,77.35,377200,77.94,-120000.0,,,50776.92307692298,-242005.61660562412,77.8889333624433,,,477055.3719008264,487817.9138321995,,,,,,-0.06773126841503085,-0.023118903255657415,-0.04461236515937344,False,False,,,,,
2012-09-07,76.73,78.2,76.73,650600,77.63,-770600.0,,,146053.06122448287,-95952.55538114125,77.77038343129023,,,508608.9406461307,503320.9696577043,,,,,,-0.0978799359007354,-0.03807110978467301,-0.05980882611606239,False,False,,,,,
2012-09-06,75.74,76.91,75.51,389300,76.72,-1159900.0,,,283632.8571428578,187680.30176171655,77.54615962441314,,,486916.4059831978,492461.8296903039,,,,,,-0.19297783850747408,-0.06905245552923323,-0.12392538297824085,False,False,,,,,
2012-09-05,75.5,75.73,74.72,216500,74.88,-1376400.0,,,-147905.94059406122,39774.36116765533,77.34565456503833,,,437749.7867135254,466179.75067217974,,,,,,-0.41206619139300926,-0.13765520270198844,-0.2744109886910208,False,False,,,,,
2012-09-04,75.27,75.92,74.85,326200,75.55,-1050200.0,,,100603.7383177558,140378.09948541113,77.13541188938117,,,417468.00731106626,452848.3458462579,,,,,,-0.5255734058601149,-0.21523884333361376,-0.31033456252650116,False,False,,,,,
2012-08-31,75.68,75.85,74.69,298100,75.08,-1348300.0,,,-97653.44827586118,42724.65120954995,76.95876234074802,,,395764.73325450876,438110.40814661427,,,,,,-0.6460069966151281,-0.30139247398991664,-0.3446145226252114,False,False,,,,,
2012-08-30,75.5,75.93,75.21,298100,75.37,-1050200.0,,,-165611.11111110458,-122886.45990155463,76.83664705827164,,,378007.5090264162,424776.0835612225,,,,,,-0.7098679922594897,-0.3830875776438313,-0.32678041461565843,False,False,,,,,
2012-08-29,75.52,76.48,75.5,401600,75.84,-648600.0,,,-122938.77551020241,-245825.23541175702,76.74558789564631,395450.0,,382297.05283979507,422568.8375077727,125832.36864972384,,,6150.0,1.0155519028954356,-0.7143189946331745,-0.4493338610416999,-0.2649851335914746,False,False,,,,,
2012-08-28,74.53,75.56,74.52,575700,75.32,-1224300.0,0.15209125475285168,,309992.30769229925,64167.07228054223,76.540701808603,403050.0,,417461.2250507414,437152.7577451277,134803.75242057125,,,172650.0,1.4283587644212876,-0.7511473412833851,-0.509696557090037,-0.2414507841933481,False,False,,,,,
2012-08-27,75.0,75.18,74.22,409500,74.6,-1633800.0,-0.17638777152051488,,-85312.50000000656,-21145.427719464336,76.38534472403857,394280.0,,416013.72958697024,434519.1617694013,130791.06153624483,,,15220.0,1.038602008724764,-0.8288772728038225,-0.5735327002327941,-0.2553445725710284,False,False,,,,,
2012-08-24,73.72,74.72,73.65,223600,74.47,-1857400.0,-0.4072110286320254,,119114.01869158813,97968.5909721238,76.29417142783362,378920.0,,381029.415116612,414431.62255326787,141593.06166303175,,,-155320.0,0.5900981737569936,-0.8907012673249284,-0.636966413651221,-0.2537348536737074,False,False,,,,,
2012-08-23,74.61,74.74,73.56,362300,73.79,-2219700.0,-0.4431294189978482,,-221064.4067796577,-123095.8158075339,76.14571527677235,350090.0,,377624.06691359164,409466.7061196233,104664.47396853963,,,12210.0,1.0348767459796053,-0.9832334423221027,-0.7062198193853974,-0.2770136229367054,False,False,,,,,23.179611646547258
2012-08-22,74.43,75.17,74.43,247300,74.92,-1972400.0,-0.36475725661443614,,80205.40540540425,-42890.41040212965,76.08978093043935,335890.0,,353928.78202021134,394022.2579177544,108322.47586617367,,,-88590.0,0.736252939950579,-0.9543827709686354,-0.7558524097020449,-0.19853036126659052,False,False,,,,,32.44397011254844
2012-08-21,75.44,75.47,74.04,374600,74.42,-2347000.0,0.7302540415704388,,-175511.88811188948,-218402.29851401912,76.00164115494103,351700.0,,357687.18528926384,392172.51906844444,100193.5682122915,,,22900.0,1.0651123116292294,-0.9607888515781013,-0.7968396980772563,-0.16394915350084505,False,False,,,,,33.33333332821641
2012-08-20,75.02,75.68,74.88,395900,75.12,-1951100.0,0.2136725935009196,,-158359.99999999438,-376762.2985140135,75.95475232040427,358670.0,,364634.9697821249,392527.5172524021,100645.88140825457,,,37230.0,1.1038001505562216,-0.8990182440604144,-0.8172754072738879,-0.0817428367865265,False,False,,,,,34.90364025172755
2012-08-17,75.02,75.5,74.95,539300,75.01,-2490400.0,0.8091244548809124,,-421634.5454545404,-798396.8439685539,75.89372965112175,382790.0,,396392.24800355674,406505.8489426495,112697.76148816996,,,156510.0,1.4088664803155777,-0.849152175560107,-0.8236507609311319,-0.02550141462897515,False,False,,,,,35.66739605580594
2012-08-16,74.25,75.19,73.96,564200,75.06,-1926200.0,0.8926534719892654,,444938.21138211834,-353458.6325864356,75.80835977106192,409400.0,,426902.7483665464,421524.33951954,121547.1284911513,,,154800.0,1.378114313629702,-0.7964177666147378,-0.8182041620678531,0.021786395453115226,True,False,,,,,39.97584540386884
2012-08-15,73.95,74.51,73.79,509400,74.19,-2435600.0,0.2684262948207172,,56599.999999988824,-296858.63258644677,75.70561999109074,420180.0,407815.0,441902.24866353796,429893.4500414886,125494.76128951005,122968.19132990195,0.8261079463018641,89220.0,1.212337569613023,-0.815427357707506,-0.8176488011957838,0.0022214434882777967,False,False,75.579,78.1891010264779,72.96889897352209,0.23391834532276232,45.28043774782593
2012-08-14,74.3,74.45,73.54,491400,73.91,-2927000.0,-0.14643043251693588,-0.01660996597958775,-91800.00000000893,-388658.6325864557,75.60680508497443,411750.0,407400.0,450901.8398156219,435751.216704204,116388.04110006797,122655.37943874765,0.6848456250705939,79650.0,1.1934426229508197,-0.8433644748575944,-0.8227919359281459,-0.020572538929448436,False,True,75.364,77.76131779945399,72.96668220054602,0.1967444198822595,38.150289009622774
2012-08-13,74.26,74.6,73.24,538600,73.84,-3465600.0,0.31526251526251525,0.08326629123089302,-63364.70588234599,-452023.33846880164,75.50634288741568,424660.0,409470.0,466846.95984914515,445546.33892285125,123078.45916776465,124584.82673516701,1.0364825587829791,113940.0,1.2683087646587858,-0.8612255840223781,-0.8304786655469925,-0.030746918475385687,False,False,75.18299999999999,77.45748178019103,72.90851821980895,0.2047679142351301,40.49079753731796
