Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,78.38,79.0,78.23,3121000,78.79,0.0,,,1418636.3636364054,1418636.3636364054,78.67333333333335,,,3121000.0,3121000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,77.44,78.55,77.17,3127100,78.25,-3127100.0,,,1767491.3043478345,3186127.6679842398,78.33133309859531,,,3122109.090909091,3121580.9523809524,,,,,,-0.043076923076924345,-0.00861538461538487,-0.03446153846153947,False,False,,,,,
2012-09-10,77.15,78.15,77.0,3453100,77.19,-6580200.0,,,-2312075.652173932,874052.0158103076,78.01643992495774,,,3182289.256198347,3153154.1950113378,,,,,,-0.16089414858646478,-0.03907113740960086,-0.12182301117686392,False,False,,,,,
2012-09-07,77.19,78.95,77.08,4231500,78.22,-2348700.0,,,927762.0320855515,1801814.047895859,78.03675612049352,,,3373054.8459804654,3255853.7954864483,,,,,,-0.1692022979334098,-0.06509736951436265,-0.10410492841904714,False,False,,,,,
2012-09-06,75.28,77.09,75.23,4307200,77.04,-6655900.0,,,4075630.1075268947,5877444.155422754,77.66284405799009,,,3542899.4194385624,3355982.00544012,,,,,,-0.26791435456782153,-0.10566076652505443,-0.1622535880427671,False,False,,,,,
2012-09-05,73.93,75.1,73.73,3636800,74.82,-10292700.0,,,2150224.817518232,8027668.972940985,77.14536238707544,,,3559972.2522679144,3382726.576350585,,,,,,-0.5192937225341865,-0.18838735772688087,-0.3309063648073056,False,False,,,,,
2012-09-04,74.98,75.09,73.62,3704300,74.12,-13997000.0,,,-1184368.0272108824,6843300.945730103,76.72995604810862,,,3586213.660946475,3413352.6166981487,,,,,,-0.7661659484618468,-0.3039430758738741,-0.46222287258797273,False,False,,,,,
2012-08-31,75.24,75.64,74.37,3157600,75.11,-10839400.0,,,522122.8346456554,7365423.780375758,76.5442752836487,,,3508283.904410752,3388995.2246316583,,,,,,-0.8718787642346797,-0.41753021354603526,-0.45434855068864444,False,False,,,,,
2012-08-30,73.9,74.85,73.8,3185300,74.53,-14024700.0,,,1243783.8095238456,8609207.589899603,76.32965879273313,,,3449559.5581542514,3369595.6794286435,,,,,,-0.9910340613303674,-0.5322309831029017,-0.4588030782274657,False,False,,,,,
2012-08-29,73.66,74.4,73.14,4241400,74.32,-18266100.0,,,3702809.523809442,12312017.113709046,76.0509677047704,3616530.0,,3593530.5475807507,3452624.6623402014,490143.65705939266,,,624870.0,1.1727816442833323,-1.0898476523730807,-0.6437543169569375,-0.44609333541614316,False,False,,,,,
2012-08-28,74.89,74.95,73.73,7335200,73.81,-25601300.0,1.3502723486062158,,-6373206.557377068,5938810.556331977,75.73266847507499,4037950.0,,4273834.08438425,3822393.7421173253,1245845.3473222286,,,3297250.0,1.8165653363711785,-1.195529552450708,-0.7541093640556916,-0.4414201883950163,False,False,,,,,
2012-08-27,76.76,76.95,75.12,4171600,75.27,-21429700.0,0.3340155415560744,,-3487731.147541022,2451079.4087909553,75.7368102726752,4142400.0,,4255246.069041659,3855651.480963294,1204080.6654410197,,,29200.0,1.007049053688683,-1.1482372570420267,-0.8329349426529588,-0.315302314389068,False,False,,,,,
2012-08-24,76.0,77.02,75.44,3769300,76.67,-17660400.0,0.09156989371868751,,2099356.962025342,4550436.370816298,75.78369489684701,4174020.0,,4166892.238306812,3847427.530395361,1188012.4913297654,,,-404720.0,0.9030383179764352,-0.9864186522968339,-0.8636316845817338,-0.12278696771510011,False,False,,,,,
2012-08-23,76.63,76.76,75.85,3119100,76.12,-20779500.0,-0.262885501595179,,-1268205.4945054464,3282230.8763108514,75.80997138344894,4062780.0,,3976384.5586146642,3778063.003691041,1233250.9880618607,,,-943680.0,0.7677255475314932,-0.8922710998349856,-0.8693595676323842,-0.022911532202601448,False,False,,,,,39.259855184636855
2012-08-22,77.47,77.66,76.61,3622200,77.03,-17157300.0,-0.1590360326894502,,-724439.9999999804,2557790.876310871,75.89028291342042,3994280.0,,3911987.366139271,3763218.908101418,1237184.0380476948,,,-372080.0,0.9068467909110027,-0.7357478481929576,-0.8426372237444989,0.10688937555154132,True,False,,,,,43.403298346269494
2012-08-21,78.24,79.02,77.33,4729500,77.65,-12427800.0,0.3004564452265728,,-2938446.7455620863,-380655.86925121536,76.04888342271715,4103550.0,,4060626.0268412214,3855245.6787584256,1250287.8008682642,,,625950.0,1.152538655554337,-0.5552723906592689,-0.785164257127453,0.22989186646818405,False,False,,,,,47.76453054643293
2012-08-20,77.0,77.98,76.56,4939700,77.89,-7488100.0,0.33350430580676504,,4313540.845070399,3932884.975819184,76.15282776163967,4227090.0,,4220457.658324636,3958527.0426861946,1267372.6632946865,,,712610.0,1.1685816956818993,-0.38840105053276375,-0.7058116158085153,0.3174105652757515,False,False,,,,,52.7777777719136
2012-08-17,76.35,77.0,76.07,5687200,76.94,-13175300.0,0.801114770711933,,4953367.741935461,8886252.717754645,76.1928236543553,4480050.0,,4487138.084083793,4123162.5624303664,1282546.336394908,,,1207150.0,1.2694501177442217,-0.3290186495728875,-0.6304530225613897,0.3014343729885022,False,False,,,,,44.88817890871856
2012-08-16,75.29,75.54,74.31,9385700,75.51,-22561000.0,1.9465670423507988,,8927860.97560974,17814113.693364386,76.0713979653855,5100090.0,,5377785.705159467,4624356.604103665,1924948.8965511094,,,4285610.0,1.8403008574358493,-0.39281855025021173,-0.5829261280991541,0.1901075778489424,False,False,,,,,44.009397019450795
2012-08-15,76.11,76.14,73.75,18927300,75.1,-41488300.0,3.4625123779884,,2455005.439330449,20269119.132694833,75.87167933699942,6568680.0,5092605.0,7841333.758766836,5986541.689427125,4740319.683031233,3612651.6841547727,3.8295125601727666,12358620.0,2.8814465006668004,-0.4710342154503877,-0.5605477455694008,0.08951353011901308,False,False,76.21900000000001,79.3002567497524,73.13774325024761,0.3184182476695696,51.27737225622369
2012-08-14,80.34,80.39,79.84,3615100,80.13,-37873200.0,-0.5071572690587851,0.15831464274271068,197187.2727271878,20466306.40542202,76.01729905600982,6196670.0,5117310.0,7072927.620809229,5760690.099957875,4818803.952353968,3600127.04189581,-0.41726583048828836,-2581570.0,0.5833939841882818,-0.12569282248243496,-0.4735767609520076,0.34788393846957266,False,False,76.286,79.64811963217441,72.92388036782559,1.071663179860428,69.65336820814159
2012-08-13,79.61,80.32,79.22,3088600,79.76,-40961800.0,-0.25961261865950713,-0.012311726519778743,-56156.36363631285,20410150.04178571,76.12397504017902,6088370.0,5115385.0,6348504.417025733,5506205.328533315,4881139.956801985,3601257.3385116775,-0.5627992696677507,-2999770.0,0.5072950559837854,0.11679052326149986,-0.35550330410930614,0.472293827370806,False,False,76.3615,79.96823799261443,72.75476200738558,0.971132087631422,65.84867075036212
2012-08-10,78.4,79.4,77.38,5904100,79.37,-46865900.0,0.5663651075796567,0.7097969940053865,5728730.693069301,26138880.73485501,76.25771192647672,6301850.0,5237935.0,6267703.613930145,5544100.05914919,4814675.230364857,3583372.006669725,0.18590450524256708,-397750.0,0.9368836135420551,0.27432829530290803,-0.2295369842268633,0.5038652795297713,False,False,76.4705,80.30710197790208,72.63389802209792,0.8778734433100488,66.71270717587035
2012-08-09,79.1,79.17,78.25,2746400,78.68,-49612300.0,-0.11948959635792378,-0.35096301547914455,-179113.0434782249,25959767.691376787,76.31494007859077,6264580.0,5163680.0,5627466.593215574,5277652.434468315,4843406.913595704,3620519.757481761,-0.6676610436953755,-3518180.0,0.4384012974533009,0.33958634125782794,-0.11571231912992506,0.455298660387753,False,False,76.4935,80.37946001821402,72.60753998178598,0.7813333114277538,64.57219250732619
2012-08-08,78.56,79.85,78.34,2412700,79.17,-47199600.0,-0.33391309149135884,-0.439844910846954,239672.1854304741,26199439.87680726,76.3715177800628,6143630.0,5068955.0,5042963.576267287,5004799.8216618085,4931033.621880012,3668571.9251465797,-0.724056950278784,-3730930.0,0.3927157071633546,0.42593282921386333,-0.007383289461167383,0.4333161186750307,False,False,76.6,80.66179633582041,72.53820366417958,0.8163624893419119,67.93842034169253
