Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,20.38,20.7,20.35,7672600,20.57,0.0,,,1972954.2857142945,1972954.2857142945,20.54,,,7672600.0,7672600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,19.76,20.32,19.76,7758000,20.31,-7758000.0,,,7480928.571428528,9453882.857142823,20.333865436211166,,,7688127.272727272,7680733.333333333,,,,,,-0.020740740740741614,-0.004148148148148323,-0.01659259259259329,False,False,,,,,
2012-09-10,19.97,20.11,19.73,5139900,19.76,-12897900.0,,,-4328336.84210523,5125546.0150375925,20.21712763423349,,,7224813.223140494,7438749.206349206,,,,,,-0.08062889099926096,-0.019444296718370852,-0.06118459428089011,False,False,,,,,
2012-09-07,20.05,20.14,19.61,7791600,20.03,-5106300.0,,,4557350.943396251,9682896.958433844,20.13733256705251,,,7327865.364387676,7472354.043839758,,,,,,-0.1050924971448346,-0.0365739368036636,-0.06851856034117099,False,False,,,,,
2012-09-06,19.55,20.04,19.53,7700800,20.04,2594500.0,,,7700800.0,17383696.958433844,20.080246901940775,,,7395671.661771735,7494110.801569305,,,,,,-0.12226378404356097,-0.053711906251643085,-0.06855187779191789,False,False,,,,,
2012-09-05,19.4,19.59,19.18,6373200,19.44,-3778700.0,,,1709882.926829314,19093579.88526316,19.97858568530096,,,7209767.723267783,7387357.391896037,,,,,,-0.18218699988679887,-0.07940692497867424,-0.10278007490812463,False,False,,,,,
2012-09-04,19.0,19.58,18.92,6813900,19.49,3035200.0,,,4955563.636363629,24049143.52162679,19.888851715736042,,,7137791.773582731,7332742.402191653,,,,,,-0.22307057925245033,-0.10813965583342947,-0.11493092341902086,False,False,,,,,
2012-08-31,18.85,19.2,18.61,4972600,18.99,-1937400.0,,,1432783.0508474426,25481926.57247423,19.801223850079733,,,6744120.542022234,7107966.935316257,,,,,,-0.29244579865001086,-0.14500088439674574,-0.1474449142532651,False,False,,,,,
2012-08-30,18.63,18.93,18.46,3067600,18.77,-5005000.0,,,979021.2765957378,26460947.849069968,19.7433297899699,,,6075662.261654554,6723170.084333756,,,,,,-0.36101674491704117,-0.18820405650080485,-0.17281268841623632,False,False,,,,,
2012-08-29,18.67,18.85,18.57,2518000,18.75,-7523000.0,,,719428.5714285532,27180376.42049852,19.700386663813102,5980820.0,,5428814.577717362,6322677.695349589,1980666.4202849616,,,-3462820.0,0.4210125033022228,-0.41222171142350206,-0.23300758748534434,-0.17921412393815772,False,False,,,,,
2012-08-28,18.68,18.96,18.51,3266000,18.62,-10789000.0,-0.5743294320047962,,-1669288.8888888946,25511087.531609625,19.64841375713049,5540160.0,,5035575.563586932,6031565.533887723,2051386.2771848266,,,-2274160.0,0.5895136602552995,-0.4580122497243089,-0.27800851993313724,-0.18000372979117163,False,False,,,,,
2012-08-27,19.04,19.08,18.64,3380200,18.74,-7408800.0,-0.5642949213714875,,-1843745.4545454793,23667342.077064145,19.60627652946983,5102380.0,,4734598.188389308,5779054.530660321,1991754.4074397213,,,-1722180.0,0.6624751586514529,-0.47909586520528435,-0.31822598898756665,-0.1608698762177177,False,False,,,,,
2012-08-24,18.78,19.11,18.7,4213200,19.01,-3195600.0,-0.18029533648514562,,2157980.4878049227,25825322.56486907,19.56655314458111,5009710.0,,4639798.517773069,5629925.52774029,2011277.2782212025,,,-796510.0,0.8410067648626368,-0.46861612388461893,-0.34830401596697713,-0.1203121079176418,False,False,,,,,
2012-08-23,18.95,19.17,18.76,7173000,18.78,-10368600.0,-0.07939319266902822,,-6473195.1219512345,19352127.442917835,19.505437535168024,4947850.0,,5100380.605450693,5776885.001288834,1923820.6102845336,,,2225150.0,1.4497205857089444,-0.47341272400222323,-0.37332575757402636,-0.10008696642819687,False,False,,,,,22.29102166216481
2012-08-22,18.24,19.22,18.24,10229300,19.0,-139300.0,0.3283425098691044,,5636553.061224516,24988680.50414235,19.42582411243796,5200700.0,,6032911.404459657,6200924.524975612,2426369.5065307394,,,5028600.0,1.9669083008056607,-0.4542258696897825,-0.3895057799971776,-0.0647200896926049,False,False,,,,,27.246376800537632
2012-08-21,18.46,18.73,18.14,4618100,18.25,-4757400.0,-0.2753875604092135,,-2896096.6101695,22092583.89397285,19.373384663242994,5025190.0,,5775672.967285174,6050179.332120792,2395413.4356446,,,-407090.0,0.9189901277364637,-0.4938461306166211,-0.41037385012106636,-0.08347228049555472,False,False,,,,,23.857868011827094
2012-08-20,18.97,19.0,18.27,5377600,18.41,620200.0,-0.21078970927075535,,-3314958.904109582,18777624.98986327,19.32878128178145,4881560.0,,5703296.064142415,5986124.157633097,2318056.2576818056,,,496040.0,1.1016150574816248,-0.5064962366918699,-0.4295983274352271,-0.07689790925664286,False,False,,,,,30.985915480737873
2012-08-17,18.86,19.06,18.79,5470900,18.98,6091100.0,0.10020914612074172,,2228885.185185249,21006510.17504852,19.308414095512212,4931390.0,,5661042.234298339,5937055.190239469,2325574.394734437,,,539510.0,1.1094032311376711,-0.4651651661047609,-0.4367116951691339,-0.028453470935627,False,False,,,,,36.36363635041319
2012-08-16,18.16,18.97,18.02,8153300,18.92,-2062200.0,1.6578758638675186,,7295057.89473689,28301568.06978541,19.259376866404395,5439960.0,,6114180.009880459,6148126.124502377,2426593.9280307195,,,2713340.0,1.4987794027897263,-0.4322685704470075,-0.4358230702247086,0.0035544997777011145,True,False,,,,,35.64102562823142
2012-08-15,18.38,18.45,17.9,5173700,18.11,-7235900.0,1.0546862589356634,,-1222874.5454545345,27078693.524330873,19.21041087251366,5705530.0,5843175.0,5943183.644447648,6055323.636454531,2206631.236397338,2045653.5547800392,-0.32726704794937084,-531830.0,0.9067869242647046,-0.46618413145079174,-0.44189528246992527,-0.024288848980866473,False,True,19.148500000000002,20.523407078199913,17.77359292180009,0.12233811416563047,33.8199513266793
2012-08-14,18.34,18.48,18.08,4311100,18.33,-2924800.0,0.31999387630128595,-0.4381174569246409,1077774.9999999714,28156468.524330843,19.177902057581925,5810040.0,5675100.0,5646441.163638984,5889207.099649338,2100446.982165674,2025427.1118120146,-0.6734382057223082,-1498940.0,0.7420086608698047,-0.46989365495574376,-0.44749495696708896,-0.022398697988654792,False,False,19.0365,20.282770647297685,17.790229352702315,0.21655434494428602,36.448598118918675
2012-08-13,18.03,18.3,17.9,5209600,18.24,-8134400.0,0.5412105792556654,-0.328486723382315,3646719.999999949,31803188.52433079,19.13539418165667,5992980.0,5547680.0,5567015.497522805,5824482.613968449,1938746.2459595434,1966806.7284172506,-0.17189284290890305,-783380.0,0.8692837286291628,-0.47462455052280106,-0.4529208756782314,-0.021703674844569643,False,False,18.933,20.073269589545433,17.792730410454567,0.19612449268410945,40.31007750479738
2012-08-10,18.35,18.43,17.95,4372500,18.09,-12506900.0,0.03780974081458277,-0.14930251561314423,-1821874.9999999919,29981313.5243308,19.102665563855105,6008910.0,5509310.0,5349830.861609567,5686198.555495264,1923088.776739707,1982602.8054316032,-0.5733927122899041,-1636410.0,0.7276694109247767,-0.4848880778129754,-0.45931431610518025,-0.02557376170779513,False,False,18.8495,19.979315541535314,17.719684458464684,0.16388318620227654,41.05263156382271
2012-08-09,18.02,18.63,18.01,6859900,18.49,-5647000.0,-0.04364979785306011,-0.1195774937111761,3761880.645161265,33743194.169492066,19.06647603559454,5977600.0,5462725.0,5624388.886771463,5797979.645448096,1904489.120181286,1936565.1395882403,0.7214706964605758,882300.0,1.1476010438972162,-0.45549468092848855,-0.4585503890698419,0.0030557081413533638,True,False,18.7725,19.765143997243303,17.7798560027567,0.3577032648237734,46.88995213740525
2012-08-08,17.63,18.07,17.39,5788400,17.99,-11435400.0,-0.4341352780737685,-0.24833783503012674,4426423.529411733,38169617.6989038,19.016028725172294,5533510.0,5367105.0,5654209.089176651,5797067.298262563,1184642.1751829633,1866175.7556635216,0.22575312037006284,254890.0,1.046062987145591,-0.46716088358676444,-0.46027248797322645,-0.00688839561353799,False,True,18.67,19.525446943816046,17.814553056183957,0.10254694641458059,43.07692306366861
2012-08-07,17.59,17.77,17.17,6192000,17.67,-17627400.0,0.34081115610315926,-0.028431557145547015,4128000.000000037,42297617.69890384,18.954796147872838,5690900.0,5358045.0,5751989.254780896,5834679.936523271,1153656.5654956035,1861468.1530207617,0.4480092762514743,501100.0,1.088052856314467,-0.4965043656285779,-0.4675188635042967,-0.028985502124281193,False,False,18.5815,19.467229553591423,17.695770446408574,-0.014547581879863254,38.73684209384601
2012-08-06,17.48,17.73,17.21,5246100,17.44,-22873500.0,-0.024453287711990512,-0.23008849557522126,-605319.2307692184,41692298.46813462,18.904152302126043,5677750.0,5279655.0,5660009.390275278,5778624.704473436,1158364.3720062068,1829672.5054889207,-0.01833934756047149,-431650.0,0.9239751662190128,-0.5321836821499026,-0.48045182723341795,-0.05173185491648469,False,False,18.479000000000003,19.395972134111418,17.562027865888588,-0.06653848102311034,33.33333332342531
2012-08-03,17.85,17.98,17.24,7618300,17.31,-30491800.0,0.39251311484399287,0.5320556650444435,-6176999.999999998,35515298.46813462,18.838776339077054,5892490.0,5411940.0,6016062.228407046,5953831.875475965,1305462.322065763,1900572.2034221832,1.1608924912335419,1725810.0,1.2928829747695796,-0.5644431616791508,-0.4972500941225645,-0.06719306755658627,False,False,18.395,19.41669106464672,17.37330893535328,-0.030982425874092973,34.05639912197849
2012-08-02,17.21,17.73,16.93,8414200,17.51,-22077600.0,0.03199931316154192,1.742926065979919,3786390.000000028,39301688.46813465,18.767436171889567,5918580.0,5679270.0,6452087.277787583,6188152.6492401585,1357245.5544635656,1929271.0349821388,1.4175976057326336,2495620.0,1.4216585735091862,-0.5673308660205301,-0.5112662485021576,-0.05606461751837244,False,False,18.332,19.4101582737047,17.253841726295303,0.11879437367971235,33.76906317052797
2012-08-01,17.79,17.95,17.19,6599300,17.23,-28676900.0,0.275547480526509,1.6208498808578238,-5904636.842105276,33397051.626029372,18.718695977102488,6061140.0,5883335.0,6478853.22728075,6227309.539788716,1345128.635897367,1787965.979093209,0.4004354715759812,538160.0,1.0887885777263022,-0.585464185763545,-0.5261058359544352,-0.05935834980910981,False,False,18.256,19.42089710410744,17.09110289589256,0.05961775663176025,37.62135921051702
2012-07-31,17.75,18.03,17.51,7195800,17.59,-21481100.0,0.6691331678689894,1.2032455603184324,-4981707.692307738,28415343.933721635,18.67939155841542,6349610.0,6079825.0,6609207.185956976,6319546.726475504,1232747.758690137,1698909.5570472009,0.6568772277316672,846190.0,1.133266452585277,-0.5642812974053513,-0.5337409282446184,-0.030540369160732883,False,False,18.204500000000003,19.392483253470488,17.01651674652952,0.24136840809630555,40.50925924613126
2012-07-30,18.65,18.89,17.74,7095500,17.86,-14385600.0,0.3620047604422605,1.0991361457901898,-5614699.999999991,22800643.933721647,18.660296998810704,6538200.0,6265590.0,6697624.061237526,6393447.038239742,1182185.8539727726,1587666.7394904422,0.5227230497165656,557300.0,1.0852375271481447,-0.519715999718386,-0.5309359425393719,0.011219942820985929,True,False,18.160500000000003,19.330015869247212,16.990984130752793,0.3715280365569439,36.06965172873195
