Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,16.02,16.71,16.0,7900100,16.68,0.0,,,7232485.915492933,7232485.915492933,16.463333333333335,,,7900100.0,7900100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,16.2,16.46,15.92,5848900,15.94,-5848900.0,,,-5415648.148148158,1816837.7673447756,16.311605377360777,,,7527154.545454545,7704747.619047619,,,,,,-0.05903133903133906,-0.011806267806267812,-0.04722507122507125,False,False,,,,,
2012-09-07,16.18,16.51,16.0,8805400,16.24,2956500.0,,,-517964.7058824323,1298873.0614623432,16.287554194894717,,,7759562.809917355,7809571.655328799,,,,,,-0.08067661788459546,-0.025580337821933342,-0.055096280062662116,False,False,,,,,
2012-09-06,15.53,16.22,15.53,5919700,15.8,-2963200.0,,,-1286891.3043477996,11981.75711454358,16.196587682607472,,,7425042.29902329,7629583.878630818,,,,,,-0.13181549313561547,-0.04682736888466977,-0.0849881242509457,False,False,,,,,
2012-09-05,15.37,15.58,15.26,4643000,15.41,-7606200.0,,,-290187.49999999354,-278205.74288544996,16.08724316642057,,,6919216.426473601,7345147.318761216,,,,,,-0.20149050373814248,-0.0777599958553643,-0.12373050788277817,False,False,,,,,
2012-09-04,15.48,15.54,15.18,5216500,15.41,-7606200.0,,,1449027.7777778008,1170822.034892351,15.99054673532706,,,6609631.621660219,7142419.002688719,,,,,,-0.2537829991818512,-0.11296459652066168,-0.14081840266118953,False,False,,,,,
2012-08-31,15.27,15.54,14.98,4705700,15.49,-2900500.0,,,3865396.4285714445,5036218.463463795,15.919054786361924,,,6263462.235903815,6910350.526242174,,,,,,-0.28547902268696035,-0.14746748175392144,-0.1380115409330389,False,False,,,,,
2012-08-30,15.23,15.28,14.89,3897700,15.07,-6798200.0,,,-299823.07692307146,4736395.386540724,15.849378755921059,,,5833323.647557667,6623431.428504825,,,,,,-0.3405630408441027,-0.1860865935719577,-0.15447644727214502,False,False,,,,,
2012-08-29,15.63,15.65,15.22,4353600,15.31,-2444600.0,,,-2531162.790697676,2205232.595843048,15.81066914145412,,,5564282.984365365,6407257.006742461,,,,,,-0.3606936756869459,-0.22100800999495535,-0.13968566569199053,False,False,,,,,
2012-08-28,15.35,15.7,15.3,2945900,15.61,501300.0,,,1620244.9999999974,3825477.595843045,15.795786472209677,5423650.0,,5088213.350844389,6077603.958481274,1788124.2202996474,,,-2477750.0,0.5431582052676703,-0.34842344742208553,-0.2464910974803814,-0.10193234994170414,False,False,,,,,
