Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,59.28,59.35,58.62,1637800,58.71,0.0,,,-1233958.904109576,-1233958.904109576,58.89333333333333,,,1637800.0,1637800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,58.95,59.29,58.75,929300,59.01,929300.0,,,-34418.51851852395,-1268377.4226281,58.937980470829594,,,1508981.8181818181,1570323.8095238095,,,,,,0.023931623931623847,0.00478632478632477,0.019145299145299076,False,False,,,,,
2012-09-10,59.42,59.42,58.73,1258800,58.8,-329500.0,,,-1003391.3043478268,-2271768.7269759267,58.9529024978872,,,1463494.214876033,1540654.8752834466,,,,,,0.02565660993011676,0.008960381815083168,0.01669622811503359,False,False,,,,,
2012-09-07,57.99,59.2,57.99,1145200,58.79,-1474700.0,,,369114.0495867704,-1902654.6773891563,58.88542609616918,,,1405622.539444027,1502992.5062088328,,,,,,0.025917990869899654,0.012351903626046466,0.013566087243853189,False,False,,,,,
2012-09-06,57.43,57.81,56.96,2124800,57.7,-3599500.0,,,1574851.7647058861,-327802.9126832702,58.46757897753162,,,1536382.077726931,1562212.2675222775,,,,,,-0.06112415216439615,-0.002343307532042059,-0.05878084463235409,False,True,,,,,
2012-09-05,57.89,57.98,56.73,2535800,56.96,-6135300.0,,,-1602625.599999984,-1930428.5126832542,58.13999837342663,,,1718094.4272311253,1654934.908710632,,,,,,-0.18765433087030914,-0.03940551219969548,-0.14824881867061365,False,False,,,,,
2012-09-04,57.68,58.16,57.23,1195800,57.82,-4939500.0,,,321451.612903235,-1608976.8997800192,58.09545401369968,,,1623131.8040981933,1611207.7745477147,,,,,,-0.21604516226815207,-0.0747334422133868,-0.14131172005476528,False,False,,,,,
2012-08-31,57.78,58.05,57.29,1236000,57.81,-6175500.0,,,455368.4210526462,-1153608.478727373,58.056644285102436,,,1552744.2033530672,1575473.7007812657,,,,,,-0.2366243588075676,-0.10711162553222298,-0.12951273327534463,False,False,,,,,
2012-08-30,57.02,57.51,57.0,1204400,57.35,-7379900.0,,,448698.0392156995,-704910.4395116735,57.986749196682716,,,1489408.8936525094,1540133.348325907,,,,,,-0.2867462437451991,-0.1430385491748182,-0.14370769457038088,False,False,,,,,
2012-08-29,57.72,57.95,57.21,969400,57.55,-6410500.0,,,-78600.00000001208,-783510.4395116856,57.9583732636572,1423730.0,,1394861.8220793258,1485777.7913424873,523342.1146821647,,,-454330.0,0.680887527831822,-0.30679334740009523,-0.17578950881987362,-0.1310038385802216,False,False,,,,,
2012-08-28,57.5,57.94,57.37,1230700,57.41,-7641200.0,-0.2485651483697643,,-1057970.1754386004,-1841480.614950286,57.927737845875356,1383020.0,,1365014.218064903,1461484.6683574885,520666.6982501057,,,-152320.0,0.8898642102066492,-0.33017163832742824,-0.20666593472138456,-0.12350570360604368,False,False,,,,,
2012-08-27,57.93,58.21,57.64,974100,57.41,-7641200.0,0.048208328849671744,,-1760215.7894736975,-3601696.404423984,57.91740538009135,1387500.0,,1293938.905689466,1415067.0808948707,516505.0628987096,,,-413400.0,0.7020540540540541,-0.34472532337503026,-0.2342778124521137,-0.11044751092291655,False,False,,,,,
2012-08-24,57.57,58.18,57.17,964600,57.48,-6676600.0,-0.2337146488719415,,-372469.30693070113,-3974165.711354685,57.900370374625865,1358080.0,,1234059.1046550176,1372165.4541429784,532772.900962502,,,-393480.0,0.7102674363807728,-0.34661524387244214,-0.2567452987361794,-0.08986994513626273,False,False,,,,,
2012-08-23,57.32,58.01,57.07,1249800,57.42,-7926400.0,0.0913377575969263,,-319097.87234041945,-4293263.583695104,57.87354954037467,1368540.0,,1236921.0856268327,1360511.6013674566,529143.461328463,,,-118740.0,0.913236003332018,-0.34893224433198355,-0.2751826878553403,-0.07374955647664327,False,False,,,,,34.45783131367682
2012-08-22,57.2,57.72,56.98,1474400,57.16,-9400800.0,-0.3060993975903614,,-757124.3243243274,-5050387.908019432,57.83056586309272,1303500.0,,1280099.0700583176,1371358.115522937,461508.43979281676,,,170900.0,1.131108553893364,-0.3675118629902343,-0.2936485228823191,-0.07386334010791523,False,False,,,,,32.42630384458113
2012-08-21,58.01,58.35,57.33,1769500,57.12,-11170300.0,-0.30219260194021613,,-2498117.647058824,-7548505.555078256,57.81193669217609,1226870.0,,1369081.0573204416,1409276.390235038,248725.9761710107,,,542630.0,1.4422880989835924,-0.3810712580872604,-0.31113306992330736,-0.06993818816395303,False,False,,,,,27.228915653464895
2012-08-20,58.08,58.24,57.51,958000,57.45,-10212300.0,-0.19886268606790436,,-1115479.452054781,-8663985.007133037,57.808642410084104,1203090.0,,1294339.046898543,1366297.6864031295,262985.49791026703,,,-245090.0,0.796282904853336,-0.36102723705972295,-0.3211119033505905,-0.03991533370913247,False,False,,,,,34.19203745951555
