Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,13.75,13.91,13.75,6299100,13.81,0.0,,,-1574774.999999965,-1574774.999999965,13.823333333333334,,,6299100.0,6299100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,13.96,14.02,13.7,5765900,13.84,5765900.0,,,-720737.499999984,-2295512.4999999492,13.837670424091726,,,6202154.545454545,6248319.047619048,,,,,,0.002393162393161674,0.0004786324786323348,0.0019145299145293393,False,False,,,,,
2012-09-07,13.65,14.05,13.54,6337700,14.04,12103600.0,,,6089162.745098001,3793650.245098052,13.85110032766931,,,6226799.173553718,6256831.519274376,,,,,,0.020195290622641693,0.004421964107434207,0.015773326515207485,False,False,,,,,
2012-09-06,13.33,13.94,13.23,8820900,13.63,3282700.0,,,1118142.2535211486,4911792.498619201,13.769739637667318,,,6698453.869271223,6501028.517438722,,,,,,0.0012061285161344415,0.0037787969891742543,-0.002572668473039813,False,True,,,,,
2012-09-05,12.91,13.2,12.87,3669800,13.14,-387100.0,,,2335327.272727302,7247119.771346502,13.686618177345323,,,6147789.5294037275,6231387.706254082,,,,,,-0.05277348428544215,-0.0075316592657490265,-0.04524182501969312,False,False,,,,,
2012-09-04,13.22,13.29,12.72,5392400,13.03,-5779500.0,,,473017.54385964025,7720137.315206142,13.586561924131939,,,6010445.978603049,6151484.115182265,,,,,,-0.1032387252634841,-0.026673072465296044,-0.07656565279818806,False,False,,,,,
2012-08-31,12.72,13.53,12.57,8415800,13.33,2636300.0,,,4909216.666666675,12629353.981872818,13.503116965239128,,,6447783.073402494,6367133.247069668,,,,,,-0.11766888585581192,-0.04487223514339922,-0.0727966507124127,False,False,,,,,
2012-08-30,12.8,13.12,12.7,4421600,13.0,-1785300.0,,,1894971.4285714447,14524325.410444262,13.452430569126877,,,6079386.150965677,6181844.366396367,,,,,,-0.1539583975921861,-0.0666894676331566,-0.0872689299590295,False,False,,,,,
2012-08-29,12.9,13.01,12.64,2781200,12.85,-4566500.0,,,375837.8378378306,14900163.248282092,13.419257403996578,,,5479715.94169919,5857973.474358617,,,,,,-0.19260165154413578,-0.09187190441535244,-0.10072974712878334,False,False,,,,,
2012-08-28,13.02,13.09,12.79,4088500,12.83,-8655000.0,,,-2998233.3333333107,11901929.91494878,13.381585564122119,5599290.0,,5226767.588662974,5689452.191086368,1965000.6607010483,,,-1510790.0,0.7301818623432613,-0.22227825618974784,-0.11795317477023151,-0.10432508141951632,False,False,,,,,
