Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-01-18,0.55,0.64,0.51,29450100,0.55,0.0,,,-11326961.538461523,-11326961.538461523,0.5666666666666667,,,29450100.0,29450100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-01-17,0.56,0.62,0.52,13958300,0.53,-13958300.0,,,-11166639.999999998,-22493601.53846152,0.5634510908794919,,,26633409.09090909,27974690.476190474,,,,,,-0.0015954415954415602,-0.00031908831908831207,-0.001276353276353248,False,False,,,,,
2012-01-13,0.55,0.55,0.47,29094900,0.52,-43053200.0,,,7273725.0,-15219876.538461521,0.5433393008777991,,,27080952.89256198,28081377.097505666,,,,,,-0.003624970576537434,-0.0009802647705781365,-0.0026447058059592974,False,False,,,,,
2012-01-12,0.8,0.81,0.61,34340900,0.67,-8712300.0,,,-13736359.999999989,-28956236.53846151,0.5926204011698031,,,28400943.27573253,28677522.13583846,,,,,,0.006792064786724006,0.0005742011408822921,0.006217863645841714,True,False,,,,,
2012-01-11,0.71,0.85,0.7,60765700,0.82,52053400.0,,,36459419.999999985,7503183.461538475,0.6641788800462661,,,34285444.498326614,31733539.075282414,,,,,,0.026841969247550113,0.0058277547622158565,0.021014214485334255,False,False,,,,,
2012-01-10,0.54,0.66,0.46,67794700,0.6,-15741300.0,,,27117879.999999966,34621063.46153844,0.6380160668058313,,,40378036.40772177,35167935.35382695,,,,,,0.02469483491631652,0.00960117079303599,0.015093664123280531,False,False,,,,,
2012-01-09,0.38,0.47,0.37,23905000,0.4,-39646300.0,,,-9561999.999999985,25059063.461538456,0.6173032172095956,,,37382938.879045084,34095274.84393866,,,,,,0.0067767685893805885,0.00903629035230491,-0.0022595217629243214,False,True,,,,,
2012-01-06,0.41,0.41,0.37,21001800,0.37,-60648100.0,,,-21001800.0,4057263.4615384564,0.5997734674127893,,,34404549.991945975,32848277.23975403,,,,,,-0.009731992989721605,0.005282633683899607,-0.015014626673621212,False,False,,,,,
2012-01-05,0.42,0.47,0.36,30772700,0.42,-29875400.0,,,2797518.1818181844,6854781.643356641,0.5816603891573587,,,33744213.62977398,32650603.21692031,,,,,,-0.018566698010502924,0.0005127673450191009,-0.019079465355522025,False,False,,,,,
2012-01-04,0.65,0.67,0.44,31466100,0.47,1590700.0,,,-23257552.173913054,-16402770.530556414,0.5766087559331937,34255020.0,,33330011.151633255,32537793.38673742,16970824.582323633,,,-2788920.0,0.9185836119786238,-0.021288285157718967,-0.0038474431555285127,-0.017440842002190454,False,False,,,,,
2012-01-03,0.67,0.68,0.62,4505200,0.65,6095900.0,-0.8470225907552097,,0.0,-16402770.530556414,0.5775614632899148,31760530.0,,28089136.396790843,29868022.588000525,19413110.441889524,,,-27255330.0,0.14184901826260457,-0.008819006880948388,-0.004841755900612488,-0.0039772509803359,False,False,,,,,
2011-12-30,0.66,0.69,0.63,7569600,0.65,6095900.0,-0.4576990034603068,,-2523199.9999999907,-18925970.530556403,0.5792499927153096,31121660.0,,24358311.597374327,27744363.29390524,20155010.035511162,,,-23552060.0,0.2432261004072405,0.0010508721892387163,-0.0036632302826422472,0.0047141024718809635,True,False,,,,,
2011-12-29,0.66,0.66,0.64,3727400,0.65,6095900.0,-0.8718882003375161,,0.0,-18925970.530556403,0.5799858984247537,28584910.0,,20607236.761488084,25457033.456390455,21954515.063368324,,,-24857510.0,0.13039747195285906,0.008771707675120477,-0.0011762426910897023,0.009947950366210179,False,False,,,,,
2011-12-28,0.65,0.67,0.63,3802000,0.66,9897900.0,-0.8892865358799565,,1901000.0,-17024970.530556403,0.5807559206791358,25531020.0,,17551739.16849025,23394649.317686602,23156005.582608104,,,-21729020.0,0.1489168862035281,0.015518553623601994,0.0021627165718486373,0.013355837051753357,False,False,,,,,55.14018684374181
2011-12-27,0.7,0.71,0.65,3478300,0.69,13376200.0,-0.9427588261140742,,1159433.333333329,-15865537.197223075,0.5817317497404728,19802280.0,,14992932.046946567,21497854.144573595,20391884.321671806,,,-16323980.0,0.17565149063643176,0.02302085681829724,0.006334344621138358,0.016686512197158884,False,False,,,,,56.363636291900825
2011-12-23,0.75,0.75,0.67,7344000,0.69,13376200.0,-0.8916729478853067,,-3672000.0000000154,-19537537.19722309,0.5841261138653792,13757210.0,,13602217.129319917,20149868.035566587,11685547.416212706,,,-6413210.0,0.5338291703041532,0.02863638374498667,0.010794752445908022,0.017841631299078647,False,False,,,,,57.40740733299039
2011-12-22,0.65,0.67,0.62,7501700,0.63,5874500.0,-0.6861869901694206,,-4501020.0,-24038557.19722309,0.5852277509927853,12116880.0,,12493032.196716296,18945280.603607863,11245814.550489435,,,-4615180.0,0.6191115204574115,0.027923347761680817,0.01422047150906258,0.013702876252618236,False,False,,,,,54.867256569191
2011-12-21,0.66,0.7,0.62,5068200,0.63,5874500.0,-0.7586778276147759,,-3801149.999999998,-27839707.19722309,0.5860792141166162,10523520.0,,11143062.70640424,17623653.879454732,10972537.585444849,,,-5455320.0,0.48160691479657,0.027046486546706938,0.01678567451659145,0.010260812030115488,False,False,,,,,47.959183604956266
2011-12-20,0.7,0.74,0.63,8377300,0.68,14251800.0,-0.7277684441079268,,-761572.7272727196,-28601279.92449581,0.5881474484454148,8283980.0,,10640196.759785287,16743048.748078091,8353248.23763519,,,93320.0,1.0112651165261142,0.030039868939001346,0.01943651340107343,0.010603355537927916,False,False,,,,,42.045454478564054
2011-12-19,0.83,0.83,0.65,11010800,0.67,3241000.0,-0.6500742068448266,,-8563955.555555552,-37165235.48005136,0.5916420845138736,6238450.0,20246735.0,10707579.167097053,16197120.295880178,2498304.6448207945,18599511.440591943,-0.4965686883497011,4772350.0,1.7649897009673878,0.03124505606756256,0.021798221934371257,0.009446834133191303,False,False,0.5974999999999999,0.826720647549818,0.36827935245018184,0.6581445667634352,55.22388048162175
2011-12-16,0.85,0.86,0.82,3178500,0.83,6419500.0,-0.29448193198970074,-0.8920716737803946,-1589250.0,-38754485.48005136,0.5935504046426336,6105780.0,18933155.0,9338655.682170317,14957251.696272543,2632211.998301015,18841454.241993416,-0.8361697986605712,-2927280.0,0.5205723101716734,0.044596754745864664,0.026357928496669937,0.018238826249194727,False,False,0.6114999999999999,0.8617440913651268,0.3612559086348731,0.9365737444749304,84.12698394003527
2011-12-15,0.82,0.86,0.82,4475900,0.83,6419500.0,-0.40870059184104846,-0.6793377417020697,-2237950.0,-40992435.48005136,0.5961878084838726,5796410.0,18459035.0,8454518.285412077,13959027.725198967,2622837.773798922,19090883.475304592,-0.7324509113519116,-1320510.0,0.7721848523482638,0.05454926220327094,0.03199619523799014,0.022553066965280803,False,False,0.6265,0.8916930776265712,0.3613069223734286,0.8836827149133891,88.33333312722223
2011-12-14,0.78,0.88,0.78,3687600,0.82,2731900.0,-0.010677684176637836,-0.8732561376736129,-737520.000000005,-41729955.48005137,0.5982295125654004,5792430.0,17188670.0,7587805.869882608,12980796.513275256,2626354.057560878,19190968.172392696,-0.7035116664630845,-2104830.0,0.6366240075408767,0.060927445969577665,0.037782445384307646,0.02314500058527002,False,False,0.6415,0.9151324849905532,0.3678675150094467,0.8261674139423951,85.7142855
2011-12-13,0.84,0.9,0.8,4073900,0.8,-1342000.0,0.07151499210941603,-0.8813688633670055,-4073900.0,-45803855.48005137,0.6005080616038138,5819620.0,15675320.0,6948913.893540315,12132520.654868089,2604776.841283857,18959188.249073047,-0.6119154389728272,-1745720.0,0.7000285241991745,0.0636348270289967,0.04295292171324546,0.020681905315751238,False,False,0.648,0.930515020560156,0.36548497943984404,0.7690122452580086,81.13207525738699
2011-12-12,0.89,0.9,0.75,10408600,0.84,9066600.0,1.9924388350631057,-0.8287092882991556,2081719.9999999937,-43722135.480051376,0.6060533634568921,6512650.0,13157465.0,7577947.731078439,11968337.735356843,2825239.6914047333,15723548.643934812,-0.1748247206943545,3895950.0,1.5982127091122662,0.0682216945025701,0.048006676271110396,0.0202150182314597,False,False,0.649,0.9342072192191793,0.36379278078082083,0.8348442590669805,74.35897409204472
2011-12-09,0.98,0.98,0.78,11823100,0.89,20889700.0,0.609899237472767,-0.8256043614028825,1182310.0000000014,-42539825.480051376,0.6134605932802405,6960560.0,10358885.0,8349793.598155087,11954505.570084764,3288723.435620549,9053297.562608425,0.1617327818813162,4862540.0,1.6985845966416495,0.07502654287072497,0.05341064959103331,0.021615893279691656,False,False,0.6635,0.9671115939815212,0.3598884060184787,0.8730094708006861,77.27272702685951
2011-12-08,1.06,1.07,0.93,10223600,0.95,31113300.0,0.36283775677513086,-0.572323781635641,-7302571.428571442,-49842396.908622816,0.6218117012167909,7232750.0,9674815.0,8690485.671217797,11789657.420552881,3447302.3286331925,8474245.110070435,0.06475916059447549,2990850.0,1.4135149147972763,0.08428929822616582,0.05958637931805981,0.02470291890810601,False,False,0.6910000000000001,0.9937522871398683,0.3882477128601318,0.9277424333384883,79.99999977600001
2011-12-07,1.12,1.13,0.94,13344100,1.03,44457400.0,1.6329071465214473,-0.3646211277128627,-702321.0526315642,-50544717.96125438,0.6335919989988917,8060340.0,9291930.0,9536597.367360014,11937699.570976416,3840852.193401276,8100275.55828228,0.5002508829291347,5283760.0,1.6555256974271557,0.0969676473140334,0.06706263291725453,0.029905014396778867,False,False,0.724,1.0232903888234728,0.42470961117652717,1.0112091992043297,82.45614014835336
2011-12-06,1.08,1.13,1.07,7515300,1.11,51972700.0,-0.1028971148221981,-0.7557802857727791,2505100.000000037,-48039617.96125434,0.6410450403129243,7974140.0,8129060.0,9169088.75511274,11516518.659454852,3842620.7882988537,6330221.663650287,-0.09695711028957534,-458840.0,0.9424589987133408,0.11217754876676123,0.07608561608715587,0.03609193267960535,False,False,0.7585,1.0691038261871633,0.44789617381283653,1.0658333387499768,83.87096755254944
2011-12-05,1.04,1.08,1.04,4437700,1.05,47535000.0,-0.5969684309950231,-0.8589688585493594,-2218850.0,-50258467.96125434,0.6449027950044238,7316830.0,6777640.0,8308836.25418315,10842345.453792486,3827621.1100804065,3194109.7290909905,-0.732579716560308,-2879130.0,0.606505822876847,0.11802943681357903,0.08447438023244051,0.03355505658113851,False,False,0.7875,1.0929504869860258,0.48204951301397403,0.9296932091845205,76.47058807785469
2011-12-02,1.09,1.09,1.02,7218400,1.02,40316600.0,1.271008337266006,0.6022374145431946,-7218400.0,-57476867.96125434,0.6508288287582896,7720820.0,6913300.0,8110575.11705894,10497207.791526536,3545074.5852676984,3149825.5204810505,0.09686250810279937,-502420.0,0.9349266010605091,0.11887602218571758,0.09135470862309594,0.027521313562621635,False,False,0.806,1.1210538801037395,0.49094611989626047,0.8396244476175553,79.9999998276923
2011-12-01,1.08,1.11,1.06,4638300,1.06,44954900.0,0.036283205612279046,-0.38724635383639827,-4638300.0,-62115167.96125434,0.6548601065216861,7737060.0,6766735.0,7479252.368502769,9939216.573285913,3528892.975676311,3185674.2218340426,-0.6681270123015361,-3098760.0,0.5994912796333491,0.12137547201077525,0.09735886130063182,0.024016610710143438,False,False,0.8265,1.151997190544914,0.501002809455086,0.8586820513091039,81.15942012518379
2011-11-30,1.1,1.12,1.08,5176400,1.08,50131300.0,0.40373142423256314,0.3887428234157857,-5176400.0,-67291567.96125434,0.6594441245548447,7885940.0,6839185.0,7060551.937865902,9485614.994877731,3366748.7036869284,3128885.0614328953,-0.5314305151364416,-2709540.0,0.6564087477206269,0.12354597575393134,0.10259628419129171,0.020949691562639622,False,False,0.8480000000000001,1.1811255492737656,0.5148744507262346,0.8482170618641748,80.30303013269054
2011-11-29,1.15,1.15,1.08,4807100,1.1,54938400.0,0.1799749625665823,0.26436086270384007,-2060185.7142857057,-69351753.67554004,0.663776350993473,7959260.0,6889440.0,6650833.4037084645,9040042.13822271,3281409.2511873026,3085303.689291855,-0.6749222150244609,-3152160.0,0.6039631825069165,0.125434023122456,0.10716383197752458,0.01827019114493142,False,False,0.8699999999999999,1.20891467642275,0.5310853235772497,0.8393184420746452,82.08955206727556
2011-11-28,1.14,1.15,1.1,3129200,1.14,58067600.0,-0.6993639874718982,-0.10036512089238991,1877519.9999999944,-67474233.67554004,0.6666763451940517,7231320.0,6871985.0,6010536.421216017,8477104.791725308,3479145.2781138723,3106532.281173611,-1.2048112368515353,-4102120.0,0.432728741087381,0.1286746981476824,0.11146600521155614,0.017208692936126258,False,False,0.8925000000000001,1.2407210429265338,0.5442789570734663,0.8553777191635951,78.18181798280992
