Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,67.75,67.9,67.14,1091900,67.79,0.0,,,775823.68421053,775823.68421053,67.61000000000001,,,1091900.0,1091900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,68.11,68.19,67.64,794400,67.76,-794400.0,,,-447752.72727271233,328070.9569378177,67.71668928590363,,,1037809.0909090908,1063566.6666666667,,,,,,-0.002393162393161674,-0.0004786324786323348,-0.0019145299145293393,False,False,,,,,
2012-09-10,69.22,69.22,68.1,879600,68.16,85200.0,,,-785357.1428571397,-457286.185919322,67.9636743916989,,,1009043.8016528924,1046046.0317460317,,,,,,0.027667957240595342,0.005150685465213201,0.022517271775382142,True,False,,,,,
2012-09-07,69.04,69.28,68.04,1520900,68.21,1606100.0,,,-1103879.0322580934,-1561165.2181774154,68.15750349911356,,,1102108.56498873,1091270.2191987906,,,,,,0.054893416130411765,0.015099231598252914,0.039794184532158855,False,False,,,,,
2012-09-06,68.97,69.42,68.74,785600,69.25,2391700.0,,,392800.0,-1168365.2181774154,68.30915372078962,,,1044561.5531725972,1062158.7697512868,,,,,,0.15856130083177788,0.043791645444957915,0.11476965538681996,False,False,,,,,
2012-09-05,68.86,68.86,68.12,720800,68.31,1670900.0,,,-350659.45945946133,-1519024.6776368767,68.32418962461736,,,985695.8162321249,1029648.4107273548,,,,,,0.16298985664245436,0.0676312876844572,0.09535856895799716,False,False,,,,,
2012-09-04,68.17,68.82,68.01,1057100,68.62,2728000.0,,,535075.3086419973,-983949.3689948794,68.3487477920675,,,998678.3950990112,1032262.84780094,,,,,,0.1893314333415077,0.09197131681586732,0.09736011652564039,False,False,,,,,
2012-08-31,68.21,68.39,67.74,918900,68.08,1809100.0,,,42410.76923077047,-941538.5997641089,68.31577897338207,,,984173.2323537364,1021466.3861056124,,,,,,0.16473487453487223,0.10652402835966832,0.05821084617520392,False,False,,,,,
2012-08-30,68.15,68.43,67.9,612000,68.02,1197100.0,,,-334867.9245283248,-1276406.5242924336,68.3012396792822,,,916505.3719257843,982469.5874288875,,,,,,0.13880042105920154,0.11297930689957497,0.025821114159626568,False,False,,,,,
2012-08-29,68.56,68.63,68.08,934700,68.35,2131800.0,,,-16994.545454554234,-1293401.069746988,68.30646643552063,931590.0,,919813.4861210962,977920.1029118506,253490.38311804523,,,3110.0,1.003338378471216,0.14322441994795554,0.1190283295092511,0.024196090438704437,False,False,,,,,
2012-08-28,68.16,68.81,68.16,891900,68.57,3023700.0,-0.1831669566810148,,233266.15384613464,-1060134.9159008532,68.32454129848416,911590.0,,914738.3068263513,969727.712158341,247249.84417476275,,,-19690.0,0.9784003773626301,0.1626081863713722,0.12774430088167532,0.03486388548969688,False,False,,,,,
2012-08-27,68.54,68.77,68.19,838000,68.52,2185700.0,0.054884189325276944,,115586.2068965496,-944548.7090043037,68.33734686487172,915950.0,,900785.8874033783,957182.2157623084,245330.6759366948,,,-77950.0,0.9148971013701621,0.17195320922307644,0.13658608254995555,0.03536712667312089,False,False,,,,,
2012-08-24,68.36,68.77,68.1,784600,68.73,2970300.0,-0.10800363801728063,,690916.4179104667,-253632.291093837,68.35034481787035,906450.0,,879661.180602764,940745.8142611361,248710.734477715,,,-121850.0,0.8655744939047935,0.19406736434366678,0.1480823389086978,0.04598502543496899,False,False,,,,,
2012-08-23,68.84,68.84,68.03,756500,68.35,2213800.0,-0.502597146426458,,-158771.604938286,-412403.896032123,68.35372988318544,830010.0,,857268.2386749887,923198.5938553136,126147.50140653252,,,-73510.0,0.9114348019903374,0.17886828514363629,0.15423952815568548,0.024628756987950806,False,False,,,,,56.14035085995675
2012-08-22,69.04,69.32,68.43,957500,68.65,3171300.0,0.21881364562118133,,-484129.21348314127,-896533.1095152643,68.3852782453757,847200.0,,875492.1952795362,926465.3944405218,131040.79941419438,,,110300.0,1.1301935788479698,0.18885341357501773,0.16116230523955194,0.027691108335465786,False,False,,,,,58.84773660856233
2012-08-21,69.49,69.59,69.04,799100,69.04,3970400.0,0.10862930077691457,,-799100.0,-1695633.1095152642,68.43196767409164,855030.0,,861602.7052287114,914335.3568747578,124841.58005693105,,,-55930.0,0.9345870905114441,0.2256354553537534,0.17405693526239224,0.05157852009136116,False,False,,,,,62.26053638176915
2012-08-20,69.5,69.62,69.13,809300,69.47,4779700.0,-0.23441490871251536,,313810.20408162306,-1381822.905433641,68.48402563662601,830250.0,,852093.1224598547,904331.9895533524,102949.41854026078,,,-20950.0,0.9747666365552544,0.28618394443560646,0.1964823370970351,0.08970160733857135,False,False,,,,,62.47619045953011
