Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,35.26,35.33,34.54,13599800,34.87,0.0,,,-2237941.772151945,-2237941.772151945,34.91333333333334,,,13599800.0,13599800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,35.79,35.84,35.36,5041200,35.49,5041200.0,,,-2310549.999999969,-4548491.7721519135,35.08911682134364,,,12043690.909090908,12784695.238095239,,,,,,0.04945868945868881,0.009891737891737763,0.039566951566951045,False,False,,,,,
2012-09-10,36.08,36.09,35.55,6729500,35.7,11770700.0,,,-2990888.8888887903,-7539380.661040704,35.27237290028445,,,11077474.380165288,12208009.977324262,,,,,,0.10439687989545376,0.028792766292480967,0.0756041136029728,False,False,,,,,
2012-09-07,36.21,36.25,35.98,3800700,36.15,15571400.0,,,985366.6666666592,-6554013.994374044,35.383678376846575,,,9754424.492862508,11407313.789007666,,,,,,0.1821473495550805,0.05946368294500087,0.12268366661007962,False,False,,,,,
2012-09-06,35.95,36.38,35.92,4102400,36.2,19673800.0,,,891826.0869565328,-5662187.907417512,35.48021530582805,,,8726783.675978415,10711607.713864077,,,,,,0.24497581040458272,0.09656610843691725,0.14840970196766545,False,False,,,,,
2012-09-05,36.29,36.32,35.76,6421800,35.8,13252000.0,,,-5504400.000000023,-11166587.907417536,35.55783340135129,,,8307695.73489143,10303054.598257974,,,,,,0.25949980895727975,0.12915284854098974,0.13034696041629001,False,False,,,,,
2012-09-04,36.58,36.58,36.06,5247800,36.11,18499800.0,,,-4238607.692307742,-15405195.599725278,35.63865434592997,,,7751351.05582026,9821601.779376261,,,,,,0.2926510920517629,0.16185249724314438,0.1307985948086185,False,False,,,,,
2012-08-31,36.79,36.79,36.4,5137900,36.47,23637700.0,,,-3293525.6410256363,-18698721.240750916,35.7324927234692,,,7276178.136580213,9375534.94324519,,,,,,0.34400721308531246,0.19828344041157797,0.1457237726737345,False,False,,,,,
2012-08-30,36.49,36.67,36.48,4442300,36.59,28080000.0,,,701415.7894738591,-17997305.45127706,35.8015434718549,,,6760927.5662929015,8905703.043888504,,,,,,0.3898958297003645,0.2366059182693353,0.1532899114310292,False,False,,,,,
2012-08-29,36.9,36.97,36.53,4593000,36.55,23487000.0,,,-4175454.5454546264,-22172759.996731684,35.870053408755155,5911640.0,,6366758.91787601,8494969.420661027,2856983.1381293726,,,-1318640.0,0.7769417623535939,0.41821430904605705,0.2729275964246797,0.14528671262137738,False,False,,,,,
2012-08-28,37.08,37.21,36.8,4020100,36.85,27507100.0,-0.7044000647068339,,-3039587.8048779736,-25212347.801609658,35.93902925671627,4953670.0,,5940093.660080371,8068791.380598072,986251.4915352763,,,-933570.0,0.8115397271114143,0.45956680073803113,0.31025543728734994,0.1493113634506812,False,False,,,,,
2012-08-27,36.83,37.3,36.78,4814800,37.05,32321900.0,-0.04490994207728316,,185184.61538457996,-25027163.18622508,36.01727652009601,4931030.0,,5735494.81279303,7758887.439588731,986617.4380173917,,,-116230.0,0.9764288596905717,0.5026826640210444,0.34874088263408887,0.15394178138695558,False,False,,,,,
2012-08-24,36.81,36.86,36.65,3696000,36.83,28625900.0,-0.4507764321272011,,2639999.999999964,-22387163.186225116,36.05662239889012,4627680.0,,5364677.574103388,7371945.778675519,825383.2952029025,,,-931680.0,0.798672336894513,0.5131844638693224,0.38162959888113557,0.1315548649881868,False,False,,,,,
2012-08-23,37.09,37.19,36.77,3835900,36.86,32461800.0,0.009261451837819346,,-2191942.8571429034,-24579106.04336802,36.10151382029379,4631200.0,,5086718.015175499,7035179.514039756,821530.6851643878,,,-795300.0,0.8282734496458801,0.5179572761280014,0.4088951343305087,0.10906214179749263,False,False,,,,,80.06042292686247
2012-08-22,37.41,37.55,37.07,4060900,37.07,36522700.0,-0.010116029641185631,,-4060900.0,-28640006.04336802,36.159125503965726,4627050.0,,4900205.648779953,6751914.798416922,824597.8430591361,,,-566150.0,0.8776434229152483,0.5325461486824992,0.43362533720090685,0.09892081148159232,False,False,,,,,81.24999996768449
2012-08-21,37.68,37.79,37.46,4423000,37.46,40945700.0,-0.3112522968638076,,-4423000.0,-33063006.04336802,36.23344387265965,4427170.0,,4813440.985365416,6530113.389043882,531313.1657611289,,,-4170.0,0.9990580890275278,0.5690183861689775,0.460703946994521,0.10831443917445649,False,False,,,,,79.93920969242689
2012-08-20,37.5,37.69,37.37,4679400,37.68,45625100.0,-0.10831205457525062,,4386937.500000058,-28676068.54336796,36.30452479229299,4370330.0,,4789069.897117158,6353854.971039702,459289.50456112286,,,309070.0,1.0707200600412325,0.6086588185453508,0.490294921304687,0.11836389724066376,False,False,,,,,79.99999996606039
2012-08-17,37.35,37.5,37.33,3801700,37.49,41823400.0,-0.26006734268864706,,3354441.176470682,-25321627.366897278,36.35121835795613,4236710.0,,4609548.097641312,6110792.5928454455,401961.1602298597,,,-435010.0,0.8973236308361913,0.6176231593696286,0.5157605689176753,0.10186259045195334,False,False,,,,,72.03947365103436
2012-08-16,37.73,37.85,37.47,4346000,37.48,37477400.0,-0.02167795961551444,,-4117263.157894784,-29438890.52479206,36.4072878850179,4227080.0,,4561630.261706527,5942717.107812546,397618.55758167896,,,118920.0,1.028132895521258,0.6168103419599333,0.535970523526127,0.08083981843380639,False,False,,,,,71.33333330004419
2012-08-15,37.97,38.03,37.71,3699300,37.78,41176700.0,-0.194578706727629,,-2080856.249999995,-31519746.774792057,36.460027932154816,4137710.0,5024675.0,4404842.941396249,5729058.335639923,406569.519680626,2184671.49231689,-0.6066701582645783,-438410.0,0.8940452569174737,0.6330759654485263,0.5553916119106068,0.07768435353791947,False,False,36.624,38.197255424773424,35.05074457522658,0.8673910738831505,84.13793099386427
2012-08-14,38.31,38.49,37.93,5769700,38.04,46946400.0,0.4352130544016317,-0.5757511139869704,-3503032.1428571637,-35022778.91764922,36.551968172738384,4312670.0,4633170.0,4652998.770233295,5732928.970340882,652443.1180825918,877789.4257136722,1.294763831400638,1457030.0,1.3378487108913968,0.6593458873789189,0.5761824670042692,0.08316342037464963,False,False,36.7825,38.246666729073695,35.3183332709263,0.9294251382134453,83.85964908161262
2012-08-13,38.46,38.53,38.22,4728600,38.3,51675000.0,-0.017903132009637,-0.06200904546536534,-2288032.258064586,-37310811.1757138,36.62856998745253,4304050.0,4617540.0,4666744.448372696,5637278.59221318,645605.5198201328,872911.1520472303,0.12722944338554049,424550.0,1.098639653349752,0.6931545625394335,0.5995768861113021,0.09357767642813142,False,False,36.923,38.40413896430383,35.44186103569617,0.9648449717367393,83.27272723033369
2012-08-10,38.55,38.94,38.41,4933100,38.39,56608100.0,0.33471320346320343,-0.26694405230700646,-5305409.43396219,-42616220.60967599,36.71161167560493,4427760.0,4527720.0,4715172.730486751,5570213.9643833535,634577.3610137008,723854.9626460884,0.5600293165334018,505340.0,1.1141299438090593,0.7189231306846935,0.6234461350259803,0.09547699565871315,False,False,37.0575,38.55942683261416,35.55557316738584,0.9435968420914144,83.08823525135143
2012-08-09,38.27,38.7,38.1,6804300,38.06,49803800.0,0.7738470763054304,0.7902754755702897,-7711539.999999979,-50327760.609675966,36.79893520314101,4724600.0,4677900.0,5095014.052216432,5687745.967775416,945204.2753935384,863241.5012461378,2.4632735994856847,2079700.0,1.4401854125216949,0.7045945372864182,0.639675815478068,0.06491872180835023,False,False,37.153,38.65485989955616,35.65114010044384,0.8019589244869135,75.083056443483
2012-08-08,38.03,38.29,37.72,5666100,37.68,44137700.0,0.3952818340761901,0.3811671216848673,-6461342.10526314,-56789102.7149391,36.84737822438465,4885120.0,4756085.0,5198847.860904353,5685684.447034899,956205.3449849461,879042.9306772711,1.0352338529119005,780980.0,1.159869153674833,0.655025473657723,0.642745747113999,0.012279726543724001,False,False,37.227000000000004,38.67606648716015,35.77793351283986,0.6563075276441515,63.43042068323537
2012-08-07,38.34,38.38,37.97,5928700,37.5,38209000.0,0.34042505087044983,-0.07678532498676383,-19521329.268292528,-76310431.98323163,36.89604498327428,5035690.0,4731430.0,5331548.249830835,5708828.785412528,993185.0576694051,835711.9593811213,1.4326347571795277,893010.0,1.177336174387224,0.5943656605736223,0.6330697298059237,-0.03870406923230141,False,True,37.312,38.59899732138932,36.025002678610676,0.5730382250512593,57.32899020186955
2012-08-06,38.49,38.62,38.05,5162300,37.55,43371300.0,0.10319699106723079,-0.016292541636495295,-14218966.666666662,-90529398.64989829,36.939615682687126,5083980.0,4727155.0,5300775.840770682,5656778.42489705,985647.971640992,833146.2425964802,0.5222912590278042,78320.0,1.01540525336449,0.5440553721393684,0.6152668582726126,-0.07121148613324424,False,False,37.384,38.54257262453242,36.22542737546758,0.571639876726326,62.413793073317436
2012-08-03,38.45,38.55,38.05,16255700,37.95,59627000.0,3.2759028855512007,2.1638801845111817,-22757979.99999963,-113287378.64989792,37.06942974063944,6329380.0,5283045.0,7292580.233357831,6666199.527287807,3596238.6442256896,2712028.616227499,4.045921541662508,9926320.0,2.568292628977878,0.530347250179318,0.5982829366539537,-0.06793568647463566,False,False,37.458000000000006,38.55836548951995,36.35763451048006,0.7235620821835487,66.66666663812435
2012-08-02,38.13,38.28,37.59,12424400,37.45,47202600.0,1.8588127013345606,1.7968394750467098,-17466185.507246412,-130753564.15714434,37.12143525301924,7137220.0,5682150.0,8225638.372747316,7214599.572308016,3987282.692037551,3135982.076932537,2.149964455981501,5287180.0,1.7407898313348895,0.4736773853937635,0.5733618264019157,-0.09968444100815221,False,False,37.501,38.522967143359025,36.47903285664097,0.47504812149225917,55.337078629923646
2012-08-01,39.44,39.75,37.76,18115700,37.73,65318300.0,3.8970616062498307,2.9441976921402135,-18661902.01005027,-149415466.1671946,37.24707071693953,8578860.0,6358285.0,10023831.395884167,8252799.613040586,5066340.775528012,4174591.283274895,2.816423022561507,9536840.0,2.111667517595578,0.44621606813563375,0.5479326747486594,-0.10171660661302562,False,False,37.56,38.48217135067197,36.637828649328036,0.5921737591805033,53.91304345638304
2012-07-31,39.82,39.82,39.12,5107300,38.59,70425600.0,-0.11480666239145887,0.2704410338051293,-12841211.42857131,-162256677.59576592,37.2985627295277,8512620.0,6412645.0,9129916.5966325,7953228.221322436,5111281.109641474,4149545.2474337476,-0.3145754346954717,-3405320.0,0.5999680474401535,0.48821969628797746,0.535990079056523,-0.047770382768545505,False,False,37.647000000000006,38.61434253444555,36.67965746555446,0.9874178310274048,61.124694355605264
2012-07-30,39.37,39.68,39.13,3999600,38.96,74425200.0,-0.15416825275980206,-0.16931129018858515,-6472080.000000037,-168728757.59576595,37.33864498854423,8439720.0,6371885.0,8197131.760881135,7576692.200244108,5176036.120602113,4170019.812053781,-0.5688905825201879,-4440120.0,0.4739019777907324,0.545080434056473,0.5378081500565131,0.007272283999959939,True,False,37.74249999999999,38.83119550138548,36.653804498614505,1.0591554288828249,67.21311473206121
2012-07-27,39.12,39.44,38.98,5079000,38.84,69346200.0,0.029575723176096247,0.3741883116883118,-8170565.217391155,-176899322.8131571,37.38293236659551,8454310.0,6441035.0,7630198.713448201,7338816.752601812,5165247.931115107,4134627.8141257293,-0.329421428295597,-3375310.0,0.6007586662897386,0.5738450527177648,0.5450155305887634,0.02882952212900136,False,False,37.843,38.94799535602747,36.73800464397254,0.9511331176921337,65.5251141343071
2012-07-26,38.75,39.09,38.75,3288400,38.45,66057800.0,-0.5167173698984466,-0.1427305195651607,-9091458.8235293,-185990781.6366864,37.40521049154776,8102720.0,6413660.0,6840780.765548528,6953062.776163544,5404175.479879732,4154548.473331748,-0.7522502192623816,-4814320.0,0.4058390268946724,0.5587307789883695,0.5477585802686846,0.010972198719684911,False,False,37.9225,38.95620310305393,36.88879689694607,0.7551506319568833,57.4944071408295
2012-07-25,39.02,39.22,38.46,4963900,37.98,61093900.0,-0.12393004006282982,0.22236450048018908,-11234089.47368428,-197224871.1103707,37.43251577509871,8032500.0,6458810.0,6499529.717266977,6763618.702243206,5443770.946279385,4132481.9948536344,-0.36174628270895764,-3068600.0,0.6179769685652039,0.5030289317190295,0.5388126505587536,-0.03578371883972409,False,True,37.968,38.92063844138276,37.01536155861724,0.5062982971706323,49.35897434420883
2012-07-24,39.22,39.29,38.7,6073800,38.35,67167700.0,0.024474168030090837,0.37323083879719654,-13280003.389830584,-210504874.50020128,37.47061900831231,8047010.0,6541350.0,6422124.314127526,6697921.682981948,5437730.37712733,4106081.4629676207,-0.11386768728696481,-1973210.0,0.7547896672180102,0.4831710293659057,0.527684326320184,-0.0445132969542783,False,False,38.0125,38.948220943556734,37.07677905644327,0.6803422282700764,50.52192065329217
2012-07-23,39.1,39.31,39.0,5508700,38.71,72676400.0,0.06710187319605598,0.1772235756720948,-15815299.999999894,-226320174.50020117,37.509028078626336,8081650.0,6582815.0,6256047.166104339,6584662.475078906,5418380.974516281,4090446.610061444,-0.26259113060122924,-2572950.0,0.6816306076110695,0.49082456992268675,0.5203123750406846,-0.029487805117997867,False,False,38.064,39.03536691533668,37.09263308466332,0.8325211049503852,53.1620553212595
2012-07-20,39.01,39.28,38.86,6959700,38.71,72676400.0,-0.5718609472369691,0.8306810111266012,-11930914.285714218,-238251088.78591537,37.5531564864419,7152050.0,6740715.0,6383984.044994459,6620380.3345952,4595067.261809728,4038056.524365859,0.054230295856096185,-192350.0,0.9731056130759712,0.49122749121449516,0.5144953982754468,-0.02326790706095161,False,False,38.125,39.09782010020794,37.15217989979206,0.8006722413912691,56.87103592397049
2012-07-19,38.8,39.14,38.53,5347500,38.55,67328900.0,-0.5695969221853772,0.230441785549931,-4996844.262295152,-243247933.04821053,37.58044097846181,6444360.0,6790790.0,6195532.400450012,6499153.636062324,4222719.806580693,4012928.7596992115,-0.35966001053758595,-1096860.0,0.8297953559391468,0.4731816034378227,0.506232639307922,-0.03305103587009928,False,False,38.1785,39.119121854777134,37.237878145222865,0.697475743367678,59.64523279744931
2012-07-18,38.58,38.89,38.42,3562100,38.31,63766800.0,-0.8033694530158924,-0.03708809774822264,-5229465.957446803,-248477399.00565735,37.59491366677098,4989000.0,6783930.0,5716726.509459101,6219434.242151627,1124908.9395245383,4018604.987607149,-0.8017284629705337,-1426900.0,0.7139907797153738,0.4345054052830193,0.49188719250294144,-0.057381787219922153,False,False,38.205,39.128049864650734,37.28195013534926,0.5568766672425297,58.862144402099126
2012-07-17,38.5,38.75,38.22,4028700,38.19,59738100.0,-0.21118790750494387,-0.301748791098324,-4484779.245283035,-252962178.25094038,37.60819312008953,4881140.0,6696880.0,5409812.598648354,6010792.885756235,1163358.3810101969,4060370.8068417385,-0.6571271755535498,-852440.0,0.8253604690707499,0.3896792625089418,0.4714456065041415,-0.08176634399519972,False,False,38.2125,39.13233694207189,37.29266305792811,0.4877695714474564,56.89655170697085
