Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,40.37,40.44,39.61,16876000,40.1,0.0,,,3049879.518072411,3049879.518072411,40.05,,,16876000.0,16876000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,39.8,40.34,39.31,17496700,39.93,-17496700.0,,,3567288.3495144527,6617167.867586864,39.95328449612629,,,16988854.545454547,16935114.285714287,,,,,,-0.013561253561256592,-0.0027122507122513185,-0.010849002849005274,False,False,,,,,
2012-09-10,39.37,40.3,39.36,23345900,39.71,-40842600.0,,,-5960655.319148823,656512.5484380415,39.887239520709095,,,18144680.991735537,17545665.306122452,,,,,,-0.041581480669798054,-0.010486096703760666,-0.031095383966037386,False,False,,,,,
2012-09-07,37.43,39.66,37.41,39537600,39.43,-80380200.0,,,31454357.333333444,32110869.881771486,39.45879463725706,,,22034302.629601803,19640135.27696793,,,,,,-0.08539696936544772,-0.02546827123609808,-0.05992869812934964,False,False,,,,,
2012-09-06,35.62,36.73,35.59,16990400,36.34,-97370600.0,,,5365389.473684339,37476259.35545582,38.97713114438417,,,21117229.424219657,19387779.536304317,,,,,,-0.3652478853592953,-0.09342419406073753,-0.27182369129855777,False,False,,,,,
2012-09-05,35.82,35.83,35.02,14331300,35.25,-111701900.0,,,-6192537.037037099,31283722.318418726,38.57470856966866,,,19883424.074361537,18906210.056656286,,,,,,-0.6672934989116399,-0.20819805503091804,-0.4590954438807219,False,False,,,,,
2012-09-04,36.31,36.31,35.26,14422100,35.62,-97279800.0,,,-4532660.000000056,26751062.31841867,38.28780876923077,,,18890456.060841255,18479151.956022352,,,,,,-0.866818768801231,-0.3399221977849807,-0.5268965710162503,False,False,,,,,
2012-08-31,35.16,36.22,34.86,15413600,36.11,-81866200.0,,,12920223.529411778,39671285.847830445,38.03893467480065,,,18258300.41341557,18187194.626877364,,,,,,-0.9741753902953363,-0.4667728362870518,-0.5074025540082845,False,False,,,,,
2012-08-30,35.37,35.39,34.65,11325400,34.69,-93191600.0,,,-10101032.432432462,29570253.415397983,37.830164523179704,,,16997773.06552183,17533690.37669857,,,,,,-1.1604613428585822,-0.6055105376013579,-0.5549508052572243,False,False,,,,,
2012-08-29,35.65,35.69,35.14,11300800,35.58,-81890800.0,,,6780480.0,36350733.41539799,37.682839198894385,18103980.0,,15961959.780881494,16940081.769393943,8281535.553238637,,,-6803180.0,0.6242163325412423,-1.2221900938086137,-0.728846448842809,-0.49334364496580463,False,False,,,,,
2012-08-28,35.49,36.09,35.42,8492800,35.67,-73398000.0,-0.49675278502014697,,-2154889.552238822,34195843.863159165,37.595184715804386,17265660.0,,14603930.72981213,16135578.743737377,8826056.889586778,,,-8772860.0,0.4918896815991975,-1.2494454959055474,-0.8329662582553568,-0.4164792376501907,False,False,,,,,
2012-08-27,36.07,36.14,35.55,9021500,35.65,-82419500.0,-0.48438848468568363,,-5963364.406779635,28232479.45637953,37.512710020426006,16418140.0,,13588943.324391741,15458047.434810007,9200382.93335905,,,-7396640.0,0.5494836808554441,-1.2581561899027918,-0.9180042445848438,-0.340151945317948,False,False,,,,,
2012-08-24,36.38,36.41,35.84,13438100,36.13,-68981400.0,-0.4243914348986332,,235756.14035100065,28468235.59673053,37.42484929162488,15427360.0,,13561517.265411425,15265671.488637626,8900023.375649702,,,-1989260.0,0.8710563570176622,-1.212352247138206,-0.9768738450955162,-0.23547840204268977,False,False,,,,,
