Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,96.53,96.84,94.52,2467400,95.31,0.0,,,-787015.5172413713,-787015.5172413713,95.55666666666667,,,2467400.0,2467400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,99.84,100.44,96.45,1778000,96.63,1778000.0,,,-1617578.9473684274,-2404594.464609799,96.51294090859126,,,2342054.5454545454,2401742.8571428573,,,,,,0.10529914529914208,0.02105982905982842,0.08423931623931366,False,False,,,,,
2012-09-07,99.05,102.0,98.7,1654200,100.27,3432200.0,,,-80203.63636364185,-2484798.100973441,97.581344045924,,,2216990.082644628,2330548.2993197283,,,,,,0.4769688557722702,0.11224163440231678,0.36472722136995345,False,False,,,,,
2012-09-06,95.21,99.36,95.14,1767700,99.05,1664500.0,,,1507990.5213270122,-976807.5796464286,97.64328281576738,,,2135300.976709241,2276943.699384516,,,,,,0.6654055935415641,0.22287442623016626,0.44253116731139786,False,False,,,,,
2012-09-05,94.3,95.77,93.77,1344500,94.49,320000.0,,,-376460.0000000015,-1353267.57964643,97.20068362221382,,,1991518.9809439243,2188139.5375383715,,,,,,0.44169756081332423,0.26663905314679787,0.17505850766652636,False,False,,,,,
2012-09-04,97.27,97.48,93.62,2204400,94.47,-1884400.0,,,-1233550.2590673638,-2586817.838713794,96.80550959029497,,,2030224.6207723015,2189688.1530109076,,,,,,0.2597987025696682,0.2652709830313719,-0.005472280461703727,False,True,,,,,
2012-08-31,98.76,99.0,95.91,1650000,97.49,-234400.0,,,37378.64077669534,-2549439.197937099,96.89029835278998,,,1961092.871540974,2138289.281295583,,,,,,0.3552363640304179,0.28326405923118114,0.07197230479923677,True,False,,,,,
2012-08-30,101.04,101.08,97.34,1854700,97.39,-2089100.0,,,-1805109.0909090936,-4354548.288846193,97.10612523690806,,,1941748.7130789785,2111280.7783150515,,,,,,0.417983974986484,0.31020804238224176,0.10777593260424223,False,False,,,,,
2012-08-29,101.0,102.63,100.53,1396000,102.09,-693100.0,,,678057.1428571516,-3676491.1459890413,97.50836444973908,,,1842521.6743373459,2043158.7994279037,,,,,,0.837310633428018,0.415628560591397,0.421682072836621,False,False,,,,,
2012-08-28,100.21,101.77,99.73,1208700,100.83,-1901800.0,,,94799.99999999836,-3581691.145989043,97.73637368980005,1732560.0,,1727281.3699123738,1963686.5328157223,384720.6120463698,,,-523860.0,0.69763817703283,1.0557880936494115,0.5436604672029999,0.5121276264464116,False,False,,,,,
