Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,72.46,72.61,71.76,415300,71.95,0.0,,,-229636.4705882363,-229636.4705882363,72.10666666666667,,,415300.0,415300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,72.25,72.85,72.25,389600,72.38,389600.0,,,-220773.33333333765,-450409.8039215739,72.293826976436,,,410627.2727272727,412852.38095238095,,,,,,0.03430199430199821,0.0068603988603996415,0.027441595441598566,False,False,,,,,
2012-09-10,72.56,72.97,72.39,419100,72.4,808700.0,,,-404648.27586206154,-855058.0797836354,72.39409586056645,,,412167.7685950413,413447.39229024947,,,,,,0.0623813118399994,0.017964581456319594,0.044416730383679805,False,False,,,,,
2012-09-07,73.0,73.27,72.69,557500,72.81,1366200.0,,,-326810.3448275768,-1181868.4246112122,72.55971465993078,,,438591.8106686701,427166.6882626067,,,,,,0.11637643171347634,0.03764695150775094,0.0787294802057254,False,False,,,,,
2012-09-06,71.78,72.97,71.76,656300,72.76,709900.0,,,428493.38842975773,-753375.0361814545,72.54274099597998,,,478175.117819821,448988.9084280727,,,,,,0.15336546942958762,0.060790655092118284,0.09257481433746934,False,False,,,,,
2012-09-05,71.34,71.75,71.08,562600,71.44,147300.0,,,41985.07462686318,-711389.9615545913,72.33284273208017,,,493525.0963980353,459809.01238730387,,,,,,0.07529858479772145,0.06369224103323892,0.011606343764482524,False,False,,,,,
2012-09-04,70.45,71.72,70.37,942300,71.47,1089600.0,,,593299.9999999986,-118089.96155459271,72.05890819320093,,,575120.5334165744,505760.53501708445,,,,,,0.01567013005994511,0.05408781883858016,-0.03841768877863505,False,True,,,,,
2012-08-31,71.17,71.5,70.81,853400,71.31,236200.0,,,383411.59420290263,265321.6326483099,71.90726354051554,,,625716.8000681063,538869.0554916479,,,,,,-0.043989429977443706,0.03447236907537539,-0.0784617990528191,False,False,,,,,
2012-08-30,70.86,71.15,70.71,695200,70.84,-459000.0,,,-284399.9999999806,-19078.36735167069,71.77974371581713,,,638350.1091466324,553757.7168733957,,,,,,-0.12772282396711887,0.0020333304668765373,-0.1297561544339954,False,False,,,,,
2012-08-29,70.34,71.26,70.17,756800,71.17,297800.0,,,631823.8532110048,612745.485859334,71.66914742081593,624810.0,,659886.4529381536,573095.0771711676,190425.4094273019,,,131990.0,1.2112482194587155,-0.16554559334400665,-0.031482454295300104,-0.13406313904870654,False,False,,,,,
