Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,0.23,0.25,0.23,1490800,0.24,0.0,,,-2.0689006063889805e-09,-2.0689006063889805e-09,0.24,,,1490800.0,1490800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,0.23,0.24,0.23,988600,0.23,-988600.0,,,-988600.0,-988600.0000000021,0.23734183001263748,,,1399490.909090909,1442971.4285714286,,,,,,-0.0007977207977208078,-0.0001595441595441616,-0.0006381766381766462,False,False,,,,,
2012-09-10,0.25,0.25,0.23,830200,0.23,-988600.0,,,-830200.0,-1818800.000000002,0.23717246797196037,,,1295983.47107438,1384612.2448979593,,,,,,-0.0014136248894084102,-0.00041036030551701134,-0.001003264583891399,False,False,,,,,
2012-09-07,0.23,0.24,0.23,912600,0.24,-76000.0,,,912600.0,-906200.0000000021,0.23706314243759177,,,1226277.3854244926,1339658.6977648202,,,,,,-0.0010823403471190707,-0.0005447563138374233,-0.0005375840332816474,False,False,,,,,
2012-09-06,0.23,0.24,0.23,1099400,0.23,-1175400.0,,,-1099400.0,-2005600.000000002,0.23629259370615355,,,1203208.7698927666,1316776.9170253135,,,,,,-0.0016081733655862185,-0.0007574397241871824,-0.0008507336413990361,False,False,,,,,
2012-09-05,0.23,0.24,0.23,1925300,0.23,-1175400.0,,,-1925300.0,-3930900.000000002,0.2355064004378884,,,1334498.084457718,1374731.496356236,,,,,,-0.0020018240397062237,-0.0010063165872909907,-0.000995507452415233,False,False,,,,,
2012-09-04,0.23,0.24,0.23,682900,0.23,-1175400.0,,,-682900.0,-4613800.000000002,0.23531925983841545,,,1216025.7054654057,1308842.7824175467,,,,,,-0.0022874270004588637,-0.0012625386699245654,-0.0010248883305342983,False,False,,,,,
2012-08-31,0.23,0.24,0.23,1002300,0.24,-173100.0,,,1002300.0,-3611500.000000002,0.2354704567421622,,,1177166.4862898774,1279648.2317111138,,,,,,-0.0016874016620119503,-0.0013475112683420424,-0.0003398903936699079,False,False,,,,,
2012-08-30,0.23,0.24,0.23,628800,0.23,-801900.0,,,-628800.0,-4240300.000000002,0.2353299026939584,,,1077463.488782627,1217662.6858338648,,,,,,-0.001995787489017825,-0.0014771665124771992,-0.0005186209765406259,False,False,,,,,
2012-08-29,0.24,0.24,0.23,839000,0.24,37100.0,,,839000.0,-3401300.000000002,0.23543774459369807,1039990.0,,1034106.4908221493,1181599.5728973062,393251.6848872573,,,-200990.0,0.806738526331984,-0.001416935501754396,-0.0014651203103326386,4.81848085782425e-05,True,False,,,,,
2012-08-28,0.24,0.24,0.24,442800,0.24,37100.0,-0.7029782667024416,,,,0.23562406042775327,935190.0,,926596.2197635766,1111237.7088118484,399360.29806011857,,,-492390.0,0.47348667115773263,-0.0009472715743912563,-0.001361550563144362,0.0004142789887531058,False,False,,,,,
2012-08-27,0.24,0.25,0.24,1489100,0.24,37100.0,0.5062714950434959,,-1489100.0,-4890400.000000002,0.23655497710526177,985240.0,,1028869.6343520172,1147224.5936869106,436439.05823786627,,,503860.0,1.5114083878039868,-0.000568506143273223,-0.0012029416791701343,0.0006344355358969113,False,False,,,,,
2012-08-24,0.23,0.25,0.23,831800,0.24,37100.0,0.0019272464466393302,,-1.1543543898540071e-09,-4890400.000000003,0.2367726660386723,985400.0,,993038.7917425595,1117184.156192919,436376.19346410537,,,-153600.0,0.8441242135173533,-0.0002652738978870528,-0.001015408122913518,0.0007501342250264653,False,False,,,,,
2012-08-23,0.24,0.24,0.23,621000,0.24,37100.0,-0.3195266272189349,,621000.0,-4269400.000000003,0.23676789073797333,956240.0,,925395.3750620941,1069928.5222697838,451270.0723759801,,,-335240.0,0.6494185560110433,-2.467571249462064e-05,-0.0008172616408297386,0.0007925859283351179,False,False,,,,,49.99999883333336
2012-08-22,0.24,0.25,0.23,1260600,0.24,37100.0,0.1466254320538476,,-1.7494339310530915e-09,-4269400.000000005,0.23703870115828748,972360.0,,986341.6705053496,1088087.7106250424,459751.59766503866,,,288240.0,1.296433419721091,0.00016410834400937269,-0.0006209876438619164,0.0007850959878712891,False,False,,,,,49.99999883333336
2012-08-21,0.24,0.26,0.24,1546500,0.25,1583600.0,-0.1967485586661819,,0.0,-4269400.000000005,0.2382468141701373,934480.0,,1088188.6395043768,1131746.0238988479,381450.0019661818,,,612020.0,1.6549310846674086,0.0011078666977488716,-0.0002752167755397588,0.0013830834732886303,False,False,,,,,66.66666511111117
2012-08-20,0.23,0.26,0.21,4661000,0.24,-3077400.0,5.825303851222727,,932199.999999998,-3337200.0000000065,0.23790026678963144,1332290.0,,1737790.7050490356,1467865.4501941958,1227041.0564986542,,,3328710.0,3.4984875665208026,0.0010369324541231184,-1.2786929607183368e-05,0.0010497193837303018,False,False,,,,,57.142856000000016
2012-08-17,0.29,0.29,0.14,27313700,0.23,-30391100.0,26.251022647909807,,5462740.0000000065,2125540.0,0.2278331727284707,3963430.0,,6387956.031403756,3929373.502556653,8294887.736036242,,,23350270.0,6.891429897841012,0.00017181950023831272,2.4134356361915847e-05,0.00014768514387639687,False,False,,,,,42.85714200000002
2012-08-16,0.29,0.31,0.29,1061600,0.3,-29329500.0,0.688295165394402,,0.0,2125540.0,0.2293769041670025,4006710.0,,5419527.662057618,3656252.2165988768,8276664.5959790675,,,-2945110.0,0.26495553708653735,0.0050761119779611785,0.0010345298806817684,0.00404158209727941,False,False,,,,,76.92307609467457
2012-08-15,0.29,0.3,0.29,1746400,0.3,-29329500.0,1.0815256257449346,,1746400.0,3871940.0,0.23166432438464812,4097450.0,2568720.0,4751686.268956232,3474361.529303746,8242982.663285312,5892247.354885732,-0.13955965363846257,-2351050.0,0.42621630526302945,0.008860658939391197,0.0025997556924236545,0.006260903246967543,False,False,0.24300000000000002,0.28357481718349065,0.20242518281650942,1.2024061222781375,76.92307609467457
