Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,0.25,0.26,0.25,3647900,0.25,0.0,,,-3647900.0,-3647900.0,0.2533333333333333,,,3647900.0,3647900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,0.24,0.25,0.24,1800200,0.25,0.0,,,1800200.0,-1847700.0,0.2511304858574549,,,3311954.545454545,3471928.5714285714,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,0.25,0.25,0.24,1486700,0.24,-1486700.0,,,-1486700.0,-3334400.0,0.24945891253773242,,,2980090.0826446274,3282859.1836734693,,,,,,-0.0007977207977208078,-0.0001595441595441616,-0.0006381766381766462,False,False,,,,,
2012-09-07,0.25,0.25,0.24,1394800,0.24,-1486700.0,,,-1394800.0,-4729200.0,0.24843317806377258,,,2691855.522163786,3103044.023323615,,,,,,-0.0014136248894083825,-0.0004103603055170058,-0.0010032645838913767,False,False,,,,,
2012-09-06,0.24,0.25,0.24,1249700,0.25,-237000.0,,,1249700.0,-3479500.0,0.2482027218411923,,,2429645.4272249155,2926535.068721366,,,,,,-0.001082340347119043,-0.0005447563138374133,-0.0005375840332816296,False,False,,,,,
2012-09-05,0.24,0.25,0.24,1886900,0.24,-2123900.0,,,-1886900.0,-5366400.0,0.24740140587116918,,,2330964.440456749,2827522.205033617,,,,,,-0.0016081733655861907,-0.0007574397241871688,-0.0008507336413990219,False,False,,,,,
2012-09-04,0.24,0.25,0.24,1303200,0.24,-2123900.0,,,-1303200.0,-6669600.0,0.2469862327125785,,,2144098.1785555216,2682348.661697082,,,,,,-0.002001824039706168,-0.0010063165872909688,-0.0009955074524151993,False,False,,,,,
2012-08-31,0.24,0.25,0.23,1769000,0.25,-354900.0,,,1769000.0,-4900600.0,0.24654175608503456,,,2075898.5097272447,2595363.0748687885,,,,,,-0.0014897062027380004,-0.001102994510380375,-0.0003867116923576253,False,False,,,,,
2012-08-30,0.24,0.25,0.24,1317400,0.24,-1672300.0,,,-1317400.0,-6218000.0,0.2462751800602934,,,1937989.6897768364,2473652.3058336657,,,,,,-0.001869218368045128,-0.0012562392819133257,-0.0006129790861318023,False,False,,,,,
2012-08-29,0.24,0.25,0.24,634700,0.24,-1672300.0,,,-634700.0,-6852700.0,0.2461619518308521,1649050.0,,1701027.9279992296,2298513.990992364,788683.7941927183,,,-1014350.0,0.3848882690033656,-0.002145255325273848,-0.0014340424905854303,-0.0007112128346884179,False,False,,,,,
2012-08-28,0.25,0.25,0.24,1587700,0.24,-1672300.0,-0.5647632884673374,,-1587700.0,-8440400.0,0.2459135312143908,1443030.0,,1680422.8501811877,2230817.4204216627,362417.69042547204,,,144670.0,1.100254325966889,-0.00233707624247273,-0.0016146492409628904,-0.0007224270015098394,False,False,,,,,
2012-08-27,0.25,0.25,0.24,1228900,0.25,-443400.0,-0.31735362737473616,,1228900.0,-7211500.0,0.24596146840626854,1385900.0,,1598327.7865118808,2135396.7137148376,344441.9189871574,,,-157000.0,0.8867162132910023,-0.0016630091406487912,-0.0016243212209000706,-3.8687919748720684e-05,False,False,,,,,
