Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,21.58,22.23,21.26,8078000,21.8,0.0,,,916061.8556700994,916061.8556700994,21.763333333333335,,,8078000.0,8078000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,20.74,21.71,20.64,7506800,20.79,-7506800.0,,,-5402089.719626189,-4486027.86395609,21.41813330937837,,,7974145.454545454,8023600.0,,,,,,-0.08056980056980123,-0.016113960113960248,-0.06445584045584099,False,False,,,,,
2012-09-07,20.12,20.67,19.38,10538100,20.44,-18044900.0,,,6780327.9069767445,2294300.0430206545,20.91194113211014,,,8440319.008264462,8263076.19047619,,,,,,-0.17069634175047455,-0.04703043644126311,-0.12366590530921143,False,False,,,,,
2012-09-06,19.0,21.05,18.71,13616000,20.03,-31660900.0,,,1745641.02564103,4039941.068661684,20.575492200337706,,,9381351.91585274,8772878.458049886,,,,,,-0.2720695994646718,-0.09203826904594486,-0.18003133041872693,False,False,,,,,
2012-09-05,19.26,19.45,18.57,6709700,18.65,-38370600.0,,,-5489754.54545457,-1449813.476792886,20.332015604345447,,,8895597.022061333,8576385.271568945,,,,,,-0.4584780538052584,-0.16532622599780758,-0.29315182780745086,False,False,,,,,
2012-09-04,19.8,19.94,18.3,11056500,18.92,-27314100.0,,,-2696707.3170731603,-4146520.7938660462,20.08616348810801,,,9288488.472595636,8812586.674276665,,,,,,-0.5777612809518153,-0.24781323698860916,-0.3299480439632062,False,False,,,,,
2012-08-31,20.39,21.18,19.83,11597600,19.99,-15716500.0,,,-8848539.25925926,-12995060.053125305,20.127646338951543,,,9708326.932123702,9077826.038631268,,,,,,-0.5792765012979544,-0.3141058898504782,-0.26517061144747617,False,False,,,,,
2012-08-30,23.4,23.5,19.65,25093100,19.67,-40809600.0,,,-24832392.467532426,-37827452.52065773,20.34405165269223,,,12505558.3990103,10603090.22542829,,,,,,-0.5993892636626157,-0.37116256461290575,-0.22822669904970994,False,False,,,,,
2012-08-29,25.61,25.79,24.01,6346500,24.2,-34463100.0,,,-4991629.21348316,-42819081.734140895,20.616906721515885,,,11385729.599190246,10197700.680149406,,,,,,-0.24694895766726077,-0.34631984322377674,0.09937088555651596,True,False,,,,,
2012-08-28,25.48,26.31,25.36,5316100,25.7,-29147000.0,,,-1510891.5789473671,-44329973.31308826,20.87669414677217,10585840.0,,10282160.581155656,9732786.329658987,5748683.849021443,,,-5269740.0,0.5021897175850003,0.15165183999482323,-0.24672550658005676,0.39837734657488,False,False,,,,,
2012-08-27,25.13,25.91,24.86,6567200,25.54,-35714200.0,-0.18702649170586783,,1938887.6190476096,-42391085.69404065,21.143059205376716,10434760.0,,9606713.202763718,9431301.917310512,5841025.863892974,,,-3867560.0,0.6293580302757322,0.449454153376859,-0.10748957458867363,0.5569437279655326,False,False,,,,,
2012-08-24,24.73,24.98,24.28,5778800,24.77,-41493000.0,-0.23019129322747378,,2311519.9999999823,-40079565.69404066,21.315810903260235,10261960.0,,8910728.984079406,9083444.591852369,5961586.884602678,,,-4483160.0,0.5631282912815875,0.6162285680963784,0.037254053948336766,0.5789745141480416,False,False,,,,,
2012-08-23,24.4,25.16,24.0,7817400,24.61,-49310400.0,-0.2581774703219746,,404348.27586206025,-39675217.4181786,21.51891580927533,9989890.0,,8711941.896064967,8962868.916437857,6009474.584992157,,,-2172490.0,0.7825311389815103,0.7271062027843591,0.17522448371554125,0.5518817190688179,False,False,,,,,
