Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,48.12,48.87,48.12,1646200,48.66,0.0,,,724327.9999999963,724327.9999999963,48.54999999999999,,,1646200.0,1646200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,48.49,49.23,48.11,1428000,48.14,-1428000.0,,,-1351499.999999997,-627172.0000000007,48.52367770476872,,,1606527.2727272725,1625419.0476190476,,,,,,-0.04148148148147612,-0.008296296296295224,-0.0331851851851809,False,False,,,,,
2012-09-07,47.58,48.57,47.43,1614800,48.54,186800.0,,,1529810.5263157864,902638.5263157857,48.40532181701855,,,1608031.4049586775,1624407.7097505669,,,,,,-0.04159966234039558,-0.014956969505115297,-0.026642692835280285,False,False,,,,,
2012-09-06,47.42,48.12,47.3,1752200,47.37,-1565400.0,,,-1453043.9024390234,-550405.3761232377,48.18534331077025,,,1634243.8767843724,1636578.4040600366,,,,,,-0.13455151728866355,-0.03887587906182495,-0.0956756382268386,False,False,,,,,
2012-09-05,47.09,47.46,46.74,1432800,46.96,-2998200.0,,,-557200.0000000031,-1107605.3761232407,47.97935602404538,,,1597617.7173690319,1617170.9370066999,,,,,,-0.23855024675197,-0.07881075259985396,-0.15973949415211605,False,False,,,,,
2012-09-04,46.85,47.35,46.39,1626300,47.13,-1371900.0,,,880912.5000000044,-226692.87612323626,47.80428789968036,,,1602832.6778473896,1618040.3715774904,,,,,,-0.3037509579069564,-0.12379879366127444,-0.17995216424568194,False,False,,,,,
2012-08-31,46.69,47.2,46.48,1531600,46.84,-2903500.0,,,1.511482297347445e-08,-226692.87612322115,47.67041219856356,,,1589881.2818751368,1609807.955236777,,,,,,-0.374506489918339,-0.17394033291268735,-0.20056615700565167,False,False,,,,,
2012-08-30,46.98,47.12,46.09,1450000,46.23,-4353500.0,,,-1055825.2427184626,-1282518.1188416837,47.53212414242489,,,1564448.321534203,1594588.1499761315,,,,,,-0.47433482423018347,-0.23401923117618656,-0.2403155930539969,False,False,,,,,
2012-08-29,47.37,47.61,46.81,1237000,47.37,-3116500.0,,,494799.9999999912,-787718.1188416926,47.50788792590271,,,1504912.2630734385,1560532.1356926905,,,,,,-0.45620221066560873,-0.278455827074071,-0.17774638359153772,False,False,,,,,
2012-08-28,47.18,47.59,47.06,1221600,47.31,-4338100.0,,,-69147.16981132323,-856865.2886530159,47.49252539517865,1494050.0,,1453400.9425146314,1528252.8846743389,174365.4989446657,,,-272450.0,0.8176433184967036,-0.4415831862413313,-0.3110812989075231,-0.1305018873338082,False,False,,,,,
2012-08-27,47.22,47.94,47.0,980100,47.42,-3358000.0,-0.4046288421819949,,-104265.95744680284,-961131.2460998187,47.49011266325808,1427440.0,,1367346.2256937893,1476047.8480386874,228584.04824289712,,,-447340.0,0.6866137981281175,-0.41632231882925197,-0.33212950289186893,-0.08419281593738304,False,False,,,,,
2012-08-24,47.19,47.39,47.01,1042200,47.21,-4400200.0,-0.2701680672268908,,54852.631578955574,-906278.6145208632,47.47249284709285,1388860.0,,1308228.7301131003,1434729.0053683363,259011.23613550907,,,-346660.0,0.7503996083118529,-0.4085387638046356,-0.3474113550744223,-0.06112740873021333,False,False,,,,,
2012-08-23,47.15,47.65,46.95,1278200,47.49,-3122000.0,-0.20844686648501365,,693880.0000000088,-212398.61452085432,47.46484372201816,1355200.0,,1302768.9610016274,1419821.4810475423,248025.1286552321,,,-77000.0,0.9431818181818182,-0.37544864218929064,-0.353018812497396,-0.022429829691894665,False,False,,,,,
2012-08-22,47.56,47.79,47.06,1562700,47.3,-4684700.0,-0.10814975459422438,,-535171.2328767298,-747569.8473975841,47.45841177827039,1336250.0,,1350029.1499104223,1433428.9590430143,219975.8585239147,,,226450.0,1.169466791393826,-0.3604014113830871,-0.3544953322745342,-0.005906079108552897,False,False,,,,,37.769784163151506
2012-08-21,47.3,48.16,47.3,1128700,47.73,-3556000.0,-0.2122417643774428,,0.0,-747569.8473975841,47.4730561394457,1305840.0,,1309787.4862903454,1404407.1534198702,226080.5716749869,,,-177140.0,0.8643478527231514,-0.31020313754479645,-0.34563689332858666,0.03543375578379021,True,False,,,,,42.23706175974427
2012-08-20,47.79,47.95,46.78,2214300,47.02,-5770300.0,0.36155690831949827,,-1305869.2307692247,-2053439.078166809,47.45171775386268,1364640.0,,1474244.306964828,1481539.8054751207,357155.7991813781,,,849660.0,1.6226257474498769,-0.32397710376785227,-0.3413049354164398,0.017327831648587533,False,False,,,,,40.93851131758676
2012-08-17,47.91,48.08,47.8,1370700,47.97,-4399600.0,-0.10505353878297208,,293721.42857143853,-1759717.6495953705,47.47957533561198,1348550.0,,1455418.0693348593,1470983.6335251092,352390.9736831143,,,22150.0,1.0164250491268398,-0.25529315019596766,-0.3241025783723454,0.06880942817637775,False,False,,,,,45.7652303025154
2012-08-16,47.27,47.89,47.26,1362800,47.78,-5762400.0,-0.06013793103448273,,886901.5873015918,-872816.0622937788,47.48819850696672,1339830.0,,1438578.4203648847,1460680.4303322416,350676.3561715813,,,22970.0,1.0171439660255406,-0.21372830736675752,-0.30202772417122786,0.08829941680447034,False,False,,,,,53.565217378262425
2012-08-15,47.43,47.72,47.06,1284100,47.26,-7046500.0,0.038075990299110796,,-505857.5757575884,-1378673.6380513671,47.48150807002819,1344540.0,,1410491.4348439965,1443863.2464910757,349455.9492188457,,,-60440.0,0.9550478230472875,-0.22020909082117157,-0.2856639975012166,0.06545490668004506,False,False,,,,,52.55972694990038
2012-08-14,47.84,48.19,47.42,1088300,47.59,-5958200.0,-0.10911918795022924,,-607751.9480519408,-1986425.586103308,47.49120846694936,1331210.0,1412630.0,1351911.17396327,1410000.0801585922,357124.77573593863,285993.855473192,-1.1340453432587871,-242910.0,0.8175269116067337,-0.19645233608236623,-0.26782166521744655,0.07136932913508032,False,False,47.466,48.60289142193226,46.32910857806774,0.5545346713009989,53.8205979941281
2012-08-13,48.03,48.12,47.43,977000,47.67,-4981200.0,-0.003162942556881987,-0.40651196695419756,-297347.8260869486,-2283773.4121902566,47.49952432921879,1330900.0,1379170.0,1283745.5059699481,1368761.9772863453,357464.6027542059,296193.77920899226,-1.3577935400062258,-353900.0,0.7340897137275528,-0.16921895460800584,-0.24810112309555843,0.07888216848755258,False,False,47.4165,48.41190576227935,46.421094237720645,0.6273350072936685,57.14285712908776
2012-08-10,47.3,48.19,47.24,1677000,48.11,-3304200.0,0.6090961427748993,0.1743697478991597,1394557.894736847,-889215.5174534097,47.51836036100165,1394380.0,1391620.0,1355246.3230663212,1398117.9794495506,356864.259285734,303497.3885260057,0.9403046312391802,282620.0,1.2026850643296663,-0.11085412348583645,-0.22065172317361406,0.10979759968777761,False,False,47.415000000000006,48.4058953951909,46.42410460480911,0.8506929204500444,66.66666665011824
2012-08-09,47.39,48.02,47.19,1009300,47.72,-4313500.0,-0.21037396338601155,-0.37496903641317814,279685.5421686691,-609529.9752847406,47.522312473302236,1367490.0,1361345.0,1292346.9915997172,1361087.6956924505,376198.3798476543,310189.2791845853,-1.13493606524843,-358190.0,0.7380675544245296,-0.09497450795153384,-0.19551628012919803,0.10054177217766419,False,False,47.374,48.22718968089104,46.52081031910897,0.7027685095995588,53.57873209099997
2012-08-08,47.1,47.69,46.97,1761400,47.5,-6074900.0,0.12715172457925394,0.005250542175550654,831772.2222222319,222242.24693749135,47.515217886627894,1387360.0,1361805.0,1377629.3567634048,1399212.6770550744,392546.80740008573,310805.61953024426,1.2856749520937014,374040.0,1.2696055818244725,-0.09900074070441889,-0.1762131722442422,0.07721243153982332,False,False,47.3805,48.23554016526156,46.525459834738434,0.5698797582002748,51.88118810442896
2012-08-07,47.35,48.29,47.34,1686800,47.49,-7761700.0,0.4944626561530965,0.17727526521496362,-1154126.3157894763,-931884.0688519849,47.52434962763556,1443170.0,1374505.0,1433842.2009882403,1426601.945906972,391357.852866146,318942.18165185064,0.9791586624966825,243630.0,1.168815870618153,-0.10182470379338326,-0.16133547855407043,0.05951077476068717,False,False,47.407000000000004,48.23972792043601,46.574272079564,0.5498362057780772,50.70707069272932
2012-08-06,47.4,47.52,46.89,1117900,47.04,-8879600.0,-0.49514519261166057,-0.31261144930209683,-585566.6666666738,-1517450.7355186588,47.512878615938455,1333530.0,1349085.0,1376398.1644449239,1397201.7605824985,292384.5491053786,318076.46097489796,-0.7268220958301115,-215630.0,0.8383013505507938,-0.1387742508996226,-0.15682323302318088,0.018048982123558294,False,False,47.4025,48.24247180403806,46.562528195961946,0.28421894743529985,48.36223505439167
2012-08-03,46.56,47.32,46.56,1754500,47.2,-7125100.0,0.28000291821696943,0.14553408200574558,1200447.368421063,-317003.3670975957,47.49056854924832,1371910.0,1360230.0,1445143.952727665,1431230.1643365463,321541.84262014105,328541.0686496799,1.2000630594539345,382590.0,1.2788739786137575,-0.15337832055949718,-0.15613425053044416,0.0027559299709469798,False,False,47.4205,48.224371552976095,46.6166284470239,0.36285122344256504,47.14003943471479
2012-08-02,45.83,46.32,45.07,2824300,45.62,-9949400.0,1.072424420311124,0.9477931034482758,-338916.00000001286,-655919.3670976085,47.36534371793373,1518060.0,1428945.0,1695899.5976862712,1563903.48201878,560382.5978739882,464069.6822392993,3.0067790536690993,1306240.0,1.8604666482220729,-0.2891122404290911,-0.18272984851017354,-0.10638239191891757,False,True,47.39,48.40311401135312,46.37688598864688,-0.37354432974230956,36.996904016749895
2012-08-01,45.5,46.42,45.1,2440500,46.06,-7508900.0,0.9005529164395296,0.9729183508488277,1109318.1818181842,453398.8147205757,47.280891268383556,1633700.0,1489120.0,1831281.48901604,1647388.8646836581,622601.1814244421,513288.30269567855,1.8535002551267175,806800.0,1.4938483197649508,-0.3570620381567835,-0.21759628643949555,-0.13946575171728795,False,False,47.3245,48.49951131013594,46.149488689864064,-0.038079927015217084,37.09428129027331
2012-07-31,46.15,46.32,44.88,1918400,45.12,-9427300.0,0.7627492419369659,0.570399476096922,-1278933.333333346,-825534.5186127704,47.203137214321835,1716710.0,1523960.0,1847121.2182858507,1673199.4489995001,596599.2893987647,517802.57404170034,0.7617575110166108,201690.0,1.1174863547133762,-0.48121573109834515,-0.2703201753712655,-0.21089555572707963,False,False,47.215,48.74902806534404,45.680971934655965,-0.18284278734175477,35.8208955149031
2012-07-30,46.89,47.01,45.74,2092000,46.28,-7335300.0,1.1412487205731834,1.1344760738700135,-312976.37795275316,-1138510.8965655235,47.165278966373904,1828210.0,1579555.0,1891644.6331429686,1713085.2157614524,544949.0913022162,516024.2889785223,0.9930637199547185,263790.0,1.1442886758085777,-0.4804675904560085,-0.31234965838821416,-0.16811793206779435,False,False,47.158,48.74380014669667,45.57219985330333,0.22316814264744073,37.77134586789009
2012-07-27,45.01,47.09,45.01,2881600,46.85,-4453700.0,0.7183064997018485,1.764920360775283,2216615.384615381,1078104.4880498573,47.11675344407557,1948670.0,1671525.0,2071636.518026065,1824372.3380698855,633717.9113945117,575679.984087468,2.1019924844497337,932930.0,1.4787521745600847,-0.42893594077376207,-0.33566691486532374,-0.09326902590843833,False,False,47.14,48.731477301126226,45.548522698873775,0.40888968388214597,43.62139916857753
2012-07-26,44.54,45.54,43.8,4706600,45.46,-9160300.0,3.663231942930744,2.682209356908152,4273809.195402308,5351913.683452166,46.93024702404178,2318400.0,1842945.0,2550720.7874758714,2098870.210634658,998395.6396806495,881566.2141743434,3.2483719928877264,2388200.0,2.0301069703243617,-0.49455717317913894,-0.3674449665280868,-0.12711220665105216,False,False,47.038500000000006,48.7871629478728,45.28983705212721,0.048655159097351644,38.970588228608044
2012-07-25,40.51,42.99,40.51,5462800,42.68,-14623100.0,2.101396616327921,2.4957445446982787,4097099.999999992,9449013.683452157,46.490947167150736,2688540.0,2037950.0,3080189.735207531,2419244.4762885002,1381549.4861446936,1192747.7072532543,2.871395165275138,2774260.0,2.031883475789834,-0.7621002222354463,-0.4463760176695587,-0.31572420456588757,False,False,46.8075,49.41863304706476,44.196366952935236,-0.2903657005604945,26.861451457341587
2012-07-24,40.72,40.91,39.78,2378200,40.27,-17001300.0,0.4098885463599715,1.107025781872951,-315690.265486709,9133323.417965448,46.25778007623024,2757680.0,2100425.0,2952555.2378970706,2415335.478546738,1342598.44811801,1175210.322889616,0.2363619469551669,-379480.0,0.8623915755272548,-1.155279531641547,-0.5881567204639564,-0.5671228111775906,False,False,46.4345,50.31402506588656,42.55497493411344,-0.29449158019440014,21.406491496911244
2012-07-23,41.04,41.34,40.54,1951800,40.78,-15049500.0,0.7459522318633152,-0.11854762227340465,-780719.9999999966,8352603.417965451,46.096231255595775,2841070.0,2087300.0,2770599.740097603,2371189.242494668,1252293.9192182925,1175337.427921737,-0.11528604193231105,-889270.0,0.6869946886208366,-1.4094766597330377,-0.7524207083177727,-0.657055951415265,False,False,46.122499999999995,50.73768261028919,41.5073173897108,-0.07879616595119115,21.8293620268593
2012-07-20,42.31,42.5,41.87,2426500,42.09,-12623000.0,0.3830151040182388,0.7702633690814913,-731801.5873015482,7620801.830663903,45.95411070442509,2908270.0,2140090.0,2708036.1509889476,2376456.9336856515,1204631.6200860373,1165123.63739693,0.24581940560392812,-481770.0,0.8343448166779563,-1.4880701172436588,-0.89955059010295,-0.5885195271407088,False,False,45.828500000000005,50.690677441608265,40.966322558391745,0.11555290351935202,29.791816220982923
2012-07-19,41.48,42.86,41.43,2320700,42.45,-10302300.0,-0.17830966965265727,0.7028911065453478,989948.9510489618,8610750.781712864,45.83056277603309,2857910.0,2187985.0,2637611.396263684,2371146.749525113,1218973.2614422315,1151093.5378678192,0.11529471379522221,-537210.0,0.8120269707583514,-1.503970175210739,-1.020434507124508,-0.48353566808623105,False,False,45.562,50.556294007322656,40.56770599267734,0.18844445326635104,32.05401563291578
2012-07-18,40.85,41.71,40.85,2949800,41.24,-13252100.0,0.2086867445195657,1.297173117358461,-274399.99999999435,8336350.781712869,45.645101467563585,2908840.0,2271270.0,2694372.9605793776,2426256.582903674,1210203.6708293727,1142479.6785478229,0.5939099073188439,40960.0,1.014081214504751,-1.5958124408520504,-1.1355100938700164,-0.460302346982034,False,False,45.261,50.54182090907127,39.980179090928736,0.11928267695153,29.535036015628776
2012-07-17,40.77,41.19,40.21,1420900,41.14,-14673000.0,-0.25933069224353633,0.3056142607736838,1275910.2040816403,9612260.985794509,45.55297823104619,2859090.0,2287900.0,2462832.422292218,2330508.336912848,1264453.3183685879,1126665.2349207138,-0.769527605119557,-1438190.0,0.4969763106442959,-1.6575599430969419,-1.2399200637154015,-0.41763987938154035,False,False,44.9385,50.40498843312356,39.47201156687643,0.15256489184323357,30.227882034697146
2012-07-16,40.19,40.72,39.79,1620000,40.5,-16293000.0,-0.22562141491395793,0.6581371545547594,853548.3870967779,10465809.372891286,45.441245351308424,2811890.0,2320050.0,2309590.163693633,2262840.8762544813,1304446.1706452707,1096047.3393061087,-0.6387041644051537,-1191890.0,0.5761249551013731,-1.7381021748489474,-1.3395564859421107,-0.3985456889068366,False,False,44.58,50.229603619072016,38.93039638092798,0.13891272068834418,28.246753244185385
2012-07-13,39.8,40.35,39.8,1382800,40.32,-17675800.0,-0.5201277068295391,-0.17543231961836614,1231949.0909090864,11697758.463800373,45.34635906651743,2662010.0,2305340.0,2141082.8612038814,2179027.45946834,1379493.3413314389,1107050.899985134,-0.833331150367511,-1279210.0,0.5194571019643052,-1.79575660514071,-1.4307965097818307,-0.3649600953588792,False,False,44.1905,49.88931049453582,38.49168950546418,0.16041158907537423,31.07142856832145
2012-07-12,39.9,39.9,39.01,2121600,39.64,-19797400.0,-0.5492287426167509,1.102050926384623,882013.4831460777,12579771.94694645,45.19006570207031,2403510.0,2360955.0,2137540.5228031757,2173558.1776142125,1181829.5190555663,1065681.2091086942,-0.22460281550820418,-281910.0,0.8827090380318784,-1.874708006592769,-1.5195788091440183,-0.3551291974487507,False,False,43.786500000000004,49.576663255584066,37.99633674441594,0.1419358300475295,27.457865165839834
2012-07-11,40.05,40.68,39.97,1469400,40.4,-18328000.0,-0.7310170608479168,-0.16577722266379014,310436.6197183065,12890208.566664755,45.10183239790053,2004170.0,2346355.0,2016060.4277480529,2106495.4940319066,525892.9909105926,1076275.0888205995,-0.8148056283277746,-534770.0,0.7331713377607688,-1.8545735432678185,-1.5865777559687786,-0.26799578729903994,False,False,43.4315,49.13295420046501,37.73004579953499,0.23414677261173533,33.21479373780224
2012-07-10,41.25,41.4,39.62,1700100,39.97,-20028100.0,-0.285131612143638,0.007884752193502598,-1031521.3483146045,11858687.218350152,45.00326436991092,1936360.0,2347020.0,1958613.0772484066,2067791.161266963,515929.4852766001,1075850.1449160052,-0.601310510629254,-236260.0,0.8779875642958954,-1.851965931907614,-1.639655391156546,-0.21231054075106814,False,False,43.05550000000001,48.62022527340041,37.49077472659961,0.2227625939820588,26.33158289295841
2012-07-09,40.63,41.47,40.39,1997500,40.96,-18030600.0,0.023414284250435458,0.786832453707845,110972.2222222266,11969659.440572377,44.906987050524705,1940930.0,2391000.0,1965683.4268396052,2061096.7649558235,516283.7248602316,1040353.1940745184,-0.37823693168938777,56570.0,1.0291458218482892,-1.7498435477147751,-1.6616930224681918,-0.08815052524658329,False,False,42.7515,48.058017442581445,37.444982557418555,0.3311981427193337,28.581818178908023
2012-07-06,40.35,40.91,40.0,1396500,40.83,-19427100.0,-0.4244797032763239,-0.20404673696209752,1150961.5384615427,13120620.97903392,44.83647662833461,1837930.0,2373100.0,1862195.531050586,1997801.8349600309,511368.07367861515,1054859.6913433808,-0.9258103309988878,-441430.0,0.759822191269526,-1.6602622661082478,-1.6614068711962031,0.0011446050879553304,True,False,42.43300000000001,47.3668790120212,37.49912098797881,0.33755175227297174,31.46517213418325
