Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,21.67,21.93,21.66,43006000,21.89,0.0,,,30263481.481481735,30263481.481481735,21.826666666666664,,,43006000.0,43006000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,21.49,21.69,21.4,33593100,21.59,-33593100.0,,,10425444.827586094,40688926.30906783,21.709718034110928,,,41294563.63636364,42109533.333333336,,,,,,-0.023931623931623847,-0.00478632478632477,-0.019145299145299076,False,False,,,,,
2012-09-10,21.48,21.65,21.43,33672300,21.48,-67265400.0,,,-18366709.090908796,22322217.218159035,21.651786035786856,,,39908697.52066116,41305987.301587306,,,,,,-0.05118367545717817,-0.01406579492049545,-0.03711788053668272,False,False,,,,,
2012-09-07,21.32,21.59,21.3,36379800,21.59,-30885600.0,,,36379800.0,58702017.218159035,21.612478634110506,,,39267079.78963186,40836826.60619804,,,,,,-0.06317677935375698,-0.023887991807147756,-0.03928878754660923,False,False,,,,,
2012-09-06,20.87,21.32,20.85,53178600,21.31,-84064200.0,,,50915680.851063475,109617698.06922251,21.492065260870334,,,41796447.10060789,42012233.59608394,,,,,,-0.09418930486413757,-0.03794825441854572,-0.05624105044559185,False,False,,,,,
2012-09-05,20.55,20.77,20.51,33033500,20.65,-117097700.0,,,2541038.4615379754,112158736.53076048,21.371665927320162,,,40203183.99140645,41157116.11074261,,,,,,-0.17006305784390463,-0.06437121510361751,-0.10569184274028712,False,False,,,,,
2012-09-04,20.63,20.69,20.48,38173600,20.51,-155271300.0,,,-27266857.142856773,84891879.3879037,21.25734861317161,,,39834168.720241636,40872971.71924332,,,,,,-0.2387383565278398,-0.09924464338846198,-0.13949371313937783,False,False,,,,,
2012-08-31,20.76,20.83,20.61,29679000,20.71,-125592300.0,,,-2698090.9090903862,82193788.47881332,21.20398628849799,,,37987774.40747043,39806879.174553476,,,,,,-0.2738687089835956,-0.1341694565074887,-0.1396992524761069,False,False,,,,,
2012-08-30,20.72,20.78,20.62,21237800,20.64,-146830100.0,,,-15928350.000000117,66265438.4788132,21.169421330872524,,,34942324.51520307,38038395.44364362,,,,,,-0.3038555240531089,-0.16810667001661275,-0.13574885403649614,False,False,,,,,
2012-08-29,20.82,20.95,20.81,19925800,20.82,-126904300.0,,,-17079257.14285671,49186181.33595649,21.15138729386621,34187950.0,,32212047.330620695,36313386.353772804,9732481.923749518,,,-14262150.0,0.5828310852215474,-0.30952775210981187,-0.1963908864352526,-0.11313686567455927,False,False,,,,,
2012-08-28,20.76,20.92,20.76,25912400,20.81,-152816700.0,-0.39747012044830954,,-9717150.000000935,39469031.33595556,21.128744282659117,32478590.0,,31066656.906871475,35322816.22484206,9510219.330739843,,,-6566190.0,0.7978302013726581,-0.31124214443788745,-0.21936113803577956,-0.09188100640210789,False,False,,,,,
2012-08-27,20.82,20.95,20.79,28775600,20.85,-124041100.0,-0.14340742592972966,,-7193899.999999201,32275131.335956357,21.10948562098508,31996840.0,,30650101.105622116,34699271.82247615,9569323.772950498,,,-3221240.0,0.8993263084729617,-0.30584752709449603,-0.23665841584752287,-0.06918911124697316,False,False,,,,,
2012-08-24,20.59,20.9,20.55,29338200,20.8,-153379300.0,-0.1287141062535081,,12573514.28571454,44848645.6216709,21.084722719137122,31563430.0,,30411573.63187264,34188693.553668894,9583147.10196441,,,-2225230.0,0.9294997406809082,-0.3021241371292227,-0.24975156010386285,-0.05237257702535986,False,False,,,,,
2012-08-23,20.74,20.79,20.63,36538800,20.64,-189918100.0,0.004370557287285859,,-31971449.99999929,12877195.621671613,21.053271397973162,31579330.0,,31525614.78971398,34412513.215224236,9592153.81885401,,,4959470.0,1.1570479804353038,-0.3085274739127932,-0.26150674286564896,-0.04702073104714427,False,False,,,,,22.94372292981768
2012-08-22,20.77,20.87,20.71,28016800,20.78,-161901300.0,-0.4731564952819367,,-3502099.9999999222,9375095.621671692,21.038042038518974,29063150.0,,30887648.464311436,33803397.67091717,5877795.04675577,,,-1046350.0,0.9639973643600229,-0.2988602594393761,-0.2689774461803944,-0.029882813258981733,False,False,,,,,27.34693875988343
2012-08-21,20.97,21.05,20.8,30438800,20.85,-131462500.0,-0.07854753507802681,,-18263279.99999983,-8888184.378328137,21.02997555129413,28803680.0,,30806039.652618445,33482959.797496483,5738677.339828985,,,1635120.0,1.0567677463435228,-0.2822963704993562,-0.27164123104418675,-0.010655139455169438,False,False,,,,,33.33333331231236
2012-08-20,20.95,21.02,20.83,27385500,20.93,-104077000.0,-0.28260630383301544,,1441342.1052633736,-7446842.273064763,21.024815529838218,27724870.0,,30184123.352142364,32902249.340592057,4701882.38948568,,,-339370.0,0.9877593655082963,-0.2597201455976368,-0.2692570139548768,0.009536868357239991,True,False,,,,,37.442922350493106
2012-08-17,21.02,21.05,20.94,30032500,21.0,-74044500.0,0.011910778665049415,,2730227.2727267435,-4716615.00033802,21.02335373790537,27760220.0,,30156555.46993466,32628939.87958329,4719502.303986442,,,2272280.0,1.0818538181613835,-0.23348840078179123,-0.26210329132025967,0.02861489053846844,False,False,,,,,36.27906974381829
2012-08-16,20.87,21.14,20.82,33598000,21.05,-40446500.0,0.5819906016630725,,14699125.000000047,9982509.999662027,21.02225449316772,28996240.0,,30782272.65721927,32721231.31962298,4431247.3318468705,,,4601760.0,1.1587019558397917,-0.20628702349550565,-0.2509400377553089,0.044653014259803225,False,False,,,,,43.22916663514546
2012-08-15,20.86,21.03,20.79,28870100,20.96,-69316600.0,0.4488803460839714,,12029208.333333405,22011718.33299543,21.01794786154883,29890670.0,32039310.0,30434604.901361216,32354456.908230312,3099579.819212061,7367390.7116284715,-0.43016722256874645,-1020570.0,0.9658565699597901,-0.18980404102340032,-0.23871283840892718,0.048908797385526864,False,False,20.993000000000002,21.75120008468811,20.234799915311893,0.47823793437481876,61.48148141772298
2012-08-14,21.08,21.11,20.9,30095000,20.94,-99411600.0,0.16141306864667104,-0.30021392363856203,-18630238.095237367,3381480.237758063,21.01639509151049,30308930.0,31393760.0,30372858.555659175,32139270.536017902,2767515.1265470386,6907158.101822989,-0.1880310224341356,-213930.0,0.9929416841835064,-0.1763224559979797,-0.2262347619267377,0.049912305928758005,False,False,20.945500000000003,21.57523595134871,20.315764048651296,0.49563309035459857,67.47967471994176
2012-08-13,21.04,21.06,20.88,26873600,20.99,-72538000.0,-0.06609766607820511,-0.2000261958556966,5971911.111110993,9353391.348869056,21.014864975489957,30118730.0,31057785.0,29736629.727357503,31637778.1040162,2944314.4967320785,6957786.224630496,-0.6013672833448124,-3245130.0,0.8922554171440827,-0.1597619839011628,-0.21294020632162272,0.053178222420459914,False,False,20.9155,21.46844332059397,20.362556679406033,0.5673667600505323,62.96296288134417
2012-08-10,21.0,21.1,20.94,24419100,21.1,-48118900.0,-0.1676687731353662,-0.27480154310813343,24419100.0,33772491.348869056,21.0159402963746,29626820.0,30595125.0,28769806.140565228,30950284.95125275,3455714.9328805087,7081333.349535018,-0.8721556654871412,-5207720.0,0.8242227819252961,-0.13619167688626277,-0.19759050043455076,0.06139882354828799,False,False,20.8965,21.390773523253554,20.402226476746446,0.7058576784170671,70.53571419754459
2012-08-09,20.94,21.12,20.94,31159700,21.06,-79278600.0,-0.14721610999813894,-0.1434889691532114,10386566.666665846,44159058.0155349,21.01693546391665,29088910.0,30334120.0,29204332.296826094,30970229.241609633,2563818.1849430064,6951918.1980379,0.11875571266546413,2070790.0,1.0711882982208685,-0.11936375342004268,-0.18194515103164915,0.06258139761160647,False,False,20.869999999999997,21.25174116334171,20.488258836658286,0.7488597225627522,62.244897870262214
2012-08-08,21.05,21.09,20.9,32345900,21.01,-111624500.0,0.1545180034836242,-0.39174968878458627,5107247.368421816,49266305.383956715,21.016238242183995,29521820.0,29292485.0,29775526.424675893,31101245.504313476,2723211.472100135,4464662.943873226,0.6839071702355818,2824080.0,1.0956607688821354,-0.10880781619243152,-0.16731768406380562,0.058509867871374105,False,False,20.855,21.183857671981457,20.526142328018544,0.7356642602650627,59.80392148654374
2012-08-07,21.14,21.19,21.09,31115300,21.12,-80509200.0,0.022224923452961454,-0.05806832457959343,-12446119.999999559,36820185.383957155,21.020698908301895,29589470.0,29196575.0,30019121.620189365,31102584.027712192,2756718.8116994784,4400206.786872276,0.4360533704289508,1525830.0,1.0515666553000105,-0.09052259111447825,-0.15195866547394016,0.06143607435946191,False,False,20.8785,21.212803675373795,20.544196324626203,0.8611985416103678,62.385321020789476
2012-08-06,20.97,21.18,20.9,34159500,20.97,-114668700.0,0.24735717806868607,-0.1051538235848859,-17079750.0,19740435.383957155,21.020537043724516,30266870.0,28995870.0,30771917.689245842,31393718.88221579,2978337.908987346,4046522.693960438,1.2760659930826237,3892630.0,1.1286102593363634,-0.08713077555637483,-0.1389930874904271,0.051862311934052274,False,False,20.901500000000002,21.189087057757266,20.613912942242738,0.6190943718646297,57.14285707563016
2012-08-03,20.82,21.0,20.77,37891500,20.96,-152560200.0,0.26168317655872797,0.2767108056201355,24711847.826087262,44452283.210044414,21.015824849109556,31052770.0,29406495.0,32066387.20029205,32012555.179147623,3825907.815887188,4509673.118212847,1.8815122022330857,6838730.0,1.2202293064354646,-0.08427814769111919,-0.1280500995305655,0.04377195183944632,False,False,20.913999999999998,21.18794966883104,20.640050331168958,0.5839570279392702,65.38461529659767
2012-08-02,20.52,20.7,20.2,44000400,20.52,-196560600.0,0.30961366748020724,1.071796513763196,12320112.00000005,56772395.210044466,20.990236661377473,32093010.0,30544625.0,34236207.70932986,33154254.685895465,5598413.166335619,5164420.629030195,2.6054761930820503,11907390.0,1.371027522815716,-0.11618246320761472,-0.12567657226597534,0.009494109058360622,False,False,20.908,21.210939980159363,20.60506001984064,-0.14039087841078912,40.29850742058359
2012-08-01,20.86,20.95,20.71,35734300,20.73,-160826300.0,0.2377615595373761,0.7933683967519498,-29778583.33333342,26993811.876711044,20.98309519170924,32779430.0,31335050.0,34508588.12581534,33399973.287238754,5580125.343683799,4636419.993974481,0.948846309376047,2954870.0,1.0901440324008074,-0.12310256837629296,-0.12516177148803886,0.0020592031117458998,False,False,20.9035,21.214510238450536,20.592489761549466,0.22107027591055498,45.94594590248353
2012-07-31,20.75,20.89,20.75,38328400,20.75,-122497900.0,0.27358032895829876,0.4791528380234946,-38328400.0,-11334588.123288956,20.97599871348838,33602770.0,31955850.0,35203099.375667095,33869347.25988268,5745009.483997588,4702884.754398932,1.3550300151495984,4725630.0,1.1406321562180737,-0.12552598332752396,-0.1252346138559359,-0.0002913694715880599,False,True,20.9005,21.2164263738345,20.5845736261655,0.26181159209132515,43.66197178793892
2012-07-30,20.79,20.91,20.69,44993600,20.8,-77504300.0,0.6742676827816148,0.5636024965595852,0.0,-11334588.123288956,20.968470624416238,35414770.0,32766750.0,36983190.39827307,34928799.90179862,6224343.2937048795,5462518.862065472,2.238317213860717,9578830.0,1.2704755671150765,-0.12200557073002471,-0.12458880523075368,0.002583234500728962,True,False,20.898,21.216390690157475,20.579609309842525,0.34610102771609236,42.857142814285744
2012-07-27,20.63,21.0,20.56,80268300,20.92,2764000.0,2.2871113185989658,1.7359653966501014,51079827.272727974,39745239.14943902,20.958417050678218,40999690.0,35313255.0,44853210.325859785,39246847.53019875,14635205.368444802,11880748.862294879,3.78385617952676,39268610.0,1.957778217347497,-0.10828438626497672,-0.1213279214375983,0.013043535172621579,False,False,20.904000000000003,21.219120695340035,20.588879304659972,0.5253870980811549,45.57823124910921
2012-07-26,20.2,20.7,20.16,57275600,20.56,-54511600.0,0.8381306623619611,0.5675282165807307,27577140.740740575,67322379.8901796,20.935058737969754,43611280.0,36350095.0,47111826.63024891,40963871.574941725,15009548.610564172,12857996.83729423,1.6274311826945085,13664320.0,1.3133207738915254,-0.1250181091340714,-0.12206595897689293,-0.002952150157178479,False,True,20.9,21.230868076747413,20.569131923252584,-0.01379994610292493,38.50574709545513
2012-07-25,20.06,20.16,19.98,42587700,20.0,-97099300.0,0.3166336382663646,0.5200772393706634,-33123766.66666685,34198613.223512754,20.904349705634502,44635460.0,37078640.0,46289258.15202183,41118521.90113775,14496085.403323354,12773496.254947502,0.431288340329391,-2047760.0,0.9541225742940702,-0.1813762326453663,-0.1339280137105876,-0.047448218934778685,False,False,20.861,21.381157870772256,20.340842129227745,-0.32763334785428894,29.385964894236707
