Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,59.54,59.9,59.45,5871100,59.75,0.0,,,1957033.3333333333,1957033.3333333333,59.7,,,5871100.0,5871100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,59.5,59.9,59.17,3943400,59.31,-3943400.0,,,-2430863.0136986175,-473829.6803652842,59.60356961638392,,,5520609.090909091,5687509.523809524,,,,,,-0.035099715099718765,-0.007019943019943753,-0.028079772079775012,False,False,,,,,
2012-09-10,59.22,59.9,59.03,5591900,59.66,1648500.0,,,2506713.7931034137,2032884.1127381295,59.576866821580644,,,5533571.074380165,5678403.854875284,,,,,,-0.03427926721374064,-0.01247180785870313,-0.021807459355037508,False,False,,,,,
2012-09-07,59.6,59.69,58.73,4059800,59.26,-2411300.0,,,422895.83333333896,2455779.9460714683,59.503830348672736,,,5265612.6972201355,5524251.106791925,,,,,,-0.06515465115248986,-0.023008376517460478,-0.04214627463502939,False,False,,,,,
2012-09-06,58.81,59.53,58.76,6762800,59.49,4351500.0,,,6060171.428571447,8515951.374642916,59.44096192509563,,,5537828.570452838,5642208.144240312,,,,,,-0.07025468527940149,-0.03245763826984868,-0.0377970470095528,False,False,,,,,
2012-09-05,57.88,59.1,57.7,8245800,58.44,-3894300.0,,,471188.57142852,8987139.946071437,59.19517022095366,,,6030187.012188686,5890169.273360282,,,,,,-0.1572104990793619,-0.05740821043175133,-0.09980228864761058,False,False,,,,,
2012-09-04,57.51,58.26,57.02,4641500,58.01,-8535800.0,,,2769927.419354831,11757067.365426268,59.02526992583655,,,5777698.464518015,5771248.390183113,,,,,,-0.2578486950869632,-0.09749630736279372,-0.16035238772416946,False,False,,,,,
2012-08-31,57.68,58.09,57.28,3057300,57.69,-11593100.0,,,37744.44444441001,11794811.809870679,58.92823026727621,,,5283080.561878376,5512777.114927578,,,,,,-0.35928490341102304,-0.1498540265724396,-0.20943087683858344,False,False,,,,,
2012-08-30,57.67,57.91,57.23,3654300,57.51,-15247400.0,,,-644876.4705882218,11149935.339282457,58.818330689383544,,,4986938.641536852,5335779.294458285,,,,,,-0.4490222757058149,-0.20968767639911468,-0.2393345993067002,False,False,,,,,
2012-08-29,57.65,58.01,57.36,4395700,57.76,-10851700.0,,,1014392.3076923003,12164327.646974757,58.721326706966444,5022360.0,,4879440.70671197,5246247.933081306,1592549.1349126755,,,-626660.0,0.8752259893755127,-0.4942692508575064,-0.26660399129079304,-0.22766525956671335,False,False,,,,,
2012-08-28,57.57,58.25,57.53,5356700,57.63,-16208400.0,-0.08761560865936535,,-3868727.7777777547,8295599.869197003,58.6328526414335,4970920.0,,4966215.12367343,5256767.177549752,1570239.8131071148,,,385780.0,1.0776073644315338,-0.5344568325192824,-0.32017455953649093,-0.2142822729827915,False,False,,,,,
2012-08-27,57.37,57.48,56.34,3116800,57.19,-19325200.0,-0.2096160673530456,,1531059.6491228025,9826659.518319804,58.54632561063494,4888260.0,,4629957.828460079,5052960.779687871,1650067.827023416,,,-1771460.0,0.6376092924680766,-0.5949518684933892,-0.37513002132787066,-0.21982184716551856,False,False,,,,,
2012-08-24,56.28,57.6,56.14,6088300,57.29,-13236900.0,0.0887712584273681,,3502857.5342465574,13329517.05256636,58.40194722885094,4937900.0,,4895110.950558246,5151564.514955693,1680769.0025699546,,,1150400.0,1.2329735312582273,-0.6275909779489695,-0.42562221265209044,-0.20196876529687902,False,False,,,,,
2012-08-23,56.52,56.72,56.03,3543300,56.05,-16780200.0,-0.12722301591211393,,-3337891.304347866,9991625.748218495,58.29121865336235,4886250.0,,4649327.141365837,4998396.465912294,1718268.9055170226,,,-1342950.0,0.7251573292402149,-0.7449282747822679,-0.4894834250781259,-0.25544484970414194,False,False,,,,,16.72661870082422
2012-08-22,56.6,57.1,56.46,3715700,56.48,-13064500.0,-0.45056781214881414,,-3483468.750000046,6508156.998218449,58.208119826107236,4581540.0,,4479576.752026594,4876234.897730171,1615628.4585262788,,,-865840.0,0.8110155100686669,-0.7940679999390383,-0.5504003400503085,-0.24366765988872985,False,False,,,,,22.704507507214288
2012-08-21,56.5,56.96,56.29,4073600,56.82,-8990900.0,-0.5059788013291615,,2371199.999999997,8879356.998218447,58.12687474710318,4164320.0,,4405762.797112668,4799793.478898726,976545.7408641953,,,-90720.0,0.9782149306489415,-0.7963960695070043,-0.5995994859416477,-0.19679658356535656,False,False,,,,,28.8624787707288
2012-08-20,56.82,56.87,55.86,3518400,56.49,-12509300.0,-0.2419691909942906,,870891.0891089373,9750248.087327383,58.050874574943116,4052010.0,,4244424.106728546,4677756.004717896,980144.591884279,,,-533610.0,0.8683098018020686,-0.8154691032767047,-0.6427734094086591,-0.17269569386804562,False,False,,,,,22.998296417002223
2012-08-17,56.93,57.25,56.16,6743600,56.75,-5765700.0,1.2057370882805087,,556811.0091743313,10307059.096501715,57.94697453114147,4420640.0,,4698819.723686992,4874503.05188762,1226670.2338716248,,,2322960.0,1.525480473415614,-0.800378527417891,-0.6742944330105055,-0.12608409440738544,False,False,,,,,28.09773123222749
2012-08-16,56.93,58.0,56.31,9983000,56.69,-15748700.0,1.7318501491393699,,-5493603.550295906,4813455.546205809,57.84887000197171,5053510.0,,5659579.773925721,5361026.570755466,2105279.2416789853,,,4929490.0,1.9754586416174105,-0.7842206286405684,-0.6962796721365181,-0.08794095650405032,False,False,,,,,24.820143878642412
2012-08-15,57.66,58.11,57.3,4366100,57.97,-11382600.0,-0.006733853538685497,,2856830.864197529,7670286.410403338,57.846462766635135,5050550.0,5036455.0,5424401.633211953,5266271.659254945,2106327.4269316355,1817450.8632972722,-0.36884353439070283,-684450.0,0.8644801061270555,-0.6605160569074329,-0.6891269490907012,0.02861089218326829,True,False,57.812,60.13282199594069,55.49117800405931,0.5340396635925453,45.94127805452199
2012-08-14,56.98,57.82,56.77,5551200,57.57,-16933800.0,0.03630966826591009,-0.054487234078792746,2907771.428571421,10578057.838974759,57.82244683790568,5070000.0,5020460.0,5447455.88171887,5293407.691706855,2110362.702896774,1811115.3659670898,0.29304593731200457,481200.0,1.0949112426035503,-0.5879781040463428,-0.6688971800818295,0.08091907603548676,False,False,57.702999999999996,59.83790391747313,55.568096082526864,0.46885105720415415,46.180555544331135
2012-08-13,56.42,56.67,56.31,3135300,56.63,-20069100.0,0.0059355749486653675,-0.2049246842825988,2438566.6666666805,13016624.50564144,57.78560285431572,5071850.0,4980055.0,5027063.90322453,5087873.625830011,2108467.48624577,1845103.8654190204,-0.9998109236961892,-1936550.0,0.6181767993927265,-0.5994315244082102,-0.6550040489471057,0.055572524538895496,False,False,57.569,59.61373032580416,55.52426967419584,0.2703853686351753,41.692789959503195
2012-08-10,56.87,56.93,56.47,3238200,56.77,-16830900.0,-0.4681273918827916,-0.4209123911371806,985539.1304348347,14002163.636076275,57.75506823264432,4786840.0,4862370.0,4701815.9208200695,4911714.23289382,2148061.425358016,1878779.9311199137,-0.8644812375826559,-1548640.0,0.6764796817942526,-0.5904057822483395,-0.6420843956073525,0.051678613359013026,False,False,57.4245,59.24299532942978,55.60600467057022,0.32004353010760045,44.16403784513732
2012-08-09,56.58,57.28,56.51,3966100,56.9,-12864800.0,0.11932379420314398,-0.02307995467757029,51507.79220778176,14053671.428284056,57.725875046482926,4829120.0,4857685.0,4568049.389761874,4821655.73452298,2124901.498788957,1881002.0969447447,-0.47399468690022983,-863020.0,0.8212883506725863,-0.5662356904450334,-0.6269146545748887,0.060678964129855295,False,False,57.30649999999999,58.91800175139118,55.694998248608805,0.3738754085594173,43.08681671055925
2012-08-08,56.98,57.27,56.5,4324600,56.82,-17189400.0,0.16387221788626638,-0.3605311409475366,-730127.2727272841,13323544.155556772,57.69503323149599,4890010.0,4735775.0,4523785.864350624,4774317.093139839,2098004.814871077,1829332.4117010557,-0.22476778816686327,-565410.0,0.8843744695818618,-0.5472279468333809,-0.6109773130265872,0.06374936619320626,False,False,57.173,58.42519974865289,55.92080025134712,0.3590480470948191,43.43598054119765
2012-08-07,57.37,57.75,56.9,4175600,57.55,-13013800.0,0.02503927729772193,-0.49360886754468947,2210611.7647058577,15534155.92026263,57.68518716550472,4900210.0,4532265.0,4460479.343559601,4717296.417602711,2093838.415420084,1634301.3718325284,-0.2182369825707694,-724610.0,0.8521267455884544,-0.4678660058631934,-0.5823550515939084,0.11448904573071506,False,False,57.128499999999995,58.247263885535716,56.009736114464275,0.6883775501915519,52.786377697538555
2012-08-06,56.95,57.73,56.74,5743500,57.64,-7270300.0,0.632418144611187,0.2374232467952171,4699227.27272731,20233383.192989938,57.67135384986098,5122720.0,4587365.0,4693755.8265487645,4815030.092116739,2048415.8089172773,1656602.6783672918,0.6978951652664591,620780.0,1.1211817159633946,-0.3931765534693028,-0.5445193519689874,0.15134279849968457,False,False,57.10999999999999,58.1784962379561,56.04150376204389,0.7480121039142964,52.71317828313204
2012-08-03,57.88,58.52,56.78,8581700,56.87,-15852000.0,0.27256954742274164,1.8069538481666831,-7693937.93103452,12539445.261955418,57.654038857291475,5306530.0,4863585.0,5400654.767176262,5173760.559534192,2279461.3262542733,1838620.473494362,2.022230826644497,3275170.0,1.617196171509442,-0.3916030331781428,-0.5139360882108185,0.12233305503267566,False,False,57.069,58.10626157691655,56.03173842308345,0.4040743413095618,56.85618727765909
2012-08-02,57.9,58.84,56.03,29432200,57.29,13580200.0,1.9482319943904636,7.054128013573051,-3037486.8327402766,9501958.42921514,57.607440868874384,7251450.0,6152480.0,9770026.627689669,7484088.1252928395,7952043.333948828,5772710.054312264,4.032719430037864,22180750.0,4.058802032696909,-0.35240323200212487,-0.48162951696907974,0.12922628496695487,False,False,57.05800000000001,58.08012575186795,56.03587424813206,0.613488971183834,56.783919584673804
2012-08-01,54.45,54.6,53.5,6566300,53.63,7013900.0,0.5039279906552758,0.4938007598334737,-5014265.454545426,4487692.974669714,57.46905748925487,7471470.0,6261010.0,9187530.877200637,7396679.732407807,7893563.035516133,5758329.627399727,0.05301711082105228,-905170.0,0.8788498113490384,-0.609640957781572,-0.5072318051315783,-0.10240915264999373,False,True,56.85150000000001,58.65021620885566,55.05278379114436,-0.3954997970606863,32.83100107147864
2012-07-31,54.86,55.68,54.32,6512300,54.33,13526200.0,0.17313373684969013,0.21572983366624965,-6416530.88235296,-1928837.9076832458,57.372695472516,7567580.0,6318790.0,8701125.263164157,7312453.091226111,7873409.789750139,5754574.57103294,0.03362716002918442,-1055280.0,0.8605525148065828,-0.7483925553833402,-0.5554639551819307,-0.19292860020140945,False,False,56.6865,58.76776757934731,54.6052324206527,-0.06612134436337433,38.81987577077141
2012-07-30,55.5,56.04,55.43,7072900,55.61,20599100.0,1.2558925780627055,1.269282597535934,-2898729.508196724,-4827567.41587997,57.30985876241213,7961340.0,6516595.0,8405084.306225218,7289638.511109339,7724163.876965728,5706509.888066896,0.097486031026304,-888440.0,0.888405720645017,-0.7464641198248003,-0.5936639881105046,-0.15280013171429574,False,False,56.607499999999995,58.72787608382149,54.4871239161785,0.264782293195312,44.66292134245991
2012-07-27,53.96,55.59,53.62,14055300,55.5,6543800.0,3.3404669260700386,1.308575464415354,12771059.390862899,7943491.9749829285,57.14330508562209,9043050.0,6914945.0,9432396.250547905,7933987.224337021,7746624.355628858,5948002.004076663,1.2004627764257843,5012250.0,1.5542654303581203,-0.7452214524233938,-0.6239754809730824,-0.12124597145031135,False,False,56.517999999999994,58.66798261926881,54.368017380731175,0.2632539000835732,44.45479962141317
2012-07-26,51.94,52.16,51.04,5420600,51.68,1123200.0,0.36673306270643713,0.5298168374114527,774371.4285714482,8717863.403554376,56.99988644071835,9188500.0,7008810.0,8702978.750448285,7694617.0124954,7653807.083478856,5906663.022553428,-0.26888447740047694,-3767900.0,0.58993306850955,-1.040484645172441,-0.7072773138129541,-0.3332073313594869,False,False,56.2995,59.349569714475074,53.24943028552493,-0.25727777271396485,26.299924639275048
