Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,29.11,29.15,28.96,600000,29.07,0.0,,,94736.84210526788,94736.84210526788,29.060000000000006,,,600000.0,600000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,28.92,29.15,28.92,666600,29.05,-666600.0,,,86947.826086961,181684.66819222888,29.04947418285173,,,612109.0909090908,606342.8571428572,,,,,,-0.001595441595441116,-0.0003190883190882232,-0.0012763532763528929,False,False,,,,,
2012-09-07,28.96,29.04,28.89,623600,29.04,-1290200.0,,,623600.0,805284.6681922289,29.029852925616336,,,614198.3471074379,607986.3945578232,,,,,,-0.0036249705765385443,-0.0009802647705782874,-0.0026447058059602567,False,False,,,,,
2012-09-06,28.72,29.0,28.69,1058800,28.97,-2349000.0,,,853870.9677419269,1659155.635934156,28.978443766248446,,,695035.0112697219,650921.0236475543,,,,,,-0.01075779276313682,-0.002935770369089994,-0.007822022394046826,False,False,,,,,
2012-09-05,28.93,28.97,28.58,807300,28.59,-3156300.0,,,-765899.9999999936,893255.6359341623,28.9214665140342,,,715446.8274024997,665814.2594906444,,,,,,-0.04653698059863842,-0.01165601241499968,-0.03488096818363874,False,False,,,,,
2012-09-04,28.67,28.94,28.55,869200,28.92,-2287100.0,,,780051.2820512841,1673306.9179854463,28.89926753864447,,,743401.9496929543,685184.330015345,,,,,,-0.047713985534159065,-0.018867607038831558,-0.028846378495327507,False,False,,,,,
2012-08-31,28.66,28.78,28.52,604600,28.72,-2891700.0,,,325553.8461538373,1998860.7641392834,28.87314952550302,,,718165.2315669626,677509.6319186456,,,,,,-0.06404680722969402,-0.027903447077004054,-0.03614336015268997,False,False,,,,,
2012-08-30,28.64,28.64,28.42,609600,28.51,-3501300.0,,,-110836.36363636184,1888024.4005029215,28.836632589573668,,,698426.0985547875,671042.0479263936,,,,,,-0.09286543611104392,-0.040895844883812024,-0.051969591227231896,False,False,,,,,
2012-08-29,28.88,28.88,28.6,730800,28.72,-2770500.0,,,-104400.00000000795,1783624.4005029136,28.8251431905233,,,704312.262453917,676733.2814572132,,,,,,-0.09763370163220131,-0.05224341623348989,-0.04539028539871142,False,False,,,,,
2012-08-28,28.59,28.91,28.59,519600,28.77,-2250900.0,,,64949.99999999856,1848574.4005029122,28.820124868948724,709010.0,,670728.214735023,661768.2070327167,161859.4070997008,,,-189410.0,0.7328528511586578,-0.09626828343217042,-0.061048389673226,-0.03521989375894442,False,False,,,,,
