Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,21.03,21.16,20.78,702000,21.15,0.0,,,665052.6315789415,665052.6315789415,21.03,,,702000.0,702000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,20.72,21.03,20.58,749900,21.02,-749900.0,,,716571.1111111061,1381623.7426900477,20.95080400394885,,,710709.0909090909,706561.9047619047,,,,,,-0.010370370370370807,-0.0020740740740741617,-0.008296296296296645,False,False,,,,,
2012-09-10,20.59,20.82,20.37,706500,20.65,-1456400.0,,,172699.9999999938,1554323.7426900414,20.840341147763777,,,709943.8016528925,706556.0090702948,,,,,,-0.047892793077974005,-0.01123781787485413,-0.036654975203119874,False,False,,,,,
2012-09-07,20.43,20.62,20.3,766200,20.57,-2222600.0,,,526762.4999999969,2081086.2426900384,20.750303745241517,,,720172.2013523666,712236.3891588381,,,,,,-0.0831266821727894,-0.025615590734441186,-0.05751109143834822,False,False,,,,,
2012-09-06,19.67,20.44,19.67,866500,20.44,-3089100.0,,,866500.0,2947586.2426900384,20.620716063059977,,,746777.2556519363,726928.1616199011,,,,,,-0.12015463878926624,-0.044523400345406194,-0.07563123844386005,False,False,,,,,
2012-09-05,19.83,19.89,19.44,536100,19.55,-3625200.0,,,-274006.6666666676,2673579.576023371,20.49756255007087,,,708472.300078857,708754.0509894342,,,,,,-0.21879301347409097,-0.07937732297114315,-0.13941569050294783,False,False,,,,,
2012-09-04,19.9,20.04,19.49,484300,19.89,-3140900.0,,,220136.36363636647,2893715.9396597375,20.42802064498251,,,667713.7000645193,687377.4747047261,,,,,,-0.26645791656363826,-0.11679344168964217,-0.1496644748739961,False,False,,,,,
2012-08-31,19.94,20.02,19.68,564800,19.9,-2576100.0,,,166117.64705882006,3059833.5867185574,20.369048354196504,,,649002.1182346066,675703.4294947522,,,,,,-0.299967935604581,-0.15342834047262996,-0.14653959513195106,False,False,,,,,
2012-08-30,20.06,20.07,19.71,526800,19.79,-3102900.0,,,-292666.6666666713,2767166.9200518862,20.323322773909755,,,626783.55128286,661522.150495252,,,,,,-0.3315787147893161,-0.1890584153359672,-0.1425202994533489,False,False,,,,,
2012-08-29,20.46,20.5,20.17,1020600,20.17,-2082300.0,,,-1020600.0,1746566.9200518862,20.316936705326153,692370.0,,698386.5419587037,695720.0409242756,169479.63528925172,,,328230.0,1.4740673339399455,-0.32225292965155106,-0.215697318199084,-0.10655561145246706,False,False,,,,,
2012-08-28,20.61,20.74,20.53,591700,20.46,-1490600.0,-0.15712250712250708,,-986166.6666666733,760400.253385213,20.33738567918319,681340.0,,678988.988875303,685813.370360059,172348.23404310754,,,-89640.0,0.868435729591687,-0.2881401016416021,-0.23018587488758763,-0.05795422675401446,False,False,,,,,
2012-08-27,20.56,20.74,20.41,572500,20.58,-918100.0,-0.2365648753167089,,17348.484848481487,777748.7382336945,20.354323124667715,663600.0,,659627.3545343387,675021.620801958,173632.37665315252,,,-91100.0,0.8627185051235684,-0.24855722953532577,-0.23386014581713527,-0.014697083718190507,False,False,,,,,
2012-08-24,20.53,20.65,20.29,374500,20.35,-1292600.0,-0.46992215145081384,,-249666.66666666174,528082.0715670327,20.35767217337871,630400.0,,607786.017346277,646400.5140589144,194950.0847795547,,,-255900.0,0.5940672588832487,-0.2330600251268713,-0.2337001216790825,0.0006400965522112001,True,False,,,,,
2012-08-23,20.5,20.58,20.23,749100,20.43,-543500.0,-0.02231793265465931,,107014.2857142879,635096.3572813206,20.362198664712587,628690.0,,633479.468737863,656181.4174818749,193697.53884744007,,,120410.0,1.1915252350124863,-0.21188061967720984,-0.22933622127870798,0.017455601601498144,False,False,,,,,38.6075949196042
2012-08-22,20.6,20.81,20.46,550400,20.51,6900.0,-0.364800923254472,,-393142.85714285396,241953.50013846665,20.375230607429565,597080.0,,618374.1107855242,646106.9967693153,175515.88595401336,,,-46680.0,0.9218195216721378,-0.18649070806078072,-0.22076711863512252,0.034276410574341803,False,False,,,,,40.12345677278618
2012-08-21,20.73,20.93,20.55,551100,20.56,558000.0,0.027979854504756485,,-522094.736842111,-280141.23670364433,20.39151669414008,598580.0,,606142.4542790652,637058.711362714,175000.17015864744,,,-47480.0,0.9206789401583748,-0.1604844729418069,-0.2087105894964594,0.048226116554652504,False,False,,,,,42.72151896841447
2012-08-20,20.7,20.76,20.29,590800,20.56,558000.0,0.2199050175511046,,87991.48936169756,-192149.74734194676,20.399381347175602,609230.0,,603352.917137417,632653.1198043602,170454.26920112295,,,-18430.0,0.9697486991776505,-0.13828033462418432,-0.1946245385220044,0.05634420389782008,False,False,,,,,48.38709674991328
2012-08-17,20.84,20.95,20.64,818900,20.65,1376900.0,0.4498937677053825,,-766067.7419354942,-958217.489277441,20.42364128286714,634640.0,,642543.2958397048,650390.9179182306,181665.9706408685,,,184260.0,1.2903378293205596,-0.11212859851066881,-0.17812535051973727,0.06599675200906846,False,False,,,,,51.428571402857116
2012-08-16,20.61,20.91,20.44,897100,20.71,2274000.0,0.70292331055429,,133610.6382978732,-824606.8509795679,20.442338890737833,671670.0,,688826.3329597585,673887.0209736372,194526.86218389252,,,225430.0,1.3356261259249333,-0.0855752029971093,-0.1596153210152117,0.0740401180181024,False,False,,,,,54.945054916878
2012-08-15,20.52,20.71,20.43,494700,20.55,1779300.0,-0.5152851263962375,,-70671.42857142678,-895278.2795509946,20.446902995412202,619080.0,655725.0,653530.6360579842,656821.5904047193,157224.3464324502,163488.72446231815,-0.9849303095952284,-124380.0,0.7990889707307618,-0.0765595774181449,-0.14300417229579834,0.06644459487765345,False,False,20.424500000000002,21.215141977662526,19.633858022337478,0.5793658846517551,74.99999994750009
2012-08-14,20.84,20.99,20.51,752000,20.45,1027300.0,0.2709143146864965,0.07122507122507127,-940000.0000000084,-1835278.2795510031,20.457917234582144,635110.0,658225.0,671434.1567747142,665886.200842365,162215.18938332092,164612.01553317648,0.5696728740989156,116890.0,1.1840468580245942,-0.07660078726461705,-0.1297234952895621,0.05312270802494504,False,False,20.3895,21.10314077650786,19.675859223492143,0.5423882729179582,65.90909085666323
2012-08-13,20.7,20.92,20.61,786700,20.64,1814000.0,0.3741484716157206,0.049073209761301584,-634435.4838709631,-2469713.763421966,20.472166875949732,656530.0,660065.0,692391.5828156753,677392.2769526159,167097.8625436803,165891.37306651825,0.7633609732630434,130170.0,1.1982696906462766,-0.06060343558006309,-0.1158994833476623,0.05529604776759921,False,False,20.3705,21.031773890226084,19.709226109773915,0.7037733562320605,69.07216489860778
2012-08-10,20.64,20.85,20.52,802200,20.63,1011800.0,1.142056074766355,0.1354564755838641,-267400.00000000576,-2737113.763421972,20.48226222981396,699300.0,664850.0,712356.7495764615,689278.7267666525,139316.3307010345,168658.3638133921,0.8143681516557788,102900.0,1.147147147147147,-0.04817698129068404,-0.10235498293626666,0.05417800164558262,False,False,20.3695,21.02905247985601,19.709947520143988,0.6974823899205649,72.82608690111059
2012-08-09,20.52,20.84,20.45,1301600,20.6,-289800.0,0.7375517287411562,0.698773166275124,-300369.230769218,-3037482.9941911898,20.49373776133357,754550.0,691620.0,819491.8860171048,747595.0385031617,236746.6965626624,220204.84625863592,2.770057109840188,547050.0,1.7250016566165265,-0.04028529224583366,-0.08994104479818008,0.049655752552346416,False,False,20.371000000000002,21.032605702260163,19.70939429773984,0.6730638046329521,64.4295301408045
2012-08-08,20.54,20.61,20.36,1244800,20.46,-1534600.0,1.2616279069767442,0.4365839584535487,-248959.99999998586,-3286442.994191176,20.49255731834224,823990.0,710535.0,896820.6340139948,794947.891979051,269750.8498596436,250219.15294397433,2.1351882688197947,420810.0,1.5106979453634146,-0.04481134450703905,-0.08091510473995187,0.03610376023291281,False,False,20.372,21.034105095807863,19.709894904192137,0.5664547067808233,49.99999994776119
2012-08-07,20.44,20.7,20.41,1684600,20.49,150000.0,2.0567954999092724,2.1423241932475285,-755165.5172413965,-4041608.5114325723,20.496046593926092,937340.0,767960.0,1040053.2460114502,879676.6641715224,364018.93784679816,327832.21864079713,2.7960644130720853,747260.0,1.797213391085412,-0.045453563862604796,-0.07382279656448246,0.02836923270187766,False,False,20.419,20.95729751116489,19.880702488835112,0.5659486608496037,46.399999948032
2012-08-06,20.41,20.55,20.17,1803800,20.28,-1653800.0,2.0531482735274205,2.7245508982035926,-759494.736842108,-4801103.24827468,20.482389104491038,1058640.0,833935.0,1178916.2921911865,967688.4104409012,431549.423460267,393864.3104246891,2.4624343316464268,745160.0,1.7038842288218847,-0.06219087459573913,-0.0714964121707338,0.009305537574994666,False,False,20.4385,20.92152882119524,19.955471178804764,0.33593111524091085,47.15447149104367
2012-08-03,19.29,21.85,19.05,4104200,20.18,-5758000.0,4.011845158138967,6.266643059490085,-791524.2857142895,-5592627.533988969,20.462763351879055,1387170.0,1010905.0,1710786.0572473344,1266403.79992272,1044283.645003704,825363.8658351332,3.7477955215183685,2717030.0,2.95868566938443,-0.08257263229724288,-0.07371165619603562,-0.008860976101207257,False,True,20.452499999999997,20.883209329264858,20.021790670735136,0.18366136802155753,39.999999955199996
2012-08-02,18.32,18.48,17.9,1384600,18.1,-7142600.0,0.5434176791884964,1.6283219438116934,-429703.44827585155,-6022330.9822648205,20.344582317110838,1435920.0,1053795.0,1651479.5013841826,1277660.580882461,1030147.0960768445,821160.4103020119,0.4028506438569467,-51320.0,0.964259847345256,-0.26352617314831406,-0.1116745595864913,-0.15185161356182275,False,False,20.368000000000002,21.4762200047587,19.259779995241303,-0.5232625247068285,12.923076917510016
2012-08-01,18.81,18.86,18.46,844400,18.45,-6298200.0,0.7068930665049524,-0.17264354301391338,-886620.0000000068,-6908950.982264827,20.291333278223842,1470890.0,1044985.0,1504737.7738597856,1236397.6684174647,1000144.3878538517,822479.4352092368,-0.24387843806571485,-626490.0,0.5740741999741653,-0.3743755151467525,-0.16421475069854358,-0.21016076444820891,False,False,20.282,21.68315140622201,18.88084859377799,-0.15374805030518035,20.28169013284665
2012-07-31,18.63,19.08,18.6,1662800,18.66,-4635400.0,1.2111702127659574,1.8102078756126416,-1247100.000000006,-8156050.9822648335,20.206105443676474,1561970.0,1098540.0,1533476.3604307335,1277007.4142824681,968370.3447315781,826273.8595328842,0.6828970727925388,100830.0,1.0645530964103023,-0.44020476582761603,-0.2194127537243581,-0.22079201210325794,False,False,20.192,21.765632739872945,18.618367260127055,0.013228226262090368,24.734042543982014
