Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,60.41,61.21,60.41,2821500,61.08,0.0,,,1904512.499999987,1904512.499999987,60.89999999999999,,,2821500.0,2821500.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,60.4,60.99,60.17,3154200,60.32,-3154200.0,,,-2000224.3902439137,-95711.89024392678,60.685345984570844,,,2881990.909090909,2853185.714285714,,,,,,-0.06062678062678373,-0.012125356125356746,-0.048501424501426985,False,False,,,,,
2012-09-10,60.35,61.06,60.15,2937100,60.39,-217100.0,,,-1387860.439560433,-1483572.3298043597,60.635252146725314,,,2892010.7438016525,2861177.551020408,,,,,,-0.10185144601099694,-0.030070574102484787,-0.07178087190851215,False,False,,,,,
2012-09-07,59.97,61.1,59.92,3063900,60.6,2846800.0,,,467374.57627118577,-1016197.7535331739,60.61088457866803,,,2923263.3358377153,2880484.4509232263,,,,,,-0.11623713602983798,-0.04730388648795543,-0.06893324954188255,False,False,,,,,
2012-09-06,59.06,59.86,58.95,4257300,59.71,-1410500.0,,,2853794.5054945135,1837596.7519613397,60.32130795449879,,,3165815.456594494,3011609.7413114905,,,,,,-0.19718048705851032,-0.07727920660206641,-0.11990128045644391,False,False,,,,,
2012-09-05,58.85,59.03,58.17,2661100,58.45,-4071600.0,,,-928290.6976744103,909306.0542869294,60.07184499332279,,,3074049.0099409497,2978227.861186587,,,,,,-0.3588633918580797,-0.13359604365326908,-0.22526734820481062,False,False,,,,,
2012-09-04,59.19,59.48,58.23,2889100,58.92,-1182500.0,,,300466.4000000223,1209772.4542869518,59.91333608762315,,,3040421.9172244132,2969739.493454531,,,,,,-0.4439555435744609,-0.19566794363750745,-0.24828759993695343,False,False,,,,,
2012-08-31,59.31,59.81,59.1,2560300,59.29,1377800.0,,,-1189998.5915493139,19773.862737637945,59.85934876460803,,,2953127.0231836108,2930745.2559826705,,,,,,-0.4760481918585242,-0.2517439932817108,-0.22430419857681339,False,False,,,,,
2012-08-30,58.91,59.16,58.65,1952300,58.92,-574500.0,,,114841.17647062024,134615.03920825818,59.788868189285395,,,2771158.473513863,2837559.993508131,,,,,,-0.5252826235128936,-0.3064517193279474,-0.21883090418494616,False,False,,,,,
2012-08-29,59.49,59.65,59.03,1897700,59.28,1323200.0,,,-367296.7741935421,-232681.7349852839,59.757309865399286,2819450.0,,2612347.8419658877,2748049.517935928,662631.8288126186,,,-921750.0,0.6730745358137226,-0.5291525329456519,-0.35099188205148835,-0.17816065089416355,False,False,,,,,
2012-08-28,59.94,60.15,59.21,2745800,59.34,4069000.0,-0.026829700513911092,,-1986323.4042553024,-2219005.139240586,59.74039121577145,2811880.0,,2636611.870699363,2747835.2781325066,663038.0863871999,,,-66080.0,0.9764997083801584,-0.5213679601884706,-0.38506709767888486,-0.13630086250958579,False,False,,,,,
2012-08-27,59.91,60.45,59.83,2883800,60.1,6952800.0,-0.08572696721831208,,-372103.225806441,-2591108.3650470274,59.77332457232171,2784840.0,,2681555.1669358425,2760784.299262744,652963.6219235767,,,98960.0,1.0355352551672627,-0.4487006401059048,-0.3977938061642889,-0.05090683394161594,False,False,,,,,
2012-08-24,58.79,60.14,58.73,4707700,59.68,2245100.0,0.6028395355963365,,1636009.2198581584,-955099.145188869,59.74196687757472,2961900.0,,3049945.136583871,2946204.8421901017,894300.3758370127,,,1745800.0,1.5894189540497654,-0.42015843046735313,-0.40226673102490174,-0.017891699442451392,False,False,,,,,
2012-08-23,58.64,59.2,58.42,2548000,58.88,-302900.0,-0.16838016906557007,,457333.33333333454,-497765.81185553444,59.68560832006648,2910310.0,,2958682.384477712,2908280.57150533,902604.4038718673,,,-362310.0,0.8755081073837495,-0.45682583396459364,-0.4131785516128401,-0.043647282351753525,False,False,,,,,33.82352940480105
2012-08-22,59.02,59.03,58.48,2534300,58.76,-2837200.0,-0.40471660442064217,,46078.18181817229,-451687.63003736216,59.63162997746143,2738010.0,,2881521.95093631,2872663.3742191084,771893.8433777306,,,-203710.0,0.9255992490896673,-0.4899205138104179,-0.4285269440523557,-0.061393569758062205,False,False,,,,,33.23699421292892
2012-08-21,59.5,59.5,58.92,2610000,59.08,-227200.0,-0.019202585397016247,,-1170000.0000000265,-1621687.6300373888,59.605376264762334,2732900.0,,2832154.3234933442,2847647.8147696694,772628.3597061541,,,-122900.0,0.9550294558893483,-0.4847391887459125,-0.4397693929910671,-0.04496979575484539,False,False,,,,,40.43209875669675
2012-08-20,59.74,59.74,58.76,2837800,59.28,2610600.0,-0.0177563947250009,,173742.85714286304,-1447944.7728945257,59.585399281316064,2727770.0,,2833180.810130918,2846709.9276487483,771645.6902116555,,,110030.0,1.0403369785575762,-0.45920123675809066,-0.44365576174447185,-0.015545475013618804,False,False,,,,,41.60363085351815
