Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,24.43,24.45,24.27,903200,24.39,0.0,,,301066.66666667856,301066.66666667856,24.37,,,903200.0,903200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,24.3,24.61,24.25,1786500,24.58,1786500.0,,,1488749.9999999881,1789816.6666666667,24.44306205152991,,,1063800.0,987323.8095238096,,,,,,0.015156695156694155,0.0030313390313388314,0.012125356125355324,False,False,,,,,
2012-09-10,24.13,24.32,24.01,1365700,24.3,420800.0,,,1189480.6451612934,2979297.3118279604,24.364575874143117,,,1118690.909090909,1023359.6371882086,,,,,,0.004522690562573928,0.0033296093375858506,0.0011930812249880771,False,False,,,,,
2012-09-07,24.15,24.29,24.11,946000,24.23,-525200.0,,,315333.33333334577,3294630.645161306,24.335338305274522,,,1087292.5619834708,1015992.0526940936,,,,,,-0.009444380735523339,0.0007748113229640128,-0.010219192058487352,False,True,,,,,
2012-09-06,23.92,24.25,23.92,1165100,24.13,-1690300.0,,,317754.54545453406,3612385.1906158403,24.290873429011594,,,1101439.368895567,1030192.8095803703,,,,,,-0.028256822570380535,-0.005031515455704897,-0.023225307114675638,False,False,,,,,
2012-09-05,23.95,23.99,23.69,1054500,23.9,-2744800.0,,,421799.999999995,4034185.190615835,24.22795194571389,,,1092904.938187282,1032507.7800965256,,,,,,-0.06102147845158612,-0.01622950805488114,-0.044791970396704975,False,False,,,,,
2012-09-04,23.8,24.09,23.57,3310700,23.99,565900.0,,,2037353.8461538272,6071539.036769662,24.119619118154397,,,1496140.4039714127,1249478.4677063804,,,,,,-0.07881690424510879,-0.028746987292926674,-0.05006991695218212,False,False,,,,,
2012-08-31,23.83,23.98,23.66,2909000,23.74,-2343100.0,,,-1454500.0000000324,4617039.036769629,24.04900037448446,,,1753023.9668857013,1407528.1374486298,,,,,,-0.11180401101501758,-0.04535839203734486,-0.06644561897767272,False,False,,,,,
2012-08-30,23.56,23.83,23.5,2619200,23.73,-4962300.0,,,1031806.0606060863,5648845.097375716,23.989907575182077,,,1910510.5183610283,1522925.4576916173,,,,,,-0.13717221135024715,-0.06372115589992533,-0.07345105545032182,False,False,,,,,
2012-08-29,23.69,23.81,23.61,582500,23.73,-4962300.0,,,116500.00000000828,5765345.097375724,23.98034388069028,1664240.0,,1669054.0604772049,1433361.1283876537,952331.3991346593,,,-1081740.0,0.3500096139979811,-0.15548436589949688,-0.08207379789983965,-0.07341056799965723,False,False,,,,,
2012-08-28,23.73,23.93,23.68,828700,23.7,-5791000.0,-0.08248449955713022,,-696108.0000000028,5069237.097375722,23.970366719897427,1656790.0,,1516262.413117713,1375774.3542554963,959212.9892666059,,,-828090.0,0.5001840909228086,-0.1704527563195697,-0.09974958958378566,-0.07070316673578403,False,False,,,,,
2012-08-27,23.91,23.95,23.72,1154000,23.76,-4637000.0,-0.35404422054296114,,-752608.6956521475,4316628.401723574,23.960430494332915,1593540.0,,1450396.5198235833,1354652.9871835443,970496.6371228015,,,-439540.0,0.7241738519271559,-0.17545132139148478,-0.11488993594532548,-0.0605613854461593,False,False,,,,,
