Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-06-21,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-20,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-19,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-18,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-15,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-14,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-13,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-12,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-11,0.03,0.03,0.03,0,0.03,0.0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-06-08,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,
2012-06-07,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,
2012-06-06,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,
2012-06-05,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,
2012-06-04,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-06-01,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-05-31,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-05-30,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-05-29,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-05-25,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,False,False,,,,,0.0
2012-05-24,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-23,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-22,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-21,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-18,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-17,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-16,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-15,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-14,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-11,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-10,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-09,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-08,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-07,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
2012-05-04,0.03,0.03,0.03,0,0.03,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,False,False,0.03,0.03,0.03,,0.0
