Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,122.89,123.01,119.84,1581300,121.0,0.0,,,-424007.88643533527,-424007.88643533527,121.28333333333333,,,1581300.0,1581300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,124.08,124.08,123.0,546000,123.56,546000.0,,,20222.222222225413,-403785.6642131099,121.86424810793024,,,1393063.6363636362,1482700.0,,,,,,0.2042165242165197,0.040843304843303944,0.16337321937321575,False,False,,,,,
2012-09-07,124.41,125.46,123.35,595400,123.64,1141400.0,,,-431735.5450236931,-835521.209236803,122.36409630146545,,,1248033.8842975204,1398195.238095238,,,,,,0.3682697380703104,0.10632859148870524,0.26194114658160517,False,False,,,,,
2012-09-06,125.09,125.77,123.72,868200,124.09,2009600.0,,,-554800.9756097518,-1390322.1848465549,122.88695786571611,,,1178973.1780616075,1347719.501133787,,,,,,0.5285020880917131,0.19076329080930682,0.33773879728240624,False,False,,,,,
2012-09-05,126.57,126.71,124.41,722300,124.81,2731900.0,,,-471065.2173913005,-1861387.4022378554,123.29272697765,,,1095941.6911413153,1288155.7391210455,,,,,,0.7054533356800903,0.2937012997834635,0.4117520358966268,False,False,,,,,
2012-09-04,125.91,127.15,125.01,597200,126.58,3329100.0,,,279065.4205607436,-1582321.9816771117,123.65198340936244,,,1005261.3836610761,1222350.430633327,,,,,,0.9772475799652227,0.43041055581981535,0.5468370241454074,False,False,,,,,
2012-08-31,126.93,127.93,125.51,857000,125.51,2472100.0,,,-857000.0,-2439321.9816771117,124.04793887482518,,,978304.7684499712,1187555.151525391,,,,,,1.0936989385365905,0.5630682323631704,0.5306307061734201,False,False,,,,,
2012-08-30,126.51,127.02,125.9,496900,126.51,2969000.0,,,44366.0714285756,-2394955.910248536,124.24059165961614,,,890776.6287317947,1121778.4704277348,,,,,,1.2522440321348256,0.7009033923175014,0.5513406398173242,False,False,,,,,
2012-08-29,128.24,128.33,126.49,887300,126.58,3856300.0,,,-800498.9130434758,-3195454.823292012,124.5994945187091,,,890144.5144169228,1099447.1875298554,,,,,,1.3677737318811864,0.8342774602302385,0.5334962716509479,False,False,,,,,
2012-08-28,128.1,130.28,128.01,903800,128.24,4760100.0,,,-720651.1013215722,-3916105.924613584,125.07564486762503,805540.0,,892627.3299774822,1080814.1220508215,313019.4605238893,,,98260.0,1.1219802865158774,1.575122941290644,0.9824465564423197,0.5926763848483243,False,False,,,,,
