Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,28.65,28.82,28.12,11582000,28.22,0.0,,,-8272857.14285721,-8272857.14285721,28.386666666666667,,,11582000.0,11582000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,28.63,28.87,28.38,10131100,28.6,10131100.0,,,-1033785.7142856513,-9306642.857142862,28.49398220429142,,,11318200.0,11443819.047619047,,,,,,0.03031339031338831,0.006062678062677663,0.024250712250710647,False,False,,,,,
2012-09-10,28.32,29.13,28.32,12697200,28.69,22828300.0,,,-1097288.8888888394,-10403931.746031702,28.57492149153015,,,11568927.272727272,11563188.662131518,,,,,,0.060897232977005444,0.01702958904554322,0.043867643931462225,False,False,,,,,
2012-09-07,28.45,28.48,28.21,15806500,28.32,7021800.0,,,-2927129.6296296758,-13331061.375661377,28.499927169127993,,,12339395.041322313,11967313.551452326,,,,,,0.05464927799292241,0.02455352683501906,0.030095751157903347,False,False,,,,,
2012-09-06,28.34,28.75,28.16,17720500,28.38,24742300.0,,,-4505211.864406845,-17836273.24006822,28.481687639436164,,,13317777.761081893,12515236.070361627,,,,,,0.05391769755817677,0.030426360979650603,0.023491336578526166,False,False,,,,,
2012-09-05,28.56,28.78,27.81,14271000,28.1,10471300.0,,,-5737824.742267983,-23574097.9823362,28.437995770094584,,,13491090.89543064,12682451.682708139,,,,,,0.030393892971890324,0.03041986737809855,-2.5974406208224832e-05,False,True,,,,,
2012-09-04,28.56,28.62,28.19,10066600,28.43,20537900.0,,,1170534.8837208643,-22403563.098615337,28.435305256358987,,,12868456.187170524,12433322.951021649,,,,,,0.037941978917420016,0.031924289685962844,0.0060176892314571725,True,False,,,,,
2012-08-31,28.32,28.71,28.24,15045500,28.48,35583400.0,,,320117.02127664414,-22083446.07733869,28.441103810024316,,,13264282.334957702,12682101.717591016,,,,,,0.04741193823181433,0.035021819395133144,0.012390118836681188,False,False,,,,,
2012-08-30,28.17,28.47,28.13,11664300,28.18,23919100.0,,,-8233623.5294117145,-30317069.606750406,28.42334985366466,,,12973376.455874482,12585168.220677586,,,,,,0.03035949110512348,0.03408935373713121,-0.0037298626320077313,False,True,,,,,
2012-08-29,27.97,28.62,27.91,14765000,28.34,38684100.0,,,3119366.197183065,-27197703.40956734,28.408628993809582,13374970.0,,13299126.191170031,12792771.24727972,2547116.0781689296,,,1390030.0,1.1039277097443956,0.029416867389279844,0.03315485646756094,-0.003737989078281094,False,False,,,,,
2012-08-28,27.73,28.0,27.66,9961500,27.85,28722600.0,-0.13991538594370578,,1171941.1764706678,-26025762.233096674,28.36898279558819,13212920.0,,12692285.065502752,12523126.366586413,2719571.7970951893,,,-3251420.0,0.7539211620141498,-0.01074520950933433,0.024374843272181885,-0.03512005278151621,False,False,,,,,
2012-08-27,27.84,27.94,27.55,10870700,27.7,17851900.0,0.07300293156715454,,-2508623.0769231683,-28534385.310019843,28.324047455318727,13286880.0,,12361087.780865885,12365752.426911516,2635195.882156265,,,-2416180.0,0.8181529448598919,-0.0540545836092825,0.008688957895889006,-0.0627435415051715,False,False,,,,,
2012-08-24,27.28,27.81,27.25,11341700,27.73,29193600.0,-0.1067558201808273,,8101214.285714348,-20433171.024305496,28.274327375169456,13151330.0,,12175744.547981178,12268223.624348516,2702891.0600195,,,-1809630.0,0.8623994683427456,-0.08497726037009912,-0.010044285757308619,-0.0749329746127905,False,False,,,,,
2012-08-23,27.16,27.54,27.15,16086900,27.36,13106700.0,0.01773953753202795,,1237453.8461538914,-19195717.178151604,28.192631198016965,13179370.0,,12886863.721075509,12631907.088696277,2734763.07771299,,,2907530.0,1.2206122143926454,-0.13775169646054053,-0.035585767897955006,-0.10216592856258552,False,False,,,,,35.947712401854005
2012-08-22,26.41,27.34,26.4,20086800,27.24,-6980100.0,0.13353460681132012,,15813012.76595739,-3382704.412194213,28.07343091009463,13416000.0,,14195943.044516325,13341896.889772821,3229054.759867386,,,6670800.0,1.497227191413238,-0.18710201879395782,-0.06588901807715558,-0.12121300071680224,False,False,,,,,34.59119495332463
2012-08-21,26.31,26.71,26.12,16205200,26.43,-23185300.0,0.13553359960759592,,823993.2203389169,-2558711.191855296,27.95069214812779,13609420.0,,14561262.490967901,13614592.42408017,3341916.4570979658,,,2595780.0,1.1907340650813922,-0.28824996912590706,-0.11036120828690588,-0.17788876083900118,False,False,,,,,19.944598330215356
2012-08-20,26.19,27.09,25.97,47478900,26.26,-70664200.0,3.7164782548228796,,-22891612.49999979,-25450323.691855088,27.68082374713455,17350650.0,,20546287.4926101,16839764.574167773,11030955.097386425,,,30128250.0,2.7364335053729976,-0.37777329238739554,-0.16384362510700382,-0.21392966728039173,False,False,,,,,17.073170725229673
2012-08-17,27.53,27.87,27.25,13596000,27.87,-57068200.0,-0.09634109866737561,,13596000.0,-11854323.691855088,27.679972569959727,17205700.0,,19282598.85759008,16530834.614723224,11074050.289452966,,,-3609700.0,0.7902032465985109,-0.3151744910408425,-0.19410979829377156,-0.12106469274707093,False,False,,,,,45.43610546377068
2012-08-16,26.89,27.55,26.77,12592700,27.45,-69660900.0,0.07959328892432471,,9363802.564102523,-2490521.127752565,27.661715343454688,17298540.0,,18066253.610755518,16155774.175225774,11026220.117439259,,,-4705840.0,0.7279631691460666,-0.2960423875238476,-0.21449631613978679,-0.08154607138406081,False,False,,,,,41.209829856768664
2012-08-15,26.6,27.09,26.5,15330300,26.83,-84991200.0,0.038286488316965794,,1818849.1525422884,-671671.9752102764,27.619059516355982,17355070.0,15365020.0,17568807.49970906,16077157.587109033,11013229.206837263,8043359.932110068,-0.004316604042720201,-2024770.0,0.8833326514960758,-0.3271378347680951,-0.23702461986544848,-0.09011321490264662,False,False,27.823,29.23209974993368,26.41390025006632,0.1476473720023236,38.72113675768921
2012-08-14,26.89,27.0,26.36,14279800,26.54,-99271000.0,0.4334989710384982,0.2329304092557416,-6247412.50000002,-6919084.475210296,27.575288249504585,17786900.0,15499910.0,16970806.13612559,15905980.67405103,10773159.006427864,7999077.896982877,-0.1525313312000882,-3507100.0,0.8028267994985073,-0.3709062013011284,-0.2638009361525845,-0.1071052651485439,False,False,27.738999999999997,29.24539199483576,26.232608005164234,0.10202921812170106,33.09481215629111
2012-08-13,26.74,26.76,26.34,10952400,26.55,-88318600.0,0.007515615369755313,0.08106720889143326,0.0,-6919084.475210296,27.541519028009084,17795070.0,15540975.0,15876550.475011846,15434211.08604617,10767360.63357425,7972128.080603863,-0.5755771800962373,-6842670.0,0.6154738362928609,-0.4001730844674505,-0.2910753658155577,-0.10909771865189277,False,False,27.636499999999995,29.174855581371496,26.098144418628493,0.1468631787225231,32.61261260438603
2012-08-10,26.7,26.8,26.43,10123100,26.77,-78195500.0,-0.10744421030356999,-0.20272973568975838,8481516.216216158,1562431.7410058621,27.515673206856526,17673210.0,15412270.0,14830468.570464237,14928390.9826132,10855050.723301318,8040937.069841916,-0.6577803002385622,-7550110.0,0.5727935106299309,-0.40099274410525254,-0.3130588414734967,-0.08793390263175582,False,False,27.5405,29.041215268060366,26.039784731939637,0.24328907808212907,37.111517357960494
