Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,7.87,7.89,7.72,5762200,7.8,0.0,,,-338952.9411764635,-338952.9411764635,7.803333333333334,,,5762200.0,5762200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,7.73,7.92,7.65,9191900,7.84,9191900.0,,,3744848.148148135,3405895.2069716714,7.803333333333334,,,6385781.818181818,6088838.095238095,,,,,,0.0031908831908831203,0.0006381766381766241,0.002552706552706496,False,False,,,,,
2012-09-10,7.92,7.92,7.64,9734300,7.69,-542400.0,,,-6257764.28571424,-2851869.0787425684,7.7823047261061875,,,6994603.305785124,6436024.9433106575,,,,,,-0.006311312408178615,-0.0007517211710944238,-0.005559591237084192,False,True,,,,,
2012-09-07,8.0,8.0,7.81,11199000,7.87,10656600.0,,,-4125947.3684210083,-6977816.447163576,7.816952245077659,,,7759039.068369647,6889641.615376309,,,,,,0.0006748455972083178,-0.00046640781743387553,0.0011412534146421935,True,False,,,,,
2012-09-06,7.87,8.1,7.81,13383000,8.06,24039600.0,,,9691137.931034561,2713321.483870985,7.863956087224784,,,8781577.419575166,7508056.699626183,,,,,,0.021297335822543673,0.0038863409105616346,0.017410994911982038,False,False,,,,,
2012-09-05,7.73,7.81,7.6,11306100,7.78,12733500.0,,,8075785.714285783,10789107.198156767,7.838954297458585,,,9240581.525106953,7869775.109185594,,,,,,0.014875670491139026,0.006084206826677113,0.008791463664461912,False,False,,,,,
2012-09-04,7.76,7.81,7.57,10686100,7.77,2047400.0,,,7124066.666666653,17913173.86482342,7.820616798526388,,,9503403.065996598,8137996.527358395,,,,,,0.008877207106237073,0.006642806882589105,0.0022344002236479674,False,False,,,,,
2012-08-31,7.64,7.83,7.58,9905700,7.79,11953100.0,,,6735875.999999997,24649049.864823416,7.809964809743048,,,9576547.963088125,8306349.2390385475,,,,,,0.005671833148193528,0.0064486121357099895,-0.0007767789875164615,False,True,,,,,
2012-08-30,7.66,7.68,7.55,6562700,7.57,5390400.0,,,-4543407.6923076445,20105642.172515772,7.794258433924914,,,9028575.606163012,8140287.406749162,,,,,,-0.014453993549968125,0.0022680909985743672,-0.01672208454854249,False,False,,,,,
2012-08-29,7.66,7.75,7.51,7763500,7.72,13153900.0,,,5822624.999999985,25928267.172515757,7.783343508439404,9549450.0,,8798561.859587919,8104402.89182067,2322292.7934120046,,,-1785950.0,0.8129787579389389,-0.018091561549382185,-0.0018038395110169434,-0.016287722038365243,False,False,,,,,
2012-08-28,7.72,7.9,7.64,11548600,7.67,1605300.0,1.004199784804415,,-8883538.461538447,17044728.71097731,7.778307666102096,10128090.0,,9298568.794208298,8432421.664028225,1967584.2500386098,,,1420510.0,1.1402544803610553,-0.024723940334684613,-0.006387859675750478,-0.018336080658934134,False,False,,,,,
2012-08-27,7.66,7.84,7.61,10825000,7.76,12430300.0,0.17766729403061388,,3294565.2173912823,20339293.92836859,7.774483358941053,10291400.0,,9576101.74071588,8660286.267454108,1948931.909762085,,,533600.0,1.0518491167382475,-0.022459007014512977,-0.009602089143502978,-0.01285691787101,False,False,,,,,
2012-08-24,7.58,7.65,7.51,7323300,7.59,5107000.0,-0.24768088100839303,,1046185.7142856878,21385479.642654277,7.7633016884546375,10050300.0,,9166501.424222084,8532954.241982289,2162893.776607831,,,-2727000.0,0.7286648159756425,-0.03398979706834382,-0.014479630728471148,-0.01951016633987267,False,False,,,,,
2012-08-23,7.65,7.66,7.45,6828600,7.58,-1721600.0,-0.3902491293865523,,1625857.1428571374,23011336.785511415,7.752958529010755,9613260.0,,8741428.437999886,8370634.790364928,2339344.2809661184,,,-2784660.0,0.7103313548161602,-0.04343426452284671,-0.020270557487346262,-0.02316370703550045,False,False,,,,,42.94871791017424
2012-08-22,7.7,7.76,7.59,7567800,7.68,5846200.0,-0.4345214077561085,,445164.70588234364,23456501.49139376,7.748822339774679,9031740.0,,8528041.449272633,8294174.334139696,1995664.6574234078,,,-1463940.0,0.8379116316457293,-0.04236159071058676,-0.024688764131994362,-0.0176728265785924,False,False,,,,,46.38554212955436
2012-08-21,7.8,7.92,7.7,8592400,7.7,14438600.0,-0.24002087368765535,,-8592400.0,14864101.49139376,7.75024363803891,8760370.0,,8539743.003950335,8322576.778507344,1829632.2120093482,,,-167970.0,0.9808261523200504,-0.03944298198917995,-0.027639607703431483,-0.011803374285748465,False,False,,,,,45.73170727803392
2012-08-20,7.8,7.82,7.53,9204300,7.79,23642900.0,-0.13866611766687564,,7299962.068965502,22164063.560359262,7.748085016843039,8612190.0,,8660571.548686638,8406550.418649502,1712602.0154204597,,,592110.0,1.068752547261498,-0.0295273428827878,-0.028017154739302746,-0.0015101881434850528,False,False,,,,,53.164556914917476
2012-08-17,7.82,7.93,7.76,8526800,7.85,32169700.0,-0.13920268128451296,,501576.4705882248,22665640.030947488,7.753151495206574,8474300.0,,8636249.448925432,8418002.759730503,1651297.0585438446,,,52500.0,1.006195201963584,-0.01663586104293291,-0.025740896000028782,0.009105034957095873,True,False,,,,,49.31506844586225
2012-08-16,7.74,7.85,7.72,7330700,7.81,24839000.0,0.11702500495223012,,2819499.9999999925,25485140.03094748,7.754851781515645,8551100.0,,8398876.82184808,8314450.115946646,1568285.0428272132,,,-1220400.0,0.8572815193366935,-0.009536997937144243,-0.022500116387451877,0.012963118450307634,False,False,,,,,40.458015223937956
2012-08-15,7.65,7.79,7.61,6007500,7.74,18831500.0,-0.22618664262252852,,2670000.0000000065,28155140.030947488,7.753460301609395,8375500.0,8962475.0,7964081.03605752,8094740.581094584,1753627.839017668,2091399.4654486615,-1.4129175457956227,-2368000.0,0.7172706107098084,-0.009450572450418804,-0.019890207600045264,0.01043963514962646,False,False,7.753,7.979841006225204,7.526158993774796,0.47134556882741535,48.18181812049587
2012-08-14,7.76,7.79,7.6,8638400,7.65,10193100.0,-0.2519959129245103,0.4991496303495193,-4091873.684210471,24063266.346737016,7.7500828650133045,8084480.0,9106285.0,8086684.484047061,8146517.668609386,1367500.6307534596,1954141.6336847234,-0.23943249145035486,553920.0,1.0685164661177962,-0.016454648522637783,-0.019203095784563768,0.0027484472619259855,False,False,7.7455,7.975692139424072,7.515307860575928,0.29256459356315295,44.915254183998876
2012-08-13,7.66,7.78,7.6,7051900,7.74,17245000.0,-0.34855427251732096,-0.23281367290766875,3917722.2222222304,27980988.568959247,7.748512294564784,7707170.0,8999285.0,7898541.850583958,8042268.366837064,997923.6778320161,2007078.378947081,-0.970258571078626,-655270.0,0.9149791687480618,-0.014575167969275604,-0.018277510221506137,0.0037023422522305324,False,False,7.7405,7.966352769928133,7.5146472300718665,0.49889308419781875,47.99999994624
2012-08-10,7.63,7.73,7.58,5854900,7.7,11390100.0,-0.2005106987287152,-0.39852891322437156,3512939.999999986,31493928.568959232,7.74622298297714,7560330.0,8805315.0,7526970.605023238,7833947.569995439,1156171.513660495,2116766.7937769718,-1.393830916411694,-1705430.0,0.774423867741223,-0.01612742488080876,-0.017847493153366662,0.0017200682725579015,False,False,7.741,7.966425912674792,7.5155740873252075,0.40906103137497857,56.07476628177134
