Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,48.67,48.84,48.5,1404200,48.73,0.0,,,495599.9999999551,495599.9999999551,48.69,,,1404200.0,1404200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,48.77,48.83,48.32,1494200,48.43,-1494200.0,,,-849643.1372549027,-354043.1372549476,48.60579745146748,,,1420563.6363636362,1412771.4285714286,,,,,,-0.02393162393161674,-0.004786324786323348,-0.019145299145293393,False,False,,,,,
2012-09-10,48.53,49.39,48.53,1509100,48.84,14900.0,,,-421144.1860465029,-775187.3233014506,48.71337840801664,,,1436661.157024793,1421945.5782312925,,,,,,-0.009702193975691387,-0.005769498624196956,-0.003932695351494431,False,False,,,,,
2012-09-07,48.81,48.82,48.36,1309500,48.51,-1294600.0,,,-455478.26086957485,-1230665.5841710255,48.67901002856977,,,1413540.946656649,1411236.475542598,,,,,,-0.02476800020422587,-0.00956919894020274,-0.015198801264023131,False,False,,,,,
2012-09-06,48.59,48.87,48.39,1752400,48.81,457800.0,,,1314300.0000000326,83634.41582900705,48.68158839174946,,,1475151.6836281673,1443728.2397766362,,,,,,-0.012357814198615813,-0.010126921991885356,-0.0022308922067304573,False,False,,,,,
2012-09-05,48.42,48.72,48.2,1593000,48.33,-1135200.0,,,-796500.0000000218,-712865.5841710147,48.635020119762245,,,1496578.6502412278,1457944.597893147,,,,,,-0.040784502493956154,-0.016258438092299515,-0.02452606440165664,False,False,,,,,
2012-09-04,48.49,48.69,47.96,1744900,48.46,609700.0,,,645373.97260275,-67491.61156826478,48.59223111538806,,,1541727.9865610045,1485273.6838080855,,,,,,-0.05222097335219189,-0.023450945144277993,-0.028770028207913897,False,False,,,,,
2012-08-31,48.13,48.68,47.89,2389500,48.6,2999200.0,,,1905550.6329114023,1838059.0213431376,48.55561381041869,,,1695868.3526408218,1571390.475826363,,,,,,-0.04941796934252807,-0.02864434998392801,-0.020773619358600056,False,False,,,,,
2012-08-30,48.02,48.29,47.51,1603300,47.9,1395900.0,,,0.0,1838059.0213431376,48.48459093744862,,,1679037.7430697633,1574429.4781286141,,,,,,-0.10249917167863032,-0.04341531432286848,-0.05908385735576184,False,False,,,,,
2012-08-29,47.68,48.12,47.58,1434500,47.77,-38600.0,,,-425037.0370370098,1413021.9843061278,48.426161777931085,1623460.0,,1634576.3352388972,1561102.8611639843,303985.15753240325,,,-188960.0,0.8836066179641013,-0.15328929690857507,-0.0653901108400098,-0.08789918606856527,False,False,,,,,
2012-08-28,48.44,49.34,47.59,2706100,47.64,-2744700.0,0.9271471300384562,,-2551465.714285723,-1138443.7299795952,48.39242081866035,1753650.0,,1829398.819740916,1670150.2077197952,445496.3330688343,,,952450.0,1.5431243406609072,-0.20170561386186137,-0.09265321144438013,-0.10905240241748124,False,False,,,,,
2012-08-27,48.85,48.85,47.72,1973200,47.84,-771500.0,0.32057288180966403,,-1554113.2743362682,-2692557.0043158634,48.36829073805778,1801550.0,,1855544.488878931,1699012.0926988623,440220.48074421374,,,171650.0,1.0952790652493687,-0.22138557029122552,-0.11839968321374922,-0.1029858870774763,False,False,,,,,
2012-08-24,47.73,48.98,47.73,7163100,48.83,6391600.0,3.7466039361208665,,5443956.000000016,2751398.9956841525,48.40529449964977,2366950.0,,2820554.581810034,2219401.4172037328,1738711.7339826315,,,4796150.0,3.026299668349564,-0.15530706811717465,-0.1257811601944343,-0.029525907922740346,False,False,,,,,
2012-08-23,48.03,48.08,47.64,4420900,47.77,1970700.0,2.3760213822069494,,-1808549.999999935,942848.9956842174,48.3270334595979,2678090.0,,3111526.476026391,2429067.9488986153,1805562.2561961138,,,1742810.0,1.650766031014641,-0.1863246852957161,-0.13788986521469068,-0.048434820081025426,False,False,,,,,40.94339621559993
2012-08-22,48.04,48.63,47.98,1339400,48.04,3310100.0,-0.23567678612189003,,-1092126.1538461468,-149277.15816192934,48.322664751620245,2636790.0,,2789321.662203411,2325290.0490035093,1833594.756785455,,,-1297390.0,0.5079661254783279,-0.18696441744077674,-0.14770477565990792,-0.039259641780868826,False,False,,,,,43.80610411825344
2012-08-21,48.96,49.19,47.88,2207500,48.05,5517600.0,0.38575015693659753,,-1634561.0687023064,-1783838.2268642357,48.32576785925662,2698240.0,,2683535.9054391542,2314071.9490984133,1804797.892778518,,,-490740.0,0.8181258894686907,-0.18453726265480697,-0.15507127305888774,-0.02946598959591923,False,False,,,,,46.401515139211696
2012-08-20,49.56,50.18,49.25,3713300,48.91,9230900.0,1.1280875694882226,,-6428401.075268845,-8212239.302133081,48.430456804189994,2895080.0,,2870765.740813853,2447331.763469993,1796592.104080513,,,818220.0,1.2826243143540075,-0.11192866830506887,-0.14644275210812396,0.034514083803055096,True,False,,,,,50.6108202319624
2012-08-17,48.86,49.54,48.76,2091200,48.28,7139700.0,-0.12483783218246491,,-4664984.6153845955,-12877223.917517677,48.451920979960626,2865250.0,,2729026.515211334,2413414.452663327,1808357.2141280298,,,-774050.0,0.7298490533112294,-0.1040224628367028,-0.13795869425383975,0.03393623141713695,False,False,,,,,48.09286897722556
2012-08-16,48.2,49.35,47.33,10613500,47.64,-3473800.0,5.619784195097611,,-7355891.089108892,-20233115.00662657,48.38207421893862,3766270.0,,4162567.148809273,3194374.9809811055,2976871.8141513737,,,6847230.0,2.818040129889785,-0.1476968321952512,-0.13990632184212204,-0.007790510353129165,False,True,,,,,40.81632652164159
2012-08-15,49.25,49.49,48.9,2396400,47.77,-1077400.0,0.6705472289996515,,-11575830.508474486,-31808945.515101053,48.39683574192356,3862460.0,2742960.0,3841445.849025768,3118377.3637448098,2907896.5193264894,2316985.64709454,-0.1495736498992043,-1466060.0,0.6204336096684496,-0.16986111779303315,-0.14589728103230426,-0.023963836760728885,False,False,48.2575,49.14566487326693,47.36933512673307,0.22555771193312937,45.348837198756115
2012-08-14,49.78,50.36,48.84,6211400,47.69,-7288800.0,1.2953327667122427,3.4234439538527273,-15610228.947368491,-47419174.46246955,48.454453370361506,4212990.0,2983320.0,4272346.603748355,3412950.948150066,2963751.3272690224,2417941.342634484,1.335053064803807,1998410.0,1.4743448239848658,-0.19167232596458916,-0.15505229001876125,-0.03662003594582791,False,False,48.2055,49.09894925930204,47.31205074069796,0.2115113171604668,43.551088767006405
