Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,11.55,11.74,11.55,1224100,11.62,0.0,,,-322131.57894738525,-322131.57894738525,11.636666666666665,,,1224100.0,1224100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,11.46,11.59,11.27,2114200,11.53,-2114200.0,,,1321374.9999999942,999243.4210526089,11.526891831171554,,,1385936.3636363635,1308871.4285714286,,,,,,-0.007179487179485022,-0.0014358974358970045,-0.005743589743588018,False,False,,,,,
2012-09-10,11.34,11.6,11.34,1503100,11.48,-3617300.0,,,115623.07692308481,1114866.4979756938,11.510263628977842,,,1407238.8429752064,1327369.387755102,,,,,,-0.0167112279932784,-0.004490963547373284,-0.012220264445905116,False,False,,,,,
2012-09-07,11.25,11.44,11.2,1387200,11.39,-5004500.0,,,809200.0000000128,1924066.4979757066,11.473085819178198,,,1403595.4169797143,1333067.541302235,,,,,,-0.031168161930086313,-0.00982640322391589,-0.021341758706170423,False,False,,,,,
2012-09-06,11.02,11.26,10.98,1724000,11.18,-6728500.0,,,738857.1428571397,2662923.640832846,11.400877993779812,,,1461850.7957106752,1370299.2040353557,,,,,,-0.05889176359647408,-0.01963947529842753,-0.03925228829804655,False,False,,,,,
2012-09-05,10.99,11.45,10.84,2609200,10.93,-9337700.0,,,-1839272.1311475416,823651.5096853045,11.319960959937383,,,1670459.7419450977,1488289.7560319884,,,,,,-0.09988442286675969,-0.035688464812093965,-0.06419595805466573,False,False,,,,,
2012-09-04,10.85,11.12,10.85,1204000,11.02,-8133700.0,,,312148.14814814995,1135799.6578334544,11.286878098670154,,,1585648.8797732615,1461214.5411717992,,,,,,-0.12368340750454188,-0.05328745335058355,-0.07039595415395833,False,False,,,,,
2012-08-31,10.96,11.0,10.82,858900,10.88,-8992600.0,,,-286299.99999999435,849499.65783346,11.260557504996816,,,1453512.7198144866,1403851.2515363898,,,,,,-0.15208792928623005,-0.07304754853771285,-0.0790403807485172,False,False,,,,,
2012-08-30,10.83,10.97,10.75,1160600,10.88,-8992600.0,,,211018.18181818607,1060517.839651646,11.227395389775097,,,1400255.8616663981,1380684.4656757812,,,,,,-0.17260898846805084,-0.09295983652378045,-0.07964915194427039,False,False,,,,,
2012-08-29,10.84,10.96,10.69,1567200,10.93,-7425400.0,,,1218933.3333333218,2279451.172984968,11.189891266351841,1535250.0,,1430609.3413634165,1398447.8498971355,511262.52497561806,,,31950.0,1.020810942843185,-0.18273108340004107,-0.1109140858990326,-0.07181699750100848,False,False,,,,,
2012-08-28,10.44,10.92,10.36,1620100,10.88,-9045500.0,0.3235029817825341,,1388657.142857148,3668108.3158421163,11.145038336298898,1574850.0,,1465062.1883882498,1419557.5784783608,499689.6731416855,,,45250.0,1.028732895196368,-0.19256769813706853,-0.1272448083466398,-0.06532288979042875,False,False,,,,,
2012-08-27,10.63,10.63,10.41,1013300,10.42,-10058800.0,-0.5207170560968688,,-921181.8181818204,2746926.497660296,11.107946613736315,1464760.0,,1382923.608681295,1380866.3805280407,488813.73685007397,,,-451460.0,0.6917856850268986,-0.2347751005875942,-0.14875086679483068,-0.08602423379276353,False,False,,,,,
2012-08-24,10.5,10.74,10.45,981600,10.55,-9077200.0,-0.34694963741600693,,-304634.48275861325,2442292.0149016827,11.080624489257941,1412610.0,,1309955.6798301504,1342841.0109539416,511558.31958177884,,,-431010.0,0.6948839382419776,-0.25479770819883285,-0.16996023507563113,-0.08483747312320172,False,False,,,,,
2012-08-23,10.61,10.67,10.5,1406800,10.52,-10484000.0,0.014129181084198361,,-1075788.2352941246,1366503.7796075582,11.044906688000733,1414570.0,,1327563.7380428503,1348932.3432440425,511487.68867556006,,,-7770.0,0.9945071647214347,-0.2699744211911259,-0.18996307229873008,-0.08001134889239583,False,False,,,,,16.463414620092195
2012-08-22,10.85,10.97,10.58,1674000,10.61,-8810000.0,-0.029002320185614883,,-1416461.5384615443,-49957.75885398616,11.020238400844208,1409570.0,,1390552.1493077865,1379891.1676969908,508361.62773714104,,,264430.0,1.1875962172861227,-0.2716088895333346,-0.206292235745651,-0.06531665378768362,False,False,,,,,20.80924853807342
2012-08-21,11.0,11.23,10.9,1837100,10.94,-6972900.0,-0.29591445653840254,,-1391742.4242424339,-1441700.18309642,11.020476441675669,1332360.0,,1471742.6676154616,1423434.8660115632,334985.87432905287,,,504740.0,1.3788315470293313,-0.24346941157314816,-0.21372767091115047,-0.029741740661997695,False,False,,,,,35.025380685768766
2012-08-20,11.03,11.09,10.82,2232400,10.96,-4740500.0,0.8541528239202658,,82681.48148149454,-1359018.7016149254,11.015022347466735,1435200.0,,1610044.0007762867,1500479.1644866525,434328.96902386483,,,797200.0,1.5554626532887403,-0.2170527902473829,-0.21439269477839695,-0.0026600954689859346,False,False,,,,,36.597938117919036
2012-08-17,10.79,11.05,10.69,2700100,10.93,-7440600.0,2.143672138782163,,900033.3333333244,-458985.368281601,11.003308348861877,1619320.0,,1808236.0006351436,1614728.767868876,540228.7021870151,,,1080780.0,1.6674283032383963,-0.19627563347936317,-0.2107692825185902,0.014493649039227036,True,False,,,,,37.76595741868492
2012-08-16,10.46,10.77,10.46,3751200,10.74,-11191800.0,2.2321213165604,,3025161.290322593,2566175.922040992,10.963383319363038,1878380.0,,2161502.1823378447,1818202.2185480306,835995.1432607461,,,1872820.0,1.9970400025553934,-0.19291717010294462,-0.2071988600354611,0.014281689932516467,False,False,,,,,38.17204298202106
2012-08-15,10.39,10.57,10.34,1284100,10.4,-12475900.0,-0.1806406329760082,,-614134.7826086914,1952041.1394323006,10.943404207972463,1850070.0,1692660.0,2001974.512821873,1767335.3405910754,852337.4449776984,702865.3598700559,-0.5812777572016546,-565970.0,0.69408184555179,-0.215209916231359,-0.2088010712746407,-0.006408844956718285,False,True,10.939499999999999,11.653199774709963,10.225800225290035,0.12203995355102731,36.41025638411574
2012-08-14,10.39,10.53,10.3,1894400,10.41,-10581500.0,0.16931053638664273,0.5475859815374562,-82365.21739130307,1869675.9220409975,10.91531375532903,1877500.0,1726175.0,1982415.5104906233,1779436.7367252586,848519.4281806399,695287.1431627141,0.24195039654376474,16900.0,1.0090013315579227,-0.22942548751451497,-0.2129259545226156,-0.01649953299189938,False,False,10.879,11.5539003825127,10.2040996174873,0.1525413141315162,33.68983954697019
2012-08-13,10.41,10.49,10.2,2629200,10.39,-13210700.0,1.5946906148228561,0.24359095639012396,815958.6206896674,2685634.542730665,10.877269131350193,2039090.0,1751925.0,2100012.690401419,1860366.571322853,819007.8651772657,719527.9709094377,1.2192368267368119,590110.0,1.2893987023623283,-0.23954394948833446,-0.21824955351575936,-0.021294395972575098,False,False,10.822,11.456768088608579,10.18723191139142,0.15971824375501553,35.99999997120001
2012-08-10,10.08,10.49,9.91,3099800,10.41,-10110900.0,2.1579054604726977,1.0622713059676667,2244682.758620689,4930317.3013513535,10.831884194943656,2250910.0,1831760.0,2281792.201237525,1978407.850244486,788466.051478016,776770.3077148151,1.6324516879776905,848890.0,1.377131915536383,-0.24314623223718357,-0.22322888926004422,-0.019917342977139346,False,False,10.7685,11.347692723129628,10.189307276870371,0.19051752060793406,36.72316381276133
2012-08-09,9.82,10.21,9.35,8611600,10.06,-18722500.0,5.121410292863236,5.207900807381776,5607553.48837209,10537870.789723445,10.667081774416596,2971390.0,2192980.0,3432666.3464670656,2610140.4359354875,2112135.5624896176,1695552.5286683643,3.7855624591241597,5640210.0,2.8981722358896005,-0.2711178642228962,-0.23280668425261464,-0.03831117997028155,False,False,10.702,11.286126878791169,10.11787312120883,-0.04953814257665804,28.985507226773123
2012-08-08,9.1,9.12,8.67,3769500,8.76,-22492000.0,1.2517921146953404,1.1864849187935036,-2261700.0,8276170.789723445,10.539904235296595,3180940.0,2295255.0,3493908.828927599,2720555.6325130602,2072698.0925032634,1727171.992311801,0.8535600429849137,588560.0,1.1850270674706218,-0.39364700194135693,-0.2649747477903631,-0.12867225415099381,False,False,10.581,11.593633876789161,9.568366123210838,-0.3991403713324252,18.072289149005684
2012-08-07,9.03,9.21,9.01,1680000,9.05,-20812000.0,-0.0855152141962876,-0.3561244826000307,-1007999.999999988,7268170.789723457,10.496045034874209,3165230.0,2248795.0,3164107.223668035,2621455.096083245,2084576.7846789004,1730776.2990467907,-0.3286357689975641,-1485230.0,0.5307671164496734,-0.46202570525990794,-0.3043849392842721,-0.1576407659756358,False,False,10.487,11.693667442085626,9.280332557914374,-0.09544160631211782,28.253968241410973
