Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,34.24,34.25,33.71,1834500,33.81,0.0,,,-1155055.5555555448,-1155055.5555555448,33.92333333333334,,,1834500.0,1834500.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,34.2,34.33,33.57,2257100,34.07,2257100.0,,,712768.4210526393,-442287.13450290554,33.960109492619026,,,1911336.3636363635,1874747.6190476192,,,,,,0.020740740740741614,0.004148148148148323,0.01659259259259329,False,False,,,,,
2012-09-10,34.67,34.75,34.09,2700400,34.14,4957500.0,,,-2291248.484848506,-2733535.6193514112,34.105847271299574,,,2054802.4793388427,1953381.1791383221,,,,,,0.042338292708663516,0.011786177060251361,0.030552115648412155,False,False,,,,,
2012-09-07,34.76,34.77,34.49,2228900,34.67,7186400.0,,,636828.5714285553,-2096707.047922856,34.238650282492145,,,2086456.5740045074,1979621.0668394344,,,,,,0.10105616627089375,0.029640174902379843,0.07141599136851391,False,False,,,,,
2012-09-06,34.42,34.99,34.06,2799500,34.93,9985900.0,,,2438274.1935483734,341567.14562551747,34.33844119770341,,,2216100.8332764152,2057704.7747594882,,,,,,0.16664930178237825,0.05704200027837952,0.10960730150399872,False,False,,,,,
2012-09-05,34.24,34.5,34.07,1513300,34.08,8472600.0,,,-1442913.953488386,-1101346.8078628685,34.324620472937,,,2088318.8635897941,2005856.7009728702,,,,,,0.14833452986935924,0.07530050619657547,0.07303402367278378,False,False,,,,,
2012-09-04,34.78,34.78,33.97,1642800,34.42,10115400.0,,,182533.33333333972,-918813.4745295288,34.33179207424966,,,2007315.4338461952,1971279.8723087874,,,,,,0.1594174347253201,0.0921238919023244,0.06729354282299571,False,False,,,,,
2012-08-31,34.74,34.96,34.36,1252700,34.75,11368100.0,,,375809.99999999854,-543003.4745295302,34.35944143888793,,,1870112.6276923416,1902843.6939936648,,,,,,0.19260868571246448,0.11222085066435242,0.08038783504811206,False,False,,,,,
2012-08-30,34.5,34.67,34.3,955200,34.44,10412900.0,,,-232345.94594595188,-775349.420475482,34.36558686948628,,,1703764.877202825,1812591.913613316,,,,,,0.19168891157745804,0.12811446284697356,0.06357444873048448,False,False,,,,,
2012-08-29,34.63,34.95,34.58,1519600,34.74,11932500.0,,,-205351.35135133716,-980700.7718268192,34.39736001211862,1870400.0,,1670280.3540750386,1784687.921840619,610373.4649103504,,,-350800.0,0.8124465355004277,0.21271542572721813,0.1450346554230225,0.06768077030419564,False,False,,,,,
