Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,91.6,91.66,90.46,2409600,90.81,0.0,,,-1003999.9999999691,-1003999.9999999691,90.97666666666667,,,2409600.0,2409600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,90.73,91.59,90.65,2403400,91.17,2403400.0,,,255680.85106381588,-748319.1489361533,91.05656361243855,,,2408472.727272727,2409009.523809524,,,,,,0.02871794871794009,0.005743589743588018,0.02297435897435207,False,False,,,,,
2012-09-10,92.27,92.31,90.61,6356100,90.67,-3952700.0,,,-5907434.1176470425,-6655753.266583196,91.13629331518806,,,3126223.1404958675,2784922.9024943314,,,,,,0.011004456132653218,0.006795763021401058,0.00420869311125216,False,False,,,,,
2012-09-07,93.38,93.65,92.7,3215400,92.82,-737300.0,,,-2403088.4210526994,-9058841.687635895,91.56555873799347,,,3142437.1149511645,2825920.721304395,,,,,,0.1685109282537809,0.03913879606787703,0.12937213218590388,False,False,,,,,
2012-09-06,92.37,93.38,92.06,3223400,93.28,2486100.0,,,2735006.0606060857,-6323835.627029809,91.81106940634604,,,3157157.639505498,2863775.890703976,,,,,,0.326688239137809,0.09664868468186341,0.23003955445594557,False,False,,,,,
2012-09-05,91.92,91.99,91.11,2985500,91.75,-499400.0,,,1357045.454545481,-4966790.172484328,91.78288613504006,,,3125947.1595954075,2875368.6630178834,,,,,,0.32484210676332737,0.1422873690981562,0.18255473766517116,False,False,,,,,
2012-09-04,92.03,92.33,91.1,2532300,91.68,-3031700.0,,,-144114.6341462977,-5110904.806630625,91.77417497992856,,,3018011.3123962423,2842695.4570161803,,,,,,0.3141097568202156,0.17665184664256808,0.1374579101776475,False,False,,,,,
2012-08-31,92.44,93.0,91.9,1917300,92.6,-1114400.0,,,522899.99999997293,-4588004.806630652,91.82974437301178,,,2817881.9828696526,2754562.5563479727,,,,,,0.37551193556198825,0.21642386442645212,0.15908807113553614,False,False,,,,,
2012-08-30,92.05,92.15,91.3,1729600,91.76,-2844000.0,,,142437.64705883714,-4445567.159571815,91.82373124014853,,,2620012.531438806,2656947.074791023,,,,,,0.3523311703532528,0.24360532561181225,0.10872584474144054,False,False,,,,,
2012-08-29,92.5,92.8,92.3,1736000,92.43,-1108000.0,,,-833279.999999933,-5278847.159571748,91.86552082529484,2850860.0,,2459282.9802681142,2569237.8295728303,1351731.1223431646,,,-1114860.0,0.6089390569863129,0.38360172558455474,0.2716046056063608,0.11199711997819395,False,False,,,,,
2012-08-28,92.36,92.77,92.2,1913000,92.3,-3021000.0,-0.2060922974767596,,-1241771.9298245916,-6520619.08939634,91.90059772223246,2801200.0,,2359958.802037548,2506738.9886611323,1378598.4460877487,,,-888200.0,0.6829216050264173,0.39335954833747167,0.295955594152583,0.09740395418488867,False,False,,,,,
2012-08-27,92.92,92.97,92.4,1880000,92.59,-1141000.0,-0.2177748190064076,,-626666.6666666666,-7147285.756063007,91.94440802725975,2748860.0,,2272693.565303448,2447049.561169596,1405061.2056261306,,,-868860.0,0.6839198795136893,0.4196557394021312,0.3206956232024927,0.09896011619963851,False,False,,,,,
2012-08-24,92.03,92.97,91.94,1945800,92.83,804800.0,-0.6938688818615188,,1416844.6601941732,-5730441.095868833,91.98051981561618,2307830.0,,2213258.371611912,2399311.507724873,619625.6272047573,,,-362030.0,0.8431296932616353,0.45462106585563333,0.3474807117331208,0.10714035412251255,False,False,,,,,
2012-08-23,92.65,92.68,91.79,1823500,91.98,-1018700.0,-0.43288548858617903,,-1044926.9662921446,-6775368.062160978,91.98908758398969,2168640.0,,2142393.2131370185,2344472.31651298,544933.9352414913,,,-345140.0,0.8408495647041464,0.4090284177396484,0.3597902529344263,0.049238164805222084,False,False,,,,,56.492785784784715
2012-08-22,92.56,93.36,92.43,2464000,92.68,1445300.0,-0.23558974995346527,,-1139268.8172042905,-7914636.879365269,92.04243095652686,2092700.0,,2200867.1743848333,2355855.9054165054,420268.0335214661,,,371300.0,1.177426291393893,0.4244868453668431,0.3727295714209097,0.051757273945933435,False,False,,,,,59.629248189136916
2012-08-21,93.98,94.1,92.99,2302800,92.62,-857500.0,-0.2286719142522191,,-3837999.999999961,-11752636.87936523,92.10977279980672,2024430.0,,2219400.4154057726,2350802.962043505,296286.1269111332,,,278370.0,1.1375053718824557,0.42697436734978567,0.3835785306066849,0.04339583674310077,False,False,,,,,57.70456959821614
2012-08-20,94.0,94.17,93.55,1639500,93.3,782000.0,-0.3525648619831774,,-2961677.419354829,-14714314.298720058,92.17012182221679,1935150.0,,2113963.9762410866,2283059.822801267,258327.7859619443,,,-295650.0,0.8472211456476242,0.47830249007316183,0.40252332249998035,0.07577916757318148,False,False,,,,,63.71220019924954
2012-08-17,93.93,94.3,93.59,3069600,93.64,3851600.0,0.6010014082303239,,-2637261.9718310065,-17351576.270551063,92.2828869353427,2050380.0,,2287715.980560889,2357968.411105908,441522.34824525035,,,1019220.0,1.4970883445995375,0.5401885977331062,0.43005637754660553,0.1101322201865007,False,False,,,,,55.26992286923169
2012-08-16,92.75,93.87,92.21,3395200,93.15,456400.0,0.9629972247918595,,449966.26506026473,-16901610.0054908,92.33795295111221,2216940.0,,2489076.711368,2456752.3719529645,594670.4543975036,,,1178260.0,1.5314803287414183,0.543430549914163,0.452731212020117,0.09069933789404594,False,False,,,,,49.167733665962274
2012-08-15,92.0,92.74,91.94,1983400,91.95,-1527000.0,0.1425115207373271,,-1933814.9999999744,-18835425.005490772,92.33296954630369,2241680.0,2546270.0,2397135.4911192725,2411671.1936717294,577332.3244794882,1058795.4457281807,-0.5316135446851014,-258280.0,0.8847828414403484,0.4440511044729476,0.45099519051068315,-0.006944086037735553,False,True,92.3005,93.94366094608436,90.65733905391563,0.3933458098443629,51.33689838611345
2012-08-14,92.36,92.5,92.01,1843500,91.72,-3370500.0,-0.036330371144798757,-0.23493525896414347,-4025602.040816396,-22861027.04630717,92.32401551545198,2234730.0,2517965.0,2296474.4927339503,2357559.651417279,582127.0633537741,1070147.3495566663,-0.630254329256072,-391230.0,0.8249318709642776,0.34278172579993793,0.42935249756853416,-0.08657077176859623,False,False,92.346,93.86076105463258,90.83123894536743,0.29336674979676897,50.26178009550171
2012-08-13,92.29,92.59,91.74,2075400,91.82,-1295100.0,0.10393617021276591,-0.13647332944994595,-1684736.4705882475,-24545763.516895417,92.31364631025164,2254270.0,2501565.0,2256279.130418686,2330687.3036632524,572089.9133877472,1074499.9102520107,-0.39661706430487115,-178870.0,0.9206528055645509,0.26751048352564055,0.3969840947599555,-0.12947361123431494,False,False,92.3785,93.81277627082534,90.94422372917467,0.3053025029555054,44.28152491759616
2012-08-10,91.37,92.3,90.95,1755100,91.71,-3050200.0,-0.09800596155822794,-0.7238715564575762,221012.59259257728,-24324750.92430284,92.29317055775621,2235200.0,2271515.0,2165155.6521607433,2275869.465219133,586511.5438856351,588385.8815034836,-0.8776808149788048,-480100.0,0.7852093772369363,0.19671380671783822,0.35693003715153204,-0.16021623043369382,False,False,92.4305,93.66554059170454,91.19545940829545,0.20830918237043522,49.58949095740134
2012-08-09,91.5,92.07,91.33,1834900,91.01,-4885100.0,0.006251713737318365,-0.42934005100454065,-3421840.540540518,-27746591.464843355,92.26732211503632,2236340.0,2202490.0,2105109.1699496987,2233872.3732935013,585632.8318816987,551657.1073640429,-0.6663378303171655,-401440.0,0.8204924117084165,0.08316411626481113,0.3021768529741879,-0.21901273670937677,False,False,92.34,93.71248142543276,90.96751857456725,0.015476138563900663,38.39869280167347
2012-08-08,91.48,92.08,91.25,2022300,91.05,-2862800.0,-0.1792613636363637,-0.37261897375442077,-2996902.40963857,-30743493.874481924,92.24031683334272,2192170.0,2142435.0,2090052.9572315717,2213722.623456025,583206.3176955477,497375.47320118756,-0.2415378450947572,-169870.0,0.9225105717166096,-0.0035561724521073756,0.24103024788892885,-0.24458642034103623,False,False,92.2285,93.64118352324294,90.81581647675705,0.08288605317111553,39.63515753640307
