Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,89.4,89.93,87.92,4281900,87.99,0.0,,,-3983658.208955254,-3983658.208955254,88.61333333333334,,,4281900.0,4281900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,89.41,89.82,88.83,1985000,89.5,1985000.0,,,701767.6767676974,-3281890.5321875564,88.85722584797375,,,3864281.818181818,4063147.619047619,,,,,,0.1204558404558469,0.02409116809116938,0.09636467236467752,False,False,,,,,
2012-09-10,89.65,89.99,89.22,1901300,89.42,83700.0,,,-913611.6883116692,-4195502.220499226,89.01693008659599,,,3507376.033057851,3857257.369614512,,,,,,0.20707559191890823,0.06068805285671715,0.1463875390621911,False,False,,,,,
2012-09-07,89.5,89.9,88.88,2371300,89.39,-2287600.0,,,0.0,-4195502.220499226,89.10086771984756,,,3300816.7543200594,3715737.6201274158,,,,,,0.2701870713624004,0.1025878565578538,0.1675992148045466,False,False,,,,,
2012-09-06,88.1,89.69,87.61,2950000,89.44,662400.0,,,2240865.384615384,-1954636.8358838418,89.05985608559745,,,3237031.8898982303,3642810.2277343287,,,,,,0.3205429362100176,0.14617887248828657,0.17436406372173105,False,False,,,,,
2012-09-05,86.37,87.89,86.35,2309700,87.55,-1647300.0,,,1289832.4675324615,-664804.3683513803,88.79722072425608,,,3068426.0917349155,3515847.348902488,,,,,,0.20557339515089268,0.1580577770208078,0.04751561813008487,False,False,,,,,
2012-09-04,86.94,87.43,86.07,2236700,86.62,-3884000.0,,,-427604.41176468664,-1092408.780116067,88.53796322889349,,,2917203.1659649303,3394023.791864156,,,,,,0.038966792951868,0.13423958020701987,-0.09527278725515187,False,True,,,,,
2012-08-31,87.61,87.92,86.67,1876100,87.11,-2007900.0,,,-555325.6000000068,-1647734.3801160739,88.41504156622473,,,2727911.681244034,3249459.6212104266,,,,,,-0.052921192166479614,0.09680742573231998,-0.1497286178987996,False,False,,,,,
2012-08-30,87.38,87.63,86.84,2258200,87.17,250300.0,,,-371602.5316455604,-2019336.9117616343,88.2926386320376,,,2642509.5573814823,3155053.9429999096,,,,,,-0.11952378800374674,0.05354118298510664,-0.17306497098885337,False,False,,,,,
2012-08-29,87.2,88.01,86.46,2438400,87.73,2688700.0,,,1557429.6774193577,-461907.2343422766,88.20418947034777,2460860.0,,2605398.728766667,3086801.1865237276,711776.5398400447,,,-22460.0,0.9908731094007786,-0.12567084983631105,0.017698776420823105,-0.14336962625713415,False,False,,,,,
2012-08-28,85.8,87.27,85.58,3202300,86.97,-513600.0,-0.25213106331301527,,2065388.7573964589,1603481.5230541823,88.02024190754943,2352900.0,,2713926.232627273,3097801.073521468,431615.2556257585,,,849400.0,1.3610013175230566,-0.18968155811157317,-0.023777290485656154,-0.165904267625917,False,False,,,,,
2012-08-27,85.68,86.78,85.36,2383900,86.13,-2897500.0,0.2009571788413098,,201456.33802815253,1804937.8610823348,87.86784799590215,2392790.0,,2653921.463058678,3029810.495090852,411814.9569621989,,,-8890.0,0.9962846718684046,-0.3046793317390524,-0.0799576987363354,-0.22472163300271697,False,False,,,,,
2012-08-24,85.55,85.59,84.86,2491600,85.34,-5389100.0,0.3104717824646295,,785024.6575342559,2589962.5186165906,87.66931255812815,2451820.0,,2624408.469775282,2978552.3527012467,374118.1655276548,,,39780.0,1.016224682072909,-0.45432511641314477,-0.1548311822716973,-0.2994939341414475,False,False,,,,,
2012-08-23,87.53,87.72,85.58,2599300,85.83,-2789800.0,0.09614979125374257,,-1991986.9158878508,597975.6027287398,87.57409057115677,2474620.0,,2619843.293452503,2942433.0810154136,375610.33236291265,,,124680.0,1.050383493223202,-0.5273031515120721,-0.22932557611977228,-0.2979775753922998,False,False,,,,,37.26415093724413
2012-08-22,87.5,88.06,86.28,2887300,88.06,97500.0,-0.02125423728813558,,2887300.0,3485275.60272874,87.56596532453129,2468350.0,,2668471.7855520477,2937182.311394898,367222.85165520094,,,418950.0,1.1697287661798368,-0.40057878412220305,-0.2635762177202584,-0.13700256640194464,False,False,,,,,50.32679737904228
2012-08-21,87.6,88.84,87.11,2555300,87.69,-2457800.0,0.10633415595098938,,-841919.6531791997,2643355.94954954,87.58566790986447,2492910.0,,2647895.097269857,2900812.567452527,363628.6489446799,,,62390.0,1.0250269765053692,-0.32624398022275614,-0.276109770220758,-0.050134210001998136,False,False,,,,,40.543364675364586
2012-08-20,88.1,88.17,86.75,2077700,87.47,-4535500.0,-0.07108686904815131,,29263.380281684284,2672619.3298312244,87.57973008456757,2477010.0,,2544223.2614026098,2822420.8943618103,379218.4695748172,,,-399310.0,0.8387935454439022,-0.28183643893147803,-0.27725510396290204,-0.00458133496857599,False,False,,,,,39.95880534954248
2012-08-17,88.65,88.65,87.61,2537800,87.87,-1997700.0,0.3526997494803048,,-1268899.9999999828,1403719.3298312416,87.60567701280733,2543180.0,,2543055.395693044,2795314.1425178284,315009.3007445264,,,-5380.0,0.9978845382552552,-0.21192356254736922,-0.2641887956797955,0.05226523313242626,True,False,,,,,42.46031745442021
2012-08-16,86.87,88.96,86.61,3211600,88.32,1213900.0,0.4221946683199007,,1462302.9787233984,2866022.30855464,87.62933347612555,2638520.0,,2664608.9601124907,2834960.4146589874,360208.62411786977,,,573080.0,1.2171975198217182,-0.1188359977159621,-0.2351182360870288,0.11628223837106672,False,False,,,,,44.656488543652735
2012-08-15,86.2,87.29,86.2,2984700,86.64,-1770800.0,0.22404035433070857,,-575033.9449541485,2290988.3636004915,87.57609464604582,2693150.0,2577005.0,2722807.331001129,2849221.3275486077,367831.5564071261,564154.0611486604,0.7226660731111323,291550.0,1.108256131296066,-0.1785669825606675,-0.22380798538175656,0.04524100282108906,False,False,87.612,90.02311112189074,85.20088887810925,0.29843318062467133,45.56962024695254
2012-08-14,87.36,87.5,85.99,2385100,86.2,-4155900.0,-0.2551915810511195,-0.4429809196851865,-1721694.701986732,569293.6616137596,87.53130043096732,2611430.0,2482165.0,2661405.9980918327,2805019.296353502,331089.10868358205,397187.105948291,-0.24438104496936186,-226330.0,0.9133310102127953,-0.25842952644116224,-0.2307322935936377,-0.02769723284752454,False,True,87.52250000000001,90.00632451282821,85.0386754871718,0.23377748847197333,47.85276072934622
