Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,1.5,1.67,1.46,11700600,1.64,0.0,,,8357571.428571424,8357571.428571424,1.5899999999999996,,,11700600.0,11700600.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,1.63,1.83,1.55,12333900,1.74,12333900.0,,,4404964.28571428,12762535.714285705,1.649870394641037,,,11815745.454545455,11760914.285714287,,,,,,0.007977207977208023,0.0015954415954416046,0.0063817663817664185,False,False,,,,,
2012-09-10,1.45,1.67,1.38,14297100,1.61,-1963200.0,,,8381058.6206896715,21143594.334975377,1.613863548612633,,,12266900.82644628,12002455.782312926,,,,,,0.0037658785237133507,0.002029528981095954,0.0017363495426173966,False,False,,,,,
2012-09-07,1.29,1.61,1.27,15516300,1.42,-17479500.0,,,-1825447.0588235408,19318147.276151836,1.5618436744979842,,,12857700.67618332,12337107.612568837,,,,,,-0.014733207270605453,-0.0013230182692443274,-0.013410189001361126,False,True,,,,,
2012-09-06,1.14,1.28,1.14,9423200,1.27,-26902700.0,,,8077028.571428571,27395175.847580407,1.5124209631253447,,,12233246.007786354,12059592.601847995,,,,,,-0.04102470517475143,-0.009263355650345749,-0.03176134952440568,False,False,,,,,
2012-09-05,1.17,1.17,1.12,6328600,1.14,-33231300.0,,,-1265720.0000000338,26129455.847580373,1.478860359072429,,,11159674.006370652,11513783.782624377,,,,,,-0.07152630945663496,-0.02171594641160359,-0.04981036304503137,False,False,,,,,
2012-09-04,1.18,1.18,1.12,4142100,1.13,-37373400.0,,,-2761400.0000000256,23368055.847580347,1.460013700958389,,,9883751.459757807,10811718.660469675,,,,,,-0.09540618392869038,-0.03645399391502095,-0.05895219001366943,False,False,,,,,
2012-08-31,1.22,1.23,1.17,1105100,1.18,-36268300.0,,,-736733.3333333333,22631322.514247015,1.4560762169174675,,,8287633.012529113,9887278.788043993,,,,,,-0.10903963334208178,-0.05097112180043312,-0.05806851154164866,False,False,,,,,
2012-08-30,1.2,1.22,1.18,1824500,1.18,-36268300.0,,,-1824500.0,20806822.514247015,1.449823893481359,,,7112517.919342001,9119395.093944564,,,,,,-0.11847849389853304,-0.06447259622005311,-0.054005897678479936,False,False,,,,,
2012-08-29,1.19,1.22,1.18,2884200,1.21,-33384100.0,,,1442100.0,22248922.514247015,1.4408876517387421,7955560.0,,6343732.843098001,8525566.989759367,5376450.078753948,,,-5071360.0,0.36253890360955104,-0.12213026790830517,-0.07600413055770353,-0.04612613735060164,False,False,,,,,
2012-08-28,1.16,1.2,1.15,3356700,1.18,-36740800.0,-0.7131172760371263,,671340.0,22920262.514247015,1.4301906793885428,7121170.0,,5800635.9625347275,8033293.943115618,5378125.045248886,,,-3764470.0,0.47136917107722465,-0.12599270887996927,-0.08600184622215667,-0.0399908626578126,False,False,,,,,
2012-08-27,1.17,1.18,1.1,5399800,1.16,-42140600.0,-0.5621984935827273,,2699899.9999999925,25620162.514247008,1.4128547428193117,6427760.0,,5727756.6966193225,7782484.996152226,5069521.64480152,,,-1027960.0,0.8400749250127572,-0.12917846509560404,-0.09463716999684615,-0.03454129509875789,False,False,,,,,
2012-08-24,1.11,1.21,1.11,2519700,1.19,-39620900.0,-0.8237614621146946,,1511819.9999999977,27131982.514247004,1.4061178830908707,5250020.0,,5144473.660870355,7281267.377471061,4356045.010684704,,,-2730320.0,0.4799410287960808,-0.1278091462891,-0.10127156525529693,-0.026537581033803076,False,False,,,,,
2012-08-23,1.19,1.21,1.13,3488100,1.16,-43109000.0,-0.7751976953268498,,-872025.0,26259957.514247004,1.397262596051664,4047200.0,,4843314.81343938,6920013.341521436,2449858.289325686,,,-559100.0,0.8618551097054754,-0.12767296606988365,-0.10655184541821429,-0.021121120651669364,False,False,,,,,23.333333297037044
2012-08-22,1.21,1.23,1.17,2591900,1.2,-40517100.0,-0.7249448170472875,,0.0,26259957.514247004,1.3919868203184065,3364070.0,,4433966.665541311,6507812.070900348,1583459.8848021936,,,-772170.0,0.7704655372807343,-0.12292042639876066,-0.10982556161432357,-0.013094864784437096,False,False,,,,,26.595744641240387
2012-08-21,1.23,1.25,1.18,2873000,1.21,-37644100.0,-0.5460291375659704,,-410428.5714285714,25849528.942818433,1.3868430362139323,3018510.0,,4150154.5445337994,6161639.4927193625,1193719.7395350193,,,-145510.0,0.951794097087636,-0.11699840327866462,-0.11126012994719178,-0.005738273331472837,False,False,,,,,18.823529380761258
2012-08-20,1.23,1.27,1.2,2692300,1.22,-34951800.0,-0.35001569252311626,,-1153842.857142857,24695686.085675575,1.3827224228632544,2873530.0,,3885090.08189129,5831226.20769847,1128345.289006083,,,-181230.0,0.9369312309250295,-0.11022760564008593,-0.11105362508577063,0.0008260194456846948,True,False,,,,,23.287671188215427
2012-08-17,1.19,1.25,1.18,2474300,1.23,-32477500.0,1.2389828974753416,,1060414.2857142857,25756100.371389862,1.3788861320573143,3010450.0,,3628582.7942746915,5511518.949822426,960499.6896870336,,,-536150.0,0.8219037021043366,-0.10286897380769422,-0.10941669483015534,0.006547721022461123,False,False,,,,,32.727272643966955
2012-08-16,1.24,1.27,1.17,3897600,1.19,-36375100.0,1.1362565086325023,,-2338560.0,23417540.371389862,1.372838758279819,3217760.0,,3677495.0134974746,5357812.383172671,897763.9038806974,,,679840.0,1.211277410372433,-0.09912225116057582,-0.10735780609623945,0.008235554935663622,False,False,,,,,40.909090778925616
2012-08-15,1.28,1.3,1.23,5801000,1.24,-30574100.0,1.0113029609597115,,-4143571.4285714286,19273968.942818433,1.3669607442942289,3509440.0,5732500.0,4063586.829225206,5400020.727632416,1200227.5082481466,4424577.107119064,0.015481705560014934,2291560.0,1.6529702744597428,-0.0910685824067301,-0.10409996135833759,0.013031378951607483,False,False,1.275,1.6334469424145164,0.9165530575854833,0.4511782695588947,63.8888886404321
2012-08-14,1.3,1.33,1.22,10410700,1.31,-20163400.0,2.10146870438228,-0.1102422098012068,6624990.909090909,25898959.851909343,1.3602766496589256,4214840.0,5668005.0,5217607.405729713,5877228.27738171,2485358.975279024,4341627.844662948,1.0923771381810337,6195860.0,2.4700107240132483,-0.07813686378298512,-0.09890734184326709,0.02077047806028197,False,False,1.2585,1.57401294910452,0.9429870508954799,0.5816131321173441,71.42857119047619
2012-08-13,1.19,1.28,1.14,9771500,1.27,-29934900.0,0.8096040594096077,-0.2077526167716618,8375571.428571428,34274531.28048077,1.3508352975031186,4652010.0,5539885.0,6045587.877415219,6248111.298583452,3039631.6880138256,4168939.8808046104,1.0150338265811818,5119490.0,2.1004898957654863,-0.07030561000332192,-0.09318699547527806,0.022881385471956145,False,False,1.2349999999999999,1.4550956729769073,1.0149043270230924,0.5795108770804239,60.97560954788816
2012-08-10,1.07,1.15,1.05,6295200,1.13,-36230100.0,1.498392665793547,-0.5596869295171748,3777119.9999999944,38051651.280480765,1.3400924767267022,5029560.0,5139790.0,6090971.899703361,6252595.936813599,2979226.868463994,3633914.0916039683,0.3179519303082961,1265640.0,1.2516403025314342,-0.07453689994799251,-0.08945697636982095,0.014920076421828438,False,False,1.2109999999999999,1.3478672041759718,1.0741327958240279,0.20409273540848694,45.454545338842976
2012-08-09,1.05,1.09,1.03,6235500,1.08,-42465600.0,0.7876494366560591,-0.5981322866920593,4157000.0,42208651.280480765,1.3285227625134957,5304300.0,4675750.0,6117249.736120931,6250967.752355161,2947795.9050412187,2715678.252684817,0.5743500720153336,931200.0,1.175555681239749,-0.08099119377987973,-0.08776381985183271,0.006772626071952975,False,False,1.194,1.3032365853500882,1.0847634146499117,-0.021803201897265,38.59649113327179
