Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,14.25,14.65,14.24,3198900,14.42,0.0,,,-390109.7560975664,-390109.7560975664,14.436666666666667,,,3198900.0,3198900.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,14.04,14.3,13.95,1652400,14.07,-1652400.0,,,-519325.7142857095,-909435.4703832759,14.324265454620411,,,2917718.1818181816,3051614.285714286,,,,,,-0.027920227920226637,-0.005584045584045328,-0.022336182336181308,False,False,,,,,
2012-09-10,14.22,14.25,13.92,2108900,14.0,-3761300.0,,,-1086403.0303030296,-1995838.5006863056,14.2431845828185,,,2770660.330578512,2961831.9727891157,,,,,,-0.05506091671333735,-0.015479419809903732,-0.03958149690343361,False,False,,,,,
2012-09-07,13.87,14.61,13.87,4287500,14.3,526200.0,,,695270.2702702861,-1300568.2304160194,14.249594435603129,,,3046449.361382419,3088086.070618724,,,,,,-0.05176589036362955,-0.022736713920648896,-0.029029176442980656,False,False,,,,,
2012-09-06,13.24,14.03,13.23,6023000,13.75,-5496800.0,,,1806900.000000004,506331.7695839845,14.047466132428525,,,3587640.386585615,3367601.6829407504,,,,,,-0.09246903621085245,-0.036683178378689604,-0.05578585783216285,False,False,,,,,
2012-09-05,13.27,13.31,12.97,2267100,13.0,-7763900.0,,,-1867023.5294117732,-1360691.7598277887,13.936751800782755,,,3347542.1344791395,3262791.9988511554,,,,,,-0.1831342469320596,-0.0659733920893636,-0.11716085484269599,False,False,,,,,
2012-09-04,12.86,13.41,12.64,3520000,13.31,-4243900.0,,,2605714.2857142887,1245022.5258865,13.812066603636657,,,3378898.1100283866,3287287.998960569,,,,,,-0.22735189924146937,-0.09824909351978477,-0.1291028057216846,False,False,,,,,
2012-08-31,12.83,12.92,12.56,1372900,12.88,-5616800.0,,,1067811.111111117,2312833.636997617,13.754443548486126,,,3014171.180932316,3104965.332392896,,,,,,-0.29370644849537797,-0.13734056451490342,-0.15636588398047455,False,False,,,,,
2012-08-30,12.84,12.85,12.58,1140300,12.69,-6757100.0,,,-211166.66666667,2101666.970330947,13.707719526025576,,,2673467.329853713,2917854.348355477,,,,,,-0.3575032440818262,-0.18137310042828797,-0.17613014365353824,False,False,,,,,
2012-08-29,12.74,13.07,12.68,1970400,12.93,-4786700.0,,,555753.8461538424,2657420.8164847894,13.649455728466963,2754140.0,,2545636.906243947,2827620.600893051,1520778.9343330315,,,-783740.0,0.7154320404917688,-0.3842670782981976,-0.2219518960022699,-0.16231518229592773,False,False,,,,,
