Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,8.13,8.77,8.13,8405300,8.75,0.0,,,7879968.75000001,7879968.75000001,8.55,,,8405300.0,8405300.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,8.16,8.35,7.52,7093300,7.91,-7093300.0,,,-427307.2289156535,7452661.521084357,8.264716791624188,,,8166754.545454545,8280347.6190476185,,,,,,-0.06700854700854642,-0.013401709401709283,-0.053606837606837134,False,False,,,,,
2012-09-10,7.4,8.29,7.21,5968300,8.15,-1125000.0,,,4420962.962962976,11873624.484047333,8.158683275181792,,,7767035.537190082,8060152.6077097505,,,,,,-0.09959919156500341,-0.03064120583436811,-0.0689579857306353,False,False,,,,,
2012-09-07,8.12,8.82,6.85,16576500,7.4,-17701500.0,,,-7320586.294416234,4553038.189631099,7.954465768043866,,,9368756.348610066,8871233.311737394,,,,,,-0.183827198649805,-0.061278404397455494,-0.12254879425234952,False,False,,,,,
2012-09-06,7.68,8.41,7.67,9435200,7.9,-8266300.0,,,-3570075.6756756664,982962.5139554325,7.962189737411521,,,9380837.012499144,8924944.424905261,,,,,,-0.20783686575442317,-0.09059009666884904,-0.11724676908557413,False,False,,,,,
2012-09-05,7.19,7.96,7.17,9099600,7.55,-17365900.0,,,-345554.4303797497,637408.0835756827,7.89750465137927,,,9329703.010226572,8941578.289199999,,,,,,-0.2521995751297865,-0.12291199236103655,-0.12928758276874996,False,False,,,,,
2012-09-04,6.96,7.29,6.74,4106100,7.1,-21472000.0,,,1269158.1818181751,1906566.2653938578,7.839708601181305,,,8379957.008367195,8481056.547371428,,,,,,-0.3199800502799448,-0.1623256039448182,-0.1576544463351266,False,False,,,,,
2012-08-31,6.96,7.07,6.84,1305600,6.97,-22777600.0,,,170295.6521739091,2076861.917567767,7.82118062243473,,,7093710.279573159,7797679.733336055,,,,,,-0.37980828522345966,-0.2058221402005465,-0.17398614502291315,False,False,,,,,
2012-08-30,6.94,6.95,6.8,826600,6.88,-23604200.0,,,55106.666666665355,2131968.5842344323,7.808751798227111,,,5954235.68328713,7133767.37778024,,,,,,-0.42953344610258437,-0.2505644013809541,-0.17896904472163028,False,False,,,,,
2012-08-29,7.02,7.11,6.94,1079200,7.0,-22525000.0,,,-317411.76470588695,1814556.8195285453,7.795373460185897,6389570.0,,5067865.559053105,6557141.913229741,4891457.295246706,,,-5310370.0,0.1689002546337234,-0.45402428786141336,-0.29125637867704596,-0.1627679091843674,False,False,,,,,
2012-08-28,6.97,7.18,6.92,1219500,7.01,-21305500.0,-0.854912971577457,,-375230.7692307699,1439326.0502977753,7.78116413679141,5670990.0,,4368162.730134359,6048795.064350719,5086366.029221867,,,-4451490.0,0.21504181809525322,-0.46724048254013884,-0.32645319944966456,-0.14078728309047428,False,False,,,,,
2012-08-27,7.04,7.13,6.99,955500,7.0,-22261000.0,-0.8652954196213328,,-819000.0000000026,620326.0502977727,7.7704455832918375,5057210.0,,3747678.597382657,5563719.343936364,5262927.9532404775,,,-4101710.0,0.18893816946498168,-0.47306809395463656,-0.355776178350659,-0.11729191560397756,False,False,,,,,
2012-08-24,7.02,7.1,6.89,1618900,7.0,-22261000.0,-0.7287502303838613,,77090.47619048141,697416.5264882542,7.751939480609527,4622270.0,,3360627.943313083,5188022.263561472,5358128.388003905,,,-3003370.0,0.3502391682009056,-0.47224279698360583,-0.37906950207724843,-0.0931732949063574,False,False,,,,,
2012-08-23,7.21,7.38,7.05,2539900,7.06,-19721100.0,-0.8467770639157843,,-2385966.66666667,-1688550.1401784155,7.73065211912373,3218610.0,,3211404.6808925224,4935820.1432222845,3335264.3468280328,,,-678710.0,0.7891294689322409,-0.4614281877101938,-0.39554123920383755,-0.06588694850635624,False,False,,,,,26.19718308826026
2012-08-22,7.15,7.31,7.02,1130500,7.21,-18590600.0,-0.8801827200271324,,350844.82758620975,-1337705.3125922056,7.721928573430493,2388140.0,,2833058.3752757,4573408.701010639,2558934.289981758,,,-1257640.0,0.47338095756530185,-0.4357309503853246,-0.403579181440135,-0.03215176894518962,False,False,,,,,29.18918917814463
