Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,24.0,24.23,23.85,3904400,23.96,0.0,,,-1643957.8947368478,-1643957.8947368478,24.01333333333333,,,3904400.0,3904400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,23.94,24.14,23.91,3020700,24.01,3020700.0,,,-394004.3478260545,-2037962.2425629024,24.016241305781378,,,3743727.2727272725,3820238.095238095,,,,,,0.003988603988606343,0.0007977207977212686,0.0031908831908850745,False,False,,,,,
2012-09-10,24.06,24.17,23.95,2844600,23.95,176100.0,,,-2844600.0,-4882562.242562902,24.01830625983056,,,3580249.586776859,3727320.1814058954,,,,,,0.0022817996607180646,0.0010945365703206279,0.0011872630903974367,False,False,,,,,
2012-09-07,24.09,24.2,24.02,1973200,24.06,2149300.0,,,-1096222.2222222395,-5978784.464785142,24.030913317834603,,,3288058.75281743,3560261.116510096,,,,,,0.009693485162678428,0.002814326288792188,0.00687915887388624,False,False,,,,,
2012-09-06,23.9,24.24,23.87,4810000,24.07,6959300.0,,,390000.00000001746,-5588784.464785124,24.039365428414353,,,3564775.343214261,3679283.867318658,,,,,,0.016187614998546707,0.005488984030743092,0.010698630967803616,False,False,,,,,
2012-09-05,23.6,23.84,23.5,2135900,23.79,4823400.0,,,1507694.1176470497,-4081090.347138074,24.001723010573173,,,3304979.8262662133,3532294.927574024,,,,,,-0.0012450481214862918,0.004142177600297215,-0.005387225721783507,False,True,,,,,
2012-09-04,23.57,23.75,23.28,2810600,23.64,2012800.0,,,1495000.0000000037,-2586090.3471380705,23.94354113758213,,,3215092.5851269015,3463562.077328879,,,,,,-0.02685474090075246,-0.00205720609991272,-0.02479753480083974,False,False,,,,,
2012-08-31,23.65,23.83,23.48,3006400,23.57,-993600.0,,,-1460251.4285714217,-4046341.775709492,23.90466660953733,,,3177148.478740192,3420022.8318689857,,,,,,-0.052197323666266726,-0.012085229613183522,-0.040112094053083205,False,False,,,,,
2012-08-30,23.49,23.57,23.24,2197400,23.48,-3191000.0,,,998818.1818181905,-3047523.5938913017,23.865606406722787,,,2999012.3916965206,3303582.5621671774,,,,,,-0.07863726943792315,-0.025395637578131448,-0.05324163185979171,False,False,,,,,
2012-08-29,23.4,23.71,23.34,2538400,23.61,-652600.0,,,1166291.891891876,-1881231.7019994257,23.83849865716422,2924160.0,,2915264.684115335,3230708.03243697,866361.5901509536,,,-385760.0,0.8680783541256293,-0.0880858050773945,-0.03793367107798406,-0.05015213399941044,False,False,,,,,
2012-08-28,23.6,23.6,23.36,3273900,23.43,-3926500.0,-0.16148447904927776,,-1364125.0000000081,-3245356.701999434,23.80072424946051,2861110.0,,2980471.1051852736,3234821.553157259,808079.769783487,,,412790.0,1.144276172534436,-0.10884365146071318,-0.052115667154529886,-0.05672798430618329,False,False,,,,,
2012-08-27,23.79,23.82,23.55,3917000,23.59,-9500.0,0.2967193034727049,,-2756407.4074074305,-6001764.109406864,23.78487767789748,2950740.0,,3150749.0860606786,3299790.9290470434,874708.5599723425,,,966260.0,1.3274636192954987,-0.11110300516319427,-0.06391313475626277,-0.0471898704069315,False,False,,,,,
2012-08-24,23.57,23.87,23.51,2210500,23.79,2201000.0,-0.22291359066301064,,1228055.5555555313,-4773708.5538513325,23.78135714963469,2887330.0,,2979794.7067769184,3196048.935804468,905692.9122071245,,,-676830.0,0.7655861990143142,-0.09565260700800238,-0.07026102920661069,-0.025391577801391688,False,False,,,,,
2012-08-23,23.67,23.75,23.3,3525100,23.56,-1324100.0,0.7864889519562133,,548348.8888888642,-4225359.664962469,23.760901914006084,3042520.0,,3078941.123726569,3227387.132394519,863635.3664725769,,,482580.0,1.1586119401022836,-0.1008051143564117,-0.07636984623657089,-0.024435268119840814,False,False,,,,,38.37209299202267
2012-08-22,23.75,23.89,23.66,2925300,23.76,1601200.0,-0.3918295218295218,,-381560.869565186,-4606920.534527655,23.761492125233403,2854050.0,,3051006.3739581015,3198616.9293093267,600679.2437639983,,,71250.0,1.0249645240973353,-0.0877387869016708,-0.07864363436959088,-0.009095152532079931,False,False,,,,,44.79166663400612
