Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,25.29,25.4,25.16,3426400,25.35,0.0,,,1998733.3333334054,1998733.3333334054,25.30333333333333,,,3426400.0,3426400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,25.19,25.32,25.11,2193400,25.27,-2193400.0,,,1148923.8095237988,3147657.142857204,25.27601243223365,,,3202218.1818181816,3308971.428571428,,,,,,-0.006381766381768017,-0.0012763532763536034,-0.005105413105414414,False,False,,,,,
2012-09-10,25.36,25.43,25.19,2369200,25.19,-4562600.0,,,-2369200.0,778457.1428572042,25.274229398756624,,,3050760.330578512,3219469.3877551015,,,,,,-0.017690765497032857,-0.004559235720489455,-0.013131529776543402,False,False,,,,,
2012-09-07,25.49,25.65,25.26,2771700,25.3,-1790900.0,,,-2203146.153846162,-1424689.0109889577,25.30748349704635,,,3000022.0886551463,3176824.6841593776,,,,,,-0.01757455949905662,-0.007162300476202888,-0.010412259022853731,False,False,,,,,
2012-09-06,24.97,25.48,24.97,4453100,25.44,2662200.0,,,3754574.509803938,2329885.4988149805,25.304317396048322,,,3264218.0725360285,3298374.714239437,,,,,,-0.006115143865322636,-0.006952869154026838,0.0008377252887042013,True,False,,,,,
2012-09-05,24.78,24.96,24.71,3656200,24.92,-994000.0,,,2486216.000000025,4816101.498815006,25.2188735205794,,,3335487.513893114,3332453.3128833002,,,,,,-0.038548762455818064,-0.013272047814385084,-0.025276714641432982,False,True,,,,,
2012-09-04,24.31,24.7,24.31,2681800,24.7,-3675800.0,,,2681800.0,7497901.498815006,25.13813089084593,,,3216635.2386398204,3270486.3307039384,,,,,,-0.08107027260556521,-0.02683169277262111,-0.0542385798329441,False,False,,,,,
2012-08-31,24.4,24.48,24.22,1561900,24.34,-5237700.0,,,-120146.15384615056,7377755.344968855,25.084647979336925,,,2915774.286159853,3107763.823017849,,,,,,-0.142178917052167,-0.049901137628530295,-0.09227777942363671,False,False,,,,,
2012-08-30,24.34,24.39,24.22,1240000,24.32,-6477700.0,,,218823.5294117708,7596578.874380626,25.0452057798199,,,2611088.052312607,2929881.554159006,,,,,,-0.19003122917355597,-0.07792715593753544,-0.11210407323602053,False,False,,,,,
2012-08-29,24.41,24.48,24.29,1921000,24.37,-4556700.0,,,-303315.78947365773,7293263.084906968,24.99657115019391,2627470.0,,2485617.497346678,2833797.596620053,992638.7919189045,,,-706470.0,0.7311215732244326,-0.22136815486212313,-0.10661535572245298,-0.11475279913967015,False,False,,,,,
2012-08-28,24.22,24.5,24.18,3162000,24.43,-1394700.0,-0.07716553817417693,,1778624.9999999958,9071888.084906964,24.929266799607287,2601030.0,,2608596.1341927364,2865054.9683705242,972307.014899215,,,560970.0,1.2156722529151913,-0.23861083846584918,-0.13301445227113223,-0.10559638619471695,False,False,,,,,
