Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,67.77,68.27,67.57,1319700,67.93,0.0,,,37705.714285760216,37705.714285760216,67.92333333333333,,,1319700.0,1319700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,67.16,67.53,66.94,1099500,67.42,-1099500.0,,,689516.9491525469,727222.6634383071,67.63852017195767,,,1279663.6363636362,1298728.5714285714,,,,,,-0.04068376068376267,-0.008136752136752535,-0.032547008547010134,False,False,,,,,
2012-09-10,67.4,67.41,66.87,1546200,67.05,-2645700.0,,,-515400.00000002707,211822.66343828005,67.43243808947395,,,1328124.7933884296,1322297.2789115645,,,,,,-0.10161053887550509,-0.026831509484503045,-0.07477902939100203,False,False,,,,,
2012-09-07,67.7,67.77,67.13,1295400,67.37,-1350300.0,,,-323849.999999964,-112027.33656168397,67.43019616788321,,,1322174.8309541696,1319735.6333009393,,,,,,-0.12266017376788341,-0.04599724234117912,-0.07666293142670429,False,False,,,,,
2012-09-06,67.07,68.12,66.98,1599300,67.69,249000.0,,,392810.5263157709,280783.18975408695,67.4690055538549,,,1372561.2253261385,1346360.8110818022,,,,,,-0.1122271506919077,-0.05924322401132484,-0.052983926680582855,False,False,,,,,
2012-09-05,66.71,67.04,66.18,1650900,66.52,-1401900.0,,,-345537.2093023662,-64754.01954827923,67.29656291857596,,,1423168.2752668406,1375364.5433597257,,,,,,-0.19610752120854613,-0.0866160834507691,-0.10949143775777703,False,False,,,,,
2012-09-04,66.89,67.07,66.03,1159700,66.75,-242200.0,,,446038.4615384713,381284.44199019205,67.21503048727945,,,1375264.9524910513,1354825.0630397517,,,,,,-0.24124333832320133,-0.11754153442525556,-0.12370180389794577,False,False,,,,,
2012-08-31,66.95,67.46,66.53,1060800,66.89,818600.0,,,-239535.48387096252,141748.95811922953,67.1898209321468,,,1318089.5065835873,1326822.6760835848,,,,,,-0.2626888549990838,-0.1465709985400212,-0.11611785645906259,False,False,,,,,
2012-08-30,66.95,67.16,66.53,1242700,66.56,-424100.0,,,-1124347.6190476136,-982598.660928384,67.14417567213955,,,1304382.3235683895,1318810.9926470527,,,,,,-0.30282207911838555,-0.17782121465569406,-0.12500086446269149,False,False,,,,,
2012-08-29,67.17,67.49,67.0,1416300,67.25,992200.0,,,28904.08163266815,-953694.5792957159,67.15501604371258,1339050.0,,1324730.9920105003,1328095.6600140003,208805.04596925387,,,77250.0,1.0576901534670102,-0.2757717894213272,-0.19741132960882068,-0.0783604598125065,False,False,,,,,
2012-08-28,66.94,67.04,66.21,2142000,66.91,-1149800.0,0.6230961582177768,,1471012.0481927313,517317.46889701544,67.09502541981867,1421280.0,,1473325.3570995,1405610.3590602858,328148.4210265566,,,720720.0,1.5070921985815602,-0.278558351175235,-0.21364073392210356,-0.06491761725313142,False,False,,,,,
2012-08-27,67.54,67.77,67.07,1319000,67.11,169200.0,0.1996361982719419,,-1168257.14285712,-650939.6739601045,67.11237371549517,1443230.0,,1445266.2012632273,1397361.7534354967,311132.9263978483,,,-124230.0,0.9139222438557957,-0.26161268472972665,-0.2232351240836282,-0.03837756064609846,False,False,,,,,
