Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,28.26,28.68,27.98,609100,28.09,0.0,,,-417668.57142857224,-417668.57142857224,28.25,,,609100.0,609100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,27.9,29.09,27.9,851100,28.17,851100.0,,,-464886.5546218447,-882555.126050417,28.32965826599096,,,653100.0,632147.619047619,,,,,,0.006381766381764464,0.0012763532763528929,0.0051054131054115715,False,False,,,,,
2012-09-07,28.6,28.68,27.63,968100,27.88,-117000.0,,,-507100.00000000035,-1389655.1260504173,28.223481447926535,,,710372.7272727273,664143.0839002267,,,,,,-0.011824904018638449,-0.0013438981826453757,-0.010481005835993073,False,True,,,,,
2012-09-06,29.18,29.77,27.64,1203000,28.56,1086000.0,,,-163788.7323943678,-1553443.8584447852,28.36698978327321,,,799941.3223140496,715462.7901954432,,,,,,0.028290381610883486,0.004582957776060397,0.02370742383482309,True,False,,,,,
2012-09-05,28.82,30.07,28.43,1603600,28.57,2689600.0,,,-1329814.6341463404,-2883258.492591126,28.568046635720517,,,946061.0818933132,800047.2863673058,,,,,,0.060195059735313805,0.01570537816791108,0.044489681567402725,False,False,,,,,
2012-09-04,27.19,29.1,27.19,1468500,28.76,4158100.0,,,945683.2460732987,-1937575.2465178273,28.52027960935247,,,1041049.9760945289,863709.4495704195,,,,,,0.09966231399536696,0.03249676533340226,0.0671655486619647,False,False,,,,,
2012-08-31,27.52,27.63,26.76,617100,27.12,3541000.0,,,-106396.55172413723,-2043971.7982419645,28.40645438608474,,,963968.16225916,840222.8353256176,,,,,,-0.0013780117438564332,0.025721809917950523,-0.027099821661806956,False,True,,,,,
2012-08-30,27.85,28.2,27.24,612500,27.36,4153500.0,,,-459374.99999999884,-2503346.7982419636,28.344188747426365,,,900064.8600302218,818534.9462469873,,,,,,-0.061379657132206944,0.008301516507919032,-0.06968117364012598,False,False,,,,,
2012-08-29,27.99,28.37,27.6,1102600,27.87,5256100.0,,,-329348.0519480527,-2832694.8501900164,28.295679755633273,,,936889.4309338178,845588.7608901314,,,,,,-0.06700624930675758,-0.006760036655016291,-0.06024621265174129,False,False,,,,,
2012-08-28,26.06,27.36,25.95,1391300,27.32,3864800.0,,,1312360.9929078033,-1520333.8572822132,28.106335567938057,1042690.0,,1019509.5344003963,897561.259852976,371664.81150508596,,,348610.0,1.334337147186604,-0.11452558791295075,-0.028313146906603186,-0.08621244100634756,False,False,,,,,
2012-08-27,25.98,26.05,24.43,1184300,25.9,2680500.0,0.9443441142669513,,964985.1851851823,-555348.6720970309,27.83641900349088,1100210.0,,1049471.4372366879,924869.7112955498,340290.75623322144,,,84090.0,1.076430863198844,-0.26372705732904933,-0.07539592899109242,-0.1883311283379569,False,False,,,,,
2012-08-24,25.78,26.71,25.53,897100,25.85,1783400.0,0.054047702972623624,,-410537.28813559265,-965885.9602326236,27.706861950331646,1104810.0,,1021767.53955729,922224.9768864498,336842.6056780822,,,-207710.0,0.8119948226391869,-0.38160596291341164,-0.13663793577555627,-0.24496802713785537,False,False,,,,,
2012-08-23,26.4,26.4,25.29,950400,25.86,2733800.0,-0.018283235202974923,,25686.486486487473,-940199.4737461362,27.575737726030994,1103040.0,,1008791.6232741463,924908.3124210737,337686.23898524494,,,-152640.0,0.8616187989556136,-0.4688147241215219,-0.20307329344474942,-0.26574143067677247,False,False,,,,,
2012-08-22,27.13,27.3,25.87,652600,26.4,3386400.0,-0.45752285951787197,,-168854.54545454757,-1109054.0192006838,27.527067574686004,1048000.0,,944029.5099515741,898974.1874285905,363455.35259964643,,,-395400.0,0.6227099236641221,-0.48872113561936814,-0.2602028618796732,-0.22851827373969497,False,False,,,,,36.392914645579694
