Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,47.53,48.02,47.44,1302800,47.94,0.0,,,943406.8965517032,943406.8965517032,47.8,,,1302800.0,1302800.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,47.16,47.69,47.14,778200,47.44,-778200.0,,,70745.45454545089,1014152.3510971541,47.65914368092263,,,1207418.1818181819,1252838.0952380951,,,,,,-0.03988603988604211,-0.007977207977208424,-0.03190883190883369,False,False,,,,,
2012-09-10,47.62,47.75,47.01,1877100,47.1,-2655300.0,,,-1420508.1081080919,-406355.7570109378,47.48249917889897,,,1329178.5123966942,1312291.6099773243,,,,,,-0.09780375159292731,-0.025942516700352206,-0.07186123489257511,False,False,,,,,
2012-09-07,47.94,48.0,47.48,1274600,47.99,-1380700.0,,,1225576.9230769332,819221.1660659955,47.56552079551028,,,1319255.146506386,1308701.9328366267,,,,,,-0.07106915248471779,-0.034967843857225324,-0.036101308627492466,False,False,,,,,
2012-09-06,47.0,47.99,46.95,1505000,47.91,-2885700.0,,,1273461.5384615227,2092682.7045275182,47.57694524837853,,,1353026.9380506794,1327396.986852186,,,,,,-0.055695103012659786,-0.03911329568831222,-0.016581807324347567,False,False,,,,,
2012-09-05,46.62,46.97,46.34,1039200,46.74,-3924900.0,,,280419.04761905246,2373101.752146571,47.457535007522274,,,1295967.4947687376,1299949.6547710255,,,,,,-0.13634853886203757,-0.058560344323057296,-0.07778819453898028,False,False,,,,,
2012-09-04,46.46,46.93,46.22,909200,46.45,-4834100.0,,,-320140.8450704131,2052960.9070761579,47.36079606113983,,,1225646.1320835124,1262735.4019356898,,,,,,-0.22111862633533974,-0.09107200072551379,-0.13004662560982594,False,False,,,,,
2012-08-31,46.34,46.67,46.11,1173900,46.14,-6008000.0,,,-1048124.9999999958,1004835.907076162,47.23529479377958,,,1216237.7444319646,1254274.8874656241,,,,,,-0.30974341137755346,-0.13480628285592172,-0.17493712852163174,False,False,,,,,
2012-08-30,46.17,46.39,45.65,1132900,45.87,-7140900.0,,,-459283.7837837891,545552.123292373,47.10489676670093,,,1201085.4272625165,1242715.37437366,,,,,,-0.39718740636644156,-0.1872825075580257,-0.20990489880841587,False,False,,,,,
2012-08-29,46.38,46.65,46.31,1111200,46.08,-6029700.0,,,-2614588.23529416,-2069036.112001787,47.03528851105549,1210410.0,,1184742.6223056952,1230190.1006237876,310545.0958485025,,,-99210.0,0.9180360373757652,-0.44441916988917995,-0.23870984002425658,-0.20570932986492338,False,False,,,,,
2012-08-28,46.04,46.48,45.99,572700,46.01,-6602400.0,-0.5604083512434757,,-525948.9795918455,-2594985.0915936325,46.99574558774034,1137400.0,,1073462.1455228415,1167571.9958024744,367087.3102319574,,,-564700.0,0.5035167926850712,-0.4819435524794784,-0.28735658251530094,-0.19458696996417746,False,False,,,,,
2012-08-27,46.54,46.54,46.17,663200,45.97,-7265600.0,-0.1477769210999743,,-1380172.972972988,-3975158.0645666206,46.95751071964019,1125900.0,,998869.0281550521,1119536.5676308102,381123.5349448901,,,-462700.0,0.5890398792077449,-0.5090416465034409,-0.33169359531292897,-0.1773480511905119,False,False,,,,,
2012-08-24,46.07,46.54,45.96,778000,46.17,-6487600.0,-0.5855308720899259,,-214620.68965516848,-4189778.754221789,46.91705243896681,1015990.0,,958711.0230359517,1087009.2754754948,287368.7582570907,,,-237990.0,0.7657555684603194,-0.5085168865905629,-0.3670582535684558,-0.14145863302210715,False,False,,,,,
2012-08-23,46.74,46.83,46.15,821700,45.88,-7309300.0,-0.3553271614624196,,-1474226.4705882259,-5664005.224810015,46.88238052526714,970700.0,,933799.9279385059,1061741.7254302097,277605.807656188,,,-149000.0,0.8465025239517874,-0.5254445888059323,-0.3987355206159511,-0.12670906818998118,False,False,,,,,27.896995699773512
2012-08-22,46.99,47.08,46.6,757400,46.58,-6551900.0,-0.4967441860465116,,-820516.6666666769,-6484521.891476693,46.87615387555664,895940.0,,901727.2137678685,1032756.7991987611,210215.4143835424,,,-138540.0,0.8453691095385851,-0.4768786051991043,-0.4143641375325817,-0.06251446766652258,False,False,,,,,37.31343282607486
2012-08-21,47.15,47.72,46.85,726300,46.65,-5825600.0,-0.3010969976905312,,-1060231.0344827643,-7544752.925959457,46.88487383854745,864650.0,,869831.3567191651,1003570.4373703076,209808.99911851043,,,-138350.0,0.8399930607760365,-0.42780977353906735,-0.4170532647338789,-0.01075650880518847,False,False,,,,,41.987829602680954
2012-08-20,47.01,47.14,46.66,814700,46.8,-5010900.0,-0.10393752749670038,,-339458.33333333535,-7884211.2592927925,46.88401333867036,855200.0,,859807.4736793168,985582.7766683736,209707.63245793205,,,-40500.0,0.9526426566884939,-0.37252439518959335,-0.40814749082502183,0.03562309563542848,True,False,,,,,46.83544302414139
2012-08-17,47.3,47.39,47.01,1038100,46.94,-3972800.0,-0.11568276684555756,,-1420557.894736841,-9304769.154029634,46.897038862929215,841620.0,,892224.2966467137,990584.4169856714,190272.95481316658,,,196480.0,1.233454528171859,-0.31379625665152133,-0.3892772439903217,0.07548098733880038,False,False,,,,,36.842105250230794
2012-08-16,46.37,47.31,46.37,796100,46.88,-4768900.0,-0.29729014034778,,67753.19148936593,-9237015.962540267,46.895214543255584,807940.0,,874747.1518018567,972062.0915584646,160457.25772166107,,,-11840.0,0.9853454464440429,-0.26899448136781956,-0.3652206914658213,0.09622621009800175,False,False,,,,,37.02770779550665
