Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,25.79,25.93,25.6,1330700,25.72,0.0,,,-362918.1818181974,-362918.1818181974,25.75,,,1330700.0,1330700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,25.86,26.24,25.82,1860900,26.02,1860900.0,,,-88614.28571428421,-451532.46753248165,25.911313761122948,,,1427100.0,1381195.238095238,,,,,,0.0239316239316274,0.00478632478632548,0.01914529914530192,False,False,,,,,
2012-09-10,26.41,26.41,25.86,1977800,25.93,-116900.0,,,-1474359.9999999986,-1925892.4675324801,25.970751408932045,,,1527227.2727272727,1438014.739229025,,,,,,0.03522925950276701,0.010874911729613785,0.02435434777315322,False,False,,,,,
2012-09-07,25.98,26.47,25.94,2384200,26.35,2267300.0,,,1304562.2641509613,-621330.2033815188,26.05994488279319,,,1683040.4958677685,1528127.6212072133,,,,,,0.07718348384479512,0.024136626152650054,0.053046857692145066,False,False,,,,,
2012-09-06,25.52,25.99,25.51,2302500,25.96,-35200.0,,,2014687.5000000212,1393357.2966185024,26.003890957545746,,,1795669.4966190835,1601877.3715684311,,,,,,0.07806290765869406,0.034921882453858855,0.043141025204835204,False,False,,,,,
2012-09-05,25.54,25.54,25.24,1468100,25.39,-1503300.0,,,1.7385796506156676e-08,1393357.2966185198,25.924304468895517,,,1736111.4063247044,1589136.6695142947,,,,,,0.03239222366492811,0.03441595069607271,-0.002023727031144597,False,True,,,,,
2012-09-04,25.35,25.56,25.1,7052200,25.44,5548900.0,,,3372791.304347883,4766148.600966403,25.710303178714724,,,2702672.968811122,2109428.415274838,,,,,,0.0002298105796114669,0.02757872267278046,-0.027348912093168993,False,False,,,,,
2012-08-31,24.94,25.09,24.76,6645700,25.05,-1096800.0,,,5034621.212121238,9800769.813087642,25.51279836624424,,,3419586.9744818266,2541454.280486758,,,,,,-0.056082391245972474,0.010846499889029875,-0.06692889113500235,False,False,,,,,
2012-08-30,25.02,25.05,24.72,1491400,24.8,-2588200.0,,,-768296.969696957,9032472.843390685,25.47589057146988,,,3069007.5245760395,2441449.1109165903,,,,,,-0.11950554206378072,-0.015223908501532246,-0.10428163356224848,False,False,,,,,
2012-08-29,25.0,25.2,24.95,1358000,25.12,-1230200.0,,,488880.0000000185,9521352.843390703,25.457088591093648,2787150.0,,2757915.247380396,2338263.4813054865,2174904.281546406,,,-1429150.0,0.4872360655149526,-0.14230709279495812,-0.040640545360217425,-0.1016665474347407,False,False,,,,,
