Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,1.89,2.34,1.89,22432500,2.29,0.0,,,17447500.00000002,17447500.00000002,2.1733333333333333,,,22432500.0,22432500.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,1.83,1.94,1.82,4381400,1.89,-4381400.0,,,730233.3333333266,18177733.333333347,2.1259472388077327,,,19150481.81818182,20713347.61904762,,,,,,-0.03190883190883209,-0.0063817663817664185,-0.025527065527065674,False,False,,,,,
2012-09-10,1.88,1.89,1.83,4035400,1.84,-8416800.0,,,-2690266.6666666614,15487466.666666687,2.0902865867296825,,,16402285.123966943,19124971.6553288,,,,,,-0.060533599564938534,-0.017212133018400844,-0.04332146654653769,False,False,,,,,
2012-09-07,1.89,1.9,1.81,4044700,1.88,-4372100.0,,,2247055.5555555513,17734522.22222224,2.063979547582201,,,14155451.465063863,17688755.307202246,,,,,,-0.07907968704975232,-0.02958564382467114,-0.049494043225081184,False,False,,,,,
2012-09-06,1.91,1.96,1.78,15487100,1.86,-19859200.0,,,-1720788.8888888718,16013733.333333367,2.003325764357401,,,14397569.380506795,17479073.84937346,,,,,,-0.09430434605295668,-0.04252938427032825,-0.05177496178262843,False,False,,,,,
2012-09-05,1.63,1.94,1.62,40413000,1.92,20553800.0,,,35361374.99999999,51375108.33333336,1.9246937374418238,,,19127647.674960107,19663257.292290274,,,,,,-0.10037147950500636,-0.054097803317263875,-0.04627367618774248,False,False,,,,,
2012-09-04,1.54,1.62,1.51,6046800,1.61,14507000.0,,,4947381.818181818,56322490.15151518,1.9031708675432248,,,16749311.734058268,18366451.835881677,,,,,,-0.12871044184487412,-0.06902033102278593,-0.059690110822088194,False,False,,,,,
2012-08-31,1.54,1.54,1.52,2119600,1.53,12387400.0,,,0.0,56322490.15151518,1.8951780525226396,,,14089364.146047674,16819132.613416754,,,,,,-0.1558283132867091,-0.08638192747557057,-0.06944638581113853,False,False,,,,,
2012-08-30,1.52,1.54,1.51,4262500,1.51,8124900.0,,,-4262500.0,52059990.15151518,1.8796854157180733,,,12302661.574039005,15623262.840710396,,,,,,-0.1768941292222015,-0.10448436782489676,-0.07240976139730473,False,False,,,,,
2012-08-29,1.53,1.54,1.52,3578900,1.53,11703800.0,,,0.0,52059990.15151518,1.8679675611264097,10680190.0,,10716523.106031913,14476180.665404644,12290411.576007806,,,-7101290.0,0.33509703479057956,-0.1897873567588726,-0.12154496561169192,-0.06824239114718067,False,False,,,,,
2012-08-28,1.51,1.54,1.51,1867300,1.53,11703800.0,-0.916759166388053,,622433.3333333333,52682423.484848514,1.8621028712214072,8623670.0,,9107573.450389747,13275334.887747059,11816868.56941287,,,-6756370.0,0.21653194057750355,-0.19772606942425486,-0.13678118637420453,-0.06094488305005033,False,False,,,,,
2012-08-27,1.52,1.55,1.51,1984000,1.51,9719800.0,-0.5471767015109326,,-1984000.0,50698423.484848514,1.8560287697659597,8383930.0,,7812378.27759161,12199969.660342576,11936214.993600124,,,-6399930.0,0.23664319716409846,-0.20328801160454857,-0.15008255142027332,-0.053205460184275244,False,False,,,,,
