Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,33.89,34.04,33.6,4002200,33.72,0.0,,,-1819181.8181818535,-1819181.8181818535,33.78666666666667,,,4002200.0,4002200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,34.13,34.25,33.99,1336100,34.11,1336100.0,,,-102776.92307693994,-1921958.7412587935,33.86926093825126,,,3517454.5454545454,3748285.714285714,,,,,,0.031111111111115974,0.006222222222223195,0.02488888888889278,False,False,,,,,
2012-09-10,34.21,34.27,34.1,1133600,34.13,2469700.0,,,-733505.88235293,-2655464.6236117235,33.92135369829571,,,3084026.446280991,3499268.0272108843,,,,,,0.05672681228237053,0.016323140234252662,0.04040367204811787,False,False,,,,,
2012-09-07,34.23,34.34,34.15,1524800,34.22,3994500.0,,,-401263.15789476084,-3056727.7815064844,33.98147715099145,,,2800530.7287753564,3311223.4531908,,,,,,0.08332912160705774,0.02972433650881368,0.05360478509824407,False,False,,,,,
2012-09-06,33.7,34.23,33.57,2211200,34.22,3994500.0,,,2144193.9393939525,-912533.8421125319,33.98693361677394,,,2693379.687179837,3206459.314791676,,,,,,0.10322176712803355,0.04442382263265765,0.0587979444953759,False,False,,,,,
2012-09-05,33.51,33.62,33.22,1748100,33.5,2246400.0,,,699240.0000000186,-213293.84211251326,33.9079405877105,,,2521510.653147139,3067567.951478183,,,,,,0.06019495929258056,0.04757804996464223,0.012616909327938332,False,False,,,,,
2012-09-04,33.13,33.51,32.87,1923300,33.47,323100.0,,,1682887.5000000054,1469593.657887492,33.821386717389686,,,2412745.079847659,2958590.0513374037,,,,,,0.0234053524779938,0.04274351046731255,-0.019338157989318747,False,True,,,,,
2012-08-31,33.4,33.44,32.99,2152500,33.26,-1829400.0,,,430499.9999999864,1900093.6578874784,33.74198453490355,,,2365427.79260263,2881819.570257651,,,,,,-0.02243727796053463,0.029707352781743114,-0.052144630742277744,False,False,,,,,
2012-08-30,33.18,33.31,32.99,1740600,33.2,-3570000.0,,,543937.5000000072,2444031.157887486,33.685638836998194,,,2251822.7394021517,2773131.992137875,,,,,,-0.0628844980709431,0.011188982611205874,-0.07407348068214897,False,False,,,,,
2012-08-29,33.15,33.31,32.98,1137400,33.24,-2432600.0,,,654866.6666666727,3098897.8245541584,33.65502481958209,1890980.0,,2049200.4231472148,2617347.992886649,833716.1624651134,,,-753580.0,0.6014870596198797,-0.09066639988883196,-0.009182093888801694,-0.08148430600003026,False,False,,,,,
