Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-11,9.82,10.1,9.77,4035400,10.06,0.0,,,3057121.2121212333,3057121.2121212333,9.976666666666667,,,4035400.0,4035400.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-10,9.93,10.1,9.76,4262200,9.77,-4262200.0,,,-4011482.3529411815,-954361.1408199482,9.92530000642756,,,4076636.3636363633,4057000.0,,,,,,-0.02313390313390329,-0.004626780626780658,-0.01850712250712263,False,False,,,,,
2012-09-07,9.82,10.19,9.68,7530000,9.97,3267800.0,,,1033529.4117647368,79168.27094478859,9.935465221090583,,,4704520.661157025,4387761.904761905,,,,,,-0.025040705838426547,-0.008709565669109836,-0.01633114016931671,False,False,,,,,
2012-09-06,9.95,10.26,9.91,8279000,10.06,11546800.0,,,-1182714.2857142617,-1103546.014769473,9.983958445681543,,,5354425.995492111,4758356.009070295,,,,,,-0.019069788232700446,-0.01078161018182796,-0.008288178050872487,False,False,,,,,
2012-09-05,9.87,9.95,9.78,4384700,9.84,7162100.0,,,-1289617.6470587966,-2393163.6618282697,9.964368737123262,,,5178112.178129909,4722769.722492171,,,,,,-0.03172425690932279,-0.014970139527326926,-0.016754117381995864,False,False,,,,,
2012-09-04,9.7,9.97,9.64,5045600,9.88,12207700.0,,,2293454.5454545505,-99709.11637371918,9.944153067218497,,,5154019.054833561,4753515.463207202,,,,,,-0.038086313486060064,-0.019593374319073556,-0.018492939166986508,False,False,,,,,
2012-08-31,9.72,9.83,9.6,4272900,9.73,7934800.0,,,557334.7826087158,457625.66623499664,9.918821443117922,,,4993815.590318368,4707742.561949373,,,,,,-0.054602610650327676,-0.02659522158532438,-0.028007389065003295,False,False,,,,,
2012-08-30,9.69,9.72,9.55,3876300,9.65,4058500.0,,,684052.9411764563,1141678.607411453,9.892894442032237,,,4790630.93753321,4628557.556049433,,,,,,-0.07330224391976436,-0.03593662605221238,-0.037365617867551985,False,False,,,,,
2012-08-29,9.7,9.79,9.58,3468500,9.74,7527000.0,,,1816833.3333333612,2958511.9407448145,9.878333517884483,,,4550243.494345353,4518075.8840447245,,,,,,-0.07993811335969525,-0.044736923513708955,-0.035201189845986296,False,False,,,,,
2012-08-28,9.69,9.86,9.65,10511200,9.67,-2984200.0,,,-8509066.666666701,-5550554.725921887,9.849694737762386,5566580.0,,5634053.768100743,5088849.609373799,2364277.697451521,,,4944620.0,1.8882689191568252,-0.08981022630141133,-0.05375158407124943,-0.036058642230161905,False,False,,,,,
