Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,36.24,36.24,35.89,2871000,36.07,0.0,,,82028.57142855477,82028.57142855477,36.06666666666666,,,2871000.0,2871000.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,35.67,36.23,35.52,3087200,36.18,3087200.0,,,2652383.0985915703,2734411.670020125,36.02003379096595,,,2910309.090909091,2891590.476190476,,,,,,0.008774928774933244,0.0017549857549866489,0.007019943019946595,False,False,,,,,
2012-09-10,35.72,35.84,35.47,3024000,35.73,63200.0,,,1225945.9459458613,3960357.615965986,35.90555602562104,,,2930980.165289256,2904200.9070294783,,,,,,-0.0203475621139404,-0.0026655238187987605,-0.017682038295141637,False,True,,,,,
2012-09-07,35.52,35.91,35.35,3445600,35.73,63200.0,,,1230571.4285714128,5190929.044537399,35.83839993133673,,,3024547.407963936,2955762.725407623,,,,,,-0.04293244743013247,-0.010718908541065502,-0.032213538889066966,False,False,,,,,
2012-09-06,34.83,35.57,34.82,3744500,35.36,-3681300.0,,,1647579.9999999914,6838509.044537391,35.70216306070668,,,3155447.87924322,3030880.5610830877,,,,,,-0.08965356900345256,-0.026505840633542915,-0.06314772836990964,False,False,,,,,
2012-09-05,34.42,34.67,34.1,3056600,34.58,-6737900.0,,,2091357.894736806,8929866.939274196,35.50312091001912,,,3137475.5375626343,3033330.031456127,,,,,,-0.18745896546113272,-0.05869646559906088,-0.12876249986207183,False,False,,,,,
2012-09-04,34.2,34.49,33.78,1448700,34.46,-8186600.0,,,1326274.6478873193,10256141.587161515,35.41485852645697,,,2830425.4398239735,2882412.8856031625,,,,,,-0.2715234901449506,-0.10126187050823883,-0.17026161963671177,False,False,,,,,
2012-08-31,34.31,34.31,33.8,2557200,34.17,-10743800.0,,,1153247.0588235378,11409388.645985052,35.26941272000046,,,2780748.0871287053,2851440.229831433,,,,,,-0.3574256278300467,-0.1524946219726004,-0.2049310058574463,False,False,,,,,
2012-08-30,33.99,34.2,33.84,1358600,34.07,-12102400.0,,,377388.88888886804,11786777.53487392,35.201312791236674,,,2522175.707650759,2709264.969847487,,,,,,-0.4286318539043492,-0.20772206835895018,-0.22090978554539903,False,False,,,,,
2012-08-29,34.05,34.33,33.93,1514600,34.25,-10587800.0,,,908760.0000000107,12695537.53487393,35.14148337674276,2610800.0,,2338980.1244415296,2595487.3536715354,867263.1447387937,,,-1096200.0,0.5801286961850773,-0.4651765398155092,-0.259212962650262,-0.2059635771652472,False,False,,,,,
2012-08-28,33.59,34.1,33.4,1785300,33.91,-12373100.0,-0.3781609195402299,,816137.1428571221,13511674.677731052,35.055835594927814,2502230.0,,2238311.0109067056,2518326.6533218655,898466.5962380322,,,-716930.0,0.7134835726531934,-0.5156297662152483,-0.3104963233632593,-0.20513344285198898,False,False,,,,,
