Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,64.16,64.61,63.95,2159100,64.15,0.0,,,-850554.5454545202,-850554.5454545202,64.23666666666666,,,2159100.0,2159100.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,64.03,64.37,63.79,2276300,63.96,-2276300.0,,,-941917.2413793093,-1792471.7868338295,64.13573499571628,,,2180409.090909091,2170261.904761905,,,,,,-0.015156695156690603,-0.0030313390313381205,-0.012125356125352482,False,False,,,,,
2012-09-10,64.16,64.81,63.86,2781400,63.88,-5057700.0,,,-2664288.4210526138,-4456760.2078864435,64.15407969367772,,,2289680.1652892563,2228465.5328798187,,,,,,-0.03324063928052112,-0.009073199081174722,-0.0241674401993464,False,False,,,,,
2012-09-07,63.29,64.0,63.09,2548500,63.8,-7606200.0,,,1428280.2197801997,-3028479.988106244,64.01730795094194,,,2336738.317054846,2258945.005938884,,,,,,-0.05341192724898747,-0.01794094471473727,-0.0354709825342502,False,False,,,,,
2012-09-06,61.98,63.13,61.94,3421400,63.01,-11027600.0,,,2731369.7478991365,-297110.2402071073,63.6737916233781,,,2533949.5321357828,2369655.005373276,,,,,,-0.1316269029821271,-0.04067813636821523,-0.09094876661391185,False,False,,,,,
2012-09-05,62.22,62.46,61.84,1349100,61.84,-12376700.0,,,-1349100.0,-1646210.2402071073,63.52277452909369,,,2318522.344474731,2272459.290575821,,,,,,-0.2847397540211105,-0.08949045989879428,-0.19524929412231623,False,False,,,,,
2012-09-04,62.03,62.54,61.8,1441200,62.34,-10935500.0,,,662172.9729729916,-984037.2672341156,63.405859548100395,,,2159009.1909338706,2193291.7390924096,,,,,,-0.36156902758132503,-0.14390617343530043,-0.2176628541460246,False,False,,,,,
2012-08-31,62.3,62.74,61.95,1513000,62.16,-12448500.0,,,-708620.2531645801,-1692657.5203986957,63.30875364970459,,,2041552.9744004395,2128502.049655037,,,,,,-0.4320014324780175,-0.20152522524384386,-0.2304762072341736,False,False,,,,,
2012-08-30,62.1,62.26,61.65,1177600,62.04,-13626100.0,,,328183.60655738064,-1364473.913841315,63.22514274286285,,,1884470.6154185412,2037939.9496878907,,,,,,-0.49183307241157337,-0.25958679467738976,-0.2322462777341836,False,False,,,,,
2012-08-29,62.15,62.82,62.14,1259100,62.57,-12367000.0,,,333291.17647058784,-1031182.7373707272,63.179955319579584,1992670.0,,1770766.8671606246,1963764.716384282,762401.5565595629,,,-733570.0,0.6318657881134357,-0.4908255758078113,-0.3058345509034741,-0.18499102490433716,False,False,,,,,
2012-08-28,61.85,62.43,61.67,1986200,61.97,-14353200.0,-0.08007966282247236,,-418147.36842106335,-1449330.1057917906,63.07511832451813,1975380.0,,1809936.5276768745,1965901.4100619697,760165.0899640156,,,10820.0,1.005477427127945,-0.5323060206247163,-0.35112884484772255,-0.18117717577699377,False,False,,,,,
2012-08-27,62.34,62.71,62.0,2366000,62.01,-11987200.0,0.03940605368360939,,-2299352.1126760696,-3748682.2184678605,62.99373531475204,1984350.0,,1911038.97719017,2004006.0376751153,764626.6485459859,,,381650.0,1.1923299821100108,-0.5555478959584832,-0.3920126550698747,-0.1635352408886085,False,False,,,,,
2012-08-24,61.64,62.39,61.64,1365200,62.05,-10622000.0,-0.5091680448694902,,127418.66666665424,-3621263.551801206,62.9422520449798,1842730.0,,1811795.5267919572,1943167.3674203423,731010.0304069401,,,-477530.0,0.74085731496204,-0.5642354291007834,-0.42645720987605645,-0.13777821922472694,False,False,,,,,
2012-08-23,62.11,62.19,61.7,1853300,61.83,-12475300.0,-0.272787914459486,,-869916.3265306364,-4491179.878331843,62.87245452297307,1773210.0,,1819341.7946479646,1934608.5705231668,688238.5817755675,,,80090.0,1.0451666751259017,-0.5821617251057205,-0.45759811292198926,-0.12456361218373124,False,False,,,,,24.449339199508955
2012-08-22,61.96,62.68,61.69,2060400,62.16,-10414900.0,-0.3977903782077512,,-104060.60606061472,-4595240.484392458,62.82395289906555,1637110.0,,1863170.5592574256,1946588.7066638176,400522.82900673157,,,423290.0,1.2585592904569638,-0.5632474359345991,-0.47872797752451124,-0.0845194584100879,False,False,,,,,29.56878849252635
2012-08-21,61.9,63.05,61.78,2767800,62.2,-7647100.0,1.051589948854792,,-937129.1338582545,-5532369.618250712,62.78280103076199,1778980.0,,2027648.6393924388,2024799.3060291684,520470.51106560195,,,988820.0,1.555835366333517,-0.5388188910177902,-0.490746160223167,-0.04807273079462321,False,False,,,,,31.35593219408939
2012-08-20,61.95,62.06,61.56,2084800,61.69,-9731900.0,0.4465723008603941,,-1000704.000000038,-6533073.61825075,62.72143912886801,1843340.0,,2038039.7958665406,2030513.6578359143,513810.86273712304,,,241460.0,1.1309904846637082,-0.5542230921112576,-0.5034415466007852,-0.050781545510472426,False,False,,,,,28.737864069857665
2012-08-17,61.79,62.1,61.35,1727500,62.05,-8004400.0,0.14177131526768005,,1497166.666666647,-5035906.951584103,62.67898500835227,1864790.0,,1981578.0147998969,2001655.214232494,502848.3081407355,,,-137290.0,0.9263777690785557,-0.5312580292401918,-0.5090048431286666,-0.02225318611152527,False,False,,,,,33.885819512441984
2012-08-16,61.0,61.77,60.77,1906700,61.55,-9911100.0,0.619140625,,1067751.9999999772,-3968154.9515841254,62.61304784384643,1937700.0,,1967963.8302908246,1992611.860496066,441219.9577434266,,,-31000.0,0.9840016514424318,-0.5470972759453119,-0.5166233296919956,-0.03047394625331623,False,False,,,,,35.79766535989948
2012-08-15,60.29,61.28,60.16,2047000,60.97,-11958100.0,0.6257644349138274,,913839.285714282,-3054315.665869843,62.520647301014016,2016490.0,2004580.0,1982334.04296522,1997791.6833059643,371400.55480722047,583798.2488569326,0.07266208845788363,30510.0,1.0151302510798466,-0.5995400216436764,-0.5332066680823317,-0.06633335356134462,False,False,62.411500000000004,64.17816530949966,60.64483469050035,0.09202798847953189,40.43956042711748
2012-08-14,60.7,60.86,60.27,1347000,60.43,-13305100.0,-0.32182056187695096,-0.3761289426149784,-616423.7288135703,-3670739.3946834137,62.45561441104027,1952570.0,1963975.0,1866818.762426089,1935811.5229911106,427900.17800105363,600488.7140137563,-1.027454780750244,-605570.0,0.6898600306263027,-0.6768722010752413,-0.5619397746809137,-0.11493242639432755,False,False,62.2255,64.00475442694109,60.446245573058896,-0.004565275435853607,29.193899773230626
2012-08-13,60.48,60.61,59.87,1253800,60.42,-14558900.0,-0.47007607776838545,-0.44919386724069765,609956.7567567662,-3060782.6379266474,62.39230784245752,1841350.0,1912850.0,1755360.8056213455,1870858.0446110049,452344.9181763846,615829.5017804505,-1.0701825717907196,-587550.0,0.6809134602329813,-0.7305441684239042,-0.5956606534295119,-0.13488351499439233,False,False,62.048500000000004,63.8054144603687,60.291585539631306,0.036545450352132386,30.31674207184544
2012-08-10,60.56,60.84,60.04,1653000,60.73,-12905900.0,0.21081160269557575,-0.4056949737542245,1198424.9999999753,-1862357.6379266721,62.32313776250374,1870130.0,1856430.0,1736749.7500538281,1850109.6594099568,427137.41491728666,582876.3578378486,-0.3490105530349758,-217130.0,0.8838957719516825,-0.7395402206950834,-0.6244365668826263,-0.11510365381245713,False,False,61.891,63.516454106590395,60.2655458934096,0.14286903109330124,35.79175703902199
