Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,46.94,47.5,46.03,5200700,46.19,0.0,,,-4068574.829931996,-4068574.829931996,46.57333333333333,,,5200700.0,5200700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,46.27,46.87,46.08,3838400,46.61,3838400.0,,,1311858.227848118,-2756716.6020838777,46.55068565085757,,,4953009.090909091,5070957.142857143,,,,,,0.03350427350427054,0.006700854700854109,0.026803418803416433,False,False,,,,,
2012-09-10,47.98,47.99,45.94,6030700,45.95,-2192300.0,,,-5971863.9024389945,-8728580.504522871,46.58109207377226,,,5148952.892561983,5162361.224489795,,,,,,0.006722672705571142,0.006705218301797516,1.7454403773625726e-05,False,False,,,,,
2012-09-07,47.67,48.24,47.42,3690200,47.6,1497900.0,,,-2070112.1951219542,-10798692.699644826,46.811678678038376,,,4883725.0939143505,5022155.393586005,,,,,,0.11728725700624665,0.028821626042687343,0.0884656309635593,False,False,,,,,
2012-09-06,47.15,47.6,46.68,3506400,46.92,-2008500.0,,,-1676973.9130434664,-12475666.612688292,46.851832896202346,,,4633302.349566286,4877797.737054004,,,,,,0.14833031015343323,0.052723362864836525,0.0956069472885967,False,False,,,,,
2012-09-05,47.35,47.64,46.16,6099800,46.6,-8108300.0,,,-2472891.891891862,-14948558.504580153,46.84068687381461,,,4899938.286008779,4994178.904953622,,,,,,0.14543435110746117,0.07126556051336146,0.07416879059409971,False,False,,,,,
2012-09-04,48.67,48.93,47.58,2796100,48.14,-5312200.0,,,-476372.5925925856,-15424931.097172739,46.96414942628326,,,4517422.2340071825,4784838.056862801,,,,,,0.26435706865141384,0.10988386214097194,0.15447320651044188,False,False,,,,,
2012-08-31,48.19,49.28,47.77,2540700,49.03,-2771500.0,,,1699408.609271522,-13725522.487901216,47.09450392151045,,,4158018.191460422,4571110.622875867,,,,,,0.4255146727824126,0.1730100242692601,0.2525046485131525,False,False,,,,,
2012-08-30,47.79,47.95,47.48,1785800,47.77,-4557300.0,,,417953.19148938125,-13307569.296411835,47.12664988202852,,,3726705.793013072,4305842.944506737,,,,,,0.44641576236900704,0.2276911718892095,0.21872459047979753,False,False,,,,,
2012-08-29,48.79,48.88,47.94,2173000,48.27,-2384300.0,,,-647276.5957446637,-13954845.892156499,47.198003697822905,3766180.0,,3444213.830647059,4102715.0450299056,1549664.4438214502,,,-1593180.0,0.5769772023641992,0.49758994067908446,0.28167092564718454,0.21591901503189992,False,False,,,,,
2012-08-28,48.5,49.27,48.5,2644600,48.99,260300.0,-0.49149152998634804,,721254.5454545454,-13233591.346701954,47.31098802340737,3510570.0,,3298829.497802139,3963846.945503248,1496658.0675699518,,,-865970.0,0.7533249586249526,0.5894490269256849,0.34322654590288465,0.24622248102280025,False,False,,,,,
2012-08-27,49.06,49.79,48.8,2409600,48.85,-2149300.0,-0.37223843268028345,,-2166206.0606060405,-15399797.407307994,47.4145382448419,3367690.0,,3137151.407292659,3815823.4268838908,1529719.793840253,,,-958090.0,0.7155052870068207,0.6435329374957988,0.4032878242214675,0.2402451132743313,False,False,,,,,
2012-08-24,48.19,49.11,47.88,1795200,48.96,-354100.0,-0.7023231134030876,,1357346.3414634177,-14042451.065844577,47.46436617450589,2944140.0,,2893160.242330357,3623383.1005139966,1275736.8391116825,,,-1148940.0,0.6097536122602866,0.6873475917886651,0.460099777734907,0.2272478140537581,False,False,,,,,
2012-08-23,49.13,49.48,48.38,1633400,48.54,-1987500.0,-0.5573681643271368,,-1158229.0909090985,-15200680.156753676,47.511644172160274,2738460.0,,2664112.9255430195,3433860.9004650447,1307496.8257450315,,,-1105060.0,0.5964666272284422,0.6803380178951812,0.5041474257669618,0.17619059212821941,False,False,,,,,62.620837799391076
2012-08-22,48.96,49.15,48.43,1664700,48.99,-322800.0,-0.5252395619438741,,924833.3333333479,-14275846.823420327,47.55847729765269,2554290.0,,2482401.4845351977,3265369.386135041,1316982.0022814788,,,-889590.0,0.6517270944176268,0.7029904825895059,0.5439160371314706,0.15907444545803529,False,False,,,,,64.34426228585228
2012-08-21,49.49,49.66,48.98,1816600,49.13,1493800.0,-0.7021869569494081,,-1015158.8235293812,-15291005.646949708,47.620641022799255,2125970.0,,2361346.6691651614,3127391.349360275,440824.9212807986,,,-309370.0,0.8544805429991956,0.7238949437307625,0.579911818451329,0.14398312527943347,False,False,,,,,63.291139231159555
2012-08-20,49.15,49.5,48.97,1477800,49.22,2971600.0,-0.47147813025285223,,-83649.05660377657,-15374654.703553485,47.667179936743004,1994140.0,,2200701.820226041,2970287.411325963,414487.386753539,,,-516340.0,0.7410713390233383,0.7392030549527817,0.6117700657516196,0.12743298920116208,False,False,,,,,68.35016833942869
