Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,70.82,72.48,70.0,1533200,70.75,0.0,,,-605861.2903225821,-605861.2903225821,71.07666666666667,,,1533200.0,1533200.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,68.42,71.47,68.42,2874300,70.57,-2874300.0,,,1177991.8032786762,572130.5129560941,70.47452554358101,,,1777036.3636363635,1660923.8095238095,,,,,,-0.014358974358984256,-0.0028717948717968513,-0.011487179487187405,False,False,,,,,
2012-09-10,67.7,68.64,67.24,1521100,67.75,-4395400.0,,,-412869.99999999336,159260.51295610075,69.80799328677934,,,1730502.479338843,1647607.2562358277,,,,,,-0.2504025129666303,-0.05237793849076354,-0.19802457447586674,False,False,,,,,
2012-09-07,66.17,67.48,65.84,1317300,67.41,-5712700.0,,,1204847.560975598,1364108.0739316987,69.28113995500904,,,1655374.7558226895,1616149.422308606,,,,,,-0.45960582654279847,-0.13382351610117055,-0.3257823104416279,False,False,,,,,
2012-09-06,66.02,66.67,65.24,2483900,65.84,-8196600.0,,,-399508.3916083719,964599.6823233268,68.42223070703749,,,1806015.7093094732,1698792.3344696914,,,,,,-0.7435160485578223,-0.2557620225925009,-0.48775402596532136,False,False,,,,,
2012-09-05,65.44,65.58,64.88,1066700,65.28,-9263300.0,,,152385.71428572666,1116985.3966090535,68.1084832739005,,,1671594.6712532053,1638593.064520197,,,,,,-1.002152079497705,-0.40504003397354177,-0.5971120455241632,False,False,,,,,
2012-09-04,65.0,65.78,64.25,1368200,65.41,-7895100.0,,,706456.2091503191,1823441.6057593725,67.77535894843277,,,1616432.0037526225,1612841.344089702,,,,,,-1.18299623958454,-0.5606312750957414,-0.6223649644887985,False,False,,,,,
2012-08-31,65.11,65.6,64.2,1327100,65.19,-9222200.0,,,549798.5714285731,2373240.1771879457,67.5020371880204,,,1563826.1848885093,1585627.8827478257,,,,,,-1.3287516785176905,-0.7142553557801312,-0.6144963227375593,False,False,,,,,
2012-08-30,65.13,65.23,64.38,763500,64.55,-9985700.0,,,-458100.0,1915140.1771879457,67.35303398268248,,,1418312.3330905985,1507329.9891527947,,,,,,-1.4788591970149838,-0.8671761240271018,-0.611683072987882,False,False,,,,,
2012-08-29,66.05,66.05,65.25,633500,65.42,-9352200.0,,,-364262.49999999633,1550877.6771879494,67.27730992423837,1488880.0,,1275619.1816195804,1424108.085423957,700691.6373603061,,,-855380.0,0.42548761485143194,-1.510209997011259,-0.9957828986239333,-0.5144270983873257,False,False,,,,,
2012-08-28,66.14,66.88,65.04,868100,65.91,-8484100.0,-0.43379859118184194,,-47179.34782609125,1503698.329361858,67.20381671944779,1422370.0,,1201524.7849614748,1371154.9344311995,727086.0166903684,,,-554270.0,0.6103193965002074,-1.4784739001763114,-1.092321098934409,-0.38615280124190243,False,False,,,,,
2012-08-27,66.38,67.39,65.7,1127000,66.27,-7357100.0,-0.6079045332776676,,-366775.1479290021,1136923.181432856,67.15372196787078,1247640.0,,1187974.8240593884,1347902.08353299,519799.4980973166,,,-120640.0,0.9033054406719887,-1.4080427827110213,-1.1554654356897314,-0.25257734702129,False,False,,,,,
2012-08-24,65.71,66.44,65.5,1437000,66.27,-7357100.0,-0.055288935638682535,,917234.042553185,2054157.223986041,67.0687202229876,1239230.0,,1233252.1287758632,1356387.599386991,515546.4437532924,,,197770.0,1.1595910363693585,-1.3368156361759702,-1.1917354757869791,-0.14508016038899108,False,False,,,,,
2012-08-23,66.92,66.97,65.59,1107000,65.66,-8464100.0,-0.15964472785242545,,-994695.6521739236,1059461.5718121175,67.01200316726633,1218200.0,,1210297.1962711606,1332636.3994453729,516296.69118960405,,,-111200.0,0.9087177803316369,-1.3144374941764312,-1.2162758794648696,-0.0981616147115616,False,False,,,,,21.046643910185935
2012-08-22,67.08,67.3,66.14,1305000,67.0,-7159100.0,-0.4746165304561375,,630000.0000000044,1689461.571812122,66.99949820494642,1100310.0,,1227515.8878582222,1330004.3614029565,271951.321011684,,,204690.0,1.1860293917168798,-1.1750308302830348,-1.2080268696285028,0.03299603934546802,True,False,,,,,31.49062191075153
2012-08-21,68.58,69.21,66.8,1670700,67.13,-5488400.0,0.5662323052404612,,-1213163.9004149393,476297.6713971826,67.05273091526958,1160710.0,,1308094.8173385453,1362451.5650788655,325465.68499783677,,,509990.0,1.4393776223173746,-1.0420480499644924,-1.1748311056957008,0.1327830557312084,False,False,,,,,32.936507931933406
2012-08-20,69.57,70.0,67.74,1768600,67.95,-3719800.0,0.2926472737903816,,-1439922.1238937937,-963624.452496611,67.16325670260326,1200750.0,,1391823.0323679005,1401132.3684046878,374729.13847500866,,,567850.0,1.472912762856548,-0.8605709650999245,-1.1119790775765457,0.2514081124766212,False,False,,,,,51.23762375349845
2012-08-17,68.99,69.8,68.64,1949300,69.66,-1770500.0,0.46884183558134285,,1478779.3103448243,515154.8578482133,67.32768474245353,1262970.0,,1493182.481028282,1453338.8095090033,443401.854479157,,,686330.0,1.5434254178642406,-0.5721707309171506,-1.0040174082446667,0.431846677327516,False,False,,,,,61.904761895590845
2012-08-16,67.27,69.68,67.18,3240100,68.91,-5010600.0,3.243745907007204,,1244198.3999999734,1759353.2578481867,67.46698327066645,1510630.0,,1810803.848114049,1623506.5419367172,731487.4375013027,,,1729470.0,2.1448667112396813,-0.39952472714526266,-0.883118872024786,0.48359414487952335,False,False,,,,,67.78679025551543
2012-08-15,66.37,67.0,65.74,1365700,66.63,-6376300.0,1.1558011049723755,,563622.2222222156,2322975.4800704024,67.42207892221792,1583850.0,1536365.0,1729875.8757296763,1598953.5379427443,667807.4260842967,667970.8576017843,-0.2554976733756597,-218150.0,0.862265997411371,-0.44158811761292327,-0.7948127211424135,0.35322460352949026,False,False,66.978,70.58982036039855,63.36617963960144,0.4518248465765891,56.5217391227893
2012-08-14,66.72,67.12,64.9,1689700,66.22,-8066000.0,0.9464347425411819,0.10207409339942597,319672.9729729636,2642648.453043366,67.35212455398917,1666010.0,1544190.0,1722571.1710515532,1607596.0581386734,618699.7413033958,668847.9198552814,0.21755319210902832,23690.0,1.0142196025233943,-0.5022179749011144,-0.7362937718941538,0.23407579699303938,False,False,66.7515,69.9066279897302,63.59637201026979,0.4157720381344272,53.80997177089992
