Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-10-30,107.061481134,107.061481134,107.061481134,107.061481134,107.061481134,0.0,,,,,107.06148113399999,,,107.061481134,107.061481134,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-10-29,107.733087775,107.733087775,107.733087775,107.733087775,107.733087775,107.733087775,,,,,107.39833442397205,,,107.18359143236364,107.12544367123809,,,,,,0.05357545854131729,0.010715091708263458,0.04286036683305383,False,False,,,,,
2012-10-26,108.32742796,108.32742796,108.32742796,108.32742796,108.32742796,216.060515735,,,,,107.70981527042453,,,107.3915617101157,107.2399183654059,,,,,,0.142351739010536,0.03704242116871797,0.10530931784181802,False,False,,,,,
2012-10-25,108.838563237,108.838563237,108.838563237,108.838563237,108.838563237,324.899078972,,,,,107.99421926070691,,,107.65465289682193,107.39217025793867,,,,,,0.25105788695638864,0.07984551432625211,0.17121237263013653,False,False,,,,,
2012-10-24,109.261386512,109.261386512,109.261386512,109.261386512,109.261386512,434.160465484,,,,,108.25003381457721,,,107.94678628139977,107.57019085356356,,,,,,0.36709495486887533,0.13729540243477675,0.22979955243409858,False,False,,,,,
2012-10-23,109.591673074,109.591673074,109.591673074,109.591673074,109.591673074,543.752138558,,,,,108.47595485656689,,,108.24585660732708,107.7627129697956,,,,,,0.4801714152462466,0.20587060499707072,0.2743008102491759,False,False,,,,,
2012-10-22,109.826122809,109.826122809,109.826122809,109.826122809,109.826122809,653.578261367,,,,,108.67090090404677,,,108.53317773490397,107.95922819257697,,,,,,0.581994587675851,0.28109540153282675,0.30089918614302424,False,False,,,,,
2012-10-19,109.962393174,109.962393174,109.962393174,109.962393174,109.962393174,763.540654541,,,,,108.8340243044502,,,108.79303508746688,108.15000580985534,,,,,,0.6660087309449096,0.35807806741524334,0.3079306635296663,False,False,,,,,
2012-10-18,109.999122599,109.999122599,109.999122599,109.999122599,109.999122599,873.53977714,,,,,108.96471941529235,,,109.01232372592744,108.32611217072628,,,,,,0.7271719171990583,0.43189683737200635,0.2952750798270519,False,False,,,,,
2012-10-17,109.935944096,109.935944096,109.935944096,109.935944096,109.935944096,763.603833044,,,,,109.06262758566095,109.053720237,,109.18025470230427,108.47942949694281,1.0388987272444066,,,0.8822238590000069,1.0080898098394326,0.7617650524329349,0.4978704803841921,0.2638945720487428,False,False,,,,,
2012-10-16,109.773488924,109.773488924,109.773488924,109.773488924,109.773488924,653.83034412,0.025331312076708468,,,,109.1276388613387,109.324921016,,109.2881154698853,108.60267325190065,0.7836770014341867,,,0.4485679080000011,1.0041030709542826,0.767227466004428,0.5517418775082393,0.2154855884961887,False,False,,,,,
2012-10-15,109.513380282,109.513380282,109.513380282,109.513380282,109.513380282,544.316963838,0.016525029995595464,,,,109.1598904039757,109.50295026670001,,109.3290727084516,108.68940725476726,0.5489370000214155,,,0.010430015299988327,1.0000952487149852,0.742014394472065,0.5897963809010045,0.15221801357106046,False,False,,,,,
2012-10-12,109.158217088,109.158217088,109.158217088,109.158217088,109.158217088,435.15874675,0.0076692407790459605,,,,109.1597616806012,109.5860291795,,109.29800805018766,108.73405581031324,0.39157143287011714,,,-0.42781209150000166,0.996096107371504,0.6854724523601448,0.6089315951928326,0.07654085716731218,False,False,,,,,
2012-10-11,108.711548017,108.711548017,108.711548017,108.711548017,108.711548017,326.447198733,-0.0011670056662125283,,,,109.1278665455666,109.5733276575,,109.19137895324444,108.73191221095007,0.4195701987508415,,,-0.8617796405000036,0.9921351330755079,0.5977298373224755,0.6066912436187611,-0.008961406296285612,False,True,,,,,69.52642021968128
2012-10-10,108.177836038,108.177836038,108.177836038,108.177836038,108.177836038,218.26936269499998,-0.009917048543778062,,,,109.06504239732043,109.46497261009999,,109.00709842319999,108.67914305162148,0.6070908575591094,,,-1.287136572099996,0.9882415667641501,0.4795985726596683,0.5812727094269426,-0.10167413676727433,False,False,,,,,61.72905847884718
2012-10-09,107.562413824,107.562413824,107.562413824,107.562413824,107.562413824,110.70694887099998,-0.018516545948064622,,,,108.9723366519901,109.26204668509999,,108.74442849607271,108.57278788708611,0.8504195958224534,,,-1.6996328610999853,0.9844444350745284,0.3324865667767227,0.5315154808968987,-0.19902891412017598,False,False,,,,,48.18537893087048
